Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
3524,0#9#0#0#0,0#177#634#1536#1536,5267.json,22#5#5#5#5,0.0021288872230798006#0.2239442765712738#0.2239442765712738#0.2239442765712738#0.2239442765712738,7.70652492754435E-4#0.6872440451039364#0.6872440451039364#0.6872440451039364#0.6872440451039364,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,7#2#2#2#2,1.72#1.5#1.5#1.5#1.5,2#1#1#1#1,14#2#2#2#2,123.0#24.0#24.0#24.0#24.0,85.78993225097656#120.6200180053711#120.6200180053711#120.6200180053711#120.6200180053711,0#0#0#0#0,4#1#1#1#1,0#26#0#0#0,0#1#0#0#0,0#790#0#0#0,0#768#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
2009,0#0#0,0#22#69,10329.json,4#4#4,0.5815558433532715#0.5815558433532715#0.5815558433532715,0.8962939020820181#0.8962939020820181#0.8962939020820181,0#0#0,0#0#0,0#0#0,1#1#1,2.0#2.0#2.0,0#0#0,0#0#0,20.0#20.0#20.0,125.64796447753906#125.64796447753906#125.64796447753906,1#1#1,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#1,0#0#1
5284,0#25#30#67#0#0#0,0#110#1202#1896#2394#3297#3297,2780.json,7#9#9#9#9#9#9,0.03407690301537514#0.0037523440551012754#0.0028125832322984934#0.0027635153383016586#0.0027635153383016586#0.0027635153383016586#0.0027635153383016586,0.3386432819823622#0.01989328571313328#0.0033280571261287985#0.0033411143938463727#0.0033411143938463727#0.0033411143938463727#0.0033411143938463727,1#1#1#1#1#1#1,1#1#1#1#1#1#1,2#2#2#2#2#2#2,2#2#2#2#2#2#2,1.67#1.63#1.63#1.63#1.63#1.63#1.63,1#1#1#1#1#1#1,1#3#3#3#3#3#3,40.0#66.0#75.0#75.0#75.0#75.0#75.0,112.05997467041016#105.11094665527344#104.32926177978516#104.32926177978516#104.32926177978516#104.32926177978516#104.32926177978516,0#0#0#0#0#0#0,1#1#1#1#1#1#1,0#3#6#2#0#0#0,0#3#3#1#0#0#0,0#227#30#9#0#0#0,0#230#30#7#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0
3269,0#0#0#0#35,0#379#1281#1281#1301,4057.json,8#8#10#10#8,0.5425237417221069#0.54258131980896#0.4056866765022278#0.4056866765022278#0.6580458283424377,0.16116054648477524#0.15715704937402755#0.4581990014402866#0.4581990014402866#0.2458608048232841,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,0.77#0.77#26.64#26.64#1.54,0#0#0#0#0,7#7#7#7#7,59.0#59.0#59.0#59.0#57.0,107.715087890625#107.715087890625#104.10015869140625#104.10015869140625#107.95147705078125,1#1#1#1#1,2#2#2#2#2,0#0#0#0#4,0#0#0#0#1,0#10#202#0#169,0#0#0#0#7,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
3271,0#0#0#0,0#381#1283#1283,7077.json,3#3#3#3,0.974550187587738#0.974550187587738#0.974550187587738#0.974550187587738,0.8025254436949718#0.8025254436949718#0.8025254436949718#0.8025254436949718,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,0.94#0.94#0.94#0.94,0#0#0#0,0#0#0#0,18.0#18.0#18.0#18.0,130.99049377441406#130.99049377441406#130.99049377441406#130.99049377441406,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0
1289,0,0,3764.json,9,0.2803761661052704,0.3884142711867829,1,1,2,2,2.67,1,2,47.0,106.93936157226562,2,1,0,0,0,0,0,0,0
2847,0#0#0,0#859#859,22.json,3#3#3,0.0#0.0#0.0,0.96478111414393#0.96478111414393#0.96478111414393,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,13.0#13.0#13.0,132.9956512451172#132.9956512451172#132.9956512451172,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
4079,0#0#0#0,0#1189#2091#2091,9785.json,3#3#3#3,0.8537298440933228#0.8463761806488037#0.8463761806488037#0.8463761806488037,0.8978535281406654#0.9284519416065133#0.9284519416065133#0.9284519416065133,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,3.77#0.94#0.94#0.94,0#0#0#0,0#0#0#0,12.0#12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#8#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0
2468,0#29#0,0#132#480,13324.json,3#3#3,0.9318584203720093#0.9318584203720093#0.9318584203720093,0.9852994816711246#0.9852994816711246#0.9852994816711246,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
3896,0#0#0#0,0#1006#1908#1908,3340.json,3#3#3#3,0.618083119392395#0.618083119392395#0.618083119392395#0.618083119392395,0.8416358710103052#0.8416358710103052#0.8416358710103052#0.8416358710103052,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,0.94#0.94#0.94#0.94,0#0#0#0,0#0#0#0,15.0#15.0#15.0#15.0,131.9385528564453#131.9385528564453#131.9385528564453#131.9385528564453,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0
5174,0#23#162#0#0#0,0#1093#1487#2284#3186#3186,3998.json,115#120#120#120#120#120,0.0#0.0#0.0#0.0#0.0#0.0,1.95900109984604E-34#1.3933666275877968E-33#7.013087575200461E-33#3.12843995403841E-33#3.12843995403841E-33#3.12843995403841E-33,9#9#9#9#9#9,73#73#73#73#73#73,82#82#82#82#82#82,44#44#44#44#44#44,4.11#1.6#3.22#1.61#1.61#1.61,7#7#7#7#7#7,9#9#9#9#9#9,648.0#648.0#648.0#648.0#648.0#648.0,40.836097717285156#40.146629333496094#40.146629333496094#40.146629333496094#40.146629333496094#40.146629333496094,4#4#4#4#4#4,6#6#6#6#6#6,0#263#272#0#0#0,0#135#137#0#0#0,0#1011#816#798#0#0,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0
