Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
4283,0#0#0#8#41#13#11,0#392#394#416#2413#2803#3880,2780.json,3#3#3#3#3#3#3,0.8063127994537354#0.8063127994537354#0.8063127994537354#0.8063127994537354#0.8063127994537354#0.8063127994537354#0.8063127994537354,0.8994855565253772#0.8994855565253772#0.8994855565253772#0.8994855565253772#0.8994855565253772#0.8994855565253772#0.8994855565253772,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,1.89#1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0#0,0#0#0#0#0#0#0,15.0#15.0#15.0#15.0#15.0#15.0#15.0,131.9385528564453#131.9385528564453#131.9385528564453#131.9385528564453#131.9385528564453#131.9385528564453#131.9385528564453,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0
1179,0#13#4#25#9,0#1#348#744#769,22.json,22#19#21#21#21,0.0#3.1842407770454884E-4#1.1364890087861568E-4#1.2776514631696045E-4#1.2776514631696045E-4,7.590634899168523E-7#4.199559478012513E-6#1.279695217809754E-7#1.277765013747325E-7#1.277765013747325E-7,6#6#6#6#6,5#5#5#5#5,11#11#11#11#11,3#3#3#3#3,8.06#5.4#5.18#5.18#5.18,1#1#1#1#1,18#16#19#19#19,138.0#124.0#142.0#142.0#142.0,85.56256866455078#88.6002197265625#86.09431457519531#86.09431457519531#86.09431457519531,4#2#2#2#2,2#2#2#2#2,0#7#2#2#0,0#2#2#1#0,0#222#134#7#0,0#134#126#7#0,0#0#0#0#0,0#0#1#0#0,0#0#1#0#0
531,0#41,0#121,3340.json,21#21,0.0#0.0,7.921002955701872E-13#7.921002955701872E-13,4#4,2#2,6#6,4#4,3.0#3.0,1#1,13#13,198.0#198.0,83.92324829101562#83.92324829101562,1#1,7#7,0#0,0#0,0#0,0#0,0#0,0#0,0#0
898,0#18,0#490,1565.json,4#4,0.005791904404759407#0.005791904404759407,0.13153549461766678#0.13153549461766678,0#0,0#0,0#0,1#1,2.0#2.0,0#0,4#4,39.0#39.0,121.56625366210938#121.56625366210938,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
30,0,0,891.json,13,0.015136422589421272,2.0767481321769723E-4,7,6,13,4,3.29,3,12,90.0,96.43526458740234,0,1,0,0,0,0,0,0,0
1117,0#18,0#709,2027.json,4#4,0.19527342915534973#0.21191591024398804,0.24866994201979542#0.19658305660183162,0#0,0#0,0#0,1#1,2.0#2.0,0#0,3#3,30.0#31.0,122.7774429321289#122.53683471679688,1#1,1#1,0#2,0#1,0#7,0#7,0#0,0#0,0#0
1297,0#0,0#9,410.json,3#3,0.8332252502441406#0.8332252502441406,0.8018124149317034#0.8018124149317034,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,16.0#16.0,131.75106811523438#131.75106811523438,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1878,0#10#9#24#13#5#18#71#49,0#0#112#116#487#1381#1470#1509#1518,1168.json,30#30#30#30#29#25#25#24#28,1.706119510345161E-4#1.9192752370145172E-4#1.950625446625054E-4#2.0620097348000854E-4#2.99640407320112E-4#0.00122734101023525#0.00122734101023525#0.0022157670464366674#3.554229624569416E-4,5.336907604485822E-10#5.357107463426553E-10#5.247432506299908E-10#6.421836196254449E-10#5.4961773931551825E-11#1.3568592006016364E-8#1.3568592006016364E-8#1.8970075351937156E-7#9.457830335340124E-10,5#5#5#5#10#9#9#9#10,10#10#10#10#10#9#9#9#10,15#15#15#15#20#18#18#18#20,10#10#10#10#9#8#8#8#9,4.3#4.3#4.3#4.3#2.89#2.99#2.99#2.75#3.29,3#3#3#3#4#3#3#3#4,14#14#14#14#14#11#11#9#12,184.0#184.0#184.0#183.0#194.0#162.0#162.0#150.0#181.0,77.18551635742188#77.18551635742188#77.18551635742188#77.21385192871094#77.66979217529297#81.34427642822266#81.34427642822266#82.51996612548828#78.68028259277344,1#1#1#1#1#1#1#1#1,4#4#4#4#5#4#4#3#3,0#2#4#2#30#4#0#3#4,0#1#2#1#15#0#0#1#4,0#12#10#5#137#232#0#95#221,0#12#10#5#120#216#0#91#188,0#0#0#0#1#0#0#0#0,0#0#1#0#1#0#0#0#0,0#0#1#0#1#0#0#0#0
4406,0#3#74#0#12#21#65#13#18,0#0#342#515#789#1001#1067#2478#3998,1041.json,10#11#11#11#10#5#5#7#7,0.8335028290748596#0.5519472360610962#0.5450364947319031#0.5450364947319031#0.6159763336181641#0.059138357639312744#0.04020637273788452#0.1372891217470169#0.1372891217470169,0.1998941880490991#0.08564785440834533#0.35614190655693406#0.35614190655693406#0.5729502716490892#0.20771609685840567#0.16334370116689076#0.39489859050374115#0.39489859050374115,0#0#0#0#0#0#0#1#1,1#1#1#1#0#0#0#1#1,1#1#1#1#0#0#0#2#2,2#2#2#2#1#1#1#2#2,7.05#6.8#3.4#3.4#3.45#1.89#1.89#2.56#2.56,1#1#1#1#1#0#0#1#1,3#4#4#4#4#4#3#3#3,50.0#58.0#58.0#58.0#52.0#42.0#42.0#42.0#42.0,104.62427520751953#102.2585678100586#102.2585678100586#102.2585678100586#104.75688934326172#117.34275817871094#117.21340942382812#111.59553527832031#111.59553527832031,2#2#2#2#2#2#2#2#2,0#0#0#0#0#0#0#0#0,0#1#2#0#3#9#2#5#0,0#1#1#0#1#1#1#3#0,0#37#213#0#43#150#32#105#0,0#37#5#0#31#89#32#67#0,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0
1883,0#10#34#9#12#102#5#18#12#14#7#16#32#7#19#14#19#13#6#33#18#28#2#25#18#35,0#4#16#440#480#481#565#780#781#782#844#886#896#907#915#999#1006#1062#1073#1356#1475#1504#1545#1654#1860#1870,1932.json,17#18#15#14#42#41#42#54#56#54#61#60#61#61#63#63#62#63#63#62#62#51#54#50#50#49,7.35501991584897E-4#5.284655489958823E-4#0.0035470391158014536#0.005821623373776674#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,7.3721684270094195E-9#8.325723445362327E-10#6.18516482171739E-8#1.8481756569910163E-7#8.65137722185587E-20#1.2821950431417652E-19#6.7396383057107E-21#9.228284300585388E-29#1.4142821676902358E-31#9.228284300585388E-29#4.157608379995903E-34#4.387041890660251E-34#1.1543198541858735E-35#5.468140178999099E-35#1.8723157824514425E-38#1.3845768034525234E-38#1.113878301869667E-36#8.24164039790894E-37#1.2474505108219903E-36#1.6853589608560798E-36#1.6853589608560798E-36#8.536509310555283E-35#2.8373022978769635E-39#2.888448964265935E-32#2.882568374118929E-32#3.652401745579905E-32,0#0#0#0#2#2#2#5#5#5#5#5#5#5#5#5#5#5#5#5#5#4#4#4#4#4,0#0#0#0#2#2#2#5#5#5#5#5#5#5#5#5#5#5#5#5#5#4#4#4#4#4,0#0#0#0#4#4#4#10#10#10#10#10#10#10#10#10#10#10#10#10#10#8#8#8#8#8,1#1#1#1#2#2#2#4#4#4#4#4#4#4#4#4#4#4#4#4#4#4#4#4#4#4,5.22#5.08#5.55#5.74#5.42#5.49#5.44#4.95#4.89#4.95#4.72#4.75#4.76#4.72#4.7#4.7#4.69#4.66#4.66#4.69#4.69#4.38#4.27#4.41#4.41#3.97,0#0#0#0#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2,16#17#14#13#32#31#33#47#49#47#53#52#55#53#58#58#55#56#56#55#55#58#66#54#54#55,148.0#160.0#136.0#128.0#301.0#298.0#312.0#402.0#428.0#402.0#457.0#455.0#467.0#465.0#495.0#497.0#483.0#487.0#486.0#482.0#482.0#454.0#497.0#425.0#425.0#423.0,89.76232147216797#88.38481140136719#92.35482788085938#93.78776550292969#70.5988540649414#71.05442810058594#70.39928436279297#64.34352111816406#63.34971237182617#64.34352111816406#61.559635162353516#61.8502197265625#61.38760757446289#61.460655212402344#60.5299186706543#60.516910552978516#60.97401428222656#60.663509368896484#60.682613372802734#60.9932861328125#60.9932861328125#64.5869140625#63.089195251464844#65.21283721923828#65.21283721923828#65.57402801513672,3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3,3#3#2#2#2#2#2#1#1#1#1#2#3#2#3#3#2#2#1#1#1#1#1#1#1#1,0#1#5#1#30#3#1#16#2#4#5#3#5#1#3#2#6#2#2#2#0#34#4#6#2#5,0#1#1#0#30#1#1#14#2#2#5#1#3#1#2#1#3#2#1#0#0#11#4#1#1#2,0#59#232#47#1367#34#78#679#154#190#361#39#320#392#391#54#369#35#16#35#0#707#301#374#8#110,0#55#220#43#1214#30#74#631#146#182#333#35#296#364#374#54#335#30#16#30#0#658#288#358#8#86,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#1#0#0#1#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#1,0#0#0#1#0#0#1#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#1
