Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
4621,0,0,104.json,10,0.03064844384789467,0.015413494927873288,3,2,5,3,2.53,1,5,66.0,103.00267791748047,1,1,0,0,0,0,0,0,0
136,0,0,761.json,3,0.8816894292831421,0.9489322166205342,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
4621,0#177,0#4620,474.json,3#3,0.8219539523124695#0.7533643841743469,0.4624160211999549#0.5823389826678589,1#1,1#1,2#2,2#2,1.89#1.89,0#0,3#1,25.0#21.0,128.57925415039062#129.48590087890625,0#0,0#0,0#2,0#1,0#20,0#19,0#1,0#1,0#1
1419,0#0#122#177,0#714#1264#1418,274.json,3#3#3#3,0.0036568569485098124#0.0036568569485098124#0.01059655286371708#0.011742087081074715,0.46405569056011714#0.46405569056011714#0.7033201136921716#0.701901633037106,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,3.77#3.77#1.89#1.89,0#0#0#0,2#2#1#1,22.0#22.0#19.0#19.0,129.47398376464844#129.47398376464844#130.34019470214844#130.34019470214844,0#0#0#0,0#0#0#0,0#0#2#2,0#0#1#1,0#0#32#4,0#0#16#4,0#0#0#1,0#0#1#1,0#0#1#1
136,0,0,260.json,3,0.17891982197761536,0.3633316769980833,0,0,0,1,1.89,0,1,31.0,127.690673828125,2,0,0,0,0,0,0,0,0
1,0,0,794.json,26,0.025605199858546257,1.1894646234389201E-5,4,3,7,5,2.95,2,12,137.0,82.40910339355469,2,2,0,0,0,0,0,0,0
3400,0#47#7#177,0#2718#2744#3399,26.json,3#3#3#3,0.2036978006362915#0.2036978006362915#0.8932245969772339#0.8932245969772339,0.7769364626284945#0.7769364626284945#0.8852429984821868#0.8852429984821868,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,1#1#1#1,21.0#21.0#17.0#17.0,130.05470275878906#130.05470275878906#131.43582153320312#131.43582153320312,1#1#1#1,0#0#0#0,0#0#2#0,0#0#1#0,0#0#14#0,0#0#14#0,0#0#0#1,0#0#1#1,0#0#1#1
4621,0#2#13#2#4#3#32#13#47#8#33,0#71#773#793#1244#3209#3931#3933#3939#3961#3965,326.json,14#15#14#13#12#13#13#13#10#7#7,0.08902859687805176#0.06780081987380981#0.08945559710264206#0.1360069066286087#0.2147061675786972#0.14347131550312042#0.11873184144496918#0.11266902834177017#0.30064934492111206#0.6529918909072876#0.4350501298904419,0.018073790053127536#0.00763753994643565#0.018502923972267802#0.04164948282402657#0.10035337514604731#0.04647729697973488#0.03017812943063642#0.03042931892927693#0.13395360829008512#0.5623282439180195#0.3710713315346117,3#3#3#3#3#3#3#3#3#2#2,3#3#3#3#3#3#3#3#4#2#2,6#6#6#6#6#6#6#6#7#4#4,3#3#3#3#3#3#3#3#3#2#2,4.12#3.99#4.82#5.0#5.2#5.0#5.0#5.0#3.49#3.96#3.96,2#2#2#2#2#2#2#2#1#1#1,4#4#4#3#3#4#4#4#5#2#2,71.0#77.0#71.0#65.0#59.0#65.0#67.0#67.0#52.0#34.0#37.0,96.84847259521484#95.23106384277344#96.84847259521484#98.59175109863281#100.53009796142578#98.6359634399414#98.43416595458984#98.43416595458984#104.35395812988281#112.90506744384766#112.32101440429688,0#0#0#0#0#0#0#0#0#0#0,2#2#2#2#2#2#2#2#0#0#0,0#1#1#1#1#1#2#2#15#3#2,0#1#0#0#0#1#1#1#6#0#1,0#64#68#46#66#54#8#5#230#117#22,0#60#60#42#62#50#8#5#210#105#22,0#0#0#0#0#0#0#0#0#0#0,0#0#0#1#0#0#0#0#0#0#0,0#0#0#1#0#0#0#0#0#0#0
4621,0,0,88.json,3,0.8991029858589172,0.9675074210215946,0,0,0,1,1.89,0,1,12.0,133.80813598632812,0,0,0,0,0,0,0,0,0
4621,0#73,0#3263,194.json,13#13,0.07855015248060226#0.09843167662620544,0.015257682803163806#0.1541334196020269,5#3,3#2,8#5,4#4,4.75#4.75,3#3,4#4,76.0#65.0,97.63893127441406#98.71331024169922,1#1,4#4,0#4,0#2,0#28,0#28,0#0,0#0,0#0
4621,0,0,469.json,3,0.8984977006912231,0.9468661946938164,0,0,0,1,1.89,0,1,13.0,133.18099975585938,0,0,0,0,0,0,0,0,0
4621,0#1#19#73#55,0#1692#2410#3263#4409,188.json,11#12#12#12#12,0.05605898052453995#0.06803018599748611#0.07008837163448334#0.06880933046340942#0.052536506205797195,3.022423265626321E-4#1.9177211225711145E-4#3.377534007842783E-4#4.4396496226629505E-4#0.0012423660164594653,3#3#3#3#3,2#2#2#2#2,5#5#5#5#5,3#3#3#3#3,2.06#4.62#4.62#4.62#2.31,1#1#1#1#1,7#7#7#7#7,87.0#87.0#85.0#84.0#84.0,99.62064361572266#98.2110595703125#98.40986633300781#98.51244354248047#98.51244354248047,1#1#1#1#1,3#3#2#2#2,0#0#4#2#10,0#0#2#1#5,0#89#17#6#111,0#0#21#6#15,0#0#0#0#0,0#0#0#0#0,0#0#0#0#1
4621,0,0,632.json,3,0.925119161605835,0.9627610586823951,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
4621,0#52,0#3948,366.json,3#3,0.898213803768158#0.6978914141654968,0.9584458146934917#0.9617744150387756,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,12.0#12.0,133.59722900390625#133.59722900390625,0#0,0#0,0#2,0#1,0#2,0#2,0#0,0#1,0#1
4621,0#21#1#19#73#55,0#146#1692#2410#3263#4409,154.json,35#33#33#33#33#33,0.00428357720375061#0.0061781867407262325#0.0061781867407262325#0.0046724057756364346#0.004330095835030079#0.006309219170361757,6.350740577713437E-8#1.324834564830231E-8#1.324834564830231E-8#8.803007637285257E-9#7.306344342412392E-9#8.20094029268112E-8,11#11#11#11#11#11,10#10#10#10#10#10,21#21#21#21#21#21,10#10#10#10#10#10,3.47#11.03#11.03#6.85#6.85#3.42,3#3#3#3#3#3,6#6#6#6#6#6,181.0#181.0#181.0#181.0#181.0#176.0,75.12677001953125#76.07998657226562#76.07998657226562#76.07998657226562#76.0523681640625#76.25401306152344,0#0#0#0#0#0,6#6#6#6#6#5,0#69#0#3#2#12,0#34#0#1#1#6,0#391#0#12#10#404,0#0#0#0#10#43,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#1
224,0,0,129.json,6,0.9296895265579224,0.9260890675554089,0,0,0,2,2.75,1,2,26.0,117.25019073486328,0,0,0,0,0,0,0,0,0
1626,0#13#32#13#7#198#177,0#279#936#938#938#1490#1625,799.json,7#7#3#3#3#3#16,0.6186964511871338#0.2760871648788452#0.42753875255584717#0.48813101649284363#0.4789162576198578#0.42753875255584717#0.05673496425151825,0.010304713745849577#0.002672275221535525#0.38324427983731885#0.35645971115710484#0.3738332793886553#0.3783045855353882#1.6431497461646514E-5,2#2#0#0#0#0#3,2#2#0#0#0#0#2,4#4#0#0#0#0#5,2#2#1#1#1#1#4,2.56#2.56#1.89#1.89#1.89#1.89#2.65,1#1#0#0#0#0#1,4#4#1#1#1#1#12,60.0#66.0#26.0#26.0#26.0#26.0#108.0,109.4044418334961#108.77079772949219#128.3351287841797#128.3351287841797#128.3351287841797#128.3351287841797#91.74114990234375,1#1#2#2#2#2#1,1#1#0#0#0#0#3,0#6#9#2#2#2#19,0#3#2#1#1#1#17,0#46#241#18#13#9#509,0#46#224#18#13#9#455,0#0#0#0#0#0#1,0#0#0#0#0#1#1,0#0#0#0#0#1#1
212,0#4,0#111,152.json,3#6,0.020790034905076027#0.1605009138584137,0.6492232685713406#0.57935270027295,0#1,0#1,0#2,1#2,1.89#2.75,0#1,2#2,24.0#35.0,129.12539672851562#115.25157928466797,1#1,0#0,0#3,0#3,0#59,0#47,0#0,0#1,0#1
224,0#55,0#12,452.json,18#11,0.04731983691453934#0.02840656228363514,9.858658311275748E-6#0.0025793939278853056,1#0,1#0,2#0,4#3,3.02#3.0,2#1,7#3,116.0#74.0,89.51210021972656#100.54009246826172,2#2,3#0,0#17,0#4,0#371,0#333,0#0,0#0,0#1
5120,0#73#2,0#499#3611,84.json,3#4#3,0.7700373530387878#0.7916973233222961#0.8707301616668701,0.809506763861422#0.8453936365494071#0.8178130747448582,0#0#0,0#0#0,0#0#0,1#1#1,1.89#3.32#1.89,0#0#0,0#0#0,17.0#19.0#17.0,131.28770446777344#125.79222106933594#131.28770446777344,0#1#1,0#0#0,0#3#3,0#2#1,0#58#38,0#46#26,0#0#0,0#0#1,0#0#1
4621,0,0,544.json,5,0.13619467616081238,0.7135897206538966,0,0,0,1,3.58,0,3,26.0,120.3299331665039,2,0,0,0,0,0,0,0,0
4621,0#20,0#1174,574.json,3#3,0.7007753849029541#0.9326223731040955,0.9232455782310978#0.9613030300342545,0#0,0#0,0#0,1#1,1.89#1.89,0#0,1#0,15.0#12.0,132.25152587890625#133.59722900390625,0#0,0#0,0#2,0#1,0#15,0#15,0#0,0#1,0#1
4621,0#2#1#1#1#5#11#94#198,0#137#235#2297#3210#3976#4007#4397#4484,614.json,22#22#24#27#30#27#30#30#30,0.005286967847496271#0.0035928799770772457#0.002646783133968711#0.0011136311804875731#4.0387120679952204E-4#0.0011136311804875731#4.0387120679952204E-4#5.047877784818411E-4#4.990481538698077E-4,1.692424586268659E-6#1.1265141489864855E-6#1.6911101947076403E-7#1.3069074322196566E-7#6.11438727691735E-8#1.3069074322196566E-7#6.11438727691735E-8#7.694923797075014E-8#7.148806707008985E-8,4#4#5#6#7#6#7#7#7,5#5#6#8#9#8#9#9#9,9#9#11#14#16#14#16#16#16,6#6#7#8#9#8#9#9#9,2.58#2.58#4.34#6.24#5.92#6.24#5.92#5.92#3.13,2#2#3#3#3#3#3#3#3,18#18#19#21#23#21#23#23#23,156.0#156.0#166.0#186.0#200.0#186.0#200.0#200.0#200.0,84.39894104003906#84.39894104003906#82.40714263916016#79.6775131225586#77.33494567871094#79.6775131225586#77.33494567871094#77.3633041381836#77.3633041381836,2#2#2#2#2#2#2#2#2,4#4#4#4#4#4#4#4#4,0#5#12#7#5#5#5#4#4,0#2#7#7#5#0#5#2#2,0#17#249#494#150#150#150#20#57,0#0#69#83#72#72#72#20#16,0#0#1#0#0#0#0#0#0,0#0#1#1#1#0#1#1#1,0#0#1#1#1#0#1#1#1
