Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
2626,0#28#16#12#11#4#20,0#44#56#63#147#278#1265,104.json,12#9#10#9#9#7#7,0.3557078540325165#0.7155439257621765#0.5329478979110718#0.6545403003692627#0.7311661839485168#0.7702386975288391#0.7702386975288391,0.1417696431488053#0.5751909951724555#0.4149008359299412#0.6020449007278018#0.5241501310657066#0.7285684679288754#0.7285684679288754,4#1#1#1#1#1#1,3#1#1#1#1#1#1,7#2#2#2#2#2#2,3#2#2#2#2#2#2,1.6#1.26#1.21#1.26#1.26#1.51#1.51,2#1#1#1#1#1#1,4#2#2#1#0#0#0,57.0#39.0#45.0#39.0#40.0#28.0#28.0,100.6156005859375#108.19918823242188#105.66936492919922#108.28319549560547#108.06753540039062#114.16735076904297#114.16735076904297,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#15#1#1#2#3#0,0#5#1#0#1#0#0,0#397#48#36#54#185#0,0#272#48#36#54#105#0,0#0#0#0#0#0#0,0#0#1#0#0#1#0,0#1#1#0#0#1#1
2716,0#0,0#34,9640.json,3#3,0.12084544450044632#0.12084544450044632,0.3344702845436008#0.3344702845436008,0#0,0#0,0#0,1#1,0.94#0.94,0#0,1#1,24.0#24.0,128.83535766601562#128.83535766601562,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#1
1483,0,0,2260.json,3,0.588144063949585,0.8313150238633649,0,0,0,1,0.94,0,1,17.0,131.1535186767578,0,0,0,0,0,0,0,0,0
3123,0#6#190#0#0#6#1#6#172#15#186,0#161#184#441#1480#1500#1514#1514#1525#1573#1664,7760.json,4#11#11#11#11#11#12#12#11#13#13,0.043438415974378586#0.18029452860355377#0.18029452860355377#0.18029452860355377#0.18029452860355377#0.19772307574748993#0.052500076591968536#0.054846275597810745#0.08736858516931534#0.03710930049419403#0.04887315630912781,0.43301131459510345#0.041325943001912946#0.041325943001912946#0.041325943001912946#0.041325943001912946#0.0403034817212745#0.0019050135361805848#0.0019230192138377227#0.0019179894745271224#0.001901355207540644#0.003019391879197682,0#2#2#2#2#2#2#2#2#2#2,0#2#2#2#2#2#2#2#2#2#2,0#4#4#4#4#4#4#4#4#4#4,1#3#3#3#3#3#3#3#3#3#3,1.66#1.76#1.76#1.76#1.76#1.76#1.7#1.7#1.72#1.67#1.67,0#2#2#2#2#2#2#2#2#2#2,1#1#1#1#1#1#2#2#2#2#2,28.0#57.0#57.0#57.0#57.0#57.0#74.0#74.0#72.0#76.0#74.0,123.28931427001953#102.16889953613281#102.16889953613281#102.16889953613281#102.16889953613281#102.16889953613281#99.17155456542969#99.17155456542969#100.76618194580078#97.69514465332031#97.87486267089844,3#3#3#3#3#3#3#3#3#4#4,0#1#1#1#1#1#2#2#2#2#2,0#9#0#0#0#2#3#2#3#4#2,0#8#0#0#0#1#2#1#1#3#1,0#204#0#0#0#15#117#6#28#49#5,0#214#0#0#0#15#103#6#22#36#5,0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0,0#0#0#1#0#0#0#0#0#0#0
3143,0#190#0#0,0#204#461#1500,4953.json,5#5#5#5,0.6616898775100708#0.6616898775100708#0.6616898775100708#0.6616898775100708,0.22972792788173765#0.22972792788173765#0.22972792788173765#0.22972792788173765,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,2.71#2.71#2.71#2.71,0#0#0#0,0#0#0#0,39.0#39.0#39.0#39.0,118.22151184082031#118.22151184082031#118.22151184082031#118.22151184082031,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#1#0
2962,0#12#190#0#28#5,0#0#23#413#769#2122,13448.json,6#6#6#6#9#9,0.5966454148292542#0.510095477104187#0.510095477104187#0.510095477104187#0.5106221437454224#0.4241945743560791,0.778646639484096#0.7595632691470252#0.7595632691470252#0.7595632691470252#0.651643598704827#0.5143558938482389,0#0#0#0#1#1,1#1#1#1#2#2,1#1#1#1#3#3,2#2#2#2#3#3,1.37#1.37#1.37#1.37#1.89#1.89,1#1#1#1#2#2,2#2#2#2#3#3,26.0#26.0#26.0#26.0#37.0#39.0,117.25019073486328#117.25019073486328#117.25019073486328#117.25019073486328#108.32694244384766#107.96918487548828,0#0#0#0#0#0,0#0#0#0#0#0,0#2#0#0#3#2,0#1#0#0#3#1,0#15#0#0#71#11,0#15#0#0#79#11,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0
3284,0#190#0#0,0#345#602#1640,7289.json,4#4#4#4,0.9208508729934692#0.9208508729934692#0.9208508729934692#0.9208508729934692,0.8108472328251706#0.8108472328251706#0.8108472328251706#0.8108472328251706,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.0#1.0#1.0#1.0,0#0#0#0,0#0#0#0,17.0#17.0#17.0#17.0,126.62725830078125#126.62725830078125#126.62725830078125#126.62725830078125,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#1#0
1462,0,0,9801.json,54,0.0,1.2100800428430164E-8,1,24,25,26,1.51,2,0,215.0,63.09702682495117,1,0,0,0,0,0,0,0,0
2962,0#14#190#109#0#8#1#2#0,0#0#23#30#280#1372#1926#1931#1951,6599.json,3#3#3#3#3#3#3#8#8,0.34744003415107727#0.27879658341407776#0.2640606164932251#0.2640606164932251#0.2640606164932251#0.48566949367523193#0.48566949367523193#0.0983482375741005#0.0983482375741005,0.8785762628683856#0.8756463260552771#0.8428117539003711#0.8428117539003711#0.8428117539003711#0.812275246921903#0.812275246921903#0.784958302756238#0.784958302756238,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1,0.94#0.94#0.94#0.94#0.94#0.94#0.94#1.98#1.98,0#0#0#0#0#0#0#1#1,0#0#0#0#0#0#0#1#1,16.0#16.0#17.0#17.0#17.0#18.0#18.0#31.0#31.0,131.91592407226562#131.91592407226562#131.28770446777344#131.28770446777344#131.28770446777344#130.85629272460938#130.85629272460938#111.61506652832031#111.61506652832031,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0,0#4#4#0#0#2#0#7#0,0#2#2#0#0#1#0#6#0,0#12#26#0#0#21#0#108#0,0#12#26#0#0#21#0#119#0,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0,0#0#0#0#1#1#0#0#0
1360,0,0,3678.json,7,0.02053029090166092,0.08533329321715068,0,0,0,1,2.59,0,5,47.0,111.37712860107422,0,1,0,0,0,0,0,0,0
1049,0,0,5747.json,4,0.08248721063137054,0.8377588510825003,0,0,0,1,1.0,0,0,20.0,125.64796447753906,1,0,0,0,0,0,0,0,0
1185,0#0,0#3,2810.json,5#5,0.5325138568878174#0.5325138568878174,0.6427442812528419#0.6427442812528419,0#0,0#0,0#0,1#1,0.98#0.98,0#0,0#0,26.0#26.0,120.3299331665039#120.3299331665039,2#2,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1483,0#11#5,0#10#280,2294.json,10#15#14,0.16282382607460022#0.008412436582148075#0.03487702086567879,0.06785936555090444#0.0016896855939109#0.008830070603170582,2#2#2,2#2#2,4#4#4,3#3#3,1.26#4.25#4.3,1#1#1,3#3#3,55.0#85.0#73.0,104.06228637695312#94.92276000976562#96.8778076171875,0#0#0,1#1#1,0#15#11,0#10#5,0#354#59,0#267#48,0#0#0,0#0#0,0#0#0
553,0#8#9#14,0#14#48#61,1843.json,13#13#13#16,0.1442224383354187#0.13138467073440552#0.13138467073440552#0.06460587680339813,0.005194500335303509#0.005174777078263223#0.005174777078263223#0.004066572089747141,2#2#2#3,3#3#3#4,5#5#5#7,3#3#3#4,1.11#1.11#1.11#1.11,1#1#1#1,3#3#3#2,76.0#76.0#76.0#83.0,97.86892700195312#97.86892700195312#97.86892700195312#93.72683715820312,1#1#1#1,3#3#3#3,0#2#0#5,0#1#0#4,0#7#0#86,0#7#0#88,0#0#0#0,0#0#0#0,0#0#0#0
1483,0,0,2249.json,3,0.7285026907920837,0.9182421090984516,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
1230,0#0,0#226,3173.json,13#13,0.05468050390481949#0.05468050390481949,0.002362911049941567#0.002362911049941567,2#2,3#3,5#5,3#3,1.11#1.11,1#1,5#5,79.0#79.0,97.66761779785156#97.66761779785156,2#2,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0
3692,0#8#7#190#0#186#0,0#184#752#753#1010#2233#2649,5277.json,3#6#6#6#6#6#6,0.7674104571342468#0.3389265537261963#0.3519648015499115#0.3519648015499115#0.3519648015499115#0.46988412737846375#0.46988412737846375,0.8098034296784322#0.548426883891378#0.5353306011638339#0.5353306011638339#0.5353306011638339#0.6408862370837005#0.6408862370837005,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,0.94#1.63#1.63#1.63#1.63#1.63#1.63,0#1#1#1#1#1#1,1#2#2#2#2#2#2,18.0#32.0#32.0#32.0#32.0#30.0#30.0,130.99049377441406#116.11042022705078#116.11042022705078#116.11042022705078#116.11042022705078#116.53582763671875#116.53582763671875,1#1#1#1#1#1#1,0#0#0#0#0#0#0,0#7#2#0#0#2#0,0#5#1#0#0#1#0,0#102#2#0#0#5#0,0#105#2#0#0#5#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#1#0#0
2648,0#4#35#0,0#252#379#1004,4587.json,15#13#13#13,0.14887431263923645#0.1504022181034088#0.15518634021282196#0.15518634021282196,0.01399064497280906#0.03490326554184506#0.02590413448626288#0.02590413448626288,12#3#3#3,7#3#3#3,19#6#6#6,4#3#3#3,1.74#2.02#2.02#2.02,1#1#1#1,3#3#3#3,76.0#66.0#67.0#67.0,95.32069396972656#98.650390625#98.52434539794922#98.52434539794922,1#1#1#1,1#1#1#1,0#10#2#0,0#4#1#0,0#70#10#0,0#64#10#0,0#1#0#0,0#1#0#0,0#1#0#0
1774,0,0,474.json,3,0.8363166451454163,0.7264918951029685,0,0,0,1,0.94,0,0,14.0,132.4454345703125,0,0,0,0,0,0,0,0,0
611,0,0,5352.json,5,0.3867604434490204,0.539702314633911,0,0,0,1,0.98,0,1,29.0,119.57592010498047,1,0,0,0,0,0,0,0,0
1112,0,0,5916.json,4,0.3304535448551178,0.8517909539237464,0,0,0,1,1.0,0,0,20.0,125.64796447753906,1,0,0,0,0,0,0,0,0
415,0,0,6394.json,9,0.8093332052230835,0.4314885888893624,1,2,3,3,1.33,1,0,44.0,107.11871337890625,1,0,0,0,0,0,0,0,0
1883,0,0,8517.json,3,0.8929514288902283,0.7576836855466935,0,0,0,1,0.94,0,1,13.0,132.9956512451172,0,0,0,0,0,0,0,0,0
