Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
1071,0#42#3255,0#548#920,5267.json,3#3#3,0.25417593121528625#0.25442254543304443#0.10054446011781693,0.5473399647016443#0.5778612467096307#0.4834711244279544,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,3#3#3,23.0#23.0#25.0,129.34671020507812#129.4591827392578#128.91311645507812,0#0#0,0#0#0,0#2#2,0#1#1,0#4#5,0#4#5,0#0#0,0#0#0,0#0#0
4866,0#112#688,0#2373#2615,17863.json,7#7#7,0.5956307649612427#0.5050206184387207#0.5739102363586426,0.5008024554613805#0.39489045797147526#0.2883032621656485,1#1#1,1#1#1,2#2#2,2#2#2,2.56#2.56#2.56,1#1#1,2#2#2,38.0#40.0#42.0,112.25244903564453#111.91561889648438#111.59553527832031,2#2#2,0#0#0,0#2#2,0#1#1,0#20#18,0#20#18,0#0#0,0#0#0,0#0#0
3932,0,0,2780.json,4,0.3104591369628906,0.8860979657100586,0,0,0,1,1.73,0,1,18.0,126.33003997802734,0,0,0,0,0,0,0,0,0
1964,0#115#10#388#3255#3304,0#598#654#698#1814#1935,4057.json,4#12#12#12#12#12,0.8780106902122498#1.3384773046709597E-4#1.4500824909191579E-4#1.6467811656184494E-4#1.1843467655126005E-4#1.5222295769490302E-4,0.8190138134372958#1.1308607616067136E-7#3.9112412894831214E-8#4.0160069749744625E-8#2.8361811549540364E-8#2.778460961471913E-8,0#2#2#2#2#2,0#2#3#3#3#3,0#4#5#5#5#5,1#3#4#4#4#4,1.96#3.2#3.2#3.2#3.2#3.2,0#2#3#3#3#3,3#11#11#11#11#11,26.0#136.0#141.0#141.0#143.0#143.0,124.2836685180664#95.71420288085938#95.2647705078125#95.2647705078125#95.1915283203125#95.1915283203125,1#1#1#1#1#1,0#2#2#2#2#2,0#12#2#8#10#14,0#11#1#4#5#7,0#659#20#42#52#57,0#493#20#42#52#34,0#1#0#0#0#0,0#1#1#0#0#0,0#1#1#0#0#0
1453,0,0,7077.json,3,0.8225943446159363,0.9446566515234275,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,0,0,0,0
823,0,0,6918.json,3,0.284053236246109,0.7324236984389618,0,0,0,1,1.89,0,2,20.0,130.30841064453125,0,0,0,0,0,0,0,0,0
4903,0#13,0#43,3764.json,3#3,0.22320230305194855#0.2403133064508438,0.6028157246428983#0.576963366298447,0#0,0#0,0#0,1#1,1.89#1.89,0#0,2#2,23.0#23.0,129.34671020507812#129.34671020507812,1#1,0#0,0#2,0#1,0#3,0#3,0#0,0#1,0#0
1401,0,0,22.json,3,0.20178668200969696,0.781995600047665,0,0,0,1,1.89,0,1,19.0,130.70933532714844,1,0,0,0,0,0,0,0,0
4983,0,0,14849.json,3,0.650475263595581,0.9465118974271586,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
4523,0,0,9785.json,14,0.13420931994915009,0.031603976612287976,1,2,3,3,4.2,1,2,78.0,96.58116149902344,1,1,0,0,0,0,0,0,0
3097,0,0,6321.json,3,0.4717876613140106,0.9126661408265796,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,0,0,0,0
4852,0#186#2#1#115#341#115#3255#3304,0#2641#2694#2695#3334#3422#3486#4702#4823,3998.json,19#19#19#21#21#19#19#19#19,0.02359946258366108#0.02229994349181652#0.01733384281396866#0.017134753987193108#0.010993347503244877#0.037270355969667435#0.09219033271074295#0.06407254189252853#0.06947708874940872,4.987094075766893E-5#2.3994888428872815E-5#8.181434931900279E-6#1.2707121145308144E-5#6.978122284888872E-6#2.553133632274027E-5#6.98862335649439E-4#2.925932868967916E-4#4.4405300353093566E-4,4#4#5#5#5#4#5#5#5,3#3#4#4#4#3#4#4#4,7#7#9#9#9#7#9#9#9,6#6#6#7#7#5#5#5#5,6.0#6.0#6.0#6.72#6.72#5.44#5.44#5.44#5.44,4#4#4#5#5#4#4#4#4,4#5#6#6#6#8#8#8#8,126.0#129.0#133.0#137.0#141.0#129.0#112.0#116.0#113.0,87.97692108154297#87.82286834716797#87.60335540771484#85.62785339355469#85.50899505615234#88.08455657958984#88.88565826416016#88.66954803466797#88.7731704711914,1#1#1#1#1#1#1#1#1,5#5#5#5#5#4#4#4#4,0#2#2#6#4#26#6#4#2,0#1#1#4#2#12#3#2#1,0#14#26#60#20#168#73#10#6,0#14#26#52#20#161#73#10#6,0#0#0#0#0#0#1#0#0,0#0#0#0#0#0#1#0#0,0#0#0#0#0#0#1#0#0
688,0#3304,0#659,4645.json,4#4,0.08783859759569168#0.09235074371099472,0.4105671262955575#0.3938400696554051,0#0,0#0,0#0,1#1,2.0#2.0,0#0,3#3,29.0#29.0,123.37702178955078#123.37702178955078,1#1,0#0,0#2,0#1,0#5,0#5,0#0,0#0,0#0
3326,0,0,7157.json,3,0.37978729605674744,0.5059352592363794,1,1,2,2,1.89,0,1,25.0,128.48287963867188,0,0,0,0,0,0,0,0,0
1562,0,0,4623.json,3,0.007504785433411598,0.39742030427445296,0,0,0,1,1.89,0,1,29.0,127.8512954711914,1,0,0,0,0,0,0,0,0
4411,0#688,0#2160,11959.json,3#3,0.7262948155403137#0.7306039333343506,0.8826601371998282#0.8353119230002152,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,17.0#18.0,131.28770446777344#130.85629272460938,1#1,0#0,0#2,0#1,0#9,0#9,0#0,0#0,0#0
5218,0#3304,0#5189,12758.json,3#3,0.9100990891456604#0.7578907608985901,0.9662749970793574#0.9390139962189008,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,12.0#14.0,133.59722900390625#132.4454345703125,0#0,0#0,0#2,0#1,0#5,0#5,0#0,0#0,0#0
5207,0,0,14634.json,8,0.3335675001144409,0.012225036061623371,1,1,2,2,3.71,1,3,64.0,106.85778045654297,1,1,0,0,0,0,0,0,0
1045,0#0#46#9,0#341#447#570,6884.json,6#6#4#3,0.30681759119033813#0.30681759119033813#0.19138862192630768#0.006338902283459902,0.24827576718543137#0.24827576718543137#0.11702228716372501#0.28040149772120865,1#1#0#0,1#1#0#0,2#2#0#0,2#2#1#1,2.75#2.75#2.0#1.89,1#1#0#0,1#1#2#1,43.0#43.0#41.0#31.0,114.03678894042969#114.03678894042969#121.08299255371094#127.50450134277344,1#1#1#1,0#0#0#0,0#0#4#4,0#0#1#1,0#0#47#74,0#0#42#69,0#0#0#0,0#0#0#0,0#0#0#0
325,0,0,1565.json,5,0.0024440404959023,0.06398826318037419,0,0,0,1,2.99,0,4,43.0,116.91962432861328,1,0,0,0,0,0,0,0,0
3358,0,0,7616.json,3,0.9303697943687439,0.97305646435171,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
378,0,0,9012.json,3,0.3527645766735077,0.47030976989264867,0,0,0,1,1.89,0,2,24.0,129.12539672851562,1,0,0,0,0,0,0,0,0
962,0,0,14865.json,3,0.40232959389686584,0.9582813783750918,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
330,0#3304,0#301,18265.json,13#13,0.0#0.0,1.7093902419846534E-8#1.7179553393999158E-8,0#0,0#0,0#0,2#2,5.63#5.63,4#4,13#13,140.0#140.0,94.16716003417969#94.16716003417969,2#2,3#3,0#4,0#2,0#28,0#4,0#0,0#0,0#0
299,0,0,1402.json,3,0.5407170653343201,0.6553603132055197,0,0,0,1,1.89,0,2,22.0,129.57785034179688,1,0,0,0,0,0,0,0,0
538,0,0,13716.json,7,0.7914048433303833,0.7990794198110007,0,0,0,2,3.02,1,1,32.0,113.3831787109375,0,0,0,0,0,0,0,0,0
4113,0#42#41,0#64#3432,5204.json,3#3#3,0.797674298286438#0.797674298286438#0.797674298286438,0.9304460246651196#0.9304460246651196#0.9304460246651196,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,14.0#14.0#14.0,132.4454345703125#132.4454345703125#132.4454345703125,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
5139,0#29#688#45,0#98#2888#2928,10456.json,7#3#3#3,0.37996289134025574#0.37457284331321716#0.40787240862846375#0.7691202163696289,0.4238785996240915#0.8694897928480966#0.8175775920389978#0.7540533259237425,1#0#0#0,1#0#0#0,2#0#0#0,2#1#1#1,2.56#1.89#1.89#1.89,1#0#0#0,3#1#1#1,40.0#18.0#19.0#21.0,112.05997467041016#130.99049377441406#130.57513427734375#129.93223571777344,1#1#1#1,0#0#0#0,0#6#2#2,0#1#1#1,0#132#9#25,0#116#9#25,0#0#0#0,0#1#0#0,0#1#0#0
2722,0,0,8775.json,3,0.47110921144485474,0.9051527347949689,0,0,0,1,1.89,0,1,16.0,131.91592407226562,0,0,0,0,0,0,0,0,0
2490,0,0,7601.json,3,0.7851808071136475,0.7437827526334386,0,0,0,1,1.89,0,2,20.0,130.30841064453125,1,0,0,0,0,0,0,0,0
2970,0,0,891.json,6,0.7370602488517761,0.611499747032309,1,1,2,2,2.75,1,1,31.0,115.96150970458984,1,0,0,0,0,0,0,0,0
1040,0,0,2027.json,3,0.32012948393821716,0.832011594832462,0,0,0,1,1.89,0,1,19.0,130.57513427734375,1,0,0,0,0,0,0,0,0
3358,0,0,7885.json,7,0.009436886757612228,0.4762392910032113,0,0,0,1,4.64,0,8,50.0,110.73896789550781,1,0,0,0,0,0,0,0,0
4866,0,0,13574.json,3,0.526477575302124,0.9269559773857934,0,0,0,1,1.89,0,1,16.0,131.75106811523438,0,0,0,0,0,0,0,0,0
4981,0#3304,0#4952,12839.json,3#3,0.9013224840164185#0.749505877494812,0.9635866234854599#0.932712606924521,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,12.0#14.0,133.59722900390625#132.4454345703125,0#0,0#0,0#2,0#1,0#5,0#5,0#0,0#0,0#0
