Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
845,0#125#1943,0#1#520,104.json,3#3#3,0.8041056394577026#0.732109010219574#0.732109010219574,0.5304139445860934#0.6312513807956837#0.6312513807956837,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,1#1#1,22.0#22.0#22.0,129.57785034179688#129.57785034179688#129.57785034179688,1#1#1,0#0#0,0#4#0,0#2#0,0#36#0,0#36#0,0#0#0,0#0#1,0#0#1
799,0#10#1943,0#10#474,761.json,3#3#3,0.0#0.0012379164109006524#0.0012379164109006524,0.08791347460611987#0.168482309229505#0.168482309229505,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,2#2#2,36.0#31.0#31.0,126.41971588134766#127.19728088378906#127.19728088378906,1#1#1,0#0#0,0#4#0,0#2#0,0#53#0,0#53#0,0#0#0,0#0#1,0#0#1
1749,0#1559#79#37#1943#899,0#179#331#390#1424#1554,7760.json,3#3#3#3#3#3,0.38681846857070923#0.39461222290992737#0.5891274213790894#0.6067207455635071#0.6067207455635071#0.49549242854118347,0.6377144022025089#0.682597540102088#0.6687634678234179#0.586791026981784#0.586791026981784#0.6739757765840269,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,1#1#1#1#1#1,1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0,1#1#1#0#0#0,20.0#20.0#20.0#23.0#23.0#20.0,129.9696044921875#129.9696044921875#129.9696044921875#129.34671020507812#129.34671020507812#129.9696044921875,0#0#0#0#0#0,0#0#0#0#0#0,0#4#4#2#0#2,0#2#2#1#0#1,0#18#27#9#0#1,0#18#27#9#0#1,0#0#0#0#0#0,0#0#0#0#1#0,0#0#0#0#1#0
1405,0#140#1804#1943,0#1#704#1080,4953.json,18#14#14#14,0.5686850547790527#0.5138634443283081#0.48751315474510193#0.48751315474510193,0.8432326307390886#0.8181447948338707#0.8121070749068925#0.8121070749068925,1#2#2#2,2#3#3#3,3#5#5#5,5#4#4#4,3.9#5.99#5.99#5.99,2#4#4#4,5#4#4#4,67.0#55.0#55.0#55.0,93.17674255371094#98.64077758789062#98.64077758789062#98.64077758789062,0#0#0#0,0#1#1#1,0#26#2#0,0#11#1#0,0#275#8#0,0#217#8#0,0#0#0#0,0#0#0#1,0#0#0#1
1776,0#8#365#1943#899,0#348#364#1451#1581,7289.json,3#3#3#3#3,0.29950132966041565#0.1295722872018814#0.05775712430477142#0.36173245310783386#0.30667394399642944,0.616691024885789#0.44376417114986133#0.20526912209672096#0.3452106433397456#0.43883251346189456,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,1.89#1.89#1.89#1.89#1.89,0#0#0#0#0,0#0#1#1#1,25.0#27.0#31.0#27.0#24.0,129.1480712890625#128.51292419433594#127.59430694580078#128.22288513183594#128.7513427734375,0#0#0#0#0,0#0#0#0#0,0#2#2#4#2,0#1#1#2#1,0#23#26#46#1,0#22#26#46#1,0#0#0#0#0,0#0#1#1#0,0#0#1#1#0
1777,0#1943,0#1452,6599.json,3#3,0.9305591583251953#0.9305591583251953,0.8279327910308861#0.8279327910308861,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,19.0#19.0,130.57513427734375#130.57513427734375,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#1,0#1
1417,0#1943#1007,0#1092#1225,3678.json,10#10#10,0.20784872770309448#0.20784872770309448#0.2039353847503662,0.037372976095978866#0.03448750585094869#0.05109105902052507,0#0#0,0#0#0,0#0#0,2#2#2,2.8#2.8#2.8,1#1#1,4#4#4,63.0#63.0#60.0,103.37259674072266#103.37259674072266#103.57845306396484,1#1#1,1#1#1,0#0#2,0#0#1,0#8#1,0#0#1,0#0#0,0#1#1,0#1#1
1202,0#1943,0#877,5747.json,10#10,0.7338727712631226#0.7338727712631226,0.26015157238508807#0.26015157238508807,2#2,4#4,6#6,4#4,5.08#5.08,3#3,4#4,52.0#52.0,104.12395477294922#104.12395477294922,0#0,1#1,0#0,0#0,0#0,0#0,0#0,0#1,0#1
1231,0#1943,0#906,2810.json,3#3,0.9050666093826294#0.9116541743278503,0.9398424854726685#0.916802782443761,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,16.0#17.0,131.75106811523438#131.28770446777344,1#1,0#0,0#2,0#1,0#6,0#6,0#0,0#1,0#1
1418,0#25#1943,0#334#1093,1843.json,3#3#3,0.6517750024795532#0.6335793137550354#0.5410659313201904,0.9345211554028237#0.9492860785853585#0.9397107713586604,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,1#1#1,15.0#14.0#15.0,132.086669921875#132.61029052734375#132.25152587890625,0#0#0,0#0#0,0#2#2,0#1#1,0#7#14,0#7#14,0#0#0,0#0#1,0#0#1
