Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
2198,0#58,0#318,22.json,3#3,0.7210747003555298#0.6490822434425354,0.9431127819909385#0.9278135727737419,0#0,0#0,0#0,1#1,0.94#0.94,0#0,0#1,12.0#15.0,133.59722900390625#132.25152587890625,0#0,0#0,0#4,0#2,0#25,0#25,0#0,0#0,0#0
722,0#34,0#21,1565.json,3#3,0.7206036448478699#0.6664746999740601,0.9053849375513988#0.9106670321304869,0#0,0#0,0#0,1#1,0.94#0.94,0#0,0#0,12.0#12.0,133.59722900390625#133.59722900390625,0#0,0#0,0#4,0#2,0#6,0#6,0#0,0#0,0#0
2114,0,0,1402.json,3,0.9224128127098083,0.9551288455426722,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
7,0,0,891.json,3,0.5091016292572021,0.4091592585592271,0,0,0,1,0.94,0,3,26.0,128.50894165039062,0,0,0,0,0,0,0,0,0
636,0#10,0#6,1168.json,7#7,0.030629627406597137#0.18464741110801697,0.008197388039943689#0.03948295383578703,1#1,1#1,2#2,2#2,1.28#1.28,1#1,4#2,61.0#51.0,109.27063751220703#110.24954223632812,3#2,1#1,0#4,0#2,0#108,0#108,0#0,0#0,0#0
1932,0,0,1041.json,3,0.9381090402603149,0.9445223551057688,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
2393,0#0,0#195,1932.json,15#15,0.027140839025378227#0.027140839025378227,5.979589393995837E-5#5.979589393995837E-5,0#0,0#0,0#0,1#1,4.65#4.65,0#0,14#14,109.0#109.0,93.84684753417969#93.84684753417969,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
387,0#8,0#10,1446.json,5#6,0.018637990579009056#0.02079407311975956,0.010745574822886607#0.006407441138439349,0#0,0#0,0#0,1#1,2.71#2.75,0#0,6#7,50.0#55.0,115.93954467773438#112.44611358642578,2#2,0#0,0#5,0#3,0#63,0#54,0#0,0#0,0#0
1880,0,0,92.json,3,0.3999671936035156,0.7263321440931422,0,0,0,1,0.94,0,2,20.0,130.30841064453125,0,0,0,0,0,0,0,0,0
265,0#11#9,0#13#15,366.json,1#1#1,7.205490837804973E-4#0.0015975242713466287#0.0015399310505017638,0.7035497983091914#0.6997261712046557#0.6886872282949184,0#0#0,0#0#0,0#0#0,1#1#1,0.0#0.0#0.0,0#0#0,0#0#0,17.0#17.0#17.0,149.08523559570312#149.08523559570312#149.08523559570312,3#3#3,0#0#0,0#2#2,0#1#1,0#17#2,0#17#0,0#0#0,0#0#0,0#0#0
2393,0#0#10,0#195#921,1934.json,5#5#5,0.0059825703501701355#0.0059825703501701355#0.0021747814025729895,0.004539305630068937#0.004539305630068937#0.0014853367269762037,0#0#0,0#0#0,0#0#0,1#1#1,0.98#0.98#0.98,0#0#0,9#9#11,59.0#59.0#65.0,115.44609832763672#115.44609832763672#114.8825912475586,0#0#0,1#1#1,0#0#4,0#0#2,0#0#40,0#0#40,0#0#0,0#0#0,0#0#0
4166,0#0,0#1968,748.json,4#4,0.2284630984067917#0.2284630984067917,0.20959238851317172#0.20959238851317172,0#0,0#0,0#0,1#1,1.66#1.66,0#0,0#0,35.0#35.0,121.97586059570312#121.97586059570312,2#2,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1365,0#18#17,0#925#1099,202.json,3#3#3,0.46847787499427795#0.7884023785591125#0.7884023785591125,0.8089872438165783#0.9405022679629368#0.9405022679629368,0#0#0,0#0#0,0#0#0,1#1#1,0.94#0.94#0.94,0#0#0,2#0#0,18.0#12.0#12.0,130.99049377441406#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#2#0,0#1#0,0#25#0,0#25#0,0#0#0,0#0#0,0#0#0
657,0#52#13,0#105#246,191.json,8#8#7,0.8373043537139893#0.8292949199676514#0.7033687829971313,0.0250360000733122#0.025072589399604904#0.436373043192034,2#2#1,2#2#1,4#4#2,2#2#2,1.2#1.2#1.28,1#1#1,3#3#2,55.0#55.0#37.0,107.69369506835938#107.69369506835938#112.32101440429688,0#0#0,2#2#1,0#2#7,0#1#3,0#4#164,0#4#168,0#0#0,0#0#0,0#0#0
198,0#5,0#10,567.json,17#17,0.10484826564788818#0.03715825453400612,0.022485651652293732#0.004450384027934937,0#0,0#0,0#0,1#1,2.0#2.0,1#1,2#2,79.0#86.0,93.53008270263672#92.9811019897461,0#0,0#0,0#2,0#1,0#31,0#31,0#0,0#0,0#0
