Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
599,0,0,15948.json,3,0.6032403707504272,0.8263104279724006,0,0,0,1,1.89,0,2,17.0,131.28770446777344,0,0,0,0,0,0,0,0,0
1358,0,0,5267.json,3,0.4321228861808777,0.9459196439664993,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
928,0#0#0,0#1#1,9555.json,4#4#4,0.65577632188797#0.65577632188797#0.65577632188797,0.8662685277641599#0.8662685277641599#0.8662685277641599,0#0#0,0#0#0,0#0#0,1#1#1,1.0#1.0#1.0,0#0#0,1#1#1,17.0#17.0#17.0,126.62725830078125#126.62725830078125#126.62725830078125,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
599,0,0,17863.json,15,0.19724233448505402,0.0019226331653445837,0,0,0,1,2.99,1,9,89.0,95.01581573486328,0,2,0,0,0,0,0,0,0
928,0#0#0,0#1#1,10329.json,3#3#3,0.23000288009643555#0.23000288009643555#0.23000288009643555,0.204317582959733#0.204317582959733#0.204317582959733,0#0#0,0#0#0,0#0#0,1#1#1,0.94#0.94#0.94,0#0#0,3#3#3,30.0#30.0#30.0,127.51214599609375#127.51214599609375#127.51214599609375,2#2#2,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
928,0#0#0,0#1#1,8038.json,35#35#35,0.0#0.0#0.0,7.93188021541787E-14#7.93188021541787E-14#7.93188021541787E-14,12#12#12,8#8#8,20#20#20,6#6#6,1.91#1.91#1.91,4#4#4,15#15#15,233.0#233.0#233.0,74.32247924804688#74.32247924804688#74.32247924804688,3#3#3,8#8#8,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
1472,0#19#71#15#125#34#12#1#7#89#6#216#29,0#94#99#341#734#736#736#788#790#822#823#1439#1446,2780.json,8#8#8#8#8#9#9#10#13#13#13#13#13,0.338079035282135#0.3511020243167877#0.35902246832847595#0.3455396890640259#0.34167855978012085#0.06869819760322571#0.07531082630157471#0.005511371418833733#0.14008456468582153#0.1332544982433319#0.13336044549942017#0.12422019988298416#0.14807851612567902,0.294754193384906#0.29362210490637325#0.29234618578847804#0.28629851337384166#0.2850281570260858#0.004044156240499556#0.003947291126536522#7.844806327396043E-5#0.019373502046206362#0.019258983623181132#0.019080999964980704#0.011801435410659814#0.029085944447831823,1#1#1#1#1#2#2#2#3#3#3#3#3,1#1#1#1#1#2#2#3#3#3#3#3#3,2#2#2#2#2#4#4#5#6#6#6#6#6,2#2#2#2#2#3#3#4#3#3#3#3#3,3.14#3.14#3.14#3.14#3.14#2.99#2.99#2.86#2.87#2.87#2.87#2.87#2.87,1#1#1#1#1#1#1#1#1#1#1#1#1,9#9#9#9#9#12#12#15#14#14#14#16#15,47.0#47.0#47.0#47.0#47.0#71.0#71.0#95.0#74.0#74.0#74.0#77.0#73.0,108.98391723632812#108.98391723632812#108.98391723632812#108.98391723632812#108.98391723632812#104.04720306396484#104.04720306396484#100.55509948730469#98.00760650634766#98.00760650634766#98.00760650634766#97.80095672607422#98.17610168457031,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0,0#2#2#2#6#2#2#1#9#2#2#2#2,0#1#1#1#3#2#1#1#6#1#1#1#1,0#4#7#7#24#152#7#150#198#7#4#10#24,0#4#7#7#24#147#7#146#191#7#4#10#24,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#1#0#1#0#0,0#0#0#0#0#0#0#0#1#0#1#0#0
687,0#22#4#33#30,0#4#9#93#562,4057.json,11#15#15#15#16,0.00690442742779851#0.014832098968327045#0.014832098968327045#0.015150151215493679#0.015244702808558941,1.6559876128885555E-5#3.39067207910603E-6#3.7301720761470926E-6#3.6321908205633877E-6#1.268275915162817E-6,0#1#1#1#1,0#1#1#1#1,0#2#2#2#2,1#3#3#3#3,4.63#8.09#8.09#8.09#8.0,0#3#3#3#3,10#8#8#8#9,102.0#113.0#113.0#113.0#119.0,98.95819091796875#92.62134552001953#92.64273834228516#92.64273834228516#91.28585052490234,2#3#3#3#2,2#3#3#3#4,0#19#2#2#7,0#11#1#1#4,0#281#1#5#100,0#238#1#5#96,0#0#0#0#0,0#0#1#0#0,0#0#1#0#0
928,0#0#0,0#1#1,7077.json,3#3#3,0.9022269248962402#0.9022269248962402#0.9022269248962402,0.7909026572528081#0.7909026572528081#0.7909026572528081,0#0#0,0#0#0,0#0#0,1#1#1,0.94#0.94#0.94,0#0#0,0#0#0,15.0#15.0#15.0,131.9385528564453#131.9385528564453#131.9385528564453,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
928,0#0#0,0#1#1,6918.json,3#3#3,0.20756135880947113#0.20756135880947113#0.20756135880947113,0.8928665348307638#0.8928665348307638#0.8928665348307638,0#0#0,0#0#0,0#0#0,1#1#1,0.94#0.94#0.94,0#0#0,1#1#1,15.0#15.0#15.0,132.25152587890625#132.25152587890625#132.25152587890625,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
