Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
7200,0#1#39#7#2#5#1#38#0#0#9,0#841#1215#1421#1430#1430#1517#1589#2714#2784#3110,10057.json,8#8#8#8#8#7#7#7#7#7#8,0.023010099306702614#0.024498874321579933#0.040216121822595596#0.037782080471515656#0.03137731924653053#0.2244112342596054#0.27312102913856506#0.2757932245731354#0.2757932245731354#0.2757932245731354#0.10427543520927429,0.006386898078020422#0.00413703531979606#0.004992076379989759#0.005269100995504649#0.008252179027000288#0.07824382387678959#0.058753616482726895#0.06983632302328456#0.06983632302328456#0.06983632302328456#0.018623446317625567,0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1#1,0.87#3.46#1.73#1.73#1.73#1.73#1.81#1.81#1.81#1.81#1.73,0#0#0#0#0#0#0#0#0#0#0,5#5#6#6#7#6#6#6#6#6#7,66.0#66.0#67.0#67.0#67.0#56.0#56.0#55.0#55.0#55.0#66.0,107.18914031982422#107.132080078125#107.11094665527344#107.11094665527344#107.11094665527344#110.32958984375#110.32958984375#110.48965454101562#110.48965454101562#110.48965454101562#107.31200408935547,0#0#0#0#0#0#0#0#0#0#0,2#2#2#2#2#2#2#2#2#2#2,0#16#8#6#12#5#1#2#0#0#1,0#8#4#3#6#3#0#1#0#0#1,0#33#64#3#56#22#52#12#0#0#52,0#5#51#3#8#48#0#4#0#0#48,0#1#0#0#0#0#0#0#0#0#0,0#1#0#0#0#0#1#0#0#0#1,0#1#0#1#0#0#1#0#0#1#1
5587,0#0#0,0#1102#1171,9065.json,3#3#3,0.8452633619308472#0.8452633619308472#0.8452633619308472,0.9229948029081408#0.9229948029081408#0.9229948029081408,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,15.0#15.0#15.0,132.086669921875#132.086669921875#132.086669921875,1#1#1,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#1
7200,0#17#3#2#9#2#16#19#7#0#0#721,0#765#766#844#1350#1392#1451#1469#1571#2714#2784#4500,8422.json,13#15#15#15#15#15#16#17#17#17#17#17,0.16941696405410767#0.05027052015066147#0.04763410985469818#0.07607989013195038#0.075966015458107#0.03668513894081116#0.03766392543911934#0.047934435307979584#0.04773737117648125#0.047772154211997986#0.047772154211997986#0.013986922800540924,1.0344342803693736E-4#2.9504702863383837E-6#8.642133384336661E-7#1.4503904824105073E-5#7.824968171422688E-6#2.106653640731647E-6#3.4965845052396016E-6#1.4532939033849941E-5#1.4207255410453391E-5#1.3571348540711257E-5#1.3571348540711257E-5#1.515848927487161E-6,3#3#4#3#3#3#3#5#5#5#5#5,2#2#3#2#2#2#2#3#3#3#3#3,5#5#7#5#5#5#5#8#8#8#8#8,3#3#3#3#3#3#3#4#4#4#4#4,7.91#3.87#3.87#3.87#6.15#6.15#6.02#6.88#7.02#7.02#7.02#7.02,2#2#2#2#2#2#2#3#3#3#3#3,8#11#12#10#10#10#10#11#11#11#11#11,95.0#117.0#122.0#111.0#111.0#116.0#116.0#117.0#117.0#117.0#117.0#127.0,96.53479766845703#92.91441345214844#92.63248443603516#93.29229736328125#93.29229736328125#92.95904541015625#91.91352081298828#90.65676879882812#90.65676879882812#90.65676879882812#90.65676879882812#90.16597747802734,1#1#1#1#1#3#3#3#3#3#3#3,2#3#3#3#3#3#3#3#3#3#3#3,0#18#2#2#4#2#15#29#0#0#0#4,0#10#1#1#2#1#8#15#0#0#0#2,0#182#29#59#81#30#19#234#4#8#0#39,0#142#29#59#6#30#4#111#0#0#0#39,0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#1,0#0#0#0#0#1#1#0#0#0#1#1
3287,0,0,14362.json,3,0.7374414801597595,0.7956085377729804,0,0,0,1,1.89,0,0,19.0,130.57513427734375,1,0,0,0,0,0,0,0,0
5421,0#0#0,0#935#1005,6857.json,3#3#3,0.3643854558467865#0.3643854558467865#0.3643854558467865,0.8024366269418142#0.8024366269418142#0.8024366269418142,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,1#1#1,17.0#17.0#17.0,131.1535186767578#131.1535186767578#131.1535186767578,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#1
6676,0#15#273#10#8#1#7#43#6#47#18#14#8#23#11#7#11#9#5#7#11#11#2#12#50#0#0,0#50#240#581#587#618#619#639#689#894#906#981#996#1120#1189#1189#1190#1223#1226#1227#1313#1471#1492#1997#2113#2191#2260,8751.json,10#32#32#39#35#35#35#35#37#41#41#41#35#34#34#35#58#58#57#61#61#79#47#8#10#10#10,0.0039344411343336105#0.0012238838244229555#0.0011562997242435813#7.135597406886518E-4#7.580717210657895E-4#5.019964301027358E-4#2.7333881007507443E-4#3.1005238997749984E-4#3.72054404579103E-4#2.227915683761239E-4#2.2073388390708715E-4#2.633415861055255E-4#0.0010127662681043148#0.0010026980889961123#8.402162347920239E-4#6.645664689131081E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0023182828444987535#0.23634552955627441#0.19966965913772583#0.19966965913772583#0.19966965913772583,1.626864416572694E-6#8.113103387180927E-11#8.164913858097959E-11#9.085967317094048E-10#4.546102493297781E-11#4.4946117279402455E-11#2.938147513661048E-11#1.1442211126738403E-10#2.471851655797045E-10#3.1567520180099204E-8#3.181536560843519E-8#8.527261949564558E-8#5.655055632416444E-6#1.8514629087750838E-5#1.8486392523335367E-5#1.3870576740101367E-5#8.369083779303441E-8#8.754151764982794E-8#1.603141814466608E-18#3.757089537773418E-17#1.969579611456699E-17#1.0987063127355735E-15#3.391643514523441E-12#0.14935835602651262#0.34161722372424197#0.34161722372424197#0.34161722372424197,0#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#2#2#4#7#7#7#7#0#0#0#0,0#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#2#2#7#8#8#8#8#0#0#0#0,0#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#4#4#11#15#15#15#15#0#0#0#0,1#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#3#3#8#9#9#9#9#1#1#1#1,0.8#11.63#11.63#14.94#14.05#14.05#14.05#14.05#13.74#15.48#15.48#15.48#4.97#4.95#4.95#4.98#4.85#4.97#5.03#3.46#3.46#4.63#4.25#3.92#4.47#4.47#4.47,0#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#3#2#2#3#3#0#0#0#0,7#15#15#15#15#15#15#15#15#15#15#15#18#17#17#18#26#26#31#29#32#32#24#9#9#9#9,120.0#218.0#218.0#216.0#222.0#222.0#225.0#219.0#219.0#219.0#219.0#215.0#175.0#169.0#169.0#172.0#262.0#262.0#339.0#356.0#359.0#400.0#263.0#58.0#58.0#58.0#58.0,100.1139144897461#77.29544830322266#77.29544830322266#74.16301727294922#75.74918365478516#75.74918365478516#75.70380401611328#75.8693618774414#74.96913146972656#73.30613708496094#73.30613708496094#73.42760467529297#76.89389038085938#77.61336517333984#77.61336517333984#77.02893829345703#66.33960723876953#66.33960723876953#63.62776565551758#62.137699127197266#62.09406280517578#57.18842697143555#68.17204284667969#107.86104583740234#104.2461166381836#104.2461166381836#104.2461166381836,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,3#4#4#4#4#4#4#4#4#4#4#4#3#2#2#2#2#2#13#11#11#15#11#1#1#1#1,0#29#2#2#12#8#8#6#6#8#6#4#36#1#6#1#31#6#112#88#6#139#72#47#10#0#0,0#29#1#1#4#4#4#3#4#8#3#2#15#0#3#1#31#3#52#51#3#88#4#0#6#0#0,0#600#4#212#57#38#42#30#58#302#3#16#863#63#33#42#1188#58#1295#1445#18#1092#2327#1393#174#0#0,0#689#4#19#27#38#42#33#32#0#3#16#700#34#33#38#652#42#933#1139#18#393#1063#1145#139#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#1#0#0#0#1#0#0#0#0#0#1#1#0#1#1#1#0#0#1#0#0#0,0#1#0#0#0#1#0#0#0#1#1#1#0#1#1#0#1#1#1#1#1#1#0#1#0#0#1
5703,0#162#80#82#15#0#0,0#109#112#220#381#1217#1287,10461.json,10#10#10#10#10#10#10,0.15066082775592804#0.07704360038042068#0.08152426034212112#0.07948168367147446#0.08108630776405334#0.08108630776405334#0.08108630776405334,0.841337308560056#0.8514213396568562#0.7828239596843398#0.763451425574829#0.7524201247729495#0.7524201247729495#0.7524201247729495,1#1#1#1#1#1#1,1#1#1#1#1#1#1,2#2#2#2#2#2#2,2#2#2#2#2#2#2,8.04#8.04#8.04#8.04#8.04#8.04#8.04,1#1#1#1#1#1#1,0#1#2#2#2#2#2,37.0#38.0#41.0#41.0#41.0#41.0#41.0,106.54288482666016#106.40420532226562#105.94271087646484#105.94271087646484#105.94271087646484#105.94271087646484#105.94271087646484,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#2#2#2#2#0#0,0#1#1#1#1#0#0,0#32#28#12#7#0#0,0#32#28#12#7#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#1
7200,0#128#0#0,0#2272#2714#2784,10068.json,1#2#2#2,0.9742035269737244#0.9969484806060791#0.9969484806060791#0.9969484806060791,0.8624867074974164#0.9487166566238753#0.9487166566238753#0.9487166566238753,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,0.0#1.89#1.89#1.89,0#0#0#0,0#0#0#0,11.0#11.0#11.0#11.0,152.05810546875#140.82913208007812#140.82913208007812#140.82913208007812,1#1#1#1,0#0#0#0,0#1#0#0,0#1#0#0,0#37#0#0,0#0#0#0,0#0#0#0,0#1#0#0,0#1#0#1
5332,0#0,0#916,4321.json,3#3,0.09094435721635818#0.09094435721635818,0.7023973646902155#0.7023973646902155,0#0,0#0,0#0,1#1,1.89#1.89,0#0,1#1,22.0#22.0,129.69032287597656#129.69032287597656,2#2,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#1
7200,0#20#0#0,0#1413#2714#2784,10148.json,1#3#3#3,0.6856800317764282#0.5608837604522705#0.5608837604522705#0.5608837604522705,0.7800046185085091#0.9247592579966784#0.9247592579966784#0.9247592579966784,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,0.0#1.89#1.89#1.89,0#0#0#0,1#1#1#1,15.0#15.0#15.0#15.0,150.04904174804688#132.25152587890625#132.25152587890625#132.25152587890625,0#0#0#0,0#0#0#0,0#2#0#0,0#1#0#0,0#15#0#0,0#1#0#0,0#0#0#0,0#1#0#0,0#1#0#1
