Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
3483,0#1#5#4#5,0#349#397#544#568,1565.json,12#10#12#8#8,0.026827441528439522#0.044594693928956985#0.030923176556825638#0.09895041584968567#0.10902246087789536,0.0012577264187575649#0.0029616731539676908#0.0012385025168763794#0.06697978034167403#0.06545515907687786,5#4#5#1#1,3#2#3#1#1,8#6#8#2#2,4#3#4#2#2,2.89#2.53#2.89#3.12#3.12,1#0#1#1#1,13#12#13#5#5,86.0#77.0#86.0#50.0#50.0,98.24686431884766#102.09911346435547#98.24686431884766#108.34576416015625#108.34576416015625,2#2#2#2#2,1#1#1#1#1,0#8#8#6#2,0#3#5#0#1,0#70#71#265#22,0#62#63#247#22,0#0#0#0#1,0#0#0#0#1,0#0#0#0#1
5333,0#5#0#5#1#173#0#0#3,0#584#632#967#1095#1698#1700#1817#1872,1402.json,3#3#3#3#12#12#12#12#12,0.29082635045051575#0.3074205815792084#0.3074205815792084#0.3074205815792084#0.06312249600887299#0.06312249600887299#0.06312249600887299#0.06312249600887299#0.06312249600887299,0.5883759899740623#0.5222295690789759#0.5222295690789759#0.5222295690789759#0.8753620181193111#0.8753620181193111#0.8753620181193111#0.8753620181193111#0.8753620181193111,0#0#0#0#1#1#1#1#1,0#0#0#0#5#5#5#5#5,0#0#0#0#6#6#6#6#6,1#1#1#1#7#7#7#7#7,1.89#1.89#1.89#1.89#2.31#2.31#2.31#2.31#2.31,0#0#0#0#2#2#2#2#2,2#2#2#2#1#1#1#1#1,24.0#25.0#25.0#25.0#41.0#41.0#41.0#41.0#41.0,129.2378692626953#128.91311645507812#128.91311645507812#128.91311645507812#101.83910369873047#101.83910369873047#101.83910369873047#101.83910369873047#101.83910369873047,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0,0#2#0#0#11#0#0#0#0,0#1#0#0#10#0#0#0#0,0#6#0#0#158#0#0#0#0,0#6#0#0#155#0#0#0#0,0#0#0#0#0#0#0#0#0,0#0#0#1#1#0#0#0#0,0#0#0#1#1#0#0#0#0
3109,0#14,0#0,891.json,3#3,0.0961701050400734#0.0597875602543354,0.9510769392045557#0.9449861649638092,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,12.0#12.0,133.59722900390625#133.59722900390625,0#0,0#0,0#2,0#1,0#4,0#4,0#0,0#0,0#0
3823,0#38#173#1#15#23#16#12#8#7,0#180#188#307#307#325#327#337#341#1105,410.json,3#3#3#3#3#4#4#4#4#4,0.026467356830835342#0.026467356830835342#0.026467356830835342#0.026467356830835342#0.026467356830835342#0.016259124502539635#0.027211641892790794#0.027211641892790794#0.0525418221950531#0.13849788904190063,0.8663033192698572#0.8663033192698572#0.8663033192698572#0.8663033192698572#0.8663033192698572#0.8780464880487368#0.874084080791962#0.874084080791962#0.8660510562515676#0.7582748063473216,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1,1.89#1.89#1.89#1.89#1.89#2.0#2.0#2.0#2.0#2.0,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0,17.0#17.0#17.0#17.0#17.0#20.0#20.0#20.0#20.0#23.0,131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#125.64796447753906#125.64796447753906#125.64796447753906#125.64796447753906#124.58238983154297,1#1#1#1#1#1#1#1#1#1,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#7#2#0#4#2,0#0#0#0#0#4#1#0#2#1,0#0#0#0#0#45#4#0#35#21,0#0#0#0#0#25#4#0#35#21,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0
3823,0#5#38#173#0#1#20,0#55#180#188#190#307#705,1168.json,3#3#3#3#3#3#3,0.5876286029815674#0.8022387027740479#0.8022387027740479#0.8022387027740479#0.8022387027740479#0.8022387027740479#0.9069551229476929,0.8330594717986132#0.8515789427664103#0.8515789427664103#0.8515789427664103#0.8515789427664103#0.8515789427664103#0.8941685728201486,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,1.89#1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0#0,2#2#2#2#2#2#1,19.0#18.0#18.0#18.0#18.0#18.0#16.0,130.70933532714844#130.85629272460938#130.85629272460938#130.85629272460938#130.85629272460938#130.85629272460938#131.60296630859375,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#2#0#0#0#0#2,0#1#0#0#0#0#1,0#4#0#0#0#0#6,0#4#0#0#0#0#6,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0
2347,0,0,1041.json,3,0.9216952919960022,0.36643594208202723,0,0,0,1,0.94,0,2,22.0,129.47398376464844,0,0,0,0,0,0,0,0,0
3516,0,0,1446.json,3,0.7712693810462952,0.9533277736948431,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
3823,0#38#173#1#15#12,0#180#188#307#307#337,285.json,3#3#3#3#3#3,0.7712693810462952#0.7712693810462952#0.7712693810462952#0.7712693810462952#0.7712693810462952#0.7712693810462952,0.9533277736948431#0.9533277736948431#0.9533277736948431#0.9533277736948431#0.9533277736948431#0.9533277736948431,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,1#1#1#1#1#1,1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0,0#0#0#0#0#0,12.0#12.0#12.0#12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0
2396,0#2,0#1,92.json,6#6,0.2749198377132416#0.2692174017429352,0.7370411494871963#0.7368381560806114,1#1,1#1,2#2,2#2,1.37#1.37,1#1,0#0,27.0#27.0,116.9500732421875#116.9500732421875,0#0,0#0,0#2,0#1,0#6,0#6,0#0,0#1,0#1
3666,0#15#17#0#15#19#11,0#69#146#150#150#471#1057,1147.json,5#3#3#3#3#3#5,0.04418041557073593#0.004376925528049469#5.064859869889915E-4#5.064859869889915E-4#5.064859869889915E-4#4.957180353812873E-4#0.12163198739290237,0.05400039855482579#0.01782311429568502#0.017736653924771993#0.017736653924771993#0.017736653924771993#0.02335124508620921#0.2724460760531041,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,5.43#1.89#1.89#1.89#1.89#1.89#1.79,0#0#0#0#0#0#0,8#8#8#8#8#8#6,48.0#48.0#48.0#48.0#48.0#47.0#36.0,116.71849822998047#124.9938735961914#124.9938735961914#124.9938735961914#124.9938735961914#125.17760467529297#118.4515609741211,2#2#2#2#2#2#1,0#0#0#0#0#0#0,0#4#2#0#0#2#7,0#2#1#0#0#1#4,0#60#18#0#0#6#76,0#28#18#0#0#6#62,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0
