Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
3397,0#20,0#66,5267.json,3#3,0.5317302346229553#0.5385131239891052,0.6305987954166338#0.6451078462748066,0#0,0#0,0#0,1#1,1.89#1.89,0#0,2#2,24.0#24.0,128.92515563964844#128.92515563964844,1#1,0#0,0#2,0#1,0#9,0#9,0#0,0#0,0#0
3845,0#429,0#161,9555.json,3#3,0.8834559321403503#0.8834559321403503,0.9199574303291876#0.9199574303291876,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,15.0#15.0,132.25152587890625#132.25152587890625,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
2417,0#43,0#1170,8038.json,5#2,0.3332121670246124#0.9959679841995239,0.9440542384457492#0.9859425152141791,0#0,0#0,0#0,2#1,2.99#1.89,1#0,1#0,25.0#11.0,120.40774536132812#140.82913208007812,1#1,1#0,0#4,0#1,0#107,0#87,0#0,0#0,0#0
3705,0#18,0#1263,2780.json,6#9,0.5713797807693481#0.25335100293159485,0.4815082801247814#0.24393887860485833,1#1,1#1,2#2,2#3,4.99#3.77,0#2,2#2,40.0#50.0,114.28350830078125#106.26473999023438,1#1,1#2,0#15,0#9,0#225,0#220,0#0,0#0,0#0
3571,0#7#7#7#86#420#443,0#161#161#184#2323#2323#2325,4057.json,4#5#5#5#5#5#5,0.0010186312720179558#0.005633760243654251#8.598081185482442E-4#0.005633760243654251#0.006948884576559067#0.006789336446672678#0.007029983215034008,0.196544622496754#0.24412931614265637#0.020968485172727945#0.24412931614265637#0.2230853693157723#0.05503525366885587#0.2191264161003647,0#1#3#1#1#1#1,0#1#2#1#1#1#1,0#2#5#2#2#2#2,1#2#2#2#2#2#2,2.0#5.43#5.43#5.43#5.43#5.43#5.43,0#0#0#0#0#0#0,2#2#4#2#2#2#2,38.0#40.0#51.0#40.0#41.0#48.0#41.0,121.54822540283203#117.23712158203125#115.65253448486328#117.23712158203125#117.048828125#116.01564025878906#117.048828125,4#4#4#4#4#4#4,0#0#0#0#0#0#0,0#9#2#2#2#2#2,0#5#1#1#1#1#1,0#122#93#93#30#21#25,0#56#93#93#10#21#25,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0
3199,0,0,7077.json,7,0.2189999222755432,0.5577968217361963,0,0,0,2,2.56,1,1,41.0,111.65786743164062,0,2,0,0,0,0,0,0,0
3165,0,0,6918.json,3,0.7347304224967957,0.8903094300174047,0,0,0,1,1.89,0,1,18.0,130.85629272460938,1,0,0,0,0,0,0,0,0
3132,0#6,0#135,3764.json,3#3,0.45008835196495056#0.5099242925643921,0.9694856999611705#0.9729797639977323,0#0,0#0,0#0,1#1,1.89#1.89,0#0,1#1,15.0#15.0,132.25152587890625#132.25152587890625,0#0,0#0,0#2,0#1,0#9,0#9,0#0,0#1,0#1
3818,0#3#5#2#21#33#9#14#16#15#4#4#155#420#443,0#0#1#3#248#346#570#582#596#596#771#771#2560#2571#2573,22.json,34#39#39#36#36#36#36#36#36#36#27#6#6#6#6,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.025648679584264755#0.02667100541293621#0.021931609138846397#0.026975151151418686,7.316549215116229E-16#5.786322597502927E-19#5.691097988922282E-19#1.2347047518631888E-18#1.2196217822844035E-18#3.3279930041554283E-18#2.175682696802594E-18#6.755028332194574E-19#2.4275778014370036E-19#6.755028332194574E-19#3.5546138531379514E-13#0.04608055300882373#0.034916516652470794#0.007114486310090114#0.034280522718392346,2#2#2#2#2#2#2#2#2#2#2#1#1#1#1,2#2#2#2#2#2#2#2#2#2#2#1#1#1#1,4#4#4#4#4#4#4#4#4#4#4#2#2#2#2,7#7#7#7#7#7#7#7#7#7#5#2#2#2#2,4.58#4.24#4.24#3.83#3.83#3.83#3.83#3.83#3.83#3.83#3.5#2.75#2.75#2.75#2.75,3#3#3#3#3#3#3#3#3#3#2#1#1#1#1,20#22#22#21#21#20#20#20#20#20#17#1#1#1#1,249.0#284.0#284.0#276.0#276.0#272.0#274.0#278.0#282.0#278.0#204.0#48.0#49.0#56.0#49.0,74.06043243408203#71.033203125#71.033203125#72.50726318359375#72.50726318359375#72.59789276123047#72.55979919433594#72.45521545410156#72.36664581298828#72.45521545410156#79.34085083007812#113.11192321777344#112.9548110961914#112.07984161376953#112.9548110961914,2#2#2#2#2#2#2#2#2#2#2#2#2#2#2,6#7#7#7#7#7#7#7#7#7#4#0#0#0#0,0#30#6#5#8#2#2#2#2#2#25#31#2#2#2,0#17#3#1#4#1#1#1#1#1#8#5#1#1#1,0#469#43#131#32#12#21#39#26#26#635#1020#10#21#25,0#446#43#71#32#12#21#39#26#26#599#949#10#21#25,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#1#0#0#0#1#0#0#0#0#0#0#0,0#0#0#1#0#0#0#1#0#0#0#0#0#0#0
3061,0,0,9785.json,3,0.554459810256958,0.7664186403586147,0,0,0,1,1.89,0,0,20.0,130.18594360351562,1,0,0,0,0,0,0,0,0
