Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
1126,0,0,2780.json,4,0.0,0.012998883447709754,0,0,0,1,1.66,0,0,51.0,119.64730072021484,6,0,0,0,0,0,0,0,0
3713,0#16#16#40#4#24#38#9#15#6#3#6,0#56#279#282#282#2124#2349#2929#3275#3562#3640#3679,22.json,17#23#23#26#30#30#30#30#30#31#30#30,0.0#1.098727952921763E-4#1.481027720728889E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,9.040431388401524E-11#4.5345819048036324E-11#1.1160928187323938E-10#6.705798674834491E-13#1.1733015950139532E-13#4.234022037270836E-14#4.267417530760075E-14#4.2898210854188085E-14#1.2785341708850897E-13#2.0162436167168012E-14#4.2898210854188085E-14#2.8776939583575746E-14,6#6#6#6#5#5#5#5#5#5#5#5,3#3#3#5#5#5#5#5#5#5#5#5,9#9#9#11#10#10#10#10#10#10#10#10,4#4#4#5#5#5#5#5#5#5#5#5,2.43#2.2#2.2#2.13#2.81#2.81#2.81#2.81#2.81#2.79#2.81#2.81,3#3#3#3#4#4#4#4#4#4#4#4,18#22#22#24#24#25#25#25#25#25#25#25,167.0#180.0#177.0#205.0#220.0#225.0#225.0#225.0#219.0#230.0#225.0#225.0,88.39810943603516#82.96446990966797#83.09171295166016#80.01506805419922#77.2757339477539#77.15887451171875#77.15887451171875#77.15887451171875#77.28208923339844#76.4622802734375#77.15887451171875#77.15887451171875,1#2#2#2#2#2#2#2#2#2#2#2,5#3#3#3#3#3#3#3#3#3#3#3,0#27#2#9#12#2#2#2#2#4#2#3,0#17#1#6#8#1#1#1#1#3#0#1,0#421#34#140#137#16#33#5#15#150#135#111,0#426#34#148#167#16#33#5#15#49#34#110,0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#1#1#0#0#1#0#0#0,0#0#0#0#0#1#0#0#1#0#0#0
1839,0#129,0#1581,1565.json,3#3,0.7182173132896423#0.7210515141487122,0.8716033383273692#0.8279223166017879,0#0,0#0,0#0,1#1,0.94#0.94,0#0,1#1,17.0#17.0,131.43582153320312#131.28770446777344,1#1,0#0,0#2,0#1,0#13,0#13,0#0,0#1,0#0
2866,0#129#471,0#2608#2630,1402.json,9#9#9,2.0056741777807474E-4#0.0#0.0,0.27052808501099107#0.1206633141679984#0.09644010500516143,1#1#1,1#1#1,2#2#2,2#2#2,2.83#2.83#2.83,1#1#1,4#4#4,45.0#51.0#52.0,107.45506286621094#106.72535705566406#106.55013275146484,0#1#1,0#0#0,0#8#2,0#4#1,0#55#7,0#35#7,0#0#0,0#1#1,0#0#0
1049,0,0,891.json,3,0.31189844012260437,0.6145571809291188,0,0,0,1,0.94,0,0,23.0,129.14646911621094,2,0,0,0,0,0,0,0,0
3764,0#36#8,0#189#306,410.json,4#4#4,0.7630710601806641#0.6646733283996582#0.633436381816864,0.8624732707843598#0.8537994712612975#0.8518330795599186,0#0#0,0#0#0,0#0#0,1#1#1,1.0#1.0#1.0,0#0#0,2#2#2,20.0#20.0#20.0,125.9302749633789#125.9302749633789#125.9302749633789,0#0#0,0#0#0,0#4#6,0#2#3,0#33#4,0#33#4,0#0#0,0#0#0,0#0#0
3583,0#5#50#2#30#8#3#20,0#27#85#1012#1604#1764#1857#1935,1168.json,7#6#6#6#6#6#11#11,0.0032264154870063066#0.0041864546947181225#0.00756474444642663#0.0021813311614096165#0.0012679111678153276#0.0012679111678153276#0.00606816541403532#0.006020810920745134,0.03301002896885978#0.07359482075336868#0.15610667487445698#0.10840401315260326#0.030943633590292376#0.030943633590292376#1.85004836130134E-4#2.586539018169621E-4,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1,2.71#2.75#2.75#2.75#3.65#3.65#3.56#3.56,0#0#0#0#0#0#1#1,9#7#7#7#7#7#13#13,53.0#45.0#41.0#43.0#48.0#48.0#83.0#82.0,110.49303436279297#113.90103912353516#114.58456420898438#114.26679229736328#113.39401245117188#113.39401245117188#100.11993408203125#100.21465301513672,0#0#0#0#0#0#0#0,0#0#0#0#0#0#3#3,0#1#4#2#8#0#9#2,0#0#2#1#4#0#7#1,0#34#16#3#87#0#236#19,0#25#16#3#82#0#216#19,0#0#0#0#0#0#0#0,0#0#0#1#1#0#1#1,0#0#0#1#1#0#1#1
3279,0#32,0#214,1041.json,3#3,0.8612929582595825#0.8612929582595825,0.9358018665894708#0.9358018665894708,0#0,0#0,0#0,1#1,0.94#0.94,0#0,0#0,12.0#12.0,133.59722900390625#133.59722900390625,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
3795,0#21#3#30#0#60#178#38#38#6,0#1#7#10#20#25#32#33#2431#2466,1932.json,3#8#8#8#8#8#8#8#8#13,0.9589946269989014#0.04359349235892296#0.059272557497024536#0.06257098913192749#0.06257098913192749#0.0422062911093235#0.06257098913192749#0.059272557497024536#0.1473418027162552#0.3539620637893677,0.931255724346213#0.0032963780980684583#0.0013035518229256604#0.001337867966647287#0.001337867966647287#9.08727586145365E-4#0.001337867966647287#0.0013035518229256604#0.0028498749285196#2.522747339409463E-4,0#1#1#1#1#1#1#1#1#3,0#1#1#1#1#1#1#1#1#3,0#2#2#2#2#2#2#2#2#6,1#2#2#2#2#2#2#2#2#3,0.94#1.2#1.2#1.2#1.2#1.2#1.2#1.2#1.2#1.11,0#1#1#1#1#1#1#1#1#1,0#4#4#4#4#4#4#4#4#4,14.0#69.0#73.0#73.0#73.0#75.0#73.0#73.0#68.0#92.0,132.4454345703125#106.51447296142578#106.12761688232422#106.12761688232422#106.12761688232422#105.94285583496094#106.12761688232422#106.12761688232422#106.45235443115234#96.62378692626953,1#1#1#1#1#1#1#1#1#1,0#2#2#2#2#2#2#2#2#4,0#7#2#2#0#16#16#2#2#9,0#6#1#1#0#8#8#1#1#7,0#182#19#4#0#29#29#4#10#175,0#174#19#4#0#13#13#4#10#167,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0
3514,0#19#43#129,0#17#103#3256,1446.json,3#3#6#6,0.309333473443985#0.309333473443985#0.08678034693002701#0.055630721151828766,0.6915648571938471#0.7068686873602332#0.14357339257711213#0.09231607205980767,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,0.94#0.94#2.0#2.0,0#0#0#0,1#1#3#3,20.0#20.0#45.0#47.0,130.18594360351562#130.18594360351562#114.10049438476562#113.80426025390625,0#0#0#1,0#0#2#2,0#2#5#2,0#1#4#1,0#8#181#32,0#8#172#32,0#0#0#0,0#0#0#1,0#0#0#0
