Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
1506,0#18,0#845,104.json,5#5,0.3027505576610565#0.34781119227409363,0.7285598892070848#0.7290962843187568,0#0,0#0,0#0,1#1,1.96#1.96,0#0,4#4,29.0#29.0,120.10090637207031#120.10090637207031,0#0,0#0,0#2,0#1,0#12,0#12,0#0,0#1,0#1
625,0,0,21852.json,39,2.968063927255571E-4,4.732845203403708E-7,6,5,11,8,4.54,3,15,189.0,73.47738647460938,3,6,0,0,0,0,0,0,0
651,0#150,0#14,21746.json,4#4,0.22338496148586273#0.24489998817443848,0.9311723924228992#0.9314876902910714,0#0,0#0,0#0,1#1,1.73#1.73,0#0,1#1,15.0#15.0,127.59107971191406#127.59107971191406,0#0,0#0,0#2,0#1,0#6,0#6,0#0,0#1,0#1
4120,0#0#7#8#0#7#5#5#14#7#8#5#5#7#6#15#18#9#10#1393,0#58#285#299#326#346#435#435#435#666#697#708#708#1024#1208#1281#1541#1921#2689#3754,9640.json,42#42#35#37#37#37#33#16#16#17#11#11#12#16#16#16#16#18#18#11,5.13336795847863E-4#5.13336795847863E-4#5.880771204829216E-4#7.153352489694953E-4#7.153352489694953E-4#0.0014169274363666773#0.0033307154662907124#0.21623437106609344#0.20720016956329346#0.16584616899490356#0.0034888603258877993#0.001219416968524456#0.002170646796002984#0.003650425933301449#0.0034113945439457893#0.0064986771903932095#0.0066495537757873535#0.011352269910275936#0.009441185742616653#0.1722612828016281,9.56267122375757E-9#9.56267122375757E-9#5.64714259164421E-8#1.3982610670825794E-7#1.3982610670825794E-7#8.472996917158043E-8#4.0180329007093836E-7#0.33264866261936576#0.3491211646118816#0.18274917181579303#0.019640528781455717#0.005434243065530489#0.0032639919423079595#7.860837161783101E-5#1.1868998022925885E-4#4.0866600701293827E-4#4.2941056324669865E-4#5.98424958000325E-4#3.6005113743630334E-4#0.6469364867210331,7#7#7#7#7#7#6#4#4#4#2#2#3#3#3#3#3#5#5#3,6#6#6#6#6#6#5#3#3#3#1#1#2#2#2#2#2#3#3#3,13#13#13#13#13#13#11#7#7#7#3#3#5#5#5#5#5#8#8#6,8#8#7#7#7#7#6#3#3#3#3#3#4#4#4#4#4#5#5#3,4.77#4.77#4.71#4.92#4.92#4.87#5.11#4.87#4.87#5.13#4.27#4.27#5.02#4.68#4.68#4.68#4.68#5.79#5.79#5.19,4#4#3#4#4#4#4#3#3#3#2#2#2#2#2#2#2#3#3#2,16#16#14#14#14#15#14#6#6#7#9#9#9#11#10#11#11#11#11#7,203.0#203.0#185.0#183.0#183.0#187.0#172.0#67.0#67.0#73.0#69.0#75.0#80.0#105.0#103.0#97.0#97.0#101.0#103.0#52.0,71.66393280029297#71.66393280029297#75.50006103515625#74.6563491821289#74.6563491821289#74.52110290527344#77.08548736572266#95.16058349609375#95.16058349609375#93.64230346679688#101.07766723632812#100.55390930175781#98.53614807128906#92.04742431640625#92.17655181884766#92.4886474609375#92.4886474609375#90.14043426513672#90.00933837890625#102.93279266357422,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,9#9#9#9#9#9#9#3#3#3#1#1#1#3#3#3#3#3#3#0,0#0#15#30#0#7#4#20#10#1#14#4#3#5#2#2#2#10#2#27,0#0#4#16#0#4#0#0#5#1#4#2#2#4#1#1#1#6#1#10,0#0#248#192#0#83#134#736#5#51#296#9#52#226#28#23#12#77#12#416,0#0#132#23#0#57#86#482#5#43#245#9#44#130#28#23#12#41#12#334,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#1#0#0#1#0#0#1#0#0,0#0#0#0#0#0#0#0#0#0#0#1#0#0#1#0#0#1#0#0
665,0,0,761.json,5,0.002588474191725254,0.03768573316033037,1,1,2,2,3.2,0,2,45.0,116.62464904785156,3,0,0,0,0,0,0,0,0
1809,0,0,20080.json,4,0.6871771216392517,0.9503973665058189,0,0,0,1,1.73,0,1,15.0,127.59107971191406,0,0,0,0,0,0,0,0,0
1369,0,0,2260.json,4,0.6026736497879028,0.9463164105442982,0,0,0,1,1.73,0,1,15.0,127.59107971191406,0,0,0,0,0,0,0,0,0
1320,0,0,4953.json,4,0.315885066986084,0.6949268518100946,0,0,0,1,1.73,0,2,24.0,124.26470947265625,0,0,0,0,0,0,0,0,0
366,0,0,9801.json,6,0.8144614100456238,0.8382910527921638,1,1,2,2,2.98,0,2,25.0,117.25389862060547,1,0,0,0,0,0,0,0,0
2242,0#1#2#6#3#4#2#86#137#21#2#3#29,0#50#181#194#236#294#324#389#394#427#566#663#1070,6599.json,25#25#25#25#25#25#25#25#25#25#25#25#25,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#2.216594002675265E-4#0.0#2.559548302087933E-4#2.3116434749681503E-4#2.3914499615784734E-4,3.77842905529374E-5#1.1745692897956514E-5#7.905383056670845E-6#1.1504956721960595E-5#8.384131984358389E-6#2.3542488601130942E-5#1.0358958777592837E-4#4.9897833668539306E-5#2.0749781863609925E-5#6.904979316468294E-6#4.7502324373997484E-5#2.6226498268828198E-5#4.6931438129509494E-5,6#7#7#7#7#7#6#6#6#6#6#6#6,4#5#5#5#5#5#4#4#4#4#4#4#4,10#12#12#12#12#12#10#10#10#10#10#10#10,6#6#6#6#6#6#6#6#6#6#6#6#6,5.18#5.18#5.18#5.18#5.18#5.18#5.18#5.18#5.18#5.18#5.18#5.18#5.18,3#3#3#3#3#3#3#3#3#3#3#3#3,9#10#10#10#10#9#8#9#11#12#11#12#11,122.0#126.0#128.0#126.0#127.0#123.0#118.0#121.0#125.0#130.0#122.0#125.0#122.0,83.3930435180664#83.15528106689453#83.0733871459961#83.15528106689453#83.09185028076172#83.30340576171875#83.61582946777344#83.46026611328125#83.2667236328125#83.03890991210938#83.44247436523438#83.31615447998047#83.44247436523438,1#1#1#1#1#1#1#1#1#1#1#1#1,3#3#3#3#3#3#3#3#3#3#3#3#3,0#2#2#2#2#2#2#2#8#2#2#2#2,0#1#1#1#1#1#1#1#4#1#1#1#1,0#24#7#20#7#20#28#24#146#22#51#14#20,0#24#7#20#7#20#28#24#138#22#51#14#20,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#1#0#0#0#0#0#1,0#0#0#0#0#0#1#0#0#0#0#0#1
