Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
3594,0#0#712,0#614#3067,10057.json,3#3#3,0.8525925278663635#0.8525925278663635#0.8525925278663635,0.8601153359954663#0.8601153359954663#0.8601153359954663,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,17.0#17.0#17.0,131.1535186767578#131.1535186767578#131.1535186767578,1#1#1,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
417,0,0,37016.json,3,0.9421270489692688,0.9700823034895303,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
3827,0#0#712,0#847#3301,22900.json,3#3#3,0.8039015531539917#0.8039015531539917#0.8039015531539917,0.9319580448538625#0.9319580448538625#0.9319580448538625,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
3827,0#0#712,0#847#3301,21329.json,3#3#3,0.8906223177909851#0.8906223177909851#0.8906223177909851,0.9652802389954969#0.9652802389954969#0.9652802389954969,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
3966,0#1417#0#712,0#581#986#3439,28873.json,3#3#3#3,0.8094629645347595#0.06160978600382805#0.06160978600382805#0.06160978600382805,0.8708451964329661#0.44290841231531497#0.44290841231531497#0.44290841231531497,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,0#0#0#0,17.0#25.0#25.0#25.0,131.1535186767578#128.712890625#128.712890625#128.712890625,1#1#1#1,0#0#0#0,0#4#0#0,0#2#0#0,0#49#0#0,0#49#0#0,0#0#0#0,0#0#0#0,0#0#0#0
3594,0#0#712,0#614#3067,9065.json,7#7#7,0.6927333474159241#0.6927333474159241#0.6927333474159241,0.9749533688333173#0.9749533688333173#0.9749533688333173,1#1#1,1#1#1,2#2#2,2#2#2,3.02#3.02#3.02,1#1#1,0#0#0,23.0#23.0#23.0,115.62542724609375#115.62542724609375#115.62542724609375,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
3966,0#1417#0#712,0#581#986#3439,27771.json,3#3#3#3,0.7528676986694336#0.29789385199546814#0.29789385199546814#0.29789385199546814,0.9348522404678306#0.7389363574544214#0.7389363574544214#0.7389363574544214,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,0#0#0#0,12.0#18.0#18.0#18.0,133.59722900390625#130.85629272460938#130.85629272460938#130.85629272460938,0#0#0#0,0#0#0#0,0#2#0#0,0#1#0#0,0#24#0#0,0#24#0#0,0#0#0#0,0#0#0#0,0#0#0#0
4487,0#0#712,0#1507#3960,22601.json,7#7#7,0.9274856448173523#0.9274856448173523#0.9274856448173523,0.9846349944215532#0.9846349944215532#0.9846349944215532,1#1#1,1#1#1,2#2#2,2#2#2,3.02#3.02#3.02,1#1#1,0#0#0,23.0#23.0#23.0,115.62542724609375#115.62542724609375#115.62542724609375,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
4037,0#0#446#712,0#1057#1434#3510,14871.json,3#3#2#2,0.6800901293754578#0.6800901293754578#0.8097469210624695#0.8097469210624695,0.7676109265151014#0.7676109265151014#0.8654600217920094#0.8654600217920094,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,0.94#0.94#0.0#0.0,0#0#0#0,0#0#0#0,17.0#17.0#11.0#11.0,131.1535186767578#131.1535186767578#140.82913208007812#140.82913208007812,1#1#1#1,0#0#0#0,0#0#1#0,0#0#0#0,0#0#37#0,0#0#37#0,0#0#0#0,0#0#0#0,0#0#0#0
4475,0#698#0#1124#712,0#176#1495#1918#3948,34059.json,3#3#3#3#3,0.7784205675125122#0.7784205675125122#0.7784205675125122#0.7784205675125122#0.7784205675125122,0.9339480719174733#0.9339480719174733#0.9339480719174733#0.9339480719174733#0.9339480719174733,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,1.89#1.89#1.89#1.89#1.89,0#0#0#0#0,0#0#0#0#0,14.0#14.0#14.0#14.0#14.0,132.4454345703125#132.4454345703125#132.4454345703125#132.4454345703125#132.4454345703125,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
