Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
4916,0#78,0#51,104.json,3#3,0.7731126546859741#0.7731126546859741,0.8403430768369708#0.8403430768369708,0#0,0#0,0#0,1#1,3.77#3.77,0#0,1#1,15.0#15.0,132.25152587890625#132.25152587890625,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
6954,0#76#2679,0#2579#2579,21852.json,3#3#3,0.45311239361763#0.47300848364830017#0.22721602022647858,0.8451350680699004#0.8533525444903369#0.8025291598814401,0#0#0,0#0#0,0#0#0,1#1#1,3.77#3.77#3.77,0#0#0,1#1#1,15.0#15.0#17.0,132.25152587890625#132.25152587890625#131.43582153320312,0#0#0,0#0#0,0#2#2,0#1#1,0#2#5,0#2#5,0#0#0,0#0#0,0#0#0
997,0#7#2#1#20,0#0#22#43#144,20823.json,16#16#20#20#25,0.013962245546281338#0.013962245546281338#0.003413127502426505#0.003413127502426505#0.0012680983636528254,4.144225965002247E-6#4.144225965002247E-6#1.2451004074838075E-7#1.2451004074838075E-7#3.3152546344978805E-9,1#1#1#1#2,2#2#3#3#4,3#3#4#4#6,3#3#4#4#5,8.72#8.72#8.57#8.57#8.06,2#2#2#2#2,12#12#16#16#17,109.0#109.0#136.0#136.0#161.0,92.05464935302734#92.05464935302734#87.03130340576172#87.03130340576172#82.13346099853516,1#1#1#1#1,4#4#4#4#5,0#16#4#4#9,0#16#4#4#7,0#0#159#0#219,0#0#192#0#240,0#0#0#0#0,0#1#1#1#1,0#1#1#1#1
6644,0,0,21746.json,3,0.484132319688797,0.8376056988432021,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,0,0,0,0,0,0,0,0
1933,0#74,0#388,761.json,7#7,0.0627593994140625#0.0627593994140625,0.25698060990011656#0.25698060990011656,2#2,2#2,4#4,3#3,6.05#6.05,0#0,2#2,43.0#43.0,111.80294799804688#111.80294799804688,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#1,0#1
6954,0,0,20080.json,8,0.5180313587188721,0.14977097191029626,1,1,2,2,4.8,1,2,43.0,109.30997467041016,0,2,0,0,0,0,0,0,0
1176,0,0,2260.json,14,0.020584598183631897,0.007999099716109273,6,3,9,5,7.67,2,3,75.0,96.27725219726562,2,1,0,0,0,0,0,0,0
5789,0#1,0#164,14843.json,3#3,0.12837199866771698#0.111770860850811,0.5475985673770741#0.5388517351855416,0#0,0#0,0#0,1#1,3.77#3.77,0#0,2#2,22.0#22.0,129.69032287597656#129.69032287597656,0#0,0#0,0#2,0#1,0#4,0#4,0#0,0#0,0#0
2669,0#13#27#4#4#11#5#3#10#9#3#9#7#8#20#3#3#59#51#16#20#2#7#3#9#34#3#2#3#18#36#23#18#5#34#9#14#8#7#5#2#9,0#0#3#4#5#5#5#5#6#62#263#264#264#265#273#273#275#289#291#292#300#322#327#328#350#365#376#550#563#585#605#612#619#619#619#620#635#1013#1080#1212#1217#2272,4953.json,46#46#51#52#55#67#71#77#47#49#44#32#52#58#68#72#72#83#83#83#83#84#84#89#90#87#89#91#92#94#93#93#52#52#34#34#34#36#39#39#40#3,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.07839413732290268,5.409515378896035E-18#5.399411635232371E-18#3.0109341204079227E-20#3.389762078038167E-21#4.157934167491338E-23#7.765824262262669E-33#1.1311892757492498E-33#6.555481298104068E-36#2.474068984942652E-21#1.5275697898448318E-22#2.5147246960643036E-20#1.5760282024549418E-10#3.9046195249491184E-21#7.448911364240758E-24#2.6788431219576465E-28#6.120578957587581E-31#2.4824149394711446E-31#2.5287274129909283E-34#1.7305030109433344E-34#1.1202685088159081E-34#1.1202685088159081E-34#2.0233608840087627E-36#6.235794759778576E-37#1.056810891813261E-40#1.6085122786599383E-41#1.3980334255902363E-40#8.155673148372919E-41#1.6498449022377412E-42#1.347150883684582E-44#7.790049436233504E-45#6.477804879731072E-44#6.41573349114962E-44#1.6113355106086322E-22#8.637553726356605E-23#4.512714879116992E-14#3.016908569821877E-14#2.015628825467138E-14#3.340306989308242E-15#2.928033778590833E-16#1.95320451883384E-16#4.918603305231382E-17#0.23422834897927394,19#19#19#17#17#21#22#22#15#16#15#9#19#22#26#26#27#28#28#28#28#29#30#31#31#30#30#30#30#30#30#30#22#22#16#16#16#19#21#21#22#0,13#13#13#14#13#17#19#19#17#18#17#8#18#20#25#25#26#30#30#30#30#31#31#34#34#33#33#33#34#34#34#34#20#20#12#12#12#13#15#15#16#0,32#32#32#31#30#38#41#41#32#34#32#17#37#42#51#51#53#58#58#58#58#60#61#65#65#63#63#63#64#64#64#64#42#42#28#28#28#32#36#36#38#0,13#13#13#13#13#17#19#19#14#15#14#8#17#19#22#22#22#26#26#26#26#27#27#30#30#29#30#30#31#31#31#31#17#17#13#13#13#14#15#15#15#1,11.18#11.18#13.17#12.85#10.42#13.37#13.06#13.43#8.49#8.39#8.6#9.79#9.33#9.54#9.63#9.42#9.42#11.78#11.78#11.78#11.78#12.01#12.68#12.5#12.48#12.57#12.53#12.52#10.47#10.61#10.59#10.59#9.92#9.92#8.32#8.32#8.32#8.09#7.88#7.88#8.31#3.77,3#3#4#4#3#4#4#4#3#3#3#4#4#4#4#4#4#5#5#5#5#5#4#4#4#4#4#4#4#4#4#4#3#3#2#2#2#2#2#2#2#0,10#10#14#17#21#23#23#23#15#15#15#14#16#17#19#20#21#23#23#23#23#24#26#27#28#27#27#27#27#27#26#26#17#18#10#10#10#11#12#12#13#1,295.0#295.0#324.0#335.0#366.0#475.0#491.0#520.0#326.0#342.0#313.0#202.0#351.0#389.0#456.0#486.0#489.0#537.0#543.0#545.0#545.0#564.0#574.0#616.0#625.0#610.0#616.0#631.0#640.0#646.0#636.0#636.0#360.0#363.0#239.0#241.0#243.0#259.0#275.0#277.0#284.0#27.0,66.78131103515625#66.78131103515625#64.54063415527344#64.06555938720703#62.68358612060547#57.033443450927734#55.46177673339844#53.79683303833008#65.60182189941406#64.43464660644531#66.93549346923828#76.1347885131836#62.985618591308594#60.17983627319336#56.059486389160156#54.7375373840332#54.693119049072266#50.95863342285156#50.888912200927734#50.86979675292969#50.86979675292969#50.25579071044922#50.07509231567383#48.029483795166016#47.7630500793457#48.668575286865234#48.01948165893555#47.514678955078125#47.03398513793945#46.637062072753906#46.90123748779297#46.90123748779297#62.771297454833984#62.72814178466797#72.99498748779297#72.95165252685547#72.90867614746094#71.40348052978516#69.53072357177734#69.4930419921875#68.91990661621094#128.1388702392578,2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2,9#9#10#10#11#13#13#13#9#9#8#3#9#9#10#12#12#12#12#12#12#12#13#14#14#14#14#15#15#15#15#15#8#8#5#5#5#5#5#5#5#0,0#4#63#16#62#47#4#8#86#2#7#62#26#10#31#4#2#22#11#2#2#5#42#7#3#3#4#14#11#4#1#4#144#2#27#2#2#4#3#2#3#47,0#2#34#8#34#29#4#7#27#2#1#26#25#8#21#4#1#16#7#1#1#3#25#6#2#0#3#7#2#3#0#2#51#1#2#1#1#4#3#1#2#1,0#16#246#304#446#770#80#399#2202#157#355#1036#761#348#900#296#31#422#232#6#2#123#734#332#52#86#109#433#272#57#46#12#2630#143#1107#7#6#175#106#12#104#1982,0#16#351#373#565#887#112#330#2441#106#244#1026#809#309#697#319#31#436#18#6#0#140#991#347#54#113#128#309#66#82#48#12#2627#23#1011#7#6#82#115#12#37#1570,0#1#1#1#1#1#1#1#1#1#1#0#0#0#1#1#1#1#0#0#0#1#0#1#1#0#1#1#1#0#1#1#1#0#1#0#0#0#0#0#0#0,0#1#1#1#1#1#1#1#1#1#1#1#0#1#1#1#1#1#1#1#1#1#1#1#1#0#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,0#1#1#1#1#1#1#1#1#1#1#1#0#1#1#1#1#1#1#1#1#1#1#1#1#0#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1
1120,0#255,0#40,13448.json,11#11,0.0030389251187443733#0.0028752642683684826,1.722277743093823E-7#1.728615791423329E-7,5#5,4#4,9#9,5#5,5.34#5.34,1#1,2#2,122.0#122.0,97.16620635986328#97.16620635986328,0#0,5#5,0#2,0#1,0#11,0#10,0#0,0#1,0#1
