Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
296,0,0,2780.json,15,0.0,2.7972688532125564E-6,1,1,2,2,2.27,1,16,124.0,93.23504638671875,2,1,0,0,0,0,0,0,0
4638,0#27#25#24#24#26#0,0#200#344#445#493#1409#1492,22.json,4#3#3#3#3#3#3,0.414252907037735#0.9318762421607971#0.5789304971694946#0.15415924787521362#0.26563194394111633#0.002493639010936022#0.002493639010936022,0.15346957564155908#0.9446475898587132#0.5988551500783327#0.5290237251164016#0.548723675681115#0.27798156728079365#0.27798156728079365,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,1.0#0.94#0.94#0.94#0.94#0.94#0.94,0#0#0#0#0#0#0,4#0#1#1#1#2#2,37.0#14.0#24.0#26.0#26.0#33.0#33.0,121.76114654541016#132.4454345703125#129.12539672851562#128.60531616210938#128.70916748046875#127.09538269042969#127.09538269042969,1#1#1#1#1#1#1,1#0#0#0#0#0#0,0#5#4#2#2#2#0,0#2#2#1#1#1#0,0#155#56#21#13#60#0,0#151#56#21#13#60#0,0#0#0#0#0#0#0,0#0#1#0#0#0#0,0#0#1#0#0#0#0
1640,0,0,1565.json,3,0.16573388874530792,0.525678653439164,0,0,0,1,0.94,0,1,23.0,128.97265625,2,0,0,0,0,0,0,0,0
4629,0#1#1#1#1#1,0#1#2#52#52#56,2027.json,27#29#24#11#14#14,0.007746216841042042#1.6147384303621948E-4#3.271812747698277E-4#0.062061503529548645#0.02779417484998703#0.0250925924628973,2.1482086647905868E-7#7.113320877452687E-8#9.460448575687492E-7#3.212671178923864E-4#1.5820760247343786E-4#3.422430774571796E-4,5#4#4#1#2#2,8#13#13#1#2#2,13#17#17#2#4#4,6#6#5#2#3#3,2.59#2.88#2.5#1.03#1.07#1.48,3#3#2#1#1#1,12#11#8#7#7#7,151.0#162.0#141.0#83.0#94.0#88.0,81.01346588134766#79.46685791015625#83.68757629394531#100.0225830078125#95.23859405517578#95.54688262939453,2#2#2#2#2#2,5#5#5#5#5#4,0#7#46#20#3#12,0#5#20#3#3#6,0#250#232#668#73#255,0#111#189#497#75#264,0#0#0#0#0#1,0#0#0#1#0#1,0#0#0#1#0#1
3531,0#0,0#385,410.json,1#1,0.9704892635345459#0.9704892635345459,0.9394663094487138#0.9394663094487138,0#0,0#0,0#0,1#1,0.0#0.0,0#0,0#0,9.0#9.0,153.63165283203125#153.63165283203125,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
3531,0,0,1168.json,3,0.833460807800293,0.9571652029310419,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
3531,0,0,1041.json,3,0.8985806703567505,0.8946628671478803,0,0,0,1,0.94,0,1,17.0,131.60067749023438,0,0,0,0,0,0,0,0,0
3307,0#33,0#1737,1932.json,8#6,0.012300139293074608#0.009638303890824318,0.0696488445942119#0.024748692308029455,0#0,0#0,0#0,1#1,1.56#1.37,0#0,3#3,49.0#50.0,108.57424926757812#113.07975769042969,3#3,2#2,0#2,0#1,0#19,0#7,0#0,0#0,0#0
2421,0#7,0#1109,285.json,3#3,0.5012145042419434#0.4828336536884308,0.9642452940175831#0.9433554040881055,0#0,0#0,0#0,1#1,0.94#0.94,0#0,0#0,12.0#12.0,133.59722900390625#133.59722900390625,0#0,0#0,0#6,0#3,0#12,0#0,0#0,0#0,0#0
3146,0,0,1147.json,3,0.5899598598480225,0.6705700222755734,0,0,0,1,0.94,0,1,20.0,130.07347106933594,1,0,0,0,0,0,0,0,0
2947,0#1,0#0,2405.json,8#6,0.20439760386943817#0.385224848985672,1.7034986209485704E-4#0.10933777682547698,0#0,0#0,0#0,1#1,1.2#2.13,0#0,10#4,84.0#45.0,105.31455993652344#113.67752075195312,4#4,4#1,0#7,0#2,0#262,0#263,0#0,0#0,0#0
