Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
1099,0,0,10057.json,3,0.4003453254699707,0.8892495365128107,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
668,0,0,22900.json,3,0.6804822683334351,0.8983751014611341,0,0,0,1,3.77,0,1,14.0,132.79563903808594,0,0,0,0,0,0,0,0,0
868,0#14,0#0,21329.json,3#3,0.850714921951294#0.9413757920265198,0.8640440209689771#0.9100369681880387,0#0,0#0,0#0,1#1,3.77#3.77,0#0,0#0,14.0#12.0,132.4454345703125#133.59722900390625,0#0,0#0,0#6,0#3,0#8,0#5,0#0,0#0,0#0
156,0#28#81,0#0#23,28873.json,3#3#3,0.0030405130237340927#0.025325387716293335#0.019273800775408745,0.12891074473456138#0.27539833356422067#0.344643088009657,0#0#0,0#0#0,0#0#0,1#1#1,3.77#3.77#3.77,0#0#0,1#1#1,32.0#28.0#28.0,127.17654418945312#128.0337677001953#128.0337677001953,1#1#1,0#0#0,0#4#4,0#2#2,0#42#44,0#42#44,0#0#0,0#0#0,0#0#0
287,0,0,26827.json,36,0.0,1.1817047057639615E-17,2,2,4,3,5.5,1,24,291.0,73.49893951416016,1,6,0,0,0,0,0,0,0
718,0#87,0#277,9065.json,12#12,0.0016053883591666818#0.0016861391486600041,5.600603866954074E-4#5.647319364685742E-4,1#1,1#1,2#2,2#2,4.62#4.62,1#1,10#10,88.0#88.0,98.3446273803711#98.3446273803711,2#2,2#2,0#2,0#1,0#7,0#7,0#0,0#0,0#0
387,0#16#157,0#7#104,27771.json,3#3#3,0.8324130177497864#0.8324130177497864#0.8606330752372742,0.8885483883934564#0.8885483883934564#0.8894810797570952,0#0#0,0#0#0,0#0#0,1#1#1,3.77#3.77#3.77,0#0#0,0#0#0,12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#0#2,0#0#1,0#0#5,0#0#5,0#0#0,0#0#0,0#0#0
2247,0#547#0#7,0#124#125#395,22601.json,9#9#9#9,0.7945773005485535#0.7945773005485535#0.7945773005485535#0.790673553943634,0.31197076692764697#0.31197076692764697#0.31197076692764697#0.36640074612387,2#2#2#2,2#2#2#2,4#4#4#4,3#3#3#3,5.33#5.33#5.33#5.33,1#1#1#1,4#4#4#4,45.0#45.0#45.0#44.0,107.07196044921875#107.07196044921875#107.07196044921875#107.2630615234375,1#1#1#1,0#0#0#0,0#0#0#2,0#0#0#1,0#0#0#6,0#0#0#6,0#0#0#0,0#0#0#0,0#0#0#0
1038,0#39,0#0,38221.json,3#3,0.2468925416469574#0.2578165829181671,0.6705236734010792#0.697013944068158,0#0,0#0,0#0,1#1,3.77#3.77,0#0,1#1,19.0#19.0,130.45266723632812#130.45266723632812,1#1,0#0,0#2,0#1,0#7,0#7,0#0,0#1,0#1
311,0,0,14871.json,8,0.3954552412033081,0.6061039718642105,1,1,2,2,5.66,1,2,36.0,110.52349090576172,1,1,0,0,0,0,0,0,0
402,0#213#174#620,0#76#119#399,34059.json,3#3#3#3,0.1777777373790741#0.7040359377861023#0.7040359377861023#0.7159091830253601,0.7581424250250403#0.863744874270185#0.863744874270185#0.866125333965855,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,3.77#3.77#3.77#3.77,0#0#0#0,0#0#0#0,15.0#12.0#12.0#12.0,131.9385528564453#133.59722900390625#133.59722900390625#133.59722900390625,0#0#0#0,0#0#0#0,0#2#0#2,0#1#0#1,0#20#0#7,0#20#0#7,0#0#0#0,0#0#0#0,0#0#0#0
450,0,0,8422.json,3,0.45049574971199036,0.8086064601240338,0,0,0,1,3.77,0,1,14.0,132.61029052734375,0,0,0,0,0,0,0,0,0
556,0#0,0#100,33327.json,4#4,5.844220286235213E-4#5.844220286235213E-4,0.07725835571373982#0.07725835571373982,0#0,0#0,0#0,1#1,4.0#4.0,0#0,1#1,36.0#36.0,121.82937622070312#121.82937622070312,3#3,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
51,0,0,31058.json,4,0.39289742708206177,0.5840036537070779,0,0,0,1,6.63,0,0,22.0,124.71717071533203,2,0,0,0,0,0,0,0,0
1896,0#0#10,0#109#355,25914.json,5#5#9,0.6118259429931641#0.6118259429931641#0.37243762612342834,0.2509218556948229#0.2509218556948229#0.022081318525882538,0#0#1,0#0#1,0#0#2,1#1#2,3.92#3.92#4.53,0#0#1,2#2#4,35.0#35.0#58.0,118.2244644165039#118.2244644165039#105.3288345336914,2#2#2,1#1#0,0#0#9,0#0#7,0#0#178,0#0#186,0#0#0,0#0#0,0#0#0
2032,0#16#0#0#0,0#0#117#463#786,25025.json,6#6#6#6#6,0.7235206365585327#0.5674661993980408#0.5674661993980408#0.5674661993980408#0.5674661993980408,0.7612217107102507#0.7932646292751602#0.7932646292751602#0.7932646292751602#0.7932646292751602,1#1#1#1#1,1#1#1#1#1,2#2#2#2#2,2#2#2#2#2,5.5#5.5#5.5#5.5#5.5,1#1#1#1#1,1#1#1#1#1,26.0#25.0#25.0#25.0#25.0,117.25019073486328#117.56661224365234#117.56661224365234#117.56661224365234#117.56661224365234,0#0#0#0#0,0#0#0#0#0,0#12#0#0#0,0#6#0#0#0,0#17#0#0#0,0#11#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
1415,0#0#6,0#169#845,24847.json,3#3#3,0.7967643141746521#0.7967643141746521#0.7967643141746521,0.7919527683806256#0.7919527683806256#0.7919527683806256,0#0#0,0#0#0,0#0#0,1#1#1,3.77#3.77#3.77,0#0#0,0#0#0,18.0#18.0#18.0,130.85629272460938#130.85629272460938#130.85629272460938,1#1#1,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
2781,0#0#146#1#0#164#0,0#450#451#658#659#912#912,36798.json,3#3#3#3#3#3#3,0.3851919174194336#0.3851919174194336#0.408253937959671#0.408253937959671#0.408253937959671#0.408253937959671#0.408253937959671,0.8406880781938861#0.8406880781938861#0.861922919936148#0.861922919936148#0.861922919936148#0.861922919936148#0.861922919936148,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,3.77#3.77#3.77#3.77#3.77#3.77#3.77,0#0#0#0#0#0#0,0#0#0#0#0#0#0,14.0#14.0#14.0#14.0#14.0#14.0#14.0,132.4454345703125#132.4454345703125#132.4454345703125#132.4454345703125#132.4454345703125#132.4454345703125#132.4454345703125,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#4#0#0#0#0,0#0#2#0#0#0#0,0#0#39#0#0#0#0,0#0#39#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0
2072,0#0#3#12#0#5,0#157#171#406#418#503,14362.json,3#3#3#3#3#3,0.07853323966264725#0.07853323966264725#0.0882759839296341#0.0169371347874403#0.0169371347874403#0.0169371347874403,0.17490987838894134#0.17490987838894134#0.15482768593262916#0.08789113065793383#0.08789113065793383#0.08789113065793383,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,1#1#1#1#1#1,3.77#3.77#3.77#3.77#3.77#3.77,0#0#0#0#0#0,2#2#2#2#2#2,30.0#30.0#30.0#33.0#33.0#33.0,127.36779022216797#127.36779022216797#127.36779022216797#126.74282836914062#126.74282836914062#126.74282836914062,2#2#2#3#3#3,0#0#0#0#0#0,0#0#2#2#0#0,0#0#1#1#0#0,0#0#9#18#0#0,0#0#9#18#0#0,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0
1668,0#0,0#14,40749.json,3#3,0.7737541794776917#0.7737541794776917,0.9093940300892764#0.9093940300892764,0#0,0#0,0#0,1#1,3.77#3.77,0#0,0#0,12.0#12.0,133.59722900390625#133.59722900390625,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
456,0,0,41596.json,12,0.03953669220209122,0.021437427357050273,0,0,0,1,6.07,0,5,63.0,100.34947967529297,1,1,0,0,0,0,0,0,0
825,0#36,0#19,6857.json,3#3,0.48473113775253296#0.48473113775253296,0.8330352023751982#0.8330352023751982,0#0,0#0,0#0,1#1,3.77#3.77,0#0,1#1,15.0#15.0,132.25152587890625#132.25152587890625,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
5,0,0,3393.json,3,0.9672681093215942,0.4326208579066437,0,0,0,1,3.77,0,1,19.0,130.45266723632812,1,0,0,0,0,0,0,0,0
