Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
2249,0#12#2,0#9#315,104.json,9#9#10,0.2082500159740448#0.26771247386932373#0.2221398651599884,0.019651278718820907#0.03316760881527424#0.14120679818062007,0#0#0,0#0#0,0#0#0,2#2#2,2.33#2.33#3.52,1#1#1,5#5#4,55.0#52.0#47.0,105.69178771972656#105.98345184326172#104.89613342285156,1#1#1,0#0#0,0#2#3,0#1#2,0#3#71,0#3#56,0#0#1,0#0#1,0#0#1
2239,0#34#0#32#59,0#14#18#40#49,9640.json,3#3#3#3#3,0.7671760320663452#0.838926374912262#0.838926374912262#0.7671760320663452#0.838926374912262,0.9641375694434197#0.9648723773685035#0.9648723773685035#0.9641375694434197#0.9648723773685035,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,0.94#0.94#0.94#0.94#0.94,0#0#0#0#0,0#0#0#0#0,12.0#12.0#12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625,0#0#0#0#0,0#0#0#0#0,0#2#0#2#2,0#1#0#1#1,0#5#0#5#5,0#5#0#5#5,0#0#0#0#0,0#1#1#0#0,0#1#1#0#0
3432,0#0,0#827,761.json,23#23,0.07822710275650024#0.07822710275650024,0.005078738420357992#0.005078738420357992,2#2,6#6,8#8,6#6,1.85#1.85,3#3,1#1,115.0#115.0,85.5306167602539#85.5306167602539,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1367,0#11#0#9#6#1,0#22#699#1059#1064#1241,2260.json,11#16#16#19#19#19,0.01959826610982418#0.003226150991395116#0.003226150991395116#0.0#0.0#0.0,0.017140749019888598#3.9832527917442435E-4#3.9832527917442435E-4#1.385443788646203E-7#1.3894250305873255E-7#9.494016559552675E-8,0#1#1#3#3#3,0#1#1#2#2#2,0#2#2#5#5#5,1#2#2#3#3#3,2.8#2.67#2.67#2.79#2.79#2.79,1#1#1#1#1#1,2#3#3#8#8#8,62.0#89.0#89.0#130.0#130.0#132.0,101.92013549804688#93.39623260498047#93.39623260498047#88.17478942871094#88.17478942871094#88.09539794921875,4#4#4#4#4#4,1#2#2#2#2#2,0#9#0#15#2#2,0#7#0#9#1#1,0#264#0#492#8#13,0#255#0#473#8#13,0#0#0#0#0#0,0#1#0#0#0#0,0#1#0#0#0#0
497,0,0,7760.json,7,0.03490857034921646,0.3667752728097717,0,0,0,2,2.56,1,2,39.0,112.04727172851562,1,1,0,0,0,0,0,0,0
777,0,0,4953.json,32,8.701905608177185E-4,8.09167156083689E-10,3,2,5,4,2.79,3,21,185.0,77.41511535644531,2,1,0,0,0,0,0,0,0
548,0#49#3,0#171#176,7289.json,3#3#3,0.10303539037704468#0.15366819500923157#0.15366819500923157,0.9156289785001381#0.9028875708092157#0.9028875708092157,0#0#0,0#0#0,0#0#0,1#1#1,0.94#0.94#0.94,0#0#0,0#0#0,13.0#13.0#13.0,132.9956512451172#132.9956512451172#132.9956512451172,0#0#0,0#0#0,0#2#0,0#1#0,0#8#0,0#8#0,0#0#0,0#0#1,0#0#1
2288,0#9,0#27,6599.json,3#3,0.7605429291725159#0.734727680683136,0.9561912306345#0.9711722172012177,0#0,0#0,0#0,1#1,0.94#0.94,0#0,0#0,12.0#11.0,133.59722900390625#134.26058959960938,0#0,0#0,0#2,0#1,0#7,0#7,0#0,0#0,0#0
1520,0#5#2#28#5#8,0#70#119#489#1414#1415,3678.json,56#85#85#86#90#90,0.0#0.0#0.0#0.0#0.0#0.0,7.079081850039752E-18#5.668469509790034E-30#4.359082461028533E-30#1.8021505851243783E-30#2.014041431617934E-30#6.040943987032841E-30,10#12#12#12#11#11,11#12#12#12#11#11,21#24#24#24#22#22,9#11#11#11#11#11,4.05#7.33#7.33#7.47#5.95#5.95,4#8#8#8#7#7,17#28#29#29#34#34,312.0#482.0#484.0#488.0#503.0#500.0,64.23754119873047#54.352210998535156#54.32139205932617#54.070831298828125#53.18600845336914#53.235591888427734,4#4#4#4#4#3,7#11#11#11#9#9,0#71#3#1#156#2,0#55#2#1#82#1,0#2300#32#39#1750#25,0#1913#31#11#1893#25,0#0#0#0#0#0,0#1#1#0#1#0,0#1#1#0#1#0
940,0,0,5747.json,20,0.0017638576682657003,2.6326418342200748E-6,7,5,12,5,2.54,3,8,127.0,87.00524139404297,2,7,0,0,0,0,0,0,0
