Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
1167,0,0,104.json,3,0.8452727794647217,0.8156591581442174,0,0,0,1,0.94,0,1,18.0,130.85629272460938,1,0,0,0,0,0,0,0,0
3157,0#374,0#1822,21852.json,4#3,0.7263745665550232#0.3246195912361145,0.37359291872651756#0.6850005414751311,1#0,1#0,2#0,2#1,1.0#0.94,0#0,2#1,31.0#20.0,122.53004455566406#130.07347106933594,1#1,1#0,0#3,0#1,0#64,0#64,0#0,0#1,0#1
1564,0#53#18#18,0#23#149#1440,20823.json,3#3#3#3,0.3795568346977234#0.3795568346977234#0.3795568346977234#0.3795568346977234,0.9316796806545795#0.9316796806545795#0.9316796806545795#0.9316796806545795,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,0.94#0.94#0.94#0.94,0#0#0#0,0#0#0#0,12.0#12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0
3269,0,0,21746.json,3,0.6298864483833313,0.8444691879340928,0,0,0,1,0.94,0,2,16.0,131.91592407226562,0,0,0,0,0,0,0,0,0
210,0#18,0#87,9640.json,54#55,0.0#0.0,7.699942209709598E-14#6.135856520296233E-14,6#6,5#5,11#11,6#6,6.07#6.12,4#4,20#21,281.0#285.0,66.4222412109375#66.03096008300781,1#1,3#3,0#2,0#2,0#29,0#28,0#0,0#0,0#0
1167,0,0,761.json,3,0.6750948429107666,0.836067001444932,0,0,0,1,0.98,0,3,24.0,129.2378692626953,0,0,0,0,0,0,0,0,0
2670,0#10#2#15,0#0#112#1937,20080.json,8#8#8#8,0.008498412556946278#0.007624412886798382#0.005213581491261721#0.004425667226314545,0.045162974727803736#0.04332223380031117#0.01852125438822338#0.04719755371106396,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,2.6#2.6#2.6#2.6,0#0#0#0,5#5#5#5,57.0#57.0#60.0#54.0,108.21082305908203#108.21082305908203#107.74464416503906#108.29251861572266,1#1#1#1,0#0#0#0,0#4#2#10,0#2#1#5,0#20#3#30,0#20#3#10,0#0#0#0,0#0#0#0,0#0#0#0
1167,0,0,2260.json,3,0.0012251861626282334,0.45273444043650574,0,0,0,1,0.94,0,1,28.0,128.21994018554688,3,0,0,0,0,0,0,0,0
3618,0#0,0#254,14843.json,7#7,0.04047676920890808#0.04047676920890808,0.030343265358538898#0.030343265358538898,1#1,1#1,2#2,2#2,1.51#1.51,1#1,3#3,55.0#55.0,109.9588851928711#109.9588851928711,1#1,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1167,0,0,7760.json,3,0.9674601554870605,0.9635253099185546,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
1167,0,0,4953.json,5,0.0026267357170581818,0.1409193073679178,0,0,0,1,0.98,0,3,39.0,117.66175079345703,1,0,0,0,0,0,0,0,0
1335,0,0,13448.json,10,0.14287278056144714,0.17700920699290354,0,0,0,1,2.05,1,5,55.0,104.64515686035156,1,0,0,0,0,0,0,0,0
1167,0,0,7289.json,3,0.9240196347236633,0.9339723990603577,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
1167,0#125,0#84,9801.json,3#3,0.546697735786438#0.5428022742271423,0.6936176791455277#0.6750096197531247,0#0,0#0,0#0,1#1,0.94#0.94,0#0,1#2,21.0#22.0,129.7158966064453#129.47398376464844,1#1,0#0,0#2,0#1,0#9,0#9,0#0,0#0,0#0
459,0,0,6599.json,12,0.1798119693994522,0.30289389493655017,0,0,0,1,4.04,0,0,52.0,101.92023468017578,4,0,0,0,0,0,0,0,0
1167,0,0,10470.json,13,0.009379517287015915,0.00792924293411871,2,2,4,3,3.2,2,3,78.0,97.52046203613281,2,2,0,0,0,0,0,0,0
