Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
4969,0,0,104.json,12,7.081019575707614E-4,4.461904935743156E-4,1,1,2,2,1.66,1,6,86.0,98.62008666992188,2,2,0,0,0,0,0,0,0
6667,0#0#11#21#8#12#0#0#0#0#52#0,0#0#1#2#8#12#12#24#24#24#479#1357,761.json,8#8#8#11#11#11#11#11#11#11#3#3,0.31630533933639526#0.31630533933639526#0.1762823909521103#0.5299004316329956#0.5299004316329956#0.5059687495231628#0.5059687495231628#0.5059687495231628#0.5059687495231628#0.5059687495231628#0.7373793721199036#0.7373793721199036,0.10067154800063206#0.10067154800063206#0.1397454378898742#0.07065631515014444#0.07065631515014444#0.0707668165172311#0.0707668165172311#0.0707668165172311#0.0707668165172311#0.0707668165172311#0.6453477623235155#0.6453477623235155,0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1#1#1,1.94#1.94#1.94#1.98#1.98#1.98#1.98#1.98#1.98#1.98#0.94#0.94,1#1#1#1#1#1#1#1#1#1#0#0,2#2#2#2#2#2#2#2#2#2#0#0,49.0#49.0#46.0#59.0#59.0#59.0#59.0#59.0#59.0#59.0#22.0#22.0,108.73788452148438#108.73788452148438#109.00934600830078#102.35182189941406#102.35182189941406#102.35182189941406#102.35182189941406#102.35182189941406#102.35182189941406#102.35182189941406#129.57785034179688#129.57785034179688,1#1#1#1#1#1#1#1#1#1#1#1,0#0#0#0#0#0#0#0#0#0#0#0,0#0#10#4#0#4#0#0#0#0#13#0,0#0#5#4#0#2#0#0#0#0#2#0,0#0#37#76#0#12#0#0#0#0#223#0,0#0#37#84#0#12#0#0#0#0#240#0,0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#1#0,0#0#0#0#0#0#0#0#0#0#1#1
6666,0#7#0#0#0#25#46#64#38#0#2#2#46#4,0#23#23#23#23#26#215#619#854#1356#3744#4888#4909#4913,2260.json,5#5#5#5#5#5#5#5#5#5#5#5#5#5,0.2867797315120697#0.27928733825683594#0.27928733825683594#0.27928733825683594#0.27928733825683594#0.27928733825683594#0.2391386330127716#0.16926227509975433#0.16926227509975433#0.16926227509975433#0.006719237193465233#0.006008676718920469#0.005364155862480402#0.008573385886847973,0.7903840531696995#0.75304148808536#0.75304148808536#0.75304148808536#0.75304148808536#0.75304148808536#0.7203688367875288#0.5577046108848247#0.5577046108848247#0.5577046108848247#0.12526993647758217#0.1231917250455497#0.12282140713138939#0.18456453124696878,0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0,2#2#2#2#2#2#2#2#2#2#2#2#2#2,1.5#1.5#1.5#1.5#1.5#1.5#1.5#1.5#1.5#1.5#1.5#1.5#1.5#1.5,1#1#1#1#1#1#1#1#1#1#1#1#1#1,2#2#2#2#2#2#2#3#3#3#5#5#5#5,26.0#26.0#26.0#26.0#26.0#26.0#26.0#29.0#29.0#29.0#39.0#39.0#39.0#37.0,120.09993743896484#120.09993743896484#120.09993743896484#120.09993743896484#120.09993743896484#120.09993743896484#120.09993743896484#119.43572235107422#119.43572235107422#119.43572235107422#117.49811553955078#117.49811553955078#117.49811553955078#117.84197235107422,0#0#0#0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1#1#1#1#1,0#2#0#0#0#0#2#2#0#0#2#2#2#4,0#1#0#0#0#0#1#1#0#0#1#1#1#2,0#4#0#0#0#0#9#24#0#0#51#14#9#30,0#4#0#0#0#0#9#24#0#0#51#14#9#30,0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#1#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#1#0#0#0#0
47,0#57#128,0#7#20,2810.json,4#4#23,0.0213785357773304#0.11615093052387238#0.0,0.3918060563819538#0.4585789195584373#1.377626941666445E-8,0#0#5,0#0#4,0#0#9,1#1#4,1.66#1.66#3.34,0#0#1,1#1#16,29.0#27.0#170.0,122.88362884521484#123.25521087646484#83.28141784667969,3#3#1,0#0#5,0#2#31,0#1#8,0#12#1634,0#12#916,0#0#0,0#0#1,0#0#1
6125,0#43#38#0,0#5#313#815,2294.json,11#11#9#9,0.19321240484714508#0.19321240484714508#0.1716281622648239#0.1716281622648239,0.050617145362287924#0.050617145362287924#0.019809425916626277#0.019809425916626277,0#0#0#0,0#0#0#0,0#0#0#0,3#3#3#3,1.34#1.34#1.47#1.47,1#1#1#1,3#3#3#3,60.0#60.0#60.0#60.0,101.7142562866211#101.7142562866211#104.96511840820312#104.96511840820312,2#2#2#2,0#0#0#0,0#0#0#0,0#0#0#0,0#0#20#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#1
5975,0#0,0#665,1843.json,4#4,0.004178953357040882#0.004178953357040882,0.12050999303990509#0.12050999303990509,0#0,0#0,0#0,1#1,2.45#2.45,0#0,2#2,37.0#37.0,121.76114654541016#121.76114654541016,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#1
1320,0,0,2249.json,3,0.33096444606781006,0.6468108373018898,0,0,0,1,0.94,0,1,19.0,130.34019470214844,0,0,0,0,0,0,0,0,0
2138,0,0,474.json,9,4.572463221848011E-4,0.013008289868894527,1,1,2,2,2.11,0,2,63.0,105.1814193725586,4,0,0,0,0,0,0,0,0
3244,0,0,274.json,4,0.9221818447113037,0.7553107426357343,0,0,0,1,1.0,0,1,23.0,124.58238983154297,1,0,0,0,0,0,0,0,0
5370,0,0,260.json,3,0.839063286781311,0.9403983574691065,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
