Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
1627,0#127#43#12,0#526#608#699,10057.json,12#13#13#13,0.02254922315478325#0.026074139401316643#0.02520744502544403#0.024892088025808334,1.6797105892151884E-4#2.555823164289075E-4#4.011298248370236E-4#3.99059183988098E-4,3#3#3#3,2#2#2#2,5#5#5#5,4#4#4#4,1.91#2.01#2.01#2.01,2#2#2#2,6#6#6#6,87.0#87.0#85.0#85.0,97.94405364990234#96.6473617553711#96.8052978515625#96.8052978515625,2#2#2#2,2#2#2#2,0#3#8#2,0#2#4#1,0#24#32#15,0#16#12#15,0#0#0#0,0#0#0#0,0#0#0#0
3418,0#1325#0#3#1830#2970,0#203#447#930#1147#3189,22900.json,4#4#4#4#6#3,0.8870577812194824#0.836051881313324#0.836051881313324#0.836051881313324#0.6191405057907104#0.8966719508171082,0.9070071468329283#0.8982313341938725#0.8982313341938725#0.8982313341938725#0.7674965179760054#0.9273775968612462,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,1#1#1#1#1#1,1.0#1.0#1.0#1.0#0.94#0.94,0#0#0#0#0#0,0#0#0#0#1#0,21.0#21.0#21.0#21.0#31.0#15.0,125.39425659179688#125.39425659179688#125.39425659179688#125.39425659179688#116.4616928100586#131.9385528564453,0#0#0#0#0#0,0#0#0#0#0#0,0#2#0#0#4#5,0#1#0#0#3#1,0#8#0#0#54#75,0#8#0#0#50#69,0#0#0#0#0#0,0#0#0#1#0#0,0#0#0#1#0#0
2638,0#125#43#43#56#3#190#1407#2679#6140,0#79#93#93#94#150#223#939#2074#2107,21329.json,53#73#73#73#73#73#82#82#90#90,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,1.5146351048663336E-22#4.255930764850906E-33#1.047118404530042E-33#4.255930764850906E-33#1.047118404530042E-33#1.047118404530042E-33#5.932637430528101E-39#1.418730304710634E-40#2.3066922761799883E-45#2.3644918132469116E-51,4#6#6#6#6#6#6#6#6#6,9#12#12#12#12#12#14#14#16#16,13#18#18#18#18#18#20#20#22#22,11#14#14#14#14#14#16#16#18#18,3.84#3.85#3.85#3.85#3.85#3.85#3.66#3.57#3.43#3.43,5#5#5#5#5#5#5#5#5#5,18#25#26#25#26#26#29#29#32#32,362.0#498.0#502.0#498.0#502.0#502.0#568.0#580.0#638.0#689.0,63.987022399902344#56.23983383178711#56.17323303222656#56.23983383178711#56.17323303222656#56.17323303222656#53.127777099609375#52.9738883972168#50.45668029785156#49.9771614074707,2#2#2#2#2#2#2#2#2#2,4#8#8#8#8#8#8#8#8#8,0#34#18#18#18#0#39#24#8#10,0#27#9#9#9#0#24#12#8#5,0#888#701#701#701#0#470#258#359#173,0#968#695#695#695#0#484#221#376#245,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#1#0#0#0#0,0#0#0#0#0#1#0#0#0#0
2432,0,0,28873.json,3,0.7074722051620483,0.8843729525708788,0,0,0,1,0.94,0,0,17.0,131.28770446777344,1,0,0,0,0,0,0,0,0
4087,0#0#0#0#3,0#293#379#1116#1599,26827.json,3#3#3#3#3,0.8797945976257324#0.8797945976257324#0.8797945976257324#0.8797945976257324#0.8797945976257324,0.8749338451356488#0.8749338451356488#0.8749338451356488#0.8749338451356488#0.8749338451356488,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,0.94#0.94#0.94#0.94#0.94,0#0#0#0#0,0#0#0#0#0,15.0#15.0#15.0#15.0#15.0,131.9385528564453#131.9385528564453#131.9385528564453#131.9385528564453#131.9385528564453,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#1,0#0#0#0#1
1326,0,0,9065.json,20,0.0012332770274952054,5.83824829345565E-6,3,2,5,3,4.31,1,4,118.0,88.11459350585938,1,4,0,0,0,0,0,0,0
1977,0,0,27771.json,3,0.7698478698730469,0.9041954640126468,0,0,0,1,0.94,0,0,14.0,132.4454345703125,0,0,0,0,0,0,0,0,0
1698,0#6140,0#1168,22601.json,3#3,0.0#0.0,0.003206487740786314#5.041700574594432E-4,0#0,0#0,0#0,1#1,0.94#0.94,0#0,1#1,53.0#63.0,123.9578857421875#122.96892547607422,3#3,0#0,0#2,0#1,0#28,0#28,0#0,0#0,0#0
1530,0#8#53#5#11#7,0#74#179#789#1107#1461,14871.json,14#11#27#27#27#27,0.0611199252307415#0.016818193718791008#6.558347959071398E-4#6.538909510709345E-4#7.364226621575654E-4#7.364226621575654E-4,0.020780573863568876#0.045703929699207696#2.981744972446699E-9#2.903352695266991E-9#2.7583674766319284E-9#2.7583674766319284E-9,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,3#2#4#4#4#4,1.35#1.43#2.88#2.75#2.75#2.75,1#1#2#2#2#2,4#4#12#12#12#12,66.0#55.0#166.0#166.0#166.0#166.0,97.22820281982422#102.44091796875#80.78795623779297#80.78795623779297#80.78795623779297#80.78795623779297,0#0#0#0#0#0,1#1#4#4#4#4,0#11#35#6#2#0,0#4#26#3#1#0,0#176#979#6#15#0,0#174#1027#2#15#0,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0
3695,0#2#5#5#3#0#8#83#83#5#20#2#2,0#143#667#668#686#724#745#850#851#1014#1823#1883#2642,34059.json,24#28#38#28#29#29#42#42#42#4#4#4#4,0.03916756808757782#0.003723305882886052#2.1393693168647587E-4#0.003723305882886052#0.002512403531000018#0.002512403531000018#2.554485690779984E-4#2.4108191428240389E-4#2.554485690779984E-4#0.3572995960712433#0.14063043892383575#0.07689855247735977#0.07689855247735977,6.694335996009491E-9#1.359702740159945E-9#3.4187102464218745E-14#1.359702740159945E-9#2.098432790334892E-10#2.098432790334892E-10#5.600913985338266E-14#4.672944453374835E-14#5.600913985338266E-14#0.15805540427473258#0.07089515656274278#0.061644318594847064#0.061644318594847064,5#6#8#6#6#6#8#8#8#0#0#0#0,5#6#8#6#6#6#8#8#8#0#0#0#0,10#12#16#12#12#12#16#16#16#0#0#0#0,7#8#11#8#8#8#11#11#11#1#1#1#1,1.83#1.73#1.52#1.73#1.7#1.7#1.75#1.75#1.75#1.0#1.0#1.0#1.0,1#1#1#1#1#1#1#1#1#0#0#0#0,13#15#21#15#15#15#21#21#21#2#2#3#3,163.0#184.0#261.0#184.0#192.0#192.0#269.0#269.0#269.0#34.0#39.0#39.0#39.0,82.18220520019531#78.82479858398438#71.17759704589844#78.82479858398438#77.9935302734375#77.9935302734375#69.36488342285156#69.34813690185547#69.36488342285156#121.9271469116211#121.15380859375#121.09674835205078#121.09674835205078,1#1#1#1#1#1#1#1#1#1#1#1#1,6#6#9#6#6#6#9#9#9#1#1#1#1,0#6#22#22#2#0#28#2#2#57#2#2#0,0#6#19#3#1#0#25#1#1#2#1#1#0,0#187#726#726#38#0#779#20#20#1883#21#12#0,0#139#486#486#39#0#486#20#20#1457#21#12#0,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#1#0#0,0#0#0#0#0#0#0#0#0#0#1#0#0
