Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
4199,0#0#35,0#710#1620,104.json,3#3#3,0.654025673866272#0.654025673866272#0.65598464012146,0.9248499802479367#0.9248499802479367#0.873245936773494,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#3.77,0#0#0,0#0#0,12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#0#6,0#0#3,0#0#16,0#0#0,0#0#0,0#0#0,0#0#0
770,0#132#16#10#14,0#5#503#503#503,21852.json,18#18#18#15#15,0.08988118171691895#0.09605010598897934#0.098060742020607#0.1461869180202484#0.18025177717208862,0.059357329022171175#0.05840947564445634#0.058800072580154863#0.05248877615857881#0.0926967209007358,3#3#3#2#2,3#3#3#2#2,6#6#6#4#4,4#4#4#3#3,7.12#7.12#7.12#7.62#7.62,1#1#1#1#1,5#5#5#5#4,78.0#78.0#78.0#69.0#66.0,92.23201751708984#92.23201751708984#92.23201751708984#96.05315399169922#96.33216094970703,1#1#1#1#1,2#2#2#2#2,0#4#2#4#2,0#2#1#0#1,0#20#14#55#20,0#20#14#61#20,0#0#0#0#0,0#1#1#0#0,0#1#1#0#0
4689,0#0#109#0#1#459#115,0#17#999#1200#1361#3919#3954,21746.json,3#3#3#3#3#3#3,0.5260826349258423#0.5260826349258423#0.6085410118103027#0.6085410118103027#0.6085410118103027#0.6085410118103027#0.6221893429756165,0.9231060695399249#0.9231060695399249#0.8731474854975511#0.8731474854975511#0.8731474854975511#0.8731474854975511#0.8517892194033553,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,3.77#3.77#3.77#3.77#3.77#3.77#3.77,0#0#0#0#0#0#0,0#0#1#1#1#1#1,12.0#12.0#15.0#15.0#15.0#15.0#15.0,133.59722900390625#133.59722900390625#132.086669921875#132.086669921875#132.086669921875#132.086669921875#132.086669921875,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#2#0#0#0#2,0#0#1#0#0#0#1,0#0#6#0#0#0#3,0#0#6#0#0#0#3,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0
468,0,0,9640.json,3,0.6925788521766663,0.8218040401651783,0,0,0,1,3.77,0,1,15.0,132.086669921875,0,0,0,0,0,0,0,0,0
1455,0,0,23917.json,6,0.189106747508049,0.0864539079037567,1,1,2,2,9.98,0,4,42.0,113.96991729736328,3,1,0,0,0,0,0,0,0
2361,0#4#6,0#0#0,2260.json,11#11#11,0.037794794887304306#0.022693347185850143#0.015256715007126331,0.009817487361490036#0.015168084636307151#0.006664272909673094,2#2#2,2#2#2,4#4#4,3#3#3,5.12#6.63#5.12,1#1#1,3#3#3,70.0#70.0#70.0,101.10059356689453#101.10059356689453#101.10059356689453,1#1#1,0#0#0,0#3#2,0#2#0,0#96#101,0#7#0,0#0#0,0#0#0,0#0#0
4689,0#0#0,0#17#1200,14843.json,3#3#3,0.29677724838256836#0.29677724838256836#0.29677724838256836,0.9051126985608569#0.9051126985608569#0.9051126985608569,0#0#0,0#0#0,0#0#0,1#1#1,3.77#3.77#3.77,0#0#0,0#0#0,12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
1668,0#118,0#801,7760.json,3#3,0.5435603260993958#0.5202325582504272,0.9370452056651369#0.7816853355722544,0#0,0#0,0#0,1#1,3.77#3.77,0#0,0#0,12.0#17.0,133.59722900390625#131.03103637695312,0#0,0#0,0#4,0#2,0#27,0#27,0#0,0#0,0#0
1842,0#51#93#200,0#6#6#1000,4953.json,4#4#4#4,0.25574344396591187#0.2453579157590866#0.25574344396591187#0.15786921977996826,0.6504860269406796#0.725256046334771#0.6504860269406796#0.6539106767745598,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,4.0#4.0#4.0#4.0,0#0#0#0,0#0#0#1,22.0#20.0#22.0#22.0,124.91740417480469#125.5254898071289#124.91740417480469#125.02987670898438,1#1#1#1,0#0#0#0,0#2#2#2,0#1#1#1,0#8#8#24,0#8#8#24,0#0#0#0,0#0#0#0,0#0#0#0
3782,0#0#25#0#0#92#417,0#293#939#1407#1407#2327#3223,13448.json,3#3#3#3#3#3#3,0.8831312656402588#0.8831312656402588#0.8831312656402588#0.8831312656402588#0.8831312656402588#0.8831312656402588#0.8633034229278564,0.9101103906132773#0.9101103906132773#0.9101103906132773#0.9101103906132773#0.9101103906132773#0.9101103906132773#0.908180548324005,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,3.77#3.77#3.77#3.77#3.77#3.77#3.77,0#0#0#0#0#0#0,0#0#0#0#0#0#0,12.0#12.0#12.0#12.0#12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#2,0#0#0#0#0#0#1,0#0#0#0#0#0#3,0#0#0#0#0#0#3,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0
1541,0,0,9801.json,3,0.4890746772289276,0.8135206213611376,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,0,0,0,0,0,0,0,0
1878,0,0,6599.json,3,0.5204674601554871,0.676746407952651,0,0,0,1,3.77,0,2,18.0,130.99049377441406,0,0,0,0,0,0,0,0,0
4689,0#0#0#26#17,0#17#1200#1405#4434,10470.json,3#3#3#3#3,0.6016161441802979#0.6016161441802979#0.6016161441802979#0.6016161441802979#0.8701457381248474,0.828749499503328#0.828749499503328#0.828749499503328#0.828749499503328#0.7518772544035746,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,3.77#3.77#3.77#3.77#3.77,0#0#0#0#0,1#1#1#1#1,18.0#18.0#18.0#18.0#20.0,130.85629272460938#130.85629272460938#130.85629272460938#130.85629272460938#130.07347106933594,1#1#1#1#1,0#0#0#0#0,0#0#0#0#2,0#0#0#0#1,0#0#0#0#31,0#0#0#0#29,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
4689,0#0#0#0#5#1954#7,0#17#1200#1395#1438#3234#3234,16880.json,4#4#4#4#4#14#3,0.6725901365280151#0.6725901365280151#0.6725901365280151#0.6725901365280151#0.25411757826805115#0.09024658054113388#0.7523818612098694,0.9600275472501472#0.9600275472501472#0.9600275472501472#0.9600275472501472#0.9090566033256438#0.023122731923994007#0.6714678059823505,0#0#0#0#0#2#0,0#0#0#0#0#2#0,0#0#0#0#0#4#0,1#1#1#1#1#4#1,3.46#3.46#3.46#3.46#3.46#7.08#3.77,0#0#0#0#0#2#0,0#0#0#0#1#9#2,12.0#12.0#12.0#12.0#15.0#77.0#21.0,128.936767578125#128.936767578125#128.936767578125#128.936767578125#127.59107971191406#96.46815490722656#129.81976318359375,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#2#20#15,0#0#0#0#1#17#1,0#0#0#0#27#624#580,0#0#0#0#27#548#513,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0
4689,0#0#0#0#105,0#17#1200#1395#1438,17071.json,3#3#3#3#3,0.8513831496238708#0.8513831496238708#0.8513831496238708#0.8513831496238708#0.8888611197471619,0.9123945097631886#0.9123945097631886#0.9123945097631886#0.9123945097631886#0.9116116109763445,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,3.77#3.77#3.77#3.77#3.77,0#0#0#0#0,0#0#0#0#0,12.0#12.0#12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625,0#0#0#0#0,0#0#0#0#0,0#0#0#0#2,0#0#0#0#1,0#0#0#0#6,0#0#0#0#6,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
4689,0#0#0#0#5,0#17#1200#1405#4084,20426.json,4#4#4#4#4,0.8444754481315613#0.8444754481315613#0.8444754481315613#0.8444754481315613#0.8463517427444458,0.3872775779026917#0.3872775779026917#0.3872775779026917#0.3872775779026917#0.38384524349019317,1#1#1#1#1,1#1#1#1#1,2#2#2#2#2,2#2#2#2#2,4.0#4.0#4.0#4.0#4.0,0#0#0#0#0,2#2#2#2#2,29.0#29.0#29.0#29.0#29.0,122.96084594726562#122.96084594726562#122.96084594726562#122.96084594726562#122.96084594726562,0#0#0#0#0,1#1#1#1#1,0#0#0#0#2,0#0#0#0#1,0#0#0#0#6,0#0#0#0#6,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
4689,0#0#0#0#1954,0#17#1200#1395#3234,17141.json,3#3#3#3#3,0.1537298560142517#0.1537298560142517#0.1537298560142517#0.1537298560142517#0.07852460443973541,0.7432295294141368#0.7432295294141368#0.7432295294141368#0.7432295294141368#0.70972327137348,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,3.77#3.77#3.77#3.77#3.77,0#0#0#0#0,2#2#2#2#3,18.0#18.0#18.0#18.0#19.0,131.1385955810547#131.1385955810547#131.1385955810547#131.1385955810547#130.85745239257812,0#0#0#0#0,0#0#0#0#0,0#0#0#0#2,0#0#0#0#1,0#0#0#0#21,0#0#0#0#21,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
2843,0#25#92,0#0#1388,22852.json,3#3#3,0.4290115535259247#0.4290115535259247#0.4290115535259247,0.8192415335803858#0.8192415335803858#0.8192415335803858,0#0#0,0#0#0,0#0#0,1#1#1,3.77#3.77#3.77,0#0#0,0#0#0,17.0#17.0#17.0,131.03103637695312#131.03103637695312#131.03103637695312,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
3822,0#0#10#139#1954#207,0#333#749#1259#2367#3515,16005.json,16#14#9#9#9#9,4.5713421422988176E-4#3.324122808407992E-4#0.0#0.0#1.214573421748355E-4#1.2405606685206294E-4,1.369903868779971E-6#4.7374805507367466E-7#1.9997008774049466E-7#1.3617405899544475E-7#1.3360089386100887E-7#1.3408062748994174E-7,1#1#1#1#1#1,1#1#1#1#1#1,2#2#2#2#2#2,2#2#2#2#2#2,5.35#5.6#4.53#4.53#4.53#4.53,1#1#1#1#1#1,9#9#9#9#9#9,113.0#113.0#109.0#111.0#111.0#111.0,91.87138366699219#94.03459167480469#101.44969177246094#101.35514831542969#101.35514831542969#101.35514831542969,5#5#5#5#5#5,3#3#3#3#3#3,0#0#7#4#2#2,0#0#1#2#1#1,0#69#68#12#14#8,0#0#48#12#14#8,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0
2595,0#28,0#594,5747.json,8#10,0.173176571726799#0.2888154685497284,0.18098127954000612#0.8394498840519009,1#1,1#1,2#2,2#2,5.06#8.43,1#1,5#6,48.0#49.0,108.80433654785156#105.15229797363281,2#2,0#0,0#20,0#14,0#473,0#113,0#0,0#0,0#0
4689,0#0#0#0,0#17#1200#1395,17150.json,3#3#3#3,0.8273748159408569#0.8273748159408569#0.8273748159408569#0.8273748159408569,0.7282111556165003#0.7282111556165003#0.7282111556165003#0.7282111556165003,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,3.77#3.77#3.77#3.77,0#0#0#0,0#0#0#0,17.0#17.0#17.0#17.0,131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344,1#1#1#1,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0
