Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
2147,0#2#13#27#10#19#0#8#4,0#58#144#293#368#430#432#454#1160,104.json,19#31#32#32#32#34#34#34#42,0.007970175705850124#0.0015025694156065583#0.003535695606842637#0.003784273052588105#0.014584509655833244#0.0015908752102404833#0.0015908752102404833#0.0014754915609955788#3.432266239542514E-4,9.48549785392729E-6#1.0410824013094259E-8#4.6014296560763074E-8#9.63295156689566E-8#2.3354519366342265E-7#7.064300904340354E-9#7.064300904340354E-9#4.034018679570695E-9#1.3108183066785068E-8,0#3#5#5#5#5#5#5#4,0#4#5#5#5#5#5#5#4,0#7#10#10#10#10#10#10#8,4#6#7#7#7#7#7#7#8,1.76#2.3#2.24#2.24#2.24#2.17#2.17#2.17#3.9,2#2#2#2#2#2#2#2#2,11#16#14#13#13#15#15#15#15,124.0#180.0#178.0#175.0#170.0#190.0#190.0#192.0#202.0,88.28941345214844#77.66888427734375#77.02250671386719#77.13141632080078#77.26162719726562#75.66128540039062#75.66128540039062#75.58748626708984#71.63264465332031,1#2#2#2#2#2#2#2#2,1#3#3#3#3#3#3#3#3,0#18#6#2#4#2#0#2#15,0#16#4#1#2#2#0#1#10,0#446#92#11#83#123#0#12#256,0#346#86#11#83#127#0#12#161,0#0#0#0#1#0#0#0#0,0#0#0#0#1#0#0#0#0,0#0#0#0#1#0#0#0#0
2439,0#68#470#0#32,0#1#191#625#2367,21852.json,3#3#3#3#3,0.0015849818009883165#0.0015849818009883165#0.0015849818009883165#0.0015849818009883165#0.22072318196296692,0.0653512806552111#0.0653512806552111#0.0653512806552111#0.0653512806552111#0.3950216219100377,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,0.94#0.94#0.94#0.94#0.94,0#0#0#0#0,3#3#3#3#2,36.0#36.0#36.0#36.0#26.0,126.35334777832031#126.35334777832031#126.35334777832031#126.35334777832031#128.41912841796875,2#2#2#2#2,0#0#0#0#0,0#0#0#0#2,0#0#0#0#1,0#0#0#0#52,0#0#0#0#52,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
1734,0,0,20823.json,6,0.21673889458179474,0.36351527518743754,1,1,2,2,1.37,1,1,33.0,115.41319274902344,0,0,0,0,0,0,0,0,0
1752,0#7#1#6,0#300#325#998,21746.json,12#12#12#22,0.026957834139466286#0.024202192202210426#0.024518916383385658#0.009937912225723267,0.0011822389006002818#0.0011631203745978863#8.760643425457938E-4#0.0019379151659133541,1#1#1#1,1#1#1#1,2#2#2#2,2#2#2#2,3.54#3.54#3.54#6.29,1#1#1#1,9#9#9#9,79.0#79.0#80.0#98.0,98.801513671875#98.801513671875#98.7034683227539#87.62432861328125,2#2#2#6,1#1#1#1,0#4#2#39,0#2#1#23,0#22#1#240,0#22#1#113,0#0#0#0,0#0#1#0,0#0#1#0
1,0,0,9640.json,13,0.01747688092291355,1.5201633167923332E-7,0,0,0,1,1.73,0,14,128.0,94.81700134277344,1,7,0,0,0,0,0,0,0
986,0#70,0#732,23917.json,10#4,0.006390958558768034#0.0,0.004155339902726497#0.053885154843446637,1#0,2#0,3#0,4#1,2.2#2.45,2#0,1#1,68.0#41.0,102.37742614746094#121.08299255371094,1#1,0#0,0#10,0#2,0#202,0#224,0#0,0#0,0#0
1198,0,0,761.json,10,0.0018368471646681428,0.02775536673034245,0,0,0,1,1.5,1,4,61.0,103.82024383544922,4,1,0,0,0,0,0,0,0
1102,0,0,20080.json,3,0.7819721698760986,0.9324971893468121,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
57,0,0,2260.json,3,0.40331441164016724,0.675464808678644,0,0,0,1,0.94,0,0,18.0,130.621337890625,0,0,0,0,0,0,0,0,0
265,0#65#0,0#73#243,14843.json,3#3#3,0.0038864566013216972#0.0038864566013216972#0.0038864566013216972,0.25459897284031735#0.25459897284031735#0.25459897284031735,0#0#0,0#0#0,0#0#0,1#1#1,0.94#0.94#0.94,0#0#0,4#4#4,31.0#31.0#31.0,127.690673828125#127.690673828125#127.690673828125,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
