Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
455,0,0,104.json,7,0.16106346249580383,0.20039058129082862,1,1,2,2,2.56,1,1,42.0,111.47267150878906,0,1,0,0,0,0,0,0,0
1544,0#1039,0#1070,9640.json,1#1,0.0020894466433674097#0.0020894466433674097,0.39647188349683504#0.39647188349683504,0#0,0#0,0#0,1#1,0.0#0.0,0#0,1#1,18.0#18.0,148.53134155273438#148.53134155273438,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
2148,0#22#1039,0#197#1673,761.json,3#3#3,0.17078107595443726#0.17078107595443726#0.13621975481510162,0.8258087410448278#0.8258087410448278#0.7993323129994334,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,17.0#17.0#17.0,131.1535186767578#131.1535186767578#131.1535186767578,0#0#0,0#0#0,0#0#2,0#0#1,0#0#19,0#0#19,0#0#0,0#0#0,0#0#0
2259,0#312#1039,0#39#1785,2260.json,3#3#3,0.30983418226242065#0.17158320546150208#0.30983418226242065,0.8796088385105351#0.9468075489645857#0.8796088385105351,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,1#0#1,15.0#11.0#15.0,132.25152587890625#134.26058959960938#132.25152587890625,0#0#0,0#0#0,0#4#4,0#2#2,0#17#17,0#17#17,0#0#0,0#0#0,0#0#0
1611,0#99#1039,0#156#1137,14843.json,3#3#3,0.9408955574035645#0.9408955574035645#0.9469864368438721,0.9679671026600162#0.9679671026600162#0.9659103269640191,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#0#2,0#0#1,0#0#6,0#0#6,0#0#0,0#0#0,0#0#0
1544,0#1039,0#1070,7760.json,1#1,0.0017438515787944198#0.0017438515787944198,0.39943849944648346#0.39943849944648346,0#0,0#0,0#0,1#1,0.0#0.0,0#0,1#1,18.0#18.0,148.53134155273438#148.53134155273438,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1544,0#1039,0#1070,13448.json,1#1,0.9670865535736084#0.9670865535736084,0.6422061524558799#0.6422061524558799,0#0,0#0,0#0,1#1,0.0#0.0,0#0,0#0,14.0#14.0,150.24295043945312#150.24295043945312,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1544,0#1039,0#1070,7289.json,3#3,0.6394684910774231#0.6394684910774231,0.41532830348504396#0.41532830348504396,1#1,1#1,2#2,2#2,3.77#3.77,0#0,1#1,26.0#26.0,128.37530517578125#128.37530517578125,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1544,0#1039,0#1070,9801.json,3#3,0.6201319098472595#0.6201319098472595,0.44023685590340184#0.44023685590340184,1#1,1#1,2#2,2#2,3.77#3.77,0#0,1#1,26.0#26.0,128.37530517578125#128.37530517578125,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1544,0#1039,0#1070,6599.json,24#24,0.011132807470858097#0.011132807470858097,0.0015233267574482718#0.0015233267574482718,0#0,0#0,0#0,2#2,5.15#5.15,1#1,12#12,98.0#98.0,86.419189453125#86.419189453125,0#0,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1544,0#1039,0#1070,10470.json,3#3,0.6394684910774231#0.6394684910774231,0.41532830348504396#0.41532830348504396,1#1,1#1,2#2,2#2,3.77#3.77,0#0,1#1,26.0#26.0,128.37530517578125#128.37530517578125,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
2042,0#1039#34,0#1567#1602,16880.json,3#3#3,0.04996020346879959#0.6538564562797546#0.6538564562797546,0.6963186146385092#0.8440285727903882#0.8440285727903882,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,1#1#1,22.0#18.0#18.0,129.47398376464844#131.1385955810547#131.1385955810547,1#1#1,0#0#0,0#2#0,0#1#0,0#30#0,0#30#0,0#0#0,0#0#0,0#0#0
