Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
5496,0#0#0#16,0#1029#1687#2049,35375.json,3#3#3#3,0.46513187885284424#0.46513187885284424#0.46513187885284424#0.5945035815238953,0.840865348108604#0.840865348108604#0.840865348108604#0.7916524393869538,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,0.94#0.94#0.94#0.94,0#0#0#0,1#1#1#1,17.0#17.0#17.0#18.0,131.28770446777344#131.28770446777344#131.28770446777344#130.85629272460938,1#1#1#1,0#0#0#0,0#0#0#2,0#0#0#1,0#0#0#9,0#0#0#9,0#0#0#0,0#0#0#0,0#0#0#0
527,0#0#2#0,0#0#0#0,104.json,5#5#5#5,0.818945586681366#0.818945586681366#0.818945586681366#0.818945586681366,0.05812407349259975#0.05812407349259975#0.05812407349259975#0.05812407349259975,1#1#1#1,1#1#1#1,2#2#2#2,2#2#2#2,0.98#0.98#0.98#0.98,0#0#0#0,1#1#1#1,44.0#44.0#44.0#44.0,116.6816177368164#116.6816177368164#116.6816177368164#116.6816177368164,1#1#1#1,1#1#1#1,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0
2151,0#52,0#931,21852.json,3#3,0.8956403136253357#0.14542613923549652,0.9164894751343462#0.6807292190573281,0#0,0#0,0#0,1#1,0.94#0.94,0#0,1#1,13.0#17.0,133.18099975585938#131.1535186767578,0#0,0#0,0#2,0#1,0#39,0#39,0#0,0#0,0#0
2166,0,0,21746.json,9,0.03193659707903862,3.904510538319529E-4,4,3,7,3,1.83,1,6,78.0,103.5172119140625,2,2,0,0,0,0,0,0,0
4651,0#138#39#0#23#2#0#4,0#30#137#184#281#434#843#4082,9640.json,3#3#3#3#3#3#3#3,0.9281377196311951#0.7399632334709167#0.4521038234233856#0.4521038234233856#0.4717983603477478#0.4717785716056824#0.4717785716056824#0.4717983603477478,0.9373250353341457#0.9315957134038264#0.8743588849959308#0.8743588849959308#0.8496068328321784#0.8369212548820356#0.8369212548820356#0.8496068328321784,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1,0.94#0.94#0.94#0.94#0.94#0.94#0.94#0.94,0#0#0#0#0#0#0#0,0#0#1#1#1#1#1#1,12.0#12.0#15.0#15.0#16.0#16.0#16.0#16.0,133.59722900390625#133.59722900390625#132.25152587890625#132.25152587890625#131.75106811523438#131.75106811523438#131.75106811523438#131.75106811523438,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,0#6#6#0#4#2#0#2,0#3#3#0#2#1#0#1,0#28#28#0#9#6#0#6,0#22#22#0#9#6#0#6,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0
1555,0#1#3#7#6,0#1#5#202#209,23917.json,28#28#34#43#31,7.324932375922799E-4#1.2403375876601785E-4#1.033801818266511E-4#0.0#4.199669638182968E-4,5.0364797725364E-7#1.2590059972475036E-8#7.813902251232732E-10#9.140647468685603E-14#5.18071037338369E-9,3#4#5#5#5,5#6#7#8#7,8#10#12#13#12,6#7#8#9#8,2.75#2.29#2.3#2.14#2.09,3#3#3#3#3,13#16#17#22#14,147.0#165.0#189.0#248.0#176.0,80.56391906738281#79.70992279052734#75.54005432128906#69.9732437133789#77.49543762207031,1#1#1#1#1,4#4#5#7#5,0#24#6#11#16,0#12#6#10#2,0#389#154#440#540,0#384#140#448#511,0#0#0#0#0,0#1#0#0#0,0#1#0#0#0
1849,0#2,0#47,761.json,19#6,0.02127097360789776#0.6315677762031555,0.002521198706793748#0.5206583482090192,4#1,4#1,8#2,5#2,1.1#1.37,1#1,8#4,99.0#35.0,89.79621124267578#115.33042907714844,1#1,4#0,0#16,0#1,0#432,0#437,0#0,0#0,0#0
1235,0,0,40899.json,2,0.550835371017456,0.7114011088272233,0,0,0,1,0.0,0,0,16.0,138.17149353027344,2,0,0,0,0,0,0,0,0
3,0,0,20080.json,7,0.03688370808959007,6.554032492327848E-4,3,4,7,4,0.9,0,6,71.0,107.84745788574219,1,1,0,0,0,0,0,0,0
4361,0#72#48#255,0#765#914#4218,2260.json,16#9#9#9,0.0020333167631179094#0.0019102261867374182#6.809404003433883E-4#6.809404003433883E-4,6.570421669715456E-5#4.3169336329991196E-6#1.3432963071651242E-6#1.3432963071651242E-6,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,17.29#0.83#0.83#0.83,0#0#0#0,14#14#15#15,105.0#100.0#105.0#105.0,92.85896301269531#102.49983978271484#102.17986297607422#102.17986297607422,4#3#3#3,4#4#4#4,0#6#2#0,0#2#1#0,0#283#28#0,0#26#28#0,0#0#0#0,0#0#0#0,0#0#0#0
2105,0#2#1#113#114#116#116#116#114#1597#1596#1695#2026,0#1675#1827#1831#1831#1831#1831#1831#1831#1872#1872#1875#1875,39296.json,12#15#15#15#15#15#15#15#15#15#15#15#15,0.7625371217727661#0.3418228328227997#0.35035908222198486#0.3418228328227997#0.35035908222198486#0.3418228328227997#0.35035908222198486#0.3418228328227997#0.35035908222198486#0.3418228328227997#0.35035908222198486#0.3418228328227997#0.35035908222198486,0.6548305111075764#0.17707924163904162#0.13540301135353094#0.17707924163904162#0.13540301135353094#0.17707924163904162#0.13540301135353094#0.17707924163904162#0.13540301135353094#0.17707924163904162#0.13540301135353094#0.17707924163904162#0.13540301135353094,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0,3#4#4#4#4#4#4#4#4#4#4#4#4,1.28#1.24#1.24#1.24#1.24#1.24#1.24#1.24#1.24#1.24#1.24#1.24#1.24,1#1#1#1#1#1#1#1#1#1#1#1#1,3#4#4#4#4#4#4#4#4#4#4#4#4,45.0#61.0#62.0#61.0#62.0#61.0#62.0#61.0#62.0#61.0#62.0#61.0#62.0,102.27503204345703#96.61380004882812#96.47715759277344#96.61380004882812#96.47715759277344#96.61380004882812#96.47715759277344#96.61380004882812#96.47715759277344#96.61380004882812#96.47715759277344#96.61380004882812#96.47715759277344,1#1#1#1#1#1#1#1#1#1#1#1#1,0#0#0#0#0#0#0#0#0#0#0#0#0,0#6#2#2#2#2#2#2#2#2#2#2#2,0#4#1#1#1#1#1#1#1#1#1#1#1,0#89#9#9#9#9#9#9#9#9#9#9#9,0#86#9#9#9#9#9#9#9#9#9#9#9,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#1#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0
3690,0#1,0#213,34508.json,3#3,0.8580987453460693#0.9419221878051758,0.9114471833200408#0.8803262220134038,0#0,0#0,0#0,1#1,0.94#0.94,0#0,0#0,13.0#12.0,132.9956512451172#133.59722900390625,0#0,0#0,0#2,0#1,0#14,0#14,0#0,0#0,0#0
2236,0#2#1#6,0#308#896#1699,32082.json,3#3#3#3,0.17427943646907806#0.12216904014348984#0.12850737571716309#0.7673063278198242,0.3434305393055563#0.13956609775710413#0.14468449839827227#0.7290319447209254,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,0.94#0.94#0.94#0.94,0#0#0#0,2#3#3#1,26.0#32.0#32.0#19.0,128.41912841796875#127.03218841552734#127.03218841552734#130.57513427734375,1#1#1#1,0#0#0#0,0#2#2#2,0#1#1#1,0#35#5#81,0#35#5#81,0#0#0#0,0#0#0#0,0#0#0#0
1228,0,0,14843.json,6,0.6859918236732483,0.7745833232047811,0,0,0,1,1.63,1,1,24.0,117.89640808105469,0,0,0,0,0,0,0,0,0
840,0,0,7760.json,3,0.7222368717193604,0.8989096093740561,0,0,0,1,0.94,0,1,15.0,132.25152587890625,0,0,0,0,0,0,0,0,0
1823,0#4#4,0#196#208,4953.json,3#4#3,0.767372727394104#0.8185884356498718#0.767372727394104,0.9251995631079488#0.5082922540863186#0.9251995631079488,0#2#0,0#2#0,0#4#0,1#2#1,0.94#1.0#0.94,0#0#0,0#1#0,16.0#29.0#16.0,131.60296630859375#122.96084594726562#131.60296630859375,0#0#0,0#0#0,0#3#3,0#2#1,0#88#88,0#92#92,0#0#0,0#0#0,0#0#0
115,0,0,31542.json,3,0.8217407464981079,0.905286246865009,0,0,0,1,0.94,0,1,14.0,132.61029052734375,0,0,0,0,0,0,0,0,0
