Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
2957,0#0#170,0#22#100,20823.json,3#3#3,0.784085750579834#0.784085750579834#0.784085750579834,0.9165920238357652#0.9165920238357652#0.9165920238357652,0#0#0,0#0#0,0#0#0,1#1#1,1.41#1.41#1.41,0#0#0,0#0#0,14.0#14.0#14.0,132.4454345703125#132.4454345703125#132.4454345703125,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#1#1
2391,0#111#15,0#330#1245,21746.json,12#12#13,0.30675938725471497#0.30293163657188416#0.08049026876688004,5.543566586110004E-4#5.603132315220398E-4#4.07964107278818E-6,1#1#1,1#1#1,2#2#2,2#2#2,3.67#3.67#3.75,2#2#2,8#8#8,93.0#93.0#116.0,97.98675537109375#97.98675537109375#95.27020263671875,0#0#0,1#1#2,0#10#3,0#5#2,0#40#124,0#40#122,0#0#0,0#0#1,0#0#1
2623,0#0,0#40,9640.json,4#4,0.6933075785636902#0.6933075785636902,0.9432871778390278#0.9432871778390278,0#0,0#0,0#0,1#1,1.5#1.5,0#0,0#0,20.0#20.0,125.64796447753906#125.64796447753906,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
2538,0,0,23917.json,6,5.375576438382268E-4,0.07976138388798201,0,0,0,1,1.41,0,4,44.0,114.08087921142578,1,0,0,0,0,0,0,0,0
1975,0,0,761.json,4,0.6363412737846375,0.8292349902400846,0,0,0,1,1.5,0,1,21.0,125.27178192138672,1,0,0,0,0,0,0,0,0
808,0,0,20080.json,4,0.845005214214325,0.5695943170896444,1,1,2,2,1.5,0,5,28.0,123.23312377929688,0,0,0,0,0,0,0,0,0
1493,0,0,2260.json,5,0.03033890388906002,0.07902440987664144,2,1,3,2,2.24,1,2,41.0,116.99176788330078,4,0,0,0,0,0,0,0,0
3268,0#0#1763,0#204#432,14843.json,4#4#4,0.4230302572250366#0.4230302572250366#0.5673465728759766,0.8888379028103058#0.8888379028103058#0.8658034078524722,0#0#0,0#0#0,0#0#0,1#1#1,1.5#1.5#1.5,0#0#0,0#0#1,20.0#20.0#21.0,125.64796447753906#125.64796447753906#125.27178192138672,1#1#1,0#0#0,0#0#4,0#0#2,0#0#13,0#0#13,0#0#0,0#0#0,0#0#0
3037,0#15#1763,0#2#201,13448.json,4#4#4,0.47951486706733704#0.4194047749042511#0.36635321378707886,0.89399568097974#0.8993925870677774#0.829862109372718,0#0#0,0#0#0,0#0#0,1#1#1,1.5#1.5#1.5,0#0#0,0#0#1,20.0#20.0#23.0,125.64796447753906#125.64796447753906#124.6862564086914,1#1#1,0#0#0,0#2#4,0#1#2,0#9#18,0#9#18,0#0#0,0#0#0,0#0#0
1868,0,0,7289.json,3,0.3597126305103302,0.4277774016077594,0,0,0,1,1.41,0,0,25.0,128.62307739257812,3,0,0,0,0,0,0,0,0
3587,0#24#111#22,0#3#29#40,27723.json,3#3#3#3,0.025194833055138588#0.002248602919280529#0.0#0.0,0.2985041640472965#0.2425930435993948#0.11461583725300939#0.11461583725300939,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.41#1.41#1.41#1.41,0#0#0#0,2#2#1#1,32.0#34.0#39.0#39.0,127.33940887451172#127.02415466308594#126.1478500366211#126.1478500366211,2#2#3#3,0#0#0#0,0#2#6#0,0#1#3#0,0#6#74#0,0#6#65#0,0#0#1#0,0#0#1#0,0#1#1#1
