Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
3165,0#11#105#0#450#1350#3,0#25#192#319#1208#1937#2950,35375.json,28#28#28#28#28#28#29,0.0595758855342865#0.0595758855342865#0.058015696704387665#0.058015696704387665#0.052996523678302765#0.0487934835255146#0.02583836205303669,4.5382166875742066E-7#4.5382166875742066E-7#4.4494129890264856E-7#4.4494129890264856E-7#4.578456894170165E-7#1.97972462954157E-7#7.708738455703701E-8,1#1#1#1#1#1#1,1#1#1#1#1#1#1,2#2#2#2#2#2#2,4#4#4#4#4#4#4,3.0#3.0#3.0#3.0#2.69#2.69#2.65,3#3#3#3#3#3#3,9#9#9#9#9#9#10,151.0#151.0#151.0#151.0#151.0#155.0#162.0,80.86097717285156#80.86097717285156#80.86097717285156#80.86097717285156#80.86097717285156#80.72502899169922#79.9268569946289,2#2#2#2#2#2#2,6#6#6#6#6#6#6,0#0#4#0#2#4#1,0#0#2#0#1#2#1,0#0#21#0#8#38#24,0#0#21#0#6#38#28,0#0#0#0#0#0#0,0#0#0#1#0#0#0,0#0#0#1#0#0#0
1187,0#0,0#10,104.json,4#4,0.1002865731716156#0.1002865731716156,0.2682209006356297#0.2682209006356297,0#0,0#0,0#0,1#1,2.45#2.45,0#0,2#2,34.0#34.0,122.4535140991211#122.4535140991211,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
2490,0#1#7#13#9#1024#56#19#6#49#14,0#7#56#95#185#338#395#722#1941#2171#2377,21852.json,22#22#23#22#22#22#22#23#23#23#23,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,1.8689437274497926E-13#1.2679648736031545E-14#1.1039454361162833E-14#2.1974637042156965E-14#2.396291971760096E-15#3.797743231510972E-15#9.062058718913766E-16#4.894456181655268E-16#4.94966108825371E-16#1.2108140781656015E-16#2.638499785328407E-16,12#14#14#14#15#15#15#13#13#13#13,8#9#9#9#10#10#10#10#9#9#9,20#23#23#23#25#25#25#23#22#22#22,7#7#7#7#7#7#7#7#7#7#7,3.34#3.34#3.36#3.32#3.32#3.32#3.32#3.26#3.26#3.57#3.57,4#4#4#4#4#4#4#4#4#4#4,14#17#17#17#19#19#20#17#18#18#17,202.0#213.0#215.0#211.0#221.0#218.0#225.0#228.0#228.0#234.0#231.0,82.33800506591797#82.00839233398438#81.22233581542969#82.07508850097656#81.81665802001953#81.87039947509766#81.7060546875#80.8668212890625#80.8668212890625#80.7155532836914#80.79884338378906,5#5#4#4#4#4#4#4#4#4#4,6#6#7#7#7#7#7#8#8#8#8,0#2#3#1#2#2#2#3#4#8#2,0#1#2#0#1#1#1#2#2#4#1,0#78#50#38#44#4#25#81#33#66#19,0#78#50#46#44#4#25#83#33#62#19,0#0#0#1#0#0#0#0#1#0#0,0#0#0#1#0#0#1#0#1#0#1,0#0#0#1#0#0#1#0#1#0#1
2945,0#45#2#35#0#6#30#2#14#53#8#450#28#53#1,0#12#13#20#29#126#126#129#129#161#216#987#2336#2473#2503,46069.json,9#9#9#9#9#9#9#9#9#7#7#7#10#11#18,0.028266940265893936#0.04932885244488716#0.04932885244488716#0.05646263808012009#0.05646263808012009#0.16604574024677277#0.03870593383908272#0.040485575795173645#0.020863153040409088#0.02349783480167389#0.04024241119623184#0.03777536749839783#5.364834796637297E-4#0.0019368489738553762#2.2258497483562678E-4,0.00871519539641253#0.007017738641498246#0.007017738641498246#0.007122228107569234#0.007122228107569234#0.00884874197465699#0.003346439214374092#0.003389926520772156#0.0016013244656099372#0.010237048838434118#0.019333886748594004#0.020156250280747866#6.450946300248113E-6#3.311625933082995E-5#3.809108217232614E-8,0#0#0#0#0#0#0#0#0#0#0#0#0#0#2,0#0#0#0#0#0#0#0#0#0#0#0#0#0#2,0#0#0#0#0#0#0#0#0#0#0#0#0#0#4,2#2#2#2#2#2#2#2#2#2#2#2#2#2#4,1.13#1.13#1.13#1.13#1.13#1.08#1.13#1.13#1.13#1.28#1.28#1.28#2.01#2.15#2.39,1#1#1#1#1#1#1#1#1#1#1#1#1#1#3,3#3#3#3#3#3#4#4#4#6#5#5#14#14#18,64.0#64.0#64.0#64.0#64.0#64.0#67.0#67.0#71.0#58.0#55.0#55.0#100.0#94.0#138.0,104.99755096435547#104.94969177246094#104.94969177246094#104.94969177246094#104.94969177246094#104.90372467041016#104.62130737304688#104.62130737304688#104.27720642089844#109.63062286376953#109.9588851928711#109.9588851928711#100.49673461914062#99.30709075927734#88.51013946533203,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,3#3#3#3#3#3#3#3#3#2#2#2#3#3#4,0#4#0#4#0#3#3#2#6#6#2#2#5#2#23,0#2#0#2#0#2#1#1#3#2#1#1#4#1#15,0#18#0#15#0#56#55#10#52#174#22#6#232#42#258,0#18#0#15#0#14#13#10#52#175#22#6#214#33#267,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#1#0#0#0#0#0#0#0#0#0#0#0#0#0
1871,0,0,20823.json,3,0.7954068779945374,0.940576388839892,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
823,0#8#12#49,0#1#337#504,21746.json,59#59#59#20,0.0#0.0#0.0#0.005809157155454159,4.6415412637522155E-38#1.1432494344100459E-37#1.7047420286234345E-37#9.689698618552478E-5,17#17#17#8,20#20#20#8,37#37#37#16,13#13#13#6,2.25#2.25#2.25#1.54,2#2#2#2,67#66#66#11,523.0#520.0#520.0#122.0,59.47068405151367#59.51094055175781#59.51094055175781#87.19218444824219,1#1#1#1,7#7#7#1,0#2#1#52,0#1#1#3,0#19#66#2650,0#19#0#2357,0#0#0#0,0#0#0#0,0#0#0#0
1057,0,0,23917.json,6,0.08682331442832947,0.21054358259283973,1,1,2,2,1.37,1,4,40.0,114.48296356201172,1,0,0,0,0,0,0,0,0
780,0,0,40899.json,4,1.587780425325036E-4,0.18822325350043806,0,0,0,1,2.45,0,2,35.0,121.97586059570312,3,0,0,0,0,0,0,0,0
1318,0,0,20080.json,4,0.2800658345222473,0.4889450923644553,0,0,0,1,1.0,0,1,27.0,123.39956665039062,2,0,0,0,0,0,0,0,0
948,0,0,2260.json,5,0.539497435092926,0.37555391850587394,2,1,3,2,1.5,1,1,33.0,118.43690490722656,1,1,0,0,0,0,0,0,0
