Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
1415,0#20#148,0#501#570,104.json,4#4#4,0.5216336250305176#0.5216336250305176#0.5983555316925049,0.7825526678377958#0.7825526678377958#0.7284277208744584,0#0#0,0#0#0,0#0#0,1#1#1,2.0#2.0#2.0,0#0#0,0#0#0,21.0#21.0#22.0,125.27178192138672#125.27178192138672#124.91740417480469,1#1#1,0#0#0,0#0#2,0#0#1,0#0#10,0#0#10,0#0#0,0#0#0,0#0#0
2062,0#283#77#51#33#112#8#4#21,0#10#126#322#835#1005#1183#1849#1885,9640.json,14#13#13#12#13#13#12#12#13,0.004979490768164396#0.005564743187278509#0.005587453488260508#0.08279816061258316#0.019592517986893654#0.005232542287558317#0.005862204823642969#0.005862204823642969#0.006674922537058592,2.973655099305754E-4#4.954925391831958E-4#4.7282799137686823E-4#0.05055407740792433#0.008880646392137223#0.002356052982474427#0.003863710103563029#0.003863710103563029#0.0031686272479795837,1#1#1#1#1#1#1#1#1,1#1#1#1#1#1#1#1#1,2#2#2#2#2#2#2#2#2,2#2#2#2#2#2#2#2#2,10.27#9.85#9.85#5.28#5.47#5.47#5.28#5.28#5.47,2#2#2#2#2#2#2#2#2,7#5#5#3#4#4#3#3#4,92.0#87.0#87.0#64.0#75.0#81.0#76.0#76.0#79.0,95.4477767944336#96.97059631347656#96.97059631347656#100.24327850341797#97.9940185546875#97.51595306396484#99.1822280883789#99.1822280883789#97.64595794677734,1#1#1#1#2#3#3#3#3,0#0#0#0#0#0#0#0#0,0#11#4#3#5#4#1#0#1,0#5#2#1#3#2#0#0#1,0#68#10#177#83#32#48#0#46,0#38#10#133#79#32#44#0#42,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0
2772,0#0#0#0#20,0#5#5#599#1859,761.json,3#3#3#3#3,0.8152552843093872#0.8152552843093872#0.8152552843093872#0.8152552843093872#0.8152552843093872,0.8061682609646138#0.8061682609646138#0.8061682609646138#0.8061682609646138#0.8061682609646138,1#1#1#1#1,1#1#1#1#1,2#2#2#2#2,2#2#2#2#2,1.89#1.89#1.89#1.89#1.89,0#0#0#0#0,1#1#1#1#1,20.0#20.0#20.0#20.0#20.0,129.95594787597656#129.95594787597656#129.95594787597656#129.95594787597656#129.95594787597656,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
2690,0#34#37#359#283#40#42#54#3#32,0#1#13#223#470#470#476#1476#1538#1604,2260.json,25#25#23#23#23#23#23#23#23#19,0.0019383907783776522#0.0027439864352345467#0.0014886808348819613#0.0014746253145858645#0.0014746253145858645#0.0014746253145858645#0.0014913154300302267#9.48063563555479E-4#0.001449487404897809#0.009001286700367928,1.8095179698438116E-4#7.865221461758612E-5#8.274901052538813E-5#9.992644967888631E-5#1.0128438777172399E-4#1.0785989129093148E-4#1.0682434024953327E-4#2.522014106483686E-9#6.433610042944029E-9#1.1223062666890692E-6,5#5#5#5#5#5#5#5#5#4,4#4#4#4#4#4#4#4#4#3,9#9#9#9#9#9#9#9#9#7,6#6#6#6#6#6#6#6#6#5,2.66#2.66#2.63#2.63#2.63#2.63#2.63#2.63#2.63#2.78,2#2#2#2#2#2#2#2#2#2,18#18#16#16#16#16#16#16#16#13,119.0#123.0#115.0#114.0#114.0#114.0#114.0#169.0#165.0#130.0,83.62381744384766#83.42564392089844#85.1793212890625#85.2247314453125#85.2247314453125#85.2247314453125#85.2247314453125#83.12431335449219#83.2751235961914#87.8945083618164,0#0#0#0#0#0#0#0#0#0,6#6#4#4#4#4#4#4#4#3,0#14#12#6#2#12#6#6#4#6,0#7#4#3#1#6#3#3#2#1,0#65#190#18#6#18#12#68#52#247,0#65#180#18#6#18#12#68#52#231,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0
2353,0#0#0#4#3,0#180#180#270#344,7760.json,14#14#14#14#14,0.13046647608280182#0.13046647608280182#0.13046647608280182#0.13046647608280182#0.13046647608280182,0.07382736199098065#0.07382736199098065#0.07382736199098065#0.07382736199098065#0.07382736199098065,3#3#3#3#3,2#2#2#2#2,5#5#5#5#5,3#3#3#3#3,2.91#2.91#2.91#2.91#2.91,2#2#2#2#2,1#1#1#1#1,72.0#72.0#72.0#72.0#72.0,97.099365234375#97.099365234375#97.099365234375#97.099365234375#97.099365234375,2#2#2#2#2,1#1#1#1#1,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
213,0#27#163#112,0#1#1#1,4953.json,5#5#5#3,0.020504992455244064#0.1550893634557724#0.1321611851453781#0.23593805730342865,0.055403073076568464#0.2330369647998268#0.3139856748188917#0.28683594245173355,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,4.38#4.38#4.38#1.89,0#0#0#0,3#3#3#3,44.0#36.0#33.0#29.0,116.85455322265625#118.14434051513672#118.53043365478516#127.68843078613281,1#1#1#1,0#0#0#0,0#2#2#4,0#1#1#1,0#25#6#61,0#25#6#35,0#0#0#0,0#0#0#0,0#0#0#0
2837,0#0#9#20#22#4#66#0#0#4#19,0#69#78#224#236#236#340#664#664#754#2059,7289.json,3#3#3#3#3#3#3#3#3#3#3,0.7283364534378052#0.7283364534378052#0.6513803601264954#0.6513803601264954#0.6513803601264954#0.7280638813972473#0.7280638813972473#0.7280638813972473#0.7280638813972473#0.7280638813972473#0.7280638813972473,0.9598366120447511#0.9598366120447511#0.9444548839162913#0.9444548839162913#0.9444548839162913#0.9567184632302537#0.9567184632302537#0.9567184632302537#0.9567184632302537#0.9567184632302537#0.9567184632302537,0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1#1,1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0,12.0#12.0#12.0#12.0#12.0#12.0#12.0#12.0#12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625,0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0,0#0#4#0#0#2#0#0#0#0#0,0#0#2#0#0#1#0#0#0#0#0,0#0#31#0#0#5#0#0#0#0#0,0#0#31#0#0#5#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0,0#0#0#1#0#0#0#0#0#0#0,0#0#0#1#0#0#0#0#0#0#0
2006,0#234#11#102#110#137#127#335#63#27#332,0#43#45#282#569#588#1037#1562#1786#1794#1794,9801.json,3#3#3#4#4#4#4#4#4#4#4,2.881596446968615E-4#3.8889647112227976E-4#4.51781990705058E-4#5.595759721472859E-4#1.822708873078227E-4#5.595759721472859E-4#1.6761715232860297E-4#0.0#0.0#0.0#0.0,0.12796812819784095#0.12344548422050095#0.12550242460598532#0.14813418928344496#0.10695574724441476#0.14813418928344496#0.10524230181906662#0.07256420275366894#0.04988994159198708#0.04988994159198708#0.047203697057467964,0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1#1,1.89#1.89#1.89#4.9#4.9#4.9#4.9#4.9#4.9#4.9#4.9,0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0,35.0#35.0#35.0#37.0#39.0#37.0#39.0#41.0#43.0#43.0#43.0,126.56620788574219#126.56620788574219#126.56620788574219#121.55042266845703#121.21369934082031#121.55042266845703#121.21369934082031#120.89375305175781#120.58902740478516#120.58902740478516#120.58902740478516,1#1#1#1#1#1#1#1#1#1#1,0#0#0#0#0#0#0#0#0#0#0,0#4#2#3#2#2#4#2#2#0#4,0#2#1#2#1#1#2#1#1#0#2,0#16#10#29#11#11#22#12#20#0#10,0#16#10#13#11#11#13#12#20#0#10,0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0
548,0,0,6599.json,3,0.9080740213394165,0.9572702413923322,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
352,0#27,0#139,10470.json,17#17,0.011513861827552319#0.011513861827552319,7.619389465062511E-4#7.619389465062511E-4,1#1,1#1,2#2,3#3,6.47#6.47,3#3,8#8,102.0#102.0,91.60021209716797#91.60021209716797,0#0,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0
