Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
1049,0,0,9640.json,7,0.6329057812690735,0.15739315692091996,1,1,2,2,2.56,1,1,44.0,111.29065704345703,1,1,0,0,0,0,0,0,0
2262,0#8#8#40,0#1818#1822#1864,761.json,3#7#3#7,0.4329703152179718#0.5314650535583496#0.4329703152179718#0.5314650535583496,0.9507400297462958#0.568070593984256#0.9507400297462958#0.568070593984256,0#0#0#0,0#0#0#0,0#0#0#0,1#2#1#2,1.89#3.02#1.89#3.02,0#1#0#1,0#1#0#1,13.0#36.0#13.0#36.0,132.9956512451172#112.68669891357422#132.9956512451172#112.68669891357422,0#0#0#0,0#0#0#0,0#6#6#6,0#5#1#5,0#160#160#160,0#144#144#144,0#0#0#0,0#0#1#0,0#0#1#0
1011,0#3#2,0#3#807,2260.json,10#10#9,0.29408660531044006#0.2857487201690674#0.31926804780960083,0.6759328135921494#0.6691719118967175#0.8320130161621173,1#1#1,1#1#1,2#2#2,3#3#3,3.69#3.69#3.82,2#2#2,2#2#2,43.0#43.0#38.0,105.53141784667969#105.53141784667969#108.10425567626953,0#0#0,1#1#1,0#2#1,0#1#0,0#4#43,0#4#39,0#0#0,0#1#0,0#1#0
2005,0,0,14843.json,3,0.239806666970253,0.8377836353774059,0,0,0,1,1.89,0,1,16.0,131.75106811523438,1,0,0,0,0,0,0,0,0
961,0,0,7760.json,3,0.5886239409446716,0.40367810971298135,0,0,0,1,1.89,0,0,25.0,128.46022033691406,2,0,0,0,0,0,0,0,0
2079,0#33#2#10#1#1,0#424#567#575#597#1978,4953.json,34#34#34#32#36#42,0.0#0.0#0.0#0.0#0.0#0.0,3.5051081926067736E-12#3.5165480066237025E-12#5.471015405825645E-12#3.6617772079077946E-9#5.278812871837538E-10#8.409873057884434E-11,7#7#7#6#6#6,6#6#6#5#5#5,13#13#13#11#11#11,6#6#6#5#6#7,3.94#3.94#4.12#7.11#7.07#6.65,2#2#2#2#3#3,25#25#25#19#20#22,237.0#237.0#237.0#201.0#215.0#236.0,74.76162719726562#74.76162719726562#74.76162719726562#76.93531036376953#74.36237335205078#71.13040924072266,2#2#2#4#4#4,7#7#7#4#4#4,0#2#15#28#63#8,0#1#8#12#33#7,0#6#95#395#226#187,0#6#81#350#195#163,0#0#0#0#1#0,0#1#1#0#1#1,0#0#1#0#1#1
2691,0,0,13448.json,4,0.5034105777740479,0.8255611687859139,0,0,0,1,2.0,0,1,20.0,125.64796447753906,1,0,0,0,0,0,0,0,0
1883,0#6,0#109,7289.json,3#3,0.09402758628129959#0.17848338186740875,0.6894622353956652#0.6467812101372424,0#0,0#0,0#0,1#1,1.89#1.89,0#0,1#1,24.0#24.0,128.83535766601562#128.7513427734375,1#1,0#0,0#2,0#1,0#32,0#32,0#0,0#0,0#0
1608,0#7,0#194,9801.json,6#7,0.18953686952590942#0.19561050832271576,0.7581759976560228#0.7695203791396459,2#2,2#2,4#4,2#2,2.75#2.56,1#1,0#0,30.0#32.0,116.21601867675781#113.2991714477539,1#1,0#0,0#1,0#1,0#26,0#18,0#0,0#0,0#0
702,0,0,6599.json,6,0.0013555779587477446,0.07766464674138378,1,1,2,2,2.75,1,5,46.0,113.6197280883789,0,0,0,0,0,0,0,0,0
1979,0#25#24#70#48#63,0#73#86#88#89#471,10470.json,4#4#3#3#4#3,0.08039301633834839#0.07946282625198364#0.2591820955276489#0.24216747283935547#0.16174709796905518#0.645352303981781,0.7191507568879406#0.6797897421157436#0.6255461122091636#0.6499377710549621#0.784746827639534#0.8551815922103987,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,1#1#1#1#1#1,2.0#2.0#1.89#1.89#2.0#1.89,0#0#0#0#0#0,2#2#2#2#2#1,23.0#24.0#22.0#22.0#21.0#18.0,124.58238983154297#124.26470947265625#129.37762451171875#129.37762451171875#125.0554428100586#130.85629272460938,1#1#1#1#1#1,0#0#0#0#0#0,0#2#5#4#5#1,0#1#2#2#3#0,0#7#69#14#64#40,0#7#66#14#60#36,0#0#0#0#0#0,0#0#0#0#0#1,0#0#0#0#0#1
2651,0#124#138#109#508,0#39#256#890#1031,16880.json,3#4#4#4#4,0.6965456008911133#0.724937379360199#0.5201748609542847#0.6243249773979187#0.6853371858596802,0.8713462639260746#0.8887625826839766#0.8031573897427872#0.7894909768279272#0.7492987518438886,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,1.89#2.0#2.0#2.0#2.0,0#0#0#0#0,1#1#2#2#2,18.0#20.0#23.0#21.0#22.0,130.99049377441406#125.64796447753906#124.7987289428711#125.39425659179688#125.02987670898438,1#1#1#1#1,0#0#0#0#0,0#3#4#2#2,0#2#2#1#1,0#28#37#27#4,0#24#37#27#4,0#0#0#0#0,0#1#1#0#1,0#1#1#0#0
