Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
4074,0#0,0#1204,35375.json,3#3,0.7357878088951111#0.7357878088951111,0.8704623246669329#0.8704623246669329,0#0,0#0,0#0,1#1,0.94#0.94,0#0,0#0,17.0#17.0,131.28770446777344#131.28770446777344,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
3407,0#0#0,0#537#537,21852.json,27#27#27,0.0#0.0#0.0,1.939449787962881E-11#1.939449787962881E-11#1.939449787962881E-11,1#1#1,2#2#2,3#3#3,2#2#2,1.93#1.93#1.93,2#2#2,12#12#12,200.0#200.0#200.0,80.38175964355469#80.38175964355469#80.38175964355469,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
6576,0#17#0#0#0#15#19#0#158#0,0#1#40#40#40#298#624#2041#2123#3706,46069.json,4#4#4#4#4#4#4#4#3#3,0.30108773708343506#0.30108773708343506#0.30108773708343506#0.30108773708343506#0.30108773708343506#0.30108773708343506#0.30108773708343506#0.30108773708343506#0.37561681866645813#0.37561681866645813,0.8826450613339091#0.8826450613339091#0.8826450613339091#0.8826450613339091#0.8826450613339091#0.8826450613339091#0.8826450613339091#0.8826450613339091#0.8643043507763637#0.8643043507763637,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1,3.46#3.46#3.46#3.46#3.46#3.46#3.46#3.46#0.94#0.94,0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1,15.0#15.0#15.0#15.0#15.0#15.0#15.0#15.0#15.0#15.0,127.42622375488281#127.42622375488281#127.42622375488281#127.42622375488281#127.42622375488281#127.42622375488281#127.42622375488281#127.42622375488281#132.086669921875#132.086669921875,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#7#0,0#0#0#0#0#0#0#0#3#0,0#0#0#0#0#0#0#0#10#0,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#1#0#0#0,0#0#0#0#0#0#1#0#0#0
3264,0#0#0#0,0#394#650#654,20823.json,3#3#3#3,0.8430848121643066#0.8430848121643066#0.8430848121643066#0.8430848121643066,0.727878242402291#0.727878242402291#0.727878242402291#0.727878242402291,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,0.94#0.94#0.94#0.94,0#0#0#0,1#1#1#1,20.0#20.0#20.0#20.0,130.07347106933594#130.07347106933594#130.07347106933594#130.07347106933594,1#1#1#1,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0
3407,0#0#0,0#537#537,21746.json,4#4#4,0.030795851722359657#0.030795851722359657#0.030795851722359657,0.178467138569375#0.178467138569375#0.178467138569375,0#0#0,0#0#0,0#0#0,1#1#1,1.0#1.0#1.0,0#0#0,3#3#3,32.0#32.0#32.0,122.44184875488281#122.44184875488281#122.44184875488281,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
6503,0#0#0,0#1967#3633,9640.json,4#3#3,0.4665333926677704#0.5526731610298157#0.6083304286003113,0.8657767705178592#0.7982521112567348#0.8117057445162961,0#0#0,0#0#0,0#0#0,1#1#1,3.46#0.94#0.94,0#0#0,1#1#1,17.0#17.0#17.0,126.77537536621094#131.43582153320312#131.43582153320312,1#1#1,0#0#0,0#0#0,0#0#0,0#9#4,0#0#0,0#0#0,0#0#0,0#0#0
6169,0#0#0#0,0#1632#3299#5573,23917.json,4#4#3#3,0.5572023987770081#0.5572023987770081#0.6516453623771667#0.6516453623771667,0.9554444476601306#0.9554444476601306#0.9333818944122154#0.9333818944122154,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,3.46#3.46#0.94#0.94,0#0#0#0,0#0#0#0,12.0#12.0#12.0#12.0,128.936767578125#128.936767578125#133.59722900390625#133.59722900390625,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#6#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0
6254,0#7#9#1607#43#210#0#1737#38#1647#0#180,0#0#1#420#494#844#1718#2030#2899#3094#3384#5330,761.json,33#33#33#33#41#41#41#35#34#34#34#3,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.8393051028251648,1.2852542635084763E-9#1.2965364273480035E-9#1.3332004282003618E-9#4.976171563616267E-10#3.553889170094547E-14#1.0699811966312986E-14#1.0699811966312986E-14#2.2789941393254226E-15#8.061401442186082E-16#8.087688334675002E-16#8.087688334675002E-16#0.9277155149037007,4#4#4#4#6#8#8#8#8#8#8#0,6#6#6#6#7#7#7#7#7#7#7#0,10#10#10#10#13#15#15#15#15#15#15#0,6#6#6#6#7#7#7#7#7#7#7#1,7.03#7.03#7.03#7.03#6.84#6.84#6.84#14.98#2.0#2.0#2.0#0.94,2#2#2#2#2#2#2#2#2#2#2#0,19#19#19#19#25#26#26#26#26#26#26#1,193.0#193.0#193.0#197.0#259.0#264.0#264.0#264.0#264.0#264.0#264.0#14.0,76.53475189208984#76.53475189208984#76.53475189208984#76.4036636352539#71.05732727050781#70.93777465820312#70.93777465820312#73.50100708007812#73.9706039428711#73.9706039428711#73.9706039428711#132.61029052734375,1#1#1#1#1#1#1#1#1#1#1#1,6#6#6#6#6#6#6#6#6#6#6#0,0#4#2#2#16#2#0#86#4#2#0#37,0#2#1#1#13#1#0#40#1#1#0#1,0#9#56#18#543#50#0#600#116#10#0#1632,0#9#0#18#468#51#0#0#0#10#0#1466,0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#1#0#0#0,0#0#0#0#0#0#0#0#1#0#0#0
4088,0#19#0,0#2#1218,40899.json,3#3#3,0.5490601658821106#0.5490601658821106#0.5490601658821106,0.6502007700606854#0.6502007700606854#0.6502007700606854,0#0#0,0#0#0,0#0#0,1#1#1,0.94#0.94#0.94,0#0#0,0#0#0,22.0#22.0#22.0,129.47398376464844#129.47398376464844#129.47398376464844,1#1#1,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#1#0,0#1#0
982,0,0,20080.json,14,0.4586556851863861,0.006812634020192461,3,2,5,4,2.32,3,6,84.0,95.66629028320312,1,4,0,0,0,0,0,0,0
