Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
1708,0#9#58#19#31,0#32#780#1316#1540,104.json,4#4#4#4#4,0.4647303521633148#0.47453296184539795#0.19536200165748596#0.19536200165748596#0.0176833588629961,0.8607661592245311#0.862763659175197#0.8050626556527591#0.8050626556527591#0.6418317336479754,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,1.73#1.73#1.73#1.73#1.73,0#0#0#0#0,1#1#1#1#1,18.0#18.0#20.0#20.0#24.0,126.0733642578125#126.0733642578125#125.41301727294922#125.41301727294922#124.26470947265625,0#0#0#0#0,0#0#0#0#0,0#2#2#0#2,0#1#1#0#1,0#5#10#0#27,0#5#10#0#27,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
619,0,0,21852.json,4,0.08132113516330719,0.4557663474577586,0,0,0,1,1.73,0,2,27.0,123.56243133544922,1,0,0,0,0,0,0,0,0
539,0#44,0#129,20823.json,7#7,1.520113873993978E-4#2.1838182874489576E-4,3.845247078363134E-4#7.232000875235185E-4,0#0,0#0,0#0,2#2,2.8#2.8,1#1,10#9,76.0#73.0,107.8757095336914#108.12339782714844,2#2,1#1,0#2,0#1,0#17,0#17,0#0,0#0,0#0
1612,0#82,0#248,9640.json,4#4,0.3995451033115387#0.43346211314201355,0.9578607448616341#0.9641695006627027,0#0,0#0,0#0,1#1,1.73#1.73,0#0,0#0,15.0#15.0,127.27810668945312#127.27810668945312,0#0,0#0,0#2,0#1,0#6,0#6,0#0,0#1,0#1
1659,0,0,23917.json,9,0.3042765259742737,0.11130107949473074,0,0,0,2,2.95,1,0,49.0,106.59980010986328,2,0,0,0,0,0,0,0,0
2447,0#2#0#19,0#735#1320#2055,761.json,4#4#4#4,0.23649674654006958#0.23649674654006958#0.23649674654006958#0.23649674654006958,0.9629709845622376#0.9629709845622376#0.9629709845622376#0.9629709845622376,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.73#1.73#1.73#1.73,0#0#0#0,1#1#1#1,15.0#15.0#15.0#15.0,127.59107971191406#127.59107971191406#127.59107971191406#127.59107971191406,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0
982,0#34,0#370,20080.json,15#15,0.01824840158224106#0.01662415824830532,1.5931342282165538E-4#1.6498867602342469E-4,3#3,3#3,6#6,4#4,2.63#2.63,1#1,11#11,107.0#107.0,93.21733093261719#93.21733093261719,2#2,2#2,0#2,0#1,0#12,0#12,0#0,0#0,0#0
982,0#3#3#37#37#37#27#27#49#23#54,0#0#33#161#161#166#225#286#394#769#916,2260.json,14#15#15#15#15#15#27#15#28#28#20,3.3859809627756476E-4#0.0#0.0#0.0#0.0#0.0#1.6281151329167187E-4#0.0#1.7775542801246047E-4#1.7775542801246047E-4#0.001246606232598424,0.139530400295199#0.00686368796976247#0.005058007134099304#3.816405755404045E-4#0.005058007134099304#3.816405755404045E-4#0.009641161099727857#3.816405755404045E-4#0.008289517386855703#0.008289517386855703#0.061529432788102155,0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1#1,3.3#3.22#3.22#3.22#3.22#3.22#3.82#3.22#3.84#3.84#4.18,0#0#0#0#0#0#0#0#0#0#0,0#1#1#3#1#3#4#3#4#4#4,63.0#83.0#84.0#95.0#84.0#95.0#107.0#95.0#107.0#107.0#81.0,98.3082046508789#95.70237731933594#95.5880126953125#94.71760559082031#95.5880126953125#94.71760559082031#84.53587341308594#94.71760559082031#83.79602813720703#83.79602813720703#90.92874908447266,10#10#10#10#10#10#11#10#11#11#7,0#0#0#0#0#0#0#0#0#0#0,0#1#2#6#6#6#18#18#19#0#14,0#1#1#3#3#3#15#3#16#0#3,0#158#7#36#36#36#261#261#306#0#342,0#154#7#36#36#36#72#72#113#0#230,0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#1#0#1#0#0,0#0#0#0#0#0#0#0#0#0#0
2569,0#149,0#151,39296.json,4#4,0.31773096323013306#0.2072015404701233,0.8466233681941444#0.8279478271193427,0#0,0#0,0#0,1#1,1.73#1.73,0#0,0#0,19.0#19.0,125.67974090576172#125.67974090576172,0#0,0#0,0#2,0#1,0#9,0#9,0#0,0#0,0#0
2188,0#17#63#41#63#69#88#6#192#49#85#398#97,0#1#331#484#484#1038#1353#1353#1537#1583#1784#2134#2134,14843.json,6#6#5#5#5#11#11#13#13#12#12#12#12,0.0#0.0#1.649381301831454E-4#0.0#0.0014515862567350268#0.01589321158826351#0.015648745000362396#0.008164122700691223#0.008104847744107246#0.011166532523930073#0.01343574095517397#0.012119610793888569#0.020165065303444862,2.5653469890712043E-4#1.2619906163179053E-4#0.0017957725706689977#9.66888792097454E-4#0.005007832357249399#0.049641740253039975#0.05024062094206642#0.012578966655023536#0.012734268123049923#0.01475173869596282#0.014179999926940993#0.013552611613031982#0.026864999084755148,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1#1#1#1,2.0#2.0#1.96#1.96#1.96#7.2#7.2#7.77#7.77#8.08#8.08#8.08#8.08,0#0#0#0#0#0#0#0#0#0#0#0#0,6#6#4#4#4#6#6#8#8#7#7#7#7,71.0#74.0#59.0#62.0#54.0#56.0#56.0#68.0#68.0#65.0#65.0#65.0#62.0,110.95682525634766#110.66881561279297#114.9510498046875#114.65353393554688#115.53934478759766#102.49044799804688#102.49044799804688#98.65564727783203#98.65564727783203#100.22522735595703#100.22522735595703#100.22522735595703#100.55158996582031,3#4#4#4#4#4#4#4#4#4#4#4#3,2#2#1#1#1#1#1#1#1#1#1#1#1,0#2#5#2#4#8#2#6#4#3#4#4#2,0#1#2#1#2#7#1#4#2#1#2#2#1,0#35#156#26#71#200#4#139#21#35#14#21#25,0#35#152#26#71#86#4#89#21#19#14#21#25,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0
148,0,0,7760.json,6,0.027201484888792038,0.010664637283589622,0,0,0,1,2.0,0,4,56.0,112.49044799804688,2,2,0,0,0,0,0,0,0
1377,0,0,4953.json,5,0.0411454476416111,0.6444552064470775,0,0,0,1,1.96,0,1,28.0,119.84819793701172,3,0,0,0,0,0,0,0,0
1155,0#0#5#13#4,0#68#185#990#990,31542.json,13#13#6#6#8,8.66543676238507E-4#8.66543676238507E-4#0.0#0.0#0.0,9.985009240192817E-7#9.985009240192817E-7#3.189578409693551E-4#4.329015851850522E-4#2.0988554984063587E-4,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,1.69#1.69#2.0#2.0#1.94,0#0#0#0#0,18#18#12#12#12,129.0#129.0#81.0#80.0#88.0,95.36432647705078#95.36432647705078#110.84455108642578#110.97212219238281#105.6361312866211,1#1#1#1#1,4#4#2#2#4,0#0#14#2#8,0#0#2#1#5,0#0#337#8#226,0#0#306#8#221,0#0#0#0#1,0#0#0#0#1,0#0#0#0#1
1925,0#9#12#14#145#56#20#49#15,0#68#301#333#419#454#823#1131#1131,13448.json,20#20#20#18#17#17#17#18#18,0.0#0.0#0.0#0.0#0.0#1.7910210590343922E-4#1.3016174489166588E-4#1.1856268247356638E-4#1.0484817175893113E-4,6.160189930677593E-7#6.113205274761885E-7#1.2442754330550667E-8#1.2523139466344951E-8#1.9605957452299067E-8#1.085179433035914E-7#6.557211003201459E-8#2.050692534825389E-8#1.1351869984920633E-8,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1,4.81#4.81#4.81#4.89#4.92#4.92#4.92#6.64#6.64,0#0#0#0#0#0#0#0#0,8#8#13#13#13#13#13#14#15,138.0#138.0#154.0#150.0#146.0#137.0#139.0#147.0#150.0,87.64539337158203#87.64539337158203#86.92285919189453#88.79041290283203#89.88135528564453#90.21221160888672#90.11241912841797#88.8716049194336#88.76654815673828,1#1#1#1#1#1#1#1#1,4#4#4#4#4#4#4#4#4,0#2#2#2#5#6#2#7#2,0#1#1#0#2#3#1#4#1,0#8#83#44#30#18#7#91#18,0#8#83#12#14#18#7#50#18,0#0#0#0#0#0#0#0#0,0#0#0#0#0#1#0#0#0,0#0#0#0#0#1#0#0#0
938,0,0,7289.json,4,0.8631520867347717,0.9875421264005312,0,0,0,1,1.73,0,0,12.0,128.936767578125,0,0,0,0,0,0,0,0,0
