Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
2814,0#37,0#89,20823.json,3#3,0.057731498032808304#0.05594397708773613,0.5143080621429842#0.5064561548251619,0#0,0#0,0#0,1#1,1.89#1.89,0#0,3#3,25.0#25.0,128.8092498779297#128.8092498779297,0#0,0#0,0#2,0#1,0#4,0#4,0#0,0#1,0#1
974,0#17,0#15,9640.json,10#8,0.010774091817438602#0.003957620821893215,0.022100390797364828#0.024153349363830866,2#1,2#1,4#2,3#2,4.4#3.71,1#1,6#6,62.0#56.0,103.3277816772461#107.75645446777344,0#0,0#0,0#6,0#2,0#49,0#37,0#0,0#0,0#1
1563,0,0,761.json,8,0.11827515065670013,0.019018863716161724,0,0,0,2,3.12,1,2,58.0,107.41751861572266,2,1,0,0,0,0,0,0,0
1260,0,0,14843.json,3,0.8879448175430298,0.7867271842018962,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,0,0,0,0
2619,0,0,7760.json,3,0.3600207269191742,0.9140868193051419,0,0,0,1,1.89,0,1,16.0,131.91592407226562,0,0,0,0,0,0,0,0,0
1615,0#170,0#335,4953.json,14#4,0.025848504155874252#0.2202076017856598,0.0011378662670104645#0.540972647985442,0#0,0#0,0#0,4#1,3.93#3.32,1#0,5#2,84.0#26.0,95.62928771972656#123.94486236572266,2#2,0#0,0#12,0#1,0#429,0#372,0#0,0#0,0#0
1590,0,0,13448.json,3,0.7203490734100342,0.9335446021793815,0,0,0,1,1.89,0,0,17.0,131.43582153320312,0,0,0,0,0,0,0,0,0
1983,0#35#53,0#324#406,7289.json,7#7#7,0.6378981471061707#0.23976057767868042#0.6378981471061707,0.5401477396856638#0.1355316910012814#0.5401477396856638,0#0#0,0#0#0,0#0#0,2#2#2,3.02#3.02#3.02,1#1#1,3#3#3,35.0#43.0#35.0,112.68008422851562#111.23877716064453#112.68008422851562,1#2#1,0#0#0,0#4#4,0#2#2,0#46#46,0#46#46,0#0#0,0#1#0,0#1#0
3172,0#172,0#289,6599.json,2#2,0.5659557580947876#0.10565733164548874,0.9028650207766159#0.7441337564563394,0#0,0#0,0#0,1#1,0.0#0.0,0#0,0#0,14.0#16.0,139.0139617919922#138.17149353027344,2#1,0#0,0#4,0#2,0#55,0#39,0#0,0#0,0#0
1126,0,0,10470.json,4,0.03314973786473274,0.1437199891445169,2,1,3,2,2.0,0,3,36.0,121.52926635742188,1,0,0,0,0,0,0,0,0
