Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
2362,0,0,5267.json,3,0.1333911120891571,0.6942316142828481,0,0,0,1,1.89,0,1,20.0,130.07347106933594,0,0,0,0,0,0,0,0,0
2706,0#33#92,0#6#543,23842.json,5#5#5,0.33638104796409607#0.32748639583587646#0.3077476918697357,0.7293795845695467#0.6995584387222269#0.6979109535378226,0#0#0,0#0#0,0#0#0,1#1#1,1.96#1.96#1.96,0#0#0,0#0#0,29.0#29.0#29.0,119.76210021972656#119.76210021972656#119.76210021972656,2#2#2,0#0#0,0#2#2,0#1#1,0#6#5,0#6#5,0#0#0,0#1#1,0#1#1
1268,0#190#30#12#36,0#37#75#186#623,9555.json,20#20#20#34#34,0.001023822114802897#7.49390572309494E-4#6.971801049076021E-4#0.0#0.0,8.455830183028072E-10#8.230538625582387E-10#8.445458398208848E-10#1.4877001855610091E-15#3.0646109203787133E-15,3#3#3#4#4,1#1#1#3#3,4#4#4#7#7,4#4#4#7#7,5.83#5.83#5.83#5.88#5.88,3#3#3#3#3,10#10#10#17#17,161.0#161.0#161.0#249.0#247.0,85.8485336303711#85.8485336303711#85.8485336303711#74.0288314819336#74.10237121582031,1#1#1#1#1,6#6#6#8#8,0#6#2#16#6,0#3#1#16#3,0#33#15#679#19,0#33#15#622#19,0#0#0#0#0,0#0#0#1#0,0#0#0#1#0
504,0#95,0#95,10329.json,5#5,0.03539104759693146#0.05950280278921127,0.01989709148716003#0.0242314027456836,0#0,0#0,0#0,1#1,1.96#1.96,0#0,2#3,51.0#49.0,116.14391326904297#116.29487609863281,1#1,2#2,0#2,0#1,0#40,0#40,0#0,0#0,0#0
2041,0#19,0#468,8038.json,7#8,0.08555948734283447#0.12707386910915375,0.011383233960656335#0.00940623796157915,3#3,1#1,4#4,2#2,2.56#2.4,1#1,5#6,66.0#69.0,108.90882873535156#106.42064666748047,2#2,1#2,0#3,0#2,0#63,0#48,0#0,0#1,0#1
541,0,0,2780.json,3,0.35266995429992676,0.8475481776347765,0,0,0,1,1.89,0,0,16.0,131.75106811523438,0,0,0,0,0,0,0,0,0
2983,0,0,22076.json,3,0.669237494468689,0.38036945760874646,0,0,0,1,1.89,0,3,27.0,128.22288513183594,1,0,0,0,0,0,0,0,0
1094,0,0,4057.json,4,0.569705069065094,0.2074572156646308,0,0,0,1,2.0,0,4,33.0,122.21172332763672,1,1,0,0,0,0,0,0,0
2465,0#30,0#829,7077.json,3#3,0.0#0.0,0.002097138723248211#0.0025033744618598273,0#0,0#0,0#0,1#1,1.89#1.89,0#0,2#2,56.0#55.0,123.76932525634766#123.86302185058594,4#4,0#0,0#2,0#1,0#13,0#13,0#0,0#1,0#1
2465,0,0,6918.json,3,0.0,0.14992451504425722,0,0,0,1,1.89,0,1,33.0,127.09538269042969,3,0,0,0,0,0,0,0,0
1603,0,0,20869.json,4,0.09411918371915817,0.6396187141251977,0,0,0,1,2.0,0,0,25.0,123.96263122558594,1,0,0,0,0,0,0,0,0
1094,0,0,3764.json,3,0.0,0.040142810358374706,0,0,0,1,1.89,0,3,40.0,125.80547332763672,1,0,0,0,0,0,0,0,0
764,0,0,16508.json,4,0.5367782711982727,0.877944348640685,0,0,0,1,2.0,0,0,20.0,125.64796447753906,1,0,0,0,0,0,0,0,0
938,0,0,23548.json,3,8.371135918423533E-4,0.16318663897733532,0,0,0,1,1.89,0,2,33.0,126.9422836303711,3,0,0,0,0,0,0,0,0
1589,0,0,22.json,3,0.7731144428253174,0.9082757396701395,0,0,0,1,1.89,0,1,15.0,132.086669921875,0,0,0,0,0,0,0,0,0
2406,0#7,0#1034,14849.json,3#4,0.4666864275932312#0.37157052755355835,0.9141604504989922#0.8678052774024864,0#0,0#0,0#0,1#1,1.89#2.0,0#0,1#2,14.0#19.0,132.79563903808594#126.1969985961914,0#0,0#0,0#1,0#1,0#35,0#31,0#0,0#1,0#1
1268,0,0,9785.json,14,0.006067369598895311,9.982416726774739E-7,1,1,2,2,2.37,1,14,125.0,93.82305908203125,3,3,0,0,0,0,0,0,0
2481,0#378,0#16,3340.json,6#6,0.0#0.0,3.064407618827421E-4#3.064407618827421E-4,0#0,0#0,0#0,1#1,1.89#1.89,0#0,5#5,72.0#72.0,111.00301361083984#111.00301361083984,2#2,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1428,0,0,6321.json,3,0.0,0.1954943825201354,0,0,0,1,1.89,0,1,31.0,127.42049407958984,2,0,0,0,0,0,0,0,0
921,0,0,3998.json,5,0.005702946800738573,0.06882522353055905,0,0,0,1,4.38,0,3,45.0,116.9176254272461,2,0,0,0,0,0,0,0,0
1579,0,0,18457.json,3,0.8476012349128723,0.942060636131891,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
903,0,0,4645.json,3,0.0,0.038016753587083105,0,0,0,1,1.89,0,1,40.0,125.74249267578125,3,0,0,0,0,0,0,0,0
1667,0,0,7157.json,25,0.0,3.7275068997718793E-13,4,1,5,2,9.13,2,33,210.0,81.14391326904297,1,2,0,0,0,0,0,0,0
3205,0#7#2#0#6#3#7#81#5#2#95#3#4#1#15#2,0#6#6#6#7#12#13#19#33#46#239#408#565#1103#1118#2967,23335.json,16#37#38#38#15#18#19#19#21#16#21#24#24#24#30#34,0.03827522322535515#0.0#0.0#0.0#0.0012123669730499387#7.866885280236602E-4#7.696119137108326E-4#3.755552170332521E-4#4.382620973046869E-4#0.052641451358795166#0.005210796371102333#0.0013812327524647117#0.00138108863029629#0.0013645392609760165#7.404204807244241E-4#2.3672454699408263E-4,2.5932934940063033E-5#1.8613420179604436E-12#5.88867259311448E-14#5.88867259311448E-14#2.664388760960083E-7#4.769521493864816E-8#3.2777627738068254E-8#3.4956413658489585E-9#3.981988125011079E-9#1.7360797621727967E-4#7.490962678642552E-7#1.1168514928193203E-7#1.1151876652018504E-7#1.1064140423861736E-7#2.0008753104403254E-9#5.6245830411411095E-11,0#3#4#4#1#2#2#2#3#2#3#3#3#3#3#3,0#4#5#5#2#3#3#3#4#2#3#4#4#4#4#4,0#7#9#9#3#5#5#5#7#4#6#7#7#7#7#7,2#7#8#8#4#5#5#5#6#4#5#6#6#6#6#6,3.15#5.91#5.98#5.98#2.72#2.6#2.54#2.54#2.51#2.65#2.44#2.81#2.81#2.81#13.22#12.46,1#4#4#4#2#2#2#2#2#1#1#2#2#2#2#2,12#25#27#27#16#19#20#20#20#13#18#19#19#19#27#29,109.0#223.0#241.0#241.0#129.0#147.0#152.0#162.0#165.0#106.0#142.0#158.0#158.0#158.0#196.0#218.0,92.25702667236328#73.28025817871094#72.16678619384766#72.16678619384766#91.93961334228516#87.99989318847656#86.90178680419922#86.52432250976562#84.55523681640625#92.0879898071289#85.70761108398438#82.73419952392578#82.73419952392578#82.73419952392578#77.81763458251953#75.13809967041016,1#1#1#1#0#0#0#0#0#0#0#0#0#0#0#0,4#5#5#5#3#3#3#3#3#3#4#4#4#4#6#8,0#26#16#0#33#5#4#4#6#8#6#9#2#2#14#12,0#24#9#0#4#5#3#2#4#1#6#6#1#1#12#8,0#1007#272#0#1030#156#43#58#59#385#296#142#1#27#508#146,0#914#251#0#905#126#30#58#51#364#267#130#1#27#252#134,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1
1341,0,0,23955.json,13,0.11604861915111542,0.003834723614546498,3,2,5,3,2.22,1,7,80.0,97.42842102050781,2,3,0,0,0,0,0,0,0
903,0,0,4623.json,3,0.0,0.005565166438050431,0,0,0,1,1.89,0,3,51.0,124.30774688720703,5,0,0,0,0,0,0,0,0
3066,0,0,11959.json,3,0.4262741208076477,0.8931775797250541,0,0,0,1,1.89,0,1,15.0,132.25152587890625,0,0,0,0,0,0,0,0,0
2590,0#290#95#35,0#309#1162#1452,12758.json,35#32#32#22,0.003524723695591092#0.010440070182085037#0.011055306531488895#0.017311736941337585,4.524242610144962E-9#7.930083447289163E-7#1.2301026625527174E-6#6.407029618012229E-5,3#3#3#2,4#4#4#3,7#7#7#5,5#5#5#4,6.65#5.72#5.72#4.27,3#3#3#3,15#12#12#10,195.0#168.0#165.0#122.0,75.59793853759766#77.98463439941406#78.05390167236328#86.19801330566406,2#2#2#2,3#3#3#2,0#31#2#48,0#14#1#18,0#281#7#502,0#266#7#419,0#0#0#0,0#0#1#0,0#0#1#0
903,0,0,4895.json,5,0.10818912833929062,0.05385528498439078,0,0,0,1,1.96,0,3,43.0,116.86753845214844,1,1,0,0,0,0,0,0,0
3267,0#10#0,0#3#68,22291.json,3#3#3,0.8979825377464294#0.9031455516815186#0.9031455516815186,0.951305867905772#0.9519995993122661#0.9519995993122661,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#2#0,0#1#0,0#6#0,0#6#0,0#0#0,0#0#0,0#0#0
223,0,0,18754.json,4,0.8054084181785583,0.8656068817681664,0,0,0,1,2.0,0,0,20.0,125.5254898071289,1,0,0,0,0,0,0,0,0
1870,0#854#4#20#23,0#371#1570#1591#1684,14634.json,8#8#8#13#15,2.1584708883892745E-4#2.2183946566656232E-4#2.1535168343689293E-4#7.035706657916307E-4#4.523905517999083E-4,7.390149047887425E-5#7.229038152232738E-5#9.587776185986491E-5#5.666134813538075E-7#4.2961301838990915E-7,2#2#2#2#2,1#1#1#1#1,3#3#3#3#3,2#2#2#2#2,3.87#3.87#3.87#3.29#22.57,2#2#2#2#2,4#4#4#6#5,83.0#83.0#82.0#117.0#125.0,105.11320495605469#105.11320495605469#105.20986938476562#95.25248718261719#92.51152801513672,3#3#3#3#4,1#1#1#3#3,0#2#2#7#6,0#1#1#6#4,0#3#6#195#215,0#3#6#175#65,0#0#0#0#0,0#0#0#1#0,0#0#0#1#0
1891,0#13#13,0#247#1143,26127.json,16#16#17,0.1276298612356186#0.1276298612356186#0.09189163893461227,0.012747698587626798#0.012747698587626798#0.006476509731469648,1#1#1,1#1#1,2#2#2,4#4#4,5.27#5.27#5.41,3#3#3,4#4#5,80.0#80.0#86.0,93.83466339111328#93.83466339111328#92.4368667602539,2#2#2,1#1#1,0#4#3,0#2#2,0#8#46,0#8#42,0#1#1,0#1#1,0#1#1
2465,0,0,6884.json,3,0.0,0.1954943825201354,0,0,0,1,1.89,0,1,31.0,127.42049407958984,2,0,0,0,0,0,0,0,0
14,0,0,19079.json,4,0.49762415885925293,0.7765451974622812,0,0,0,1,2.0,0,0,22.0,125.02987670898438,1,0,0,0,0,0,0,0,0
725,0,0,1565.json,31,0.0,7.363056873952623E-27,2,2,4,3,5.9,3,60,365.0,74.32589721679688,2,4,0,0,0,0,0,0,0
1874,0,0,25017.json,3,0.5319276452064514,0.6965752829527881,0,0,0,1,1.89,0,1,19.0,130.34019470214844,0,0,0,0,0,0,0,0,0
170,0,0,7616.json,3,0.04503772407770157,0.5569175608170625,0,0,0,1,1.89,0,1,22.0,129.47398376464844,0,0,0,0,0,0,0,0,0
1634,0,0,9012.json,4,0.0012744535924866796,0.0257133158197945,0,0,0,1,2.0,0,3,44.0,120.469482421875,2,1,0,0,0,0,0,0,0
629,0,0,15038.json,4,0.16615764796733856,0.5015552779586069,0,0,0,1,2.0,0,0,29.0,123.1068344116211,2,0,0,0,0,0,0,0,0
2402,0,0,14865.json,3,0.4913674592971802,0.7552073695560535,0,0,0,1,1.89,0,0,20.0,130.18594360351562,1,0,0,0,0,0,0,0,0
2439,0#10#6#44#39#6#38,0#186#670#865#1921#2195#2321,25471.json,3#3#3#3#3#3#3,0.8566902279853821#0.7697452306747437#0.8365262746810913#0.8365262746810913#0.6072692275047302#0.7008695006370544#0.6852254867553711,0.9739824110572798#0.9207716038497086#0.8874079379691461#0.8874079379691461#0.7649817639271971#0.919005903551399#0.8741932266478314,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,1.89#1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0#0,0#1#1#1#2#1#1,12.0#15.0#16.0#16.0#21.0#15.0#15.0,133.59722900390625#132.086669921875#131.60296630859375#131.60296630859375#130.05470275878906#132.086669921875#132.086669921875,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#4#2#0#4#2#6,0#2#1#0#2#1#3,0#24#13#0#33#26#12,0#24#13#0#33#26#0,0#0#0#0#0#0#0,0#1#1#0#0#0#0,0#1#1#0#0#0#0
2314,0,0,17431.json,3,0.18838216364383698,0.5949958311618273,0,0,0,1,1.89,0,0,24.0,129.0215301513672,2,0,0,0,0,0,0,0,0
2815,0,0,24435.json,3,0.0961701050400734,0.936376858104184,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
14,0,0,14805.json,3,0.016152475029230118,0.2553342814971145,0,0,0,1,1.89,0,0,28.0,127.87090301513672,2,0,0,0,0,0,0,0,0
