Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
1565,0#5#0#0,0#53#1141#1141,22.json,9#9#9#9,0.005276587791740894#0.0048494236543774605#0.0048494236543774605#0.0048494236543774605,5.178250865648861E-6#9.102337774485296E-6#9.102337774485296E-6#9.102337774485296E-6,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.66#1.66#1.66#1.66,0#0#0#0,12#12#12#12,96.0#94.0#94.0#94.0,102.52430725097656#102.6928482055664#102.6928482055664#102.6928482055664,2#2#2#2,6#6#6#6,0#2#0#0,0#1#0#0,0#17#0#0,0#17#0#0,0#0#0#0,0#0#0#0,0#0#0#0
3039,0#0#0#1#1#1#17#6#9#6#29#18#6#0#11#7#0#0#0#0,0#8#15#54#55#64#437#490#1389#1403#1410#1415#1417#1419#1423#2615#2615#2615#2616#2616,410.json,10#10#10#10#10#12#10#10#10#10#10#10#10#10#10#10#10#10#10#10,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,1.4282019481669717E-5#1.4282019481669717E-5#1.4282019481669717E-5#4.392805823137101E-6#2.476173621260028E-4#2.5240470418153693E-6#3.613218584269429E-5#3.613218584269429E-5#3.613218584269429E-5#1.5492383416658493E-4#1.542913373204148E-4#1.321417230295572E-4#1.321417230295572E-4#1.321417230295572E-4#1.321417230295572E-4#1.321417230295572E-4#1.321417230295572E-4#1.321417230295572E-4#1.321417230295572E-4#1.321417230295572E-4,1#1#1#1#1#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0,2#2#2#2#2#2#0#0#0#0#0#0#0#0#0#0#0#0#0#0,2#2#2#2#2#2#1#1#1#1#1#1#1#1#1#1#1#1#1#1,2.15#2.15#2.15#2.15#2.15#1.97#1.6#1.6#1.6#1.6#1.6#1.6#1.6#1.6#1.6#1.6#1.6#1.6#1.6#1.6,1#1#1#1#1#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0,10#10#10#11#9#13#10#10#10#10#10#11#11#11#11#11#11#11#11#11,98.0#98.0#98.0#103.0#87.0#115.0#100.0#100.0#100.0#94.0#94.0#95.0#95.0#95.0#95.0#95.0#95.0#95.0#95.0#95.0,100.85342407226562#100.85342407226562#100.85342407226562#100.51679992675781#101.69417572021484#97.10903930664062#101.30199432373047#101.30199432373047#101.30199432373047#101.79517364501953#101.79517364501953#101.74015045166016#101.74015045166016#101.74015045166016#101.74015045166016#101.74015045166016#101.74015045166016#101.74015045166016#101.74015045166016#101.74015045166016,1#1#1#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,0#0#0#2#4#2#8#0#0#4#2#2#0#0#0#0#0#0#0#0,0#0#0#1#2#2#3#0#0#2#1#1#0#0#0#0#0#0#0#0,0#0#0#19#94#189#91#0#0#26#5#6#0#0#0#0#0#0#0#0,0#0#0#19#94#181#83#0#0#26#5#6#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#1#1#0#0#1#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#1#1#0#0#1#0#0#0#0
3379,0#16#5#10#1#6#0#20#5#9#1#5#8#3#10#20#10#17#6#9#11#7#0#0#0#0,0#243#243#243#311#311#311#553#563#563#563#564#564#565#565#565#567#777#830#1729#1763#2955#2955#2955#2956#2956,285.json,3#4#4#4#4#4#4#10#10#10#10#10#10#4#4#3#3#3#3#3#3#3#3#3#3#3,0.1872026026248932#0.05194301903247833#0.01353718526661396#0.013202941976487637#0.013202941976487637#0.013202941976487637#0.013202941976487637#4.086607077624649E-4#0.002722563687711954#0.007837512530386448#0.0074751125648617744#0.007583297323435545#9.97484428808093E-4#0.22359518706798553#0.028497891500592232#0.8844606876373291#0.8845935463905334#0.8845935463905334#0.8845935463905334#0.8845935463905334#0.8845935463905334#0.8845935463905334#0.8845935463905334#0.8845935463905334#0.8845935463905334#0.8845935463905334,0.16654624657401385#0.054126932257488596#0.009682219968572572#0.009414074143414965#0.009414074143414965#0.009414074143414965#0.009414074143414965#1.1810033241354736E-5#1.402429832001956E-4#2.565167512494357E-4#5.92707230914869E-5#5.394283341088403E-5#1.691248846833295E-6#0.013560738624392792#0.0020265630030662386#0.7113693247577866#0.721700838904953#0.721700838904953#0.721700838904953#0.721700838904953#0.721700838904953#0.721700838904953#0.721700838904953#0.721700838904953#0.721700838904953#0.721700838904953,0#0#0#0#0#0#0#10#8#8#8#8#7#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#4#3#3#3#3#3#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#14#11#11#11#11#10#0#0#0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#3#3#3#3#3#3#1#1#1#1#1#1#1#1#1#1#1#1#1,1.89#4.9#4.9#4.9#4.9#4.9#4.9#4.82#4.82#4.82#4.82#4.82#4.82#4.9#4.9#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0#0#2#2#2#2#2#2#0#0#0#0#0#0#0#0#0#0#0#0#0,4#6#8#8#8#8#8#9#7#7#7#7#9#4#6#2#2#2#2#2#2#2#2#2#2#2,34.0#45.0#56.0#56.0#56.0#56.0#56.0#99.0#86.0#82.0#89.0#89.0#105.0#48.0#57.0#21.0#21.0#21.0#21.0#21.0#21.0#21.0#21.0#21.0#21.0#21.0,126.94014739990234#120.74327850341797#119.53184509277344#119.53184509277344#119.53184509277344#119.53184509277344#119.53184509277344#100.41995239257812#101.18778228759766#101.3996353149414#100.93897247314453#100.90534210205078#99.92060852050781#120.01702117919922#118.9190902709961#129.93223571777344#129.93223571777344#129.93223571777344#129.93223571777344#129.93223571777344#129.93223571777344#129.93223571777344#129.93223571777344#129.93223571777344#129.93223571777344#129.93223571777344,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,0#0#0#0#0#0#0#2#2#2#2#2#2#0#0#0#0#0#0#0#0#0#0#0#0#0,0#3#4#2#0#0#0#10#4#4#2#2#4#10#2#3#2#0#0#0#0#0#0#0#0#0,0#2#2#1#0#0#0#8#2#2#1#1#2#2#1#1#1#0#0#0#0#0#0#0#0#0,0#85#73#5#0#0#0#247#79#32#34#9#88#408#53#208#12#0#0#0#0#0#0#0#0#0,0#68#74#5#0#0#0#219#72#32#34#9#87#380#53#192#12#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#1#1#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0,0#1#1#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0
1565,0#0#0,0#1141#1141,92.json,3#3#3,0.632652759552002#0.632652759552002#0.632652759552002,0.7560386190250342#0.7560386190250342#0.7560386190250342,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,1#1#1,17.0#17.0#17.0,131.28770446777344#131.28770446777344#131.28770446777344,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
1627,0#9#8#11#11#0#6#15#9#12#11#0#0#5#10#10#0,0#3#5#11#15#23#87#167#170#276#405#1203#1203#1213#1213#1214#1216,366.json,23#22#21#21#21#21#22#23#24#26#27#27#27#27#27#27#27,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,3.794044843941873E-12#1.937817495576727E-11#9.885106609691489E-11#9.885106609691489E-11#1.0060126282563016E-10#1.0060126282563016E-10#1.967144532283388E-11#3.828537072158021E-12#1.1640243374999616E-16#3.472093062849717E-18#5.855109365641811E-19#5.855109365641811E-19#5.855109365641811E-19#2.501566848908352E-17#2.3596867587315945E-17#2.3281894063962456E-17#2.3281894063962456E-17,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,1.13#1.15#1.17#1.17#1.17#1.17#1.15#1.13#2.0#1.92#1.89#1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,38#36#34#34#34#34#36#38#46#50#52#52#52#50#50#50#50,195.0#186.0#177.0#177.0#176.0#176.0#185.0#194.0#236.0#254.0#263.0#263.0#263.0#248.0#248.0#248.0#248.0,83.40794372558594#84.42097473144531#85.48193359375#85.48193359375#85.48638916015625#85.48638916015625#84.42514038085938#83.411865234375#81.4112319946289#79.66699981689453#78.84344482421875#78.84344482421875#78.84344482421875#79.2120361328125#79.2120361328125#79.2120361328125#79.2120361328125,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,0#1#1#0#4#0#1#1#3#2#1#0#0#4#46#2#0,0#0#0#0#2#0#1#1#2#2#1#0#0#2#23#1#0,0#66#58#0#24#0#76#85#271#125#60#0#0#149#161#34#0,0#62#54#0#24#0#72#81#254#117#56#0#0#124#161#34#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1
785,0#7#0#0#0#0,0#361#361#361#362#362,202.json,3#3#3#3#3#3,0.15545614063739777#0.15545614063739777#0.15545614063739777#0.15545614063739777#0.15545614063739777#0.15545614063739777,0.17474182850394382#0.17474182850394382#0.17474182850394382#0.17474182850394382#0.17474182850394382#0.17474182850394382,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,1#1#1#1#1#1,1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0,4#4#4#4#4#4,33.0#33.0#33.0#33.0#33.0#33.0,126.87217712402344#126.87217712402344#126.87217712402344#126.87217712402344#126.87217712402344#126.87217712402344,1#1#1#1#1#1,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,0#1#0#0#0#0,0#1#0#0#0#0
3379,0#34#1#6#0#0#0#17#6#9#11#7#0#0#0,0#250#311#311#311#359#360#777#830#1729#1763#2955#2955#2955#2956,867.json,3#3#3#3#3#3#3#3#3#3#3#3#3#3#3,0.48393020033836365#0.48393020033836365#0.48393020033836365#0.48393020033836365#0.48393020033836365#0.48393020033836365#0.48393020033836365#0.48393020033836365#0.48393020033836365#0.48393020033836365#0.48393020033836365#0.48393020033836365#0.48393020033836365#0.48393020033836365#0.48393020033836365,0.6656393534767493#0.6656393534767493#0.6656393534767493#0.6656393534767493#0.6656393534767493#0.6656393534767493#0.6656393534767493#0.6656393534767493#0.6656393534767493#0.6656393534767493#0.6656393534767493#0.6656393534767493#0.6656393534767493#0.6656393534767493#0.6656393534767493,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,3#3#3#3#3#3#3#3#3#3#3#3#3#3#3,23.0#23.0#23.0#23.0#23.0#23.0#23.0#23.0#23.0#23.0#23.0#23.0#23.0#23.0#23.0,129.58164978027344#129.58164978027344#129.58164978027344#129.58164978027344#129.58164978027344#129.58164978027344#129.58164978027344#129.58164978027344#129.58164978027344#129.58164978027344#129.58164978027344#129.58164978027344#129.58164978027344#129.58164978027344#129.58164978027344,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#1#0#0#0#0#0#0#0#0#0#1#0#0#0,0#1#0#0#0#0#0#0#0#0#0#1#0#0#0
3250,0#4#8#1#1#6#0#27#17#6#9#9#4#11#10#23#10#1#39#7#0#0#0#0,0#2#9#59#181#181#181#193#647#701#1599#1625#1630#1633#1638#1638#1639#1774#2177#2825#2825#2825#2826#2826,191.json,15#16#16#19#19#19#19#19#19#19#19#19#19#19#19#19#19#20#22#22#22#22#22#22,1.046170509653166E-4#1.9215128850191832E-4#2.062355779344216E-4#3.18055332172662E-4#3.18055332172662E-4#3.18055332172662E-4#3.18055332172662E-4#2.2361867013387382E-4#2.2361867013387382E-4#2.2361867013387382E-4#2.2160839580465108E-4#0.0#0.0#0.0#1.074267493095249E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,5.062968812785593E-9#3.331381588469867E-10#1.2891014361533186E-10#5.851162180637598E-11#5.851162180637598E-11#5.851162180637598E-11#5.851162180637598E-11#6.419602719695307E-11#6.419602719695307E-11#6.419602719695307E-11#6.395294059994537E-11#1.923417401825998E-11#1.923417401825998E-11#1.923417401825998E-11#1.5141067869762459E-12#1.7228316242958204E-13#6.883919680217887E-12#1.7961941576030304E-12#1.2154650097612605E-12#1.2154650097612605E-12#1.2154650097612605E-12#1.2154650097612605E-12#1.2154650097612605E-12#1.2154650097612605E-12,4#5#5#6#6#6#6#6#6#6#6#6#6#6#6#5#5#5#6#6#6#6#6#6,2#4#4#5#5#5#5#5#5#5#5#5#5#5#5#3#3#3#4#4#4#4#4#4,6#9#9#11#11#11#11#11#11#11#11#11#11#11#11#8#8#8#10#10#10#10#10#10,3#5#5#6#6#6#6#6#6#6#6#6#6#6#6#4#4#4#5#5#5#5#5#5,3.41#3.32#3.32#3.25#3.25#3.25#3.25#3.25#3.25#3.25#3.25#3.25#3.25#3.25#3.25#3.25#3.25#3.46#4.25#4.25#4.25#4.25#4.25#4.25,2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#3#3#3#3#3#3,16#15#15#15#15#15#15#15#15#15#15#15#15#15#19#22#16#18#18#18#18#18#18#18,148.0#161.0#165.0#176.0#176.0#176.0#176.0#176.0#176.0#176.0#176.0#182.0#182.0#182.0#196.0#204.0#186.0#196.0#203.0#203.0#203.0#203.0#203.0#203.0,91.50968170166016#89.43492889404297#89.28289031982422#85.93331146240234#85.93331146240234#85.93331146240234#85.93331146240234#85.93331146240234#85.93331146240234#85.93331146240234#85.93331146240234#85.75899505615234#85.75899505615234#85.75899505615234#85.39805603027344#85.57841491699219#86.08208465576172#85.002685546875#82.99899291992188#82.99899291992188#82.99899291992188#82.99899291992188#82.99899291992188#82.99899291992188,2#2#2#2#2#2#2#2#2#2#2#3#3#3#3#3#3#3#3#3#3#3#3#3,6#7#7#7#7#7#7#7#7#7#7#7#7#7#7#7#7#7#7#7#7#7#7#7,0#5#2#3#0#0#0#6#0#0#0#4#0#0#4#12#4#15#13#0#0#0#0#0,0#3#1#3#0#0#0#3#0#0#0#2#0#0#2#6#2#8#8#0#0#0#0#0,0#131#13#79#0#0#0#48#0#0#1#31#0#0#80#163#74#178#143#0#0#0#0#0,0#126#13#67#0#0#0#48#0#0#0#31#0#0#80#163#74#166#94#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0,0#1#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#1#0#0#0#0,0#1#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#1#0#0#0#0
407,0,0,567.json,13,0.0,3.8321269699742173E-7,2,1,3,2,1.9,1,16,117.0,95.25248718261719,2,2,0,0,0,0,0,0,0
1073,0#0#0,0#648#648,803.json,3#3#3,4.297817649785429E-4#4.297817649785429E-4#4.297817649785429E-4,0.18026346553982575#0.18026346553982575#0.18026346553982575,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,1#1#1,32.0#32.0#32.0,127.17654418945312#127.17654418945312#127.17654418945312,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
