Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
81,0,0,104.json,3,0.9408955574035645,0.965106288670043,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
1126,0,0,9640.json,3,0.7682178616523743,0.9551716275167403,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
1766,0#171,0#298,761.json,3#3,0.5402826070785522#0.5402826070785522,0.8058291686336521#0.8058291686336521,0#0,0#0,0#0,1#1,1.89#1.89,0#0,2#2,19.0#19.0,130.57513427734375#130.57513427734375,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1377,0,0,2260.json,3,0.9034715294837952,0.9614745782182669,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
1082,0,0,4953.json,3,0.5215613842010498,0.35208978033550564,0,0,0,1,1.89,0,1,26.0,128.3351287841797,1,0,0,0,0,0,0,0,0
1631,0#3#4#10#23#4#171#290#4#4#80#16#1#1#6#6#7#50,0#2#12#25#73#111#163#164#173#175#255#550#557#565#568#576#659#1380,7289.json,25#25#25#25#25#28#28#28#30#21#21#32#32#32#32#30#30#35,0.0026083625853061676#0.0026054854970425367#0.0010482433717697859#7.394617423415184E-4#0.0013852565316483378#3.1871208921074867E-4#3.1871208921074867E-4#2.4033720546867698E-4#6.412637885659933E-4#0.005045457277446985#0.005045457277446985#1.382224727421999E-4#1.4531737542711198E-4#0.0#0.0#0.0#0.0#0.0,1.7110283982010718E-8#1.766727034575583E-8#2.0721618809786867E-9#1.3322698387546834E-9#6.5283715240580145E-9#3.6523313166293756E-10#3.6523313166293756E-10#3.566619451137583E-10#1.5150188312139742E-10#4.0708450505770137E-7#3.9745927742346283E-7#2.962918759440988E-12#2.4247642798843718E-12#1.8389056183700648E-12#1.8389056183700648E-12#1.4441050043775799E-12#3.491213342587249E-13#2.1088052747201955E-15,4#4#4#4#4#5#5#5#5#4#4#7#7#7#7#7#7#7,2#2#2#2#2#3#3#3#3#2#2#4#4#4#4#4#4#4,6#6#6#6#6#8#8#8#8#6#6#11#11#11#11#11#11#11,6#6#6#6#6#7#7#7#7#5#5#8#8#8#8#7#7#9,3.37#3.37#3.37#3.37#3.37#3.27#3.27#3.27#3.2#2.89#2.89#3.44#3.44#3.44#3.44#2.87#2.87#3.89,2#2#2#2#2#2#2#2#2#2#2#3#3#3#3#2#2#3,15#15#15#16#16#19#19#19#19#12#12#19#19#19#19#19#21#22,153.0#153.0#161.0#163.0#157.0#176.0#176.0#176.0#183.0#131.0#131.0#207.0#208.0#210.0#210.0#206.0#213.0#244.0,82.01851654052734#82.01851654052734#81.67679595947266#81.61259460449219#81.86458587646484#79.16629028320312#79.16629028320312#79.16629028320312#77.80886840820312#86.0074462890625#86.0074462890625#75.91082763671875#75.8857650756836#75.8546371459961#75.8546371459961#77.21153259277344#77.03777313232422#73.26897430419922,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,5#5#5#5#5#5#5#5#6#5#5#9#9#9#9#9#9#12,0#6#2#4#2#7#0#6#8#15#2#17#2#4#0#6#6#17,0#3#1#2#1#5#0#3#5#3#1#14#1#2#0#2#3#11,0#15#44#31#51#133#0#25#94#407#3#624#9#48#0#112#60#248,0#15#44#31#51#121#0#25#86#371#3#580#9#48#0#104#60#228,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#1#0#0#1#1#0#0#0#1#1#1#1#0,0#0#0#0#0#1#0#0#1#1#0#1#1#1#1#1#1#0
1373,0,0,9801.json,3,0.6814841628074646,0.8697869632719651,0,0,0,1,1.89,0,0,18.0,130.85629272460938,1,0,0,0,0,0,0,0,0
1101,0,0,6599.json,10,0.0058717080391943455,1.8219507288246017E-4,4,2,6,3,3.1,0,10,89.0,101.25216674804688,1,4,0,0,0,0,0,0,0
214,0,0,10470.json,3,0.8420180082321167,0.942248586359757,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
512,0,0,3678.json,3,0.12851688265800476,0.7475140536854189,0,0,0,1,1.89,0,1,19.0,130.70933532714844,0,0,0,0,0,0,0,0,0
972,0,0,5747.json,3,0.6279991865158081,0.9354649041843653,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,0,0,0,0
