Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
2492,0,0,104.json,3,0.7178516983985901,0.8840762065433575,0,0,0,1,1.89,0,0,16.0,131.60296630859375,0,0,0,0,0,0,0,0,0
1755,0#48#7,0#4#228,761.json,6#7#8,0.3279002010822296#0.08859266340732574#0.021082231774926186,0.9023713774155953#0.8777984409745327#0.8497972353354367,0#0#0,0#0#0,0#0#0,1#1#1,3.27#3.33#3.32,0#0#0,0#0#0,23.0#27.0#31.0,118.11772155761719#114.68283081054688#111.70487213134766,0#0#0,0#0#0,0#1#1,0#1#1,0#33#34,0#21#22,0#0#0,0#0#0,0#0#0
196,0#39,0#18,2260.json,11#11,0.42798471450805664#0.4371497333049774,0.2794181074952744#0.22165727547342076,4#4,3#3,7#7,4#4,2.86#2.86,3#3,0#0,53.0#54.0,102.60374450683594#102.44356536865234,0#0,0#0,0#2,0#1,0#7,0#7,0#0,0#0,0#0
2478,0#5,0#1870,4953.json,3#3,0.9510690569877625#0.9472504258155823,0.961862804359197#0.9730713812206707,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,13.0#12.0,132.9956512451172#133.59722900390625,0#0,0#0,0#2,0#1,0#6,0#6,0#0,0#1,0#1
196,0,0,3678.json,5,0.014417648315429688,0.2591808266668901,0,0,0,1,1.96,0,3,38.0,118.26021575927734,1,0,0,0,0,0,0,0,0
1759,0#4,0#407,5747.json,6#6,0.10516341775655746#0.1028808131814003,0.1354171215119063#0.16148612275626859,1#1,1#1,2#2,2#2,2.75#2.75,1#1,4#4,44.0#44.0,113.98735046386719#113.98735046386719,2#2,0#0,0#4,0#2,0#12,0#12,0#0,0#0,0#0
1803,0,0,2810.json,4,0.7751827239990234,0.9435447945003087,0,0,0,1,2.0,0,0,20.0,125.64796447753906,1,0,0,0,0,0,0,0,0
1713,0#41,0#556,2294.json,3#3,0.04780202358961105#0.05049640312790871,0.5560794735274854#0.5170083333883471,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,24.0#24.0,129.2378692626953#129.2378692626953,2#2,0#0,0#4,0#2,0#6,0#6,0#0,0#0,0#0
204,0#5#6,0#3#13,1843.json,24#24#26,0.0#0.0#0.0,8.743800660530909E-14#2.740846555885627E-14#5.220938385067432E-15,5#5#5,4#5#6,9#10#11,5#5#5,2.58#2.58#2.62,1#1#1,16#16#17,209.0#213.0#223.0,81.24889373779297#81.1126937866211#79.5235366821289,1#1#1,7#7#7,0#2#6,0#1#4,0#52#119,0#52#95,0#0#0,0#0#0,0#0#0
177,0,0,2249.json,3,0.15911483764648438,0.22473785446206823,0,0,0,1,1.89,0,3,29.0,128.14134216308594,1,0,0,0,0,0,0,0,0
1847,0#34#66#58#32,0#3#180#1643#1649,3815.json,8#9#9#14#15,0.0762961208820343#0.0292885173112154#0.0292885173112154#3.2142631243914366E-4#1.1230927339056507E-4,0.16472980332198084#0.07132348624474416#0.07132348624474416#0.0010100631427233098#3.6286277223545737E-4,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,1.73#1.66#1.66#1.4#1.36,0#0#0#0#0,9#11#11#21#23,48.0#55.0#55.0#90.0#97.0,109.03433227539062#106.28901672363281#106.28901672363281#96.07540130615234#94.4903564453125,0#0#0#0#0,1#1#1#1#1,0#3#0#6#1,0#2#0#6#1,0#62#0#191#38,0#58#0#170#34,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
1525,0,0,3173.json,3,0.5461099743843079,0.9392613377712733,0,0,0,1,1.89,0,0,15.0,132.43687438964844,0,0,0,0,0,0,0,0,0
1850,0#10#34#1,0#4#6#49,5277.json,26#30#38#37,0.0010638883104547858#5.30542922206223E-4#5.464233108796179E-4#6.470727967098355E-4,3.3019134156874405E-10#1.4346467634665497E-11#5.990713957925414E-14#3.013217782296998E-13,3#5#9#9,3#4#6#6,6#9#15#15,4#5#7#7,6.16#5.8#5.74#5.8,3#3#4#4,20#22#23#23,185.0#207.0#252.0#243.0,80.89620971679688#77.70331573486328#72.2457046508789#72.88387298583984,2#3#3#3,4#4#7#7,0#8#30#3,0#6#21#1,0#150#684#61,0#134#560#57,0#0#0#0,0#0#0#1,0#0#0#1
1070,0,0,4587.json,7,0.025095317512750626,0.03009426790443575,0,0,0,1,1.81,0,8,55.0,110.42328643798828,1,1,0,0,0,0,0,0,0
1718,0,0,474.json,3,0.3505740463733673,0.7229456506938216,1,1,2,2,1.89,0,2,22.0,129.4603271484375,0,0,0,0,0,0,0,0,0
315,0,0,5352.json,7,0.3442097306251526,0.044611381337156454,0,0,0,1,15.84,0,3,50.0,110.53466033935547,2,2,0,0,0,0,0,0,0
923,0,0,922.json,3,0.7504894137382507,0.9623549231845927,0,0,0,1,1.89,0,0,14.0,132.61029052734375,0,0,0,0,0,0,0,0,0
1803,0#66#14,0#136#842,3848.json,8#8#8,0.06373472511768341#0.06373472511768341#0.03647211566567421,0.14407926937062018#0.14407926937062018#0.06416759835437595,0#0#0,0#0#0,0#0#0,1#1#1,1.73#1.73#1.73,0#0#0,9#9#11,48.0#48.0#54.0,109.03433227539062#109.03433227539062#108.49197387695312,0#0#0,1#1#1,0#0#4,0#0#2,0#0#50,0#0#50,0#0#1,0#0#1,0#0#1
505,0,0,4535.json,9,0.0019423975609242916,0.0019289349821953196,0,0,0,1,1.66,0,12,74.0,104.52249145507812,1,1,0,0,0,0,0,0,0
577,0,0,274.json,8,0.05364958569407463,0.7019384814358827,1,1,2,2,19.92,1,3,39.0,109.95417022705078,0,0,0,0,0,0,0,0,0
1093,0#20,0#219,3599.json,18#10,0.0012063526082783937#0.0035837639588862658,6.4832023943393E-5#6.902907020712904E-4,0#0,0#0,0#0,2#1,4.79#5.78,2#1,7#7,112.0#77.0,90.48623657226562#102.29786682128906,1#1,2#0,0#27,0#9,0#426,0#416,0#0,0#0,0#0
