Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
1966,0#7#64#2#3#12#65#24#7#116#44,0#2#28#31#41#52#167#169#170#409#414,104.json,8#8#8#8#8#8#7#7#7#7#7,0.0097630200907588#0.008453010581433773#0.008453010581433773#0.009178057312965393#0.00873789843171835#0.03049984946846962#0.007563604507595301#0.007388023193925619#0.012230340391397476#0.011172972619533539#0.010953760705888271,7.876409629750808E-4#8.102947806900148E-4#8.102947806900148E-4#8.143022559376843E-4#8.182916405681192E-4#0.0023288616629272728#0.007007593462647029#0.007097372951239796#0.010507324395254697#0.011436475795697537#0.010357758477157662,2#2#2#2#2#2#2#2#2#2#2,2#2#2#2#2#1#1#1#1#1#1,4#4#4#4#4#3#3#3#3#3#3,2#2#2#2#2#2#2#2#2#2#2,1.47#1.47#1.47#1.47#1.47#1.47#1.28#1.28#1.28#1.28#1.28,1#1#1#1#1#1#1#1#1#1#1,6#6#6#6#6#5#4#4#4#4#5,72.0#72.0#72.0#72.0#72.0#67.0#57.0#57.0#55.0#55.0#56.0,105.95664978027344#105.95664978027344#105.95664978027344#105.95664978027344#105.95664978027344#106.40617370605469#109.53313446044922#109.53313446044922#109.76307678222656#109.76307678222656#109.66938018798828,1#1#1#1#1#1#1#1#1#1#1,2#2#2#2#2#2#1#1#1#1#1,0#4#0#2#2#2#10#2#2#4#2,0#2#0#1#1#1#4#1#1#2#1,0#24#0#8#4#20#152#12#18#12#8,0#24#0#8#4#20#107#12#18#12#8,0#1#0#0#0#0#0#0#0#0#0,0#1#0#1#0#0#0#0#0#0#0,0#1#0#1#0#0#0#0#0#0#0
948,0#0,0#13,21852.json,11#11,1.7259114247281104E-4#1.7259114247281104E-4,0.0014194415685130966#0.0014194415685130966,0#0,0#0,0#0,1#1,2.33#2.33,0#0,14#14,81.0#81.0,100.85372161865234#100.85372161865234,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1888,0,0,20823.json,3,0.5941070318222046,0.9095114934375126,0,0,0,1,0.94,0,0,13.0,132.9956512451172,0,0,0,0,0,0,0,0,0
1588,0#2051#0,0#640#653,21746.json,4#4#4,0.7119079828262329#0.868606686592102#0.868606686592102,0.7677842876893509#0.8401796556317146#0.8401796556317146,0#0#0,0#0#0,0#0#0,1#1#1,1.0#1.0#1.0,0#0#0,0#0#0,21.0#20.0#20.0,125.27178192138672#125.64796447753906#125.64796447753906,1#1#1,0#0#0,0#4#0,0#2#0,0#38#0,0#38#0,0#0#0,0#0#0,0#0#0
2202,0#265#9#323,0#387#981#2174,9640.json,4#4#4#4,0.6370430588722229#0.6853398084640503#0.6853398084640503#0.6281953454017639,0.8157901120629021#0.8571197073499918#0.8571197073499918#0.8448863764198737,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.0#1.0#1.0#1.0,0#0#0#0,0#0#0#0,20.0#20.0#20.0#20.0,125.64796447753906#125.64796447753906#125.64796447753906#125.64796447753906,1#1#1#1,0#0#0#0,0#2#0#4,0#1#0#2,0#18#0#18,0#18#0#18,0#0#0#0,0#0#0#0,0#0#0#0
1729,0#11,0#226,761.json,3#3,0.0#0.0,0.20842164033631258#0.18286792736158863,0#0,0#0,0#0,1#1,0.94#0.94,0#0,1#1,31.0#30.0,127.42049407958984#127.67500305175781,2#2,0#0,0#2,0#1,0#17,0#17,0#0,0#0,0#0
742,0#72,0#219,20080.json,12#12,0.001534141250886023#0.002314717508852482,2.4029275848005235E-5#7.834864365526989E-5,2#2,2#2,4#4,3#3,1.72#1.72,2#2,14#12,95.0#89.0,97.61248016357422#97.98536682128906,0#0,2#2,0#4,0#2,0#38,0#38,0#0,0#0,0#0
160,0,0,2260.json,3,0.8521981835365295,0.9687356069693054,0,0,0,1,0.94,0,0,11.0,134.26058959960938,0,0,0,0,0,0,0,0,0
1014,0#0#272,0#290#290,14843.json,3#3#3,0.6709057688713074#0.6709057688713074#0.9124325513839722,0.898274625636779#0.898274625636779#0.950606573803877,0#0#0,0#0#0,0#0#0,1#1#1,0.94#0.94#0.94,0#0#0,0#0#0,14.0#14.0#12.0,132.4454345703125#132.4454345703125#133.59722900390625,0#0#0,0#0#0,0#0#6,0#0#3,0#0#24,0#0#18,0#0#0,0#0#0,0#0#0
1286,0#41#2#81#8,0#0#1#968#968,7760.json,12#12#12#13#13,0.0#0.0#0.0#1.00743054645136E-4#1.00743054645136E-4,1.4829314441543444E-6#4.749635239262029E-6#4.749635239262029E-6#7.251516441366918E-6#7.251516441366918E-6,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,2.07#2.07#2.07#2.01#2.01,0#0#0#0#0,16#16#16#16#16,118.0#113.0#113.0#113.0#113.0,97.20513153076172#97.51705169677734#97.51705169677734#96.2203598022461#96.2203598022461,1#1#1#1#1,2#2#2#3#3,0#2#0#11#0,0#1#0#6#0,0#21#0#88#0,0#21#0#88#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
