Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
4246,0#1,0#1195,104.json,24#24,0.012284982949495316#0.012284982949495316,1.8521756996113702E-4#1.8521756996113702E-4,2#2,3#3,5#5,6#6,13.52#13.52,5#5,7#7,111.0#111.0,84.81977844238281#84.81977844238281,1#1,2#2,0#0,0#0,0#0,0#0,0#0,0#0,0#0
2220,0,0,21852.json,8,0.5571192502975464,0.015478499756654883,1,1,2,2,7.94,2,4,52.0,108.03524780273438,2,0,0,0,0,0,0,0,0
4221,0#13#1#1#43#2521#3#180#14#1,0#361#1171#1996#2895#3124#3378#3510#3591#3591,20823.json,12#17#17#29#29#32#32#32#33#33,0.01543880719691515#0.027861595153808594#0.027861595153808594#0.0012428959598764777#0.0012428959598764777#0.0013388831866905093#0.001167579204775393#0.001055050059221685#8.081674459390342E-4#9.299250086769462E-4,3.928479348217317E-4#6.15879572143395E-6#6.15879572143395E-6#1.1258220177369261E-9#9.319208222630495E-10#4.266213712036183E-12#4.269371231747583E-12#2.439875914037797E-12#1.4262215308357562E-12#2.5606385922936246E-12,2#2#2#2#2#3#3#3#3#3,1#1#1#2#2#4#4#4#4#4,3#3#3#4#4#7#7#7#7#7,3#4#4#6#6#8#8#8#8#8,9.31#9.69#9.69#10.73#10.73#11.96#11.96#11.96#12.53#12.53,2#3#3#4#4#4#4#4#4#4,7#9#9#16#16#17#17#17#17#16,81.0#111.0#111.0#179.0#180.0#209.0#209.0#211.0#215.0#212.0,98.62091064453125#90.74798583984375#90.74798583984375#79.01956939697266#78.9906005859375#76.0205078125#76.0205078125#75.94959259033203#75.33248901367188#75.40555572509766,3#3#3#3#3#3#3#3#3#3,2#3#3#3#3#5#5#5#5#5,0#9#0#12#2#7#4#2#5#2,0#8#0#12#1#5#2#1#3#1,0#209#2#392#2#141#16#5#36#12,0#230#0#485#2#152#16#5#28#12,0#0#0#0#0#0#1#0#0#0,0#0#0#0#0#0#1#0#0#0,0#0#0#1#0#1#1#1#1#0
2521,0#13#16#16#0#2#12#1,0#7#116#135#145#173#642#1687,21746.json,4#4#5#5#5#4#4#4,0.03189351037144661#0.07072645425796509#0.05587228760123253#0.06822045147418976#0.06822045147418976#0.09078967571258545#0.048298195004463196#0.08527404814958572,0.10354163568251983#0.09082074226289537#0.022809652994567716#0.021493288596151502#0.021493288596151502#0.08420769718472791#0.09073943397883191#0.06657864589395064,1#1#1#1#1#1#1#1,1#1#1#1#1#1#1#1,2#2#2#2#2#2#2#2,2#2#2#2#2#2#2#2,4.0#4.0#3.92#3.92#3.92#4.0#4.0#4.0,0#0#0#0#0#0#0#0,2#2#2#2#2#2#2#2,38.0#38.0#49.0#49.0#49.0#38.0#38.0#40.0,121.31822204589844#121.24811553955078#116.18183135986328#116.18183135986328#116.18183135986328#121.24811553955078#121.31822204589844#121.05149841308594,1#1#1#1#1#1#1#1,0#0#0#0#0#0#0#0,0#4#3#2#0#1#2#4,0#2#2#1#0#0#1#2,0#23#78#14#0#74#12#3,0#23#80#14#0#76#12#3,0#0#0#0#0#0#0#0,0#0#1#0#0#0#0#0,0#0#1#0#0#1#1#0
4247,0#1#11#169,0#1196#2122#3879,9640.json,4#4#8#8,0.04155629128217697#0.04155629128217697#0.024032816290855408#0.024540020152926445,0.0979816778030332#0.0979816778030332#0.0032535586534745463#0.002475257492411103,0#0#2#2,0#0#2#2,0#0#4#4,1#1#2#2,9.8#9.8#7.42#7.42,0#0#1#1,2#2#3#3,38.0#38.0#64.0#65.0,121.70132446289062#121.70132446289062#106.90563201904297#106.77715301513672,1#1#1#1,0#0#1#1,0#0#8#2,0#0#6#1,0#0#151#10,0#0#163#10,0#0#0#0,0#0#0#0,0#0#1#0
1857,0#14#2521,0#422#760,23917.json,11#11#8,0.21423925459384918#0.21423925459384918#0.30367815494537354,0.09029078385034871#0.09029078385034871#0.38385798436756763,0#0#0,0#0#0,0#0#0,1#1#1,8.42#8.42#6.63,1#1#1,3#3#3,54.0#54.0#39.0,102.86016082763672#102.86016082763672#110.11405944824219,2#2#2,0#0#0,0#0#11,0#0#4,0#0#120,0#0#145,0#0#0,0#0#0,0#1#1
4246,0#1,0#1195,761.json,8#8,0.11184187233448029#0.11184187233448029,0.662708915940114#0.662708915940114,1#1,1#1,2#2,2#2,7.94#7.94,2#2,1#1,34.0#34.0,110.90472412109375#110.90472412109375,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1956,0#5#16#6#2521#32#3,0#53#164#238#859#878#1133,20080.json,24#24#20#20#18#16#18,0.014908187091350555#0.0067076412960886955#0.007752215955406427#0.016193976625800133#0.01246045995503664#0.04049500450491905#0.017995383590459824,5.43275660959942E-4#2.723359101543375E-4#3.891268621264651E-4#0.0015743489882398488#0.0013555861665348228#0.00268566603971523#5.519492893188946E-4,2#2#2#2#1#1#1,3#3#2#2#1#1#1,5#5#4#4#2#2#2,6#6#5#5#4#4#4,8.22#8.22#9.95#9.95#7.66#7.33#7.66,3#3#3#3#2#2#2,4#4#4#4#4#2#2,108.0#112.0#101.0#93.0#88.0#80.0#92.0,85.16770935058594#84.97859954833984#88.69977569580078#89.1288833618164#91.31609344482422#93.75679016113281#91.01444244384766,2#2#2#2#2#2#2,0#0#0#0#0#0#0,0#8#34#4#30#2#2,0#4#15#2#14#0#2,0#12#264#26#54#54#56,0#10#344#26#94#70#72,0#0#0#0#0#0#0,0#0#0#0#0#0#1,0#1#1#1#1#1#1
3561,0#1#26,0#510#1202,14843.json,4#4#5,0.02628338895738125#0.02628338895738125#0.035903897136449814,0.3031721191968053#0.3031721191968053#0.15055927291880555,0#0#0,0#0#0,0#0#0,1#1#1,4.0#4.0#3.92,0#0#0,2#2#2,30.0#30.0#36.0,123.20073699951172#123.20073699951172#118.21444702148438,3#3#3,0#0#0,0#0#3,0#0#2,0#0#49,0#0#51,0#0#0,0#0#0,0#0#1
4246,0#1,0#1195,4953.json,3#3,0.27551376819610596#0.27551376819610596,0.7853926849973382#0.7853926849973382,0#0,0#0,0#0,1#1,3.77#3.77,0#0,1#1,17.0#17.0,131.43582153320312#131.43582153320312,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
444,0#72#4,0#1#131,13448.json,16#16#18,0.021069124341011047#0.02175908163189888#0.008037636056542397,2.83299199860676E-4#1.408220639628106E-4#1.3133665850463922E-6,1#1#2,3#3#4,4#4#6,4#4#5,8.93#8.93#9.54,1#1#1,6#6#7,94.0#98.0#122.0,92.91819763183594#92.70149993896484#89.1880874633789,1#1#2,2#2#3,0#8#8,0#4#5,0#4#227,0#4#227,0#0#1,0#0#1,0#0#1
