Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
2379,0,0,104.json,3,0.48131752014160156,0.8445652696249949,0,0,0,1,1.89,0,1,17.0,131.43582153320312,1,0,0,0,0,0,0,0,0
4024,0,0,9640.json,7,0.22859083116054535,0.5819798237198799,1,1,2,2,5.11,1,0,36.0,112.60784912109375,0,0,0,0,0,0,0,0,0
3198,0#29,0#0,761.json,3#3,0.6734306812286377#0.7147172093391418,0.8568598884952502#0.8246526992433112,0#0,0#0,0#0,1#1,1.89#1.89,0#0,1#1,18.0#19.0,130.99049377441406#130.57513427734375,1#1,0#0,0#2,0#1,0#11,0#11,0#0,0#0,0#0
6988,0#2#2#309,0#1925#2315#4060,2260.json,11#13#18#18,0.5465425848960876#0.15656311810016632#0.10098643600940704#0.09892576932907104,0.2918127218188012#0.015293757737562655#0.017773622580975517#0.035239934732601515,3#6#6#6,2#4#4#4,5#10#10#10,3#4#5#5,3.45#3.61#3.22#3.22,2#3#3#3,6#8#8#8,61.0#81.0#94.0#90.0,102.03974151611328#97.26164245605469#90.81837463378906#91.04449462890625,1#1#1#1,1#1#1#1,0#4#9#4,0#3#8#2,0#93#146#4,0#84#99#4,0#0#0#0,0#1#1#0,0#1#1#0
6988,0#6#4#1#1#18#102#15,0#2057#2403#2475#3175#6253#6930#6932,14843.json,96#102#108#108#108#105#103#116,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,3.4564327383526085E-59#8.084573790505857E-66#6.265678329727635E-66#3.649866267523772E-67#5.056864650653352E-68#6.947388908767489E-65#8.376887465519927E-65#1.752217059747057E-62,4#4#5#5#5#5#5#5,5#5#6#6#6#6#6#6,9#9#11#11#11#11#11#11,6#6#7#7#7#7#7#7,2.08#2.04#2.09#2.09#2.06#2.08#2.06#3.52,2#2#2#2#2#2#2#2,76#82#83#83#83#80#80#80,823.0#889.0#899.0#906.0#913.0#880.0#879.0#879.0,50.57913589477539#49.14347839355469#47.92211151123047#47.853424072265625#47.806453704833984#48.468204498291016#48.81425476074219#46.888702392578125,1#1#1#1#1#1#1#1,14#14#15#15#15#15#15#15,0#6#12#2#14#3#13#2,0#6#9#1#7#0#5#1,0#719#243#81#250#241#209#320,0#474#219#81#85#229#112#7,0#0#0#0#0#0#0#0,0#1#1#1#1#0#0#0,0#1#1#1#1#0#0#0
793,0,0,7760.json,5,0.24772648513317108,0.3447996766829597,1,1,2,2,2.99,1,2,35.0,118.20518493652344,2,0,0,0,0,0,0,0,0
6988,0#0#140,0#2316#6168,4953.json,8#8#8,0.5077884197235107#0.5077884197235107#0.5147796869277954,0.11515396743412487#0.11515396743412487#0.14708396582224478,0#0#0,1#1#1,1#1#1,2#2#2,2.4#2.4#2.4,1#1#1,1#1#1,51.0#51.0#50.0,108.18831634521484#108.18831634521484#108.34576416015625,1#1#1,2#2#2,0#0#2,0#0#1,0#0#6,0#0#6,0#0#0,0#0#1,0#0#1
3909,0,0,13448.json,3,0.670087456703186,0.9620023853404356,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
4024,0#990#940#280#162,0#735#1502#2673#3161,9801.json,8#8#7#7#4,0.07424259185791016#0.07842812687158585#0.10178807377815247#0.12309829145669937#0.2540898621082306,0.40203386097639865#0.3182206739840712#0.21508498780383767#0.2172761247461053#0.3944460177521307,1#1#1#1#0,1#1#1#1#0,2#2#2#2#0,2#2#2#2#1,2.83#2.83#2.56#2.56#2.0,1#1#1#1#0,2#2#2#2#2,38.0#40.0#40.0#40.0#29.0,110.01913452148438#109.68604278564453#111.84925079345703#111.84925079345703#123.28064727783203,2#2#2#2#2,0#0#0#0#0,0#4#5#8#5,0#2#2#4#1,0#12#14#44#99,0#12#2#44#87,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
4024,0#990#940,0#735#1502,10470.json,2#2#9,0.992922842502594#0.9944106340408325#0.610314667224884,0.026278362355904382#0.017518829040413995#0.5392864025066214,0#0#0,0#0#0,0#0#0,2#2#2,0.0#0.0#2.95,1#1#1,4#4#4,43.0#45.0#41.0,131.9044189453125#131.597900390625#107.78602600097656,1#1#1,0#0#0,0#4#11,0#2#9,0#12#93,0#12#25,0#0#0,0#0#0,0#0#0
4334,0#6,0#2385,16880.json,5#5,0.3100294768810272#0.3100294768810272,0.6563312775561085#0.6563312775561085,0#0,0#0,0#0,1#1,1.96#1.96,0#0,0#0,31.0#31.0,119.5191650390625#119.5191650390625,1#1,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0
2646,0,0,3678.json,18,0.0017611763905733824,1.9288358274135883E-5,2,2,4,3,2.74,2,11,118.0,89.98487091064453,2,4,0,0,0,0,0,0,0
6988,0#5,0#4761,5747.json,5#5,0.26178890466690063#0.0756610780954361,0.6182140918693487#0.3079467956885296,0#0,0#0,0#0,1#1,5.43#5.43,0#0,3#3,31.0#34.0,119.5191650390625#118.83859252929688,1#1,0#0,0#6,0#3,0#72,0#72,0#0,0#0,0#0
4598,0#4#30#10#9#1,0#40#137#144#144#2649,17150.json,3#3#3#3#3#3,0.7675191760063171#0.7675191760063171#0.7675191760063171#0.7675191760063171#0.6148421168327332#0.6148421168327332,0.9188415615633118#0.9188415615633118#0.9188415615633118#0.9188415615633118#0.83135862277033#0.83135862277033,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,1#1#1#1#1#1,1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0,0#0#0#0#0#0,15.0#15.0#15.0#15.0#18.0#18.0,131.9385528564453#131.9385528564453#131.9385528564453#131.9385528564453#130.7338104248047#130.7338104248047,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#2#0,0#0#0#0#1#0,0#0#0#0#17#0,0#0#0#0#17#0,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0
979,0#4#190,0#180#920,13847.json,16#16#16,0.10455536842346191#0.08087166398763657#0.08378668874502182,0.25433937826520436#0.18097220403043687#0.20565339728982637,4#4#4,4#4#4,8#8#8,5#5#5,2.7#2.76#2.76,2#2#2,5#5#5,82.0#82.0#81.0,93.74779510498047#93.74779510498047#93.81159973144531,2#2#2,0#0#0,0#5#2,0#2#1,0#33#11,0#0#11,0#0#0,0#0#0,0#0#0
5105,0,0,2810.json,3,0.7715683579444885,0.9528505137805281,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
6988,0,0,2294.json,3,0.6242144107818604,0.9292395947477771,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,0,0,0,0
6988,0#293,0#5538,1843.json,8#9,0.0059534176252782345#0.009632143191993237,0.08628187305047025#0.08642256309036028,2#2,1#1,3#3,2#2,8.73#7.76,0#1,0#0,56.0#58.0,108.07286071777344#105.9822998046875,0#0,0#0,0#5,0#3,0#16,0#12,0#0,0#1,0#1
5504,0#2#1#107#3#23,0#0#86#550#1358#1833,2249.json,23#22#22#23#23#23,0.04896184802055359#0.06133851408958435#0.05231592059135437#0.05192835256457329#0.04825215041637421#0.04596574977040291,8.466211699182547E-7#2.2624977203540756E-6#1.0459664562669307E-6#1.1955370951868405E-6#5.462640675444742E-6#4.501689256625545E-6,8#8#8#8#8#8,5#5#5#5#5#5,13#13#13#13#13#13,6#6#6#6#6#6,4.22#4.3#4.3#4.23#4.23#4.23,3#3#3#3#3#3,16#15#16#16#14#15,144.0#138.0#142.0#143.0#136.0#137.0,83.9061279296875#84.89818572998047#84.74960327148438#83.99299621582031#84.28023529052734#84.24214172363281,1#1#1#1#1#1,8#8#8#8#8#8,0#1#2#9#6#2,0#0#1#5#3#1,0#33#14#20#38#6,0#29#14#8#38#6,0#0#0#0#0#0,0#0#1#0#0#0,0#0#1#0#0#0
812,0,0,3815.json,4,0.2441643625497818,0.4591275367161682,0,0,0,1,4.9,0,2,29.0,123.19084167480469,1,0,0,0,0,0,0,0,0
5669,0,0,3173.json,3,0.7678368091583252,0.9469201440261368,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
4930,0#110,0#4465,5277.json,1#2,0.9999997019767761#0.9979323744773865,0.8589427888192035#0.9565872685785634,0#0,0#0,0#0,1#1,0.0#1.89,0#0,0#0,11.0#11.0,152.05810546875#140.82913208007812,1#1,0#0,0#4,0#3,0#12,0#0,0#0,0#0,0#0
6649,0#8#1,0#420#2320,12309.json,3#3#3,0.5572511553764343#0.32170596718788147#0.32170596718788147,0.8371883898330446#0.7068346930430838#0.7068346930430838,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,2#2#2,18.0#21.0#21.0,130.99049377441406#129.81976318359375#129.81976318359375,0#0#0,0#0#0,0#2#0,0#1#0,0#8#0,0#8#0,0#0#0,0#1#0,0#1#0
6988,0#2#202,0#3497#6928,4587.json,9#7#4,0.3449641466140747#0.12542465329170227#0.13208307325839996,0.14643920557617693#0.07053497509198149#0.038307997653340795,0#0#0,0#0#0,0#0#0,1#1#1,14.28#4.71#3.32,0#0#0,4#4#4,57.0#51.0#46.0,105.87976837158203#110.5815200805664#120.29539489746094,2#2#2,1#1#0,0#15#5,0#6#2,0#104#67,0#19#31,0#0#0,0#1#0,0#1#0
6988,0,0,474.json,3,0.6556548476219177,0.893049159639133,0,0,0,1,1.89,0,0,17.0,131.28770446777344,1,0,0,0,0,0,0,0,0
4930,0,0,5352.json,1,0.9549127817153931,0.8521283723636901,0,0,0,1,0.0,0,0,12.0,151.39474487304688,0,0,0,0,0,0,0,0,0
6988,0#33#1#115,0#4643#4644#5538,15594.json,5#5#6#7,0.026290664449334145#0.007844185456633568#0.0068231550976634026#0.0075023360550403595,0.46976603552100005#0.22837532257302806#0.19287794437104214#0.24787397232611508,1#1#1#1,1#1#1#1,2#2#2#2,2#2#2#2,2.99#2.99#5.5#5.11,0#0#0#1,0#1#2#2,33.0#37.0#41.0#42.0,118.43690490722656#117.70549774169922#114.09522247314453#111.47267150878906,1#1#1#1,0#0#0#0,0#2#3#3,0#1#2#2,0#51#42#16,0#51#17#8,0#0#0#0,0#0#1#0,0#0#1#0
6988,0#26,0#3631,5916.json,3#3,0.9927601218223572#0.9923714399337769,0.9490137047545272#0.962169165052126,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,16.0#14.0,131.75106811523438#132.4454345703125,0#0,0#0,0#2,0#1,0#2,0#2,0#0,0#0,0#0
6926,0,0,18538.json,3,0.5684795379638672,0.755437931991251,0,0,0,1,1.89,0,1,18.0,130.85629272460938,0,0,0,0,0,0,0,0,0
6841,0,0,6394.json,3,0.0,0.2784208665174634,0,0,0,1,1.89,0,2,29.0,127.94110107421875,1,0,0,0,0,0,0,0,0
3402,0#204#256,0#113#2051,8517.json,25#25#27,0.0#0.0#0.0,2.4786261341627362E-6#1.5989503951575712E-6#3.365611781170027E-7,0#0#0,0#0#0,0#0#0,1#1#1,1.09#1.09#1.05,0#0#0,23#23#25,160.0#161.0#174.0,84.1256103515625#84.03614807128906#82.33111572265625,1#1#1,0#0#0,0#2#2,0#1#2,0#6#87,0#6#79,0#0#0,0#0#0,0#0#0
3690,0#14#4#3#21#4#7#8#18#48#1#76,0#42#51#195#211#212#229#390#701#2017#2017#3630,922.json,5#5#5#5#5#5#5#5#5#7#7#5,0.14454171061515808#0.10316750407218933#0.03679143637418747#0.037618089467287064#0.0070449067279696465#0.0013977217022329569#0.0018768656300380826#0.009441622532904148#0.0037279711104929447#0.0028630534652620554#0.0018800599500536919#1.1458425433374941E-4,0.42219421600718515#0.2541825015678388#0.25638934402709807#0.2558931712545976#0.03502343602743056#0.025479023774192526#0.07836521042750687#0.1044475484804138#0.07905658469214649#0.010726559034806604#0.030335673883332154#0.08721347259667021,0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1#1#1,4.38#4.38#4.38#4.38#4.38#4.38#4.38#4.38#4.38#4.64#4.64#6.5,0#0#0#0#0#0#0#0#0#0#0#0,0#0#1#1#2#2#1#1#1#3#2#2,33.0#37.0#37.0#37.0#48.0#50.0#45.0#43.0#45.0#59.0#55.0#45.0,118.74115753173828#118.00186920166016#118.00186920166016#118.00186920166016#116.402099609375#116.1898193359375#116.9176254272461#117.1540298461914#116.9176254272461#109.72183990478516#110.24336242675781#116.98399353027344,1#2#2#2#2#2#2#2#2#2#2#2,1#1#1#1#1#1#1#1#1#2#2#0,0#4#4#2#2#2#2#2#2#4#2#8,0#2#2#1#1#1#1#1#1#3#1#3,0#24#45#1#56#6#34#6#15#145#48#145,0#24#14#1#56#6#34#6#15#125#48#117,0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#1#0#0#0#0#0#1#0#0,0#0#0#1#0#0#0#0#0#1#0#0
5725,0#21#7#1#7#3#1,0#42#60#126#1035#1214#1396,12174.json,3#6#6#6#6#5#5,0.7017536163330078#0.5636646151542664#0.4853420555591583#0.4853420555591583#0.4213009178638458#0.3023144602775574#0.3023144602775574,0.8334545724717506#0.5287523063839903#0.49631115646479085#0.49631115646479085#0.6250228720702486#0.8491857166552278#0.8491857166552278,0#1#1#1#1#1#1,0#1#1#1#1#1#1,0#2#2#2#2#2#2,1#2#2#2#2#2#2,1.89#2.75#2.75#2.75#2.75#2.99#2.99,0#1#1#1#1#1#1,1#1#1#1#1#0#0,17.0#33.0#33.0#33.0#30.0#22.0#22.0,131.28770446777344#115.63639831542969#115.63639831542969#115.63639831542969#116.21601867675781#121.18495178222656#121.18495178222656,1#1#1#1#1#0#0,0#0#0#0#0#0#0,0#3#4#0#2#3#0,0#3#2#0#1#1#0,0#110#16#0#6#68#0,0#98#16#0#6#64#0,0#0#0#0#0#0#0,0#0#1#0#0#1#0,0#0#1#0#0#1#0
2430,0,0,3848.json,19,0.3596617579460144,1.3878929247694051E-5,6,8,14,8,4.66,5,3,124.0,87.6001205444336,3,4,0,0,0,0,0,0,0
6649,0#1,0#2320,12067.json,3#3,0.6203196048736572#0.6203196048736572,0.8006789428738001#0.8006789428738001,0#0,0#0,0#0,1#1,1.89#1.89,0#0,1#1,20.0#20.0,130.18594360351562#130.18594360351562,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
6988,0#2#156#1#15#1,0#1668#2401#2603#2604#3282,4535.json,3#2#2#2#2#3,0.830440104007721#0.9982340335845947#0.9967941045761108#0.9965308904647827#0.9967941045761108#0.8310192823410034,0.9501783924635231#0.9337540139435057#0.9098074588749111#0.9257900940838237#0.9098074588749111#0.8804349442987349,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,1#1#1#1#1#1,1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0,0#0#0#0#0#1,11.0#11.0#12.0#11.0#12.0#15.0,134.26058959960938#140.82913208007812#140.16575622558594#140.82913208007812#140.16575622558594#132.086669921875,0#0#0#0#0#0,0#0#0#0#0#0,0#4#2#2#2#2,0#2#1#1#1#1,0#25#35#6#6#8,0#0#35#6#6#10,0#0#0#0#0#0,0#1#0#0#0#1,0#1#0#0#0#1
6841,0#1#1#2#2#1#1#5#212#193,0#331#331#352#3194#3214#3214#4123#5391#6784,6177.json,44#44#44#44#44#45#46#47#56#56,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,9.808881482877859E-24#9.827749740965261E-24#9.847571743629696E-24#4.91525935078524E-25#7.056587867112444E-25#2.926190274776588E-25#2.9036184092481803E-25#7.937527411792466E-26#9.24125259787158E-25#1.7309380215876584E-24,9#9#9#9#9#9#9#9#9#9,13#13#13#13#13#13#13#13#13#12,22#22#22#22#22#22#22#22#22#21,12#12#12#12#12#12#12#12#12#12,6.44#6.44#6.44#6.44#6.44#6.38#6.33#6.41#6.12#4.75,3#3#3#3#3#3#3#3#4#4,25#25#25#27#29#29#29#30#30#30,373.0#373.0#373.0#385.0#381.0#386.0#388.0#394.0#400.0#397.0,66.52577209472656#66.52577209472656#66.52577209472656#66.33275604248047#66.35952758789062#65.91419219970703#65.53125762939453#65.07666015625#62.159767150878906#62.19891357421875,2#2#2#2#2#2#2#2#2#2,9#9#9#9#9#10#10#11#11#11,0#2#2#4#4#7#1#1#21#4,0#1#1#2#2#4#1#1#15#2,0#4#4#61#163#56#26#32#144#157,0#4#4#62#128#52#22#24#80#18,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#1#0#0,0#0#0#0#0#0#0#1#0#0
6916,0#113#0,0#1258#1515,13200.json,4#3#3,0.435129314661026#0.5382611751556396#0.5382611751556396,0.9652595205912265#0.9432515583519772#0.9432515583519772,0#0#0,0#0#0,0#0#0,1#1#1,1.73#1.89#1.89,0#0#0,0#0#0,12.0#12.0#12.0,128.936767578125#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#3#0,0#1#0,0#4#0,0#0#0,0#0#0,0#0#0,0#0#0
6988,0,0,15691.json,2,0.7972341179847717,0.8307847204508293,0,0,0,1,0.0,0,0,15.0,138.50709533691406,1,0,0,0,0,0,0,0,0
6988,0#1#21#3,0#745#2494#6404,12836.json,2#8#4#9,0.9308716654777527#0.9280736446380615#0.4939149022102356#0.058692559599876404,0.9597516385529592#0.9719628906261041#0.8919113810427246#0.10070905174131359,0#1#0#0,0#1#0#0,0#2#0#0,1#3#1#2,0.0#4.1#2.0#2.95,0#2#0#1,0#2#2#6,10.0#27.0#20.0#52.0,141.56829833984375#112.16349029541016#125.64796447753906#106.17925262451172,0#0#0#0,0#0#0#0,0#8#12#7,0#8#3#6,0#246#214#198,0#104#87#178,0#1#0#0,0#1#0#0,0#1#0#0
6988,0#14,0#1747,274.json,3#3,0.5922741889953613#0.4262428283691406,0.955820320375022#0.9641623597558131,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,12.0#12.0,133.59722900390625#133.59722900390625,0#0,0#0,0#4,0#2,0#10,0#10,0#0,0#1,0#1
