Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
3369,0#0#0,0#728#799,15948.json,3#3#3,0.026822255924344063#0.026822255924344063#0.026822255924344063,0.5559511396740318#0.5559511396740318#0.5559511396740318,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,1#1#1,24.0#24.0#24.0,128.92515563964844#128.92515563964844#128.92515563964844,3#3#3,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
3885,0#0#0,0#1243#1315,5267.json,2#2#2,0.9998326897621155#0.9998326897621155#0.9998326897621155,0.9774204928750085#0.9774204928750085#0.9774204928750085,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,12.0#12.0#12.0,140.16575622558594#140.16575622558594#140.16575622558594,1#1#1,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
6246,0#0,0#3676,23842.json,3#3,0.29479479789733887#0.29479479789733887,0.2105365518316681#0.2105365518316681,0#0,0#0,0#0,1#1,1.89#1.89,0#0,3#3,33.0#33.0,127.01653289794922#127.01653289794922,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
3538,0#0#0,0#896#968,9555.json,3#3#3,0.6406218409538269#0.6406218409538269#0.6406218409538269,0.8823702834189779#0.8823702834189779#0.8823702834189779,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,1#1#1,15.0#15.0#15.0,132.086669921875#132.086669921875#132.086669921875,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
5761,0#0,0#3191,17863.json,4#4,0.4051085412502289#0.4051085412502289,0.250120581899084#0.250120581899084,1#1,1#1,2#2,2#2,2.0#2.0,0#0,2#2,34.0#34.0,122.04969787597656#122.04969787597656,2#2,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0
6436,0#0#0,0#3794#3866,10329.json,3#3#3,0.2831703722476959#0.2831703722476959#0.2831703722476959,0.9613419059618465#0.9613419059618465#0.9613419059618465,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
5418,0#57#0#0,0#2007#2776#2848,8038.json,58#58#58#58,0.0#0.0#0.0#0.0,1.557991669879108E-26#1.561202549780469E-26#1.561202549780469E-26#1.561202549780469E-26,6#6#6#6,9#9#9#9,15#15#15#15,10#10#10#10,4.31#4.31#4.31#4.31,1#1#1#1,17#17#17#17,406.0#406.0#406.0#406.0,61.796485900878906#61.796485900878906#61.796485900878906#61.796485900878906,0#0#0#0,10#10#10#10,0#2#0#0,0#1#0#0,0#18#0#0,0#18#0#0,0#0#0#0,0#0#0#0,0#0#0#0
6309,0#0,0#3739,2780.json,3#3,0.9127759337425232#0.9127759337425232,0.9606884305812986#0.9606884305812986,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,12.0#12.0,133.59722900390625#133.59722900390625,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
2139,0#0,0#95,22076.json,1#1,0.9906513094902039#0.9906513094902039,0.8189726972490967#0.8189726972490967,0#0,0#0,0#0,1#1,0.0#0.0,0#0,1#1,14.0#14.0,150.40780639648438#150.40780639648438,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
5585,0#61#23#0,0#6#14#3015,27025.json,10#10#10#10,0.006991253700107336#0.1519484519958496#0.11220630258321762#0.11220630258321762,0.5527845994006946#0.5529755237168319#0.315450478430954#0.315450478430954,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,3.34#2.57#2.57#2.57,0#0#0#0,7#7#8#8,48.0#47.0#51.0#51.0,105.48951721191406#105.6732406616211#105.10416412353516#105.10416412353516,1#1#1#1,1#1#1#1,0#4#2#0,0#1#1#0,0#238#28#0,0#7#28#0,0#0#0#0,0#0#0#0,0#0#0#0
5911,0#0#0,0#3269#3341,4057.json,2#2#2,0.9975325465202332#0.9975325465202332#0.9975325465202332,0.9380603247616258#0.9380603247616258#0.9380603247616258,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,12.0#12.0#12.0,140.16575622558594#140.16575622558594#140.16575622558594,1#1#1,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
6436,0#0#0,0#3794#3866,7077.json,3#3#3,0.6798647046089172#0.6798647046089172#0.6798647046089172,0.711909802550263#0.711909802550263#0.711909802550263,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,1#1#1,21.0#21.0#21.0,130.18890380859375#130.18890380859375#130.18890380859375,1#1#1,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
4235,0#4#0#0,0#81#1593#1665,6918.json,3#11#11#11,0.6332717537879944#0.009327247738838196#0.009327247738838196#0.009327247738838196,0.7403827725471773#0.005220798303119854#0.005220798303119854#0.005220798303119854,0#2#2#2,0#2#2#2,0#4#4#4,1#3#3#3,1.89#3.92#3.92#3.92,0#2#2#2,2#9#9#9,22.0#74.0#74.0#74.0,129.47398376464844#100.58113861083984#100.58113861083984#100.58113861083984,1#1#1#1,0#1#1#1,0#10#0#0,0#9#0#0,0#440#0#0,0#337#0#0,0#0#0#0,0#1#0#0,0#1#0#0
2739,0#0,0#169,20869.json,3#3,0.22707584500312805#0.22707584500312805,0.8299317658564405#0.8299317658564405,0#0,0#0,0#0,2#2,1.89#1.89,0#0,1#1,21.0#21.0,129.70223999023438#129.70223999023438,0#0,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0
