Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
1859,0,0,35375.json,3,0.45973777770996094,0.9350724886418743,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
426,0,0,104.json,6,0.025786643847823143,0.002321555903325223,4,3,7,2,5.96,0,3,64.0,111.72254180908203,4,0,0,0,0,0,0,0,0
1504,0,0,21852.json,3,0.9114326238632202,0.9315331479962919,0,0,0,1,0.94,0,1,13.0,133.18099975585938,0,0,0,0,0,0,0,0,0
2889,0#25#159,0#3#909,20823.json,6#6#6,0.32753464579582214#0.369275838136673#0.25084763765335083,0.6219477123627452#0.5350835401509116#0.35978802002841587,2#2#2,2#2#2,4#4#4,2#2#2,1.37#1.37#1.37,1#1#1,2#2#2,31.0#32.0#35.0,115.96150970458984#115.71755981445312#115.10722351074219,1#1#1,0#0#0,0#2#2,0#1#1,0#13#8,0#13#8,0#0#0,0#0#0,0#0#0
6004,0#0#0#4#8#449,0#2190#2191#2453#3674#4023,21746.json,9#9#9#14#15#16,0.18887080252170563#0.18887080252170563#0.18887080252170563#0.034652113914489746#0.03179570287466049#0.16239282488822937,0.01759432289950031#0.01759432289950031#0.01759432289950031#0.0015468060139824265#0.0016424167467676597#8.556302890114972E-4,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,1#1#1#1#1#1,0.83#0.83#0.83#1.76#1.74#1.69,0#0#0#1#1#1,4#4#4#6#6#6,65.0#65.0#65.0#86.0#87.0#95.0,105.30338287353516#105.30338287353516#105.30338287353516#96.39541625976562#95.17504119873047#93.48035430908203,0#0#0#0#0#0,2#2#2#2#2#3,0#0#0#10#5#4,0#0#0#7#3#4,0#0#0#147#24#114,0#0#0#160#18#76,0#0#0#0#0#0,0#0#0#1#0#0,0#0#0#1#0#0
1974,0,0,9640.json,6,0.8772521615028381,0.7801881635251103,1,1,2,2,1.37,1,2,28.0,116.7609634399414,0,0,0,0,0,0,0,0,0
3630,0,0,23917.json,3,0.7976735234260559,0.8790591936882277,0,0,0,1,0.94,0,0,13.0,132.9956512451172,0,0,0,0,0,0,0,0,0
44,0,0,761.json,3,0.952345073223114,0.8646232425765472,0,0,0,1,0.94,0,0,13.0,132.9956512451172,0,0,0,0,0,0,0,0,0
5504,0#2#0#0#2#13#30#1#3#3,0#31#1690#1691#2720#2725#2738#2741#2741#2752,20080.json,22#23#23#23#25#27#80#88#91#91,0.003731799777597189#6.284749251790345E-4#6.284749251790345E-4#6.284749251790345E-4#5.296830786392093E-4#3.565116785466671E-4#0.0#0.0#0.0#0.0,2.9791268205785136E-5#2.7110836769413105E-6#2.7110836769413105E-6#2.7110836769413105E-6#1.3224546791144819E-6#5.021850454771557E-7#8.335856886008101E-29#7.295370217121221E-36#2.465568391533665E-37#9.73673338804465E-38,4#4#4#4#5#5#15#17#17#18,3#3#3#3#4#4#14#15#15#16,7#7#7#7#9#9#29#32#32#34,5#5#5#5#6#6#17#18#19#19,2.06#2.02#2.02#2.02#2.44#2.45#1.99#1.99#1.97#1.97,2#2#2#2#3#3#3#3#3#3,17#19#19#19#20#21#47#55#57#57,129.0#141.0#141.0#141.0#150.0#158.0#476.0#559.0#574.0#577.0,85.81053924560547#84.49524688720703#84.49524688720703#84.49524688720703#82.53199005126953#80.9575424194336#54.19379425048828#51.497779846191406#50.5369987487793#50.50020980834961,1#1#1#1#1#1#1#1#1#1,0#0#0#0#0#0#10#13#15#15,0#1#0#0#48#2#71#14#5#2,0#1#0#0#25#2#67#12#4#1,0#56#0#0#166#44#2024#487#101#31,0#66#0#0#143#46#2042#472#109#31,0#0#0#0#0#0#0#0#1#1,0#0#0#0#0#0#0#0#1#1,0#0#0#0#0#0#0#0#1#1
4811,0#99#0#0#0#16#169,0#16#997#998#1597#2403#2845,2260.json,12#13#13#13#13#13#14,0.0641273781657219#0.027049878612160683#0.027049878612160683#0.027049878612160683#0.027049878612160683#0.028611114248633385#0.026525333523750305,0.019421087041278075#0.011460758650971268#0.011460758650971268#0.011460758650971268#0.011460758650971268#0.009727560007390246#0.01191155419197354,1#1#1#1#1#1#1,1#1#1#1#1#1#1,2#2#2#2#2#2#2,2#2#2#2#2#2#2,0.88#0.86#0.86#0.86#0.86#0.86#0.83,0#0#0#0#0#0#1,10#11#11#11#11#11#11,86.0#91.0#91.0#91.0#91.0#91.0#92.0,99.13706970214844#97.48353576660156#97.48353576660156#97.48353576660156#97.48353576660156#97.42365264892578#96.16626739501953,0#0#0#0#0#0#0,1#1#1#1#1#1#1,0#1#0#0#0#2#7,0#1#0#0#0#1#4,0#42#0#0#0#3#16,0#42#0#0#0#3#8,0#0#0#0#0#0#0,0#1#0#0#0#0#0,0#1#0#0#0#0#0
