Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
3759,0#5,0#21,104.json,4#4,0.8789423108100891#0.8789423108100891,0.939257710840978#0.939257710840978,0#0,0#0,0#0,1#1,3.46#3.46,0#0,0#0,12.0#12.0,128.936767578125#128.936767578125,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
4414,0#15#14,0#337#675,9640.json,4#4#4,0.5877047777175903#0.6039588451385498#0.6039588451385498,0.8921684781481352#0.7783206605756526#0.7783206605756526,0#0#0,0#0#0,0#0#0,1#1#1,1.73#3.46#3.46,0#0#0,1#1#1,18.0#19.0#19.0,126.33003997802734#125.91468811035156#125.91468811035156,1#1#1,0#0#0,0#2#0,0#1#0,0#26#0,0#6#0,0#0#0,0#1#0,0#1#0
5282,0#0#0#1#93#0#0,0#443#443#448#472#839#1858,761.json,3#3#3#3#3#4#4,0.8928156495094299#0.8928156495094299#0.8928156495094299#0.8928156495094299#0.8928156495094299#0.8549937605857849#0.8549937605857849,0.9360731938264486#0.9360731938264486#0.9360731938264486#0.9360731938264486#0.9360731938264486#0.9561059746417855#0.9561059746417855,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,3.77#3.77#3.77#3.77#3.77#3.46#3.46,0#0#0#0#0#0#0,0#0#0#0#0#0#0,12.0#12.0#12.0#12.0#12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#128.936767578125#128.936767578125,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#2#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#1#0#0#0#0,0#0#1#0#0#0#0
3896,0#12#0#2#254#18,0#70#442#634#3447#3819,2260.json,24#24#24#27#27#27,0.13727565109729767#0.08078435808420181#0.08078435808420181#0.0596279501914978#0.08483212441205978#0.09002415835857391,0.005067547285605031#0.0022768934078355348#0.0022768934078355348#0.004559305899167384#0.05749043360142525#0.08280335036395133,5#5#5#6#4#4,5#5#5#6#5#5,10#10#10#12#9#9,5#5#5#6#6#6,6.9#6.9#6.9#8.16#8.16#8.16,2#2#2#3#3#3,4#4#4#5#4#4,108.0#108.0#108.0#118.0#106.0#103.0,85.32489776611328#85.32489776611328#85.32489776611328#82.7263412475586#83.39508819580078#83.50611877441406,1#1#1#1#0#0,3#3#3#3#3#3,0#2#0#14#12#2,0#0#0#10#6#1,0#2#0#172#82#10,0#0#0#78#82#10,0#0#0#0#0#1,0#0#0#1#0#1,0#0#0#1#0#1
144,0#27,0#7,7760.json,6#5,0.6115466952323914#0.49524855613708496,0.8270380532621975#0.8769883279966826,0#0,0#0,0#0,1#1,4.0#3.92,0#0,1#2,21.0#18.0,118.7032470703125#122.86322021484375,0#0,0#0,0#3,0#1,0#29,0#31,0#0,0#0,0#0
2892,0,0,4953.json,4,0.9871492981910706,0.9294289469375332,0,0,0,1,3.92,0,0,12.0,128.936767578125,0,0,0,0,0,0,0,0,0
5325,0#20#57#13#4#1#1#0#0#0#33#418#6#6#37#0#83#0#34#8#5#9#12#10,0#31#55#55#70#99#310#333#486#486#499#515#517#569#635#882#1405#1872#1955#2253#2359#2370#2548#3520,7289.json,60#61#61#61#61#61#61#61#61#61#22#22#22#19#21#21#20#20#20#20#20#20#20#20,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#3.6877166712656617E-4#3.081817994825542E-4#3.6877166712656617E-4#0.022553106769919395#0.0016986954724416137#0.0016941764624789357#0.005345452576875687#0.005345452576875687#0.0053676338866353035#0.0035981503315269947#0.005508726928383112#0.004871694836765528#0.004852456972002983#0.004532871302217245,8.676135935585406E-16#1.6109010064282074E-16#7.055135587427603E-17#7.061892196085342E-17#2.992415910620324E-16#2.911481570271027E-16#1.275645155045169E-16#1.275645155045169E-16#1.275645155045169E-16#1.275645155045169E-16#0.9572387276570169#0.9569794677783252#0.9572387276570169#0.13638584804078807#0.008484523039666307#0.008465492571676942#0.01563702033493052#0.01563702033493052#0.015604052164644833#0.008960957844183087#0.0560553897756647#0.04752929958953668#0.03572704771232959#0.016314845991440834,13#13#13#13#13#13#14#14#14#14#4#4#4#4#5#5#4#4#4#4#4#4#4#4,13#13#13#13#13#13#14#14#14#14#4#4#4#4#5#5#4#4#4#4#3#3#3#3,26#26#26#26#26#26#28#28#28#28#8#8#8#8#10#10#8#8#8#8#7#7#7#7,10#10#10#10#10#10#10#10#10#10#4#4#4#4#4#4#4#4#4#4#4#4#4#4,12.0#12.98#12.98#12.98#12.98#12.98#12.98#12.98#12.98#12.98#8.08#8.08#8.08#7.55#7.9#7.62#7.89#7.89#7.89#7.89#7.89#7.89#7.89#7.89,4#4#4#4#4#4#4#4#4#4#2#2#2#2#2#2#2#2#2#2#2#2#2#2,31#33#34#34#32#32#32#32#32#32#8#8#8#8#11#11#10#10#10#12#11#12#12#13,317.0#324.0#327.0#327.0#321.0#321.0#325.0#325.0#325.0#325.0#82.0#82.0#82.0#84.0#102.0#102.0#93.0#93.0#93.0#97.0#89.0#91.0#92.0#95.0,62.9973258972168#62.56486129760742#62.50047302246094#62.50047302246094#62.61323547363281#62.61323547363281#62.54883575439453#62.54883575439453#62.54883575439453#62.54883575439453#88.50770568847656#88.50770568847656#88.50770568847656#90.75736999511719#87.94700622558594#87.94700622558594#89.28607177734375#89.28607177734375#89.28607177734375#89.06709289550781#89.66536712646484#89.5498046875#89.453369140625#89.21124267578125,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#1#1#1#1#1#1#1,8#8#8#8#8#8#8#8#8#8#2#2#2#2#2#2#1#1#1#1#1#1#1#1,0#6#2#2#4#4#2#0#0#0#68#2#2#15#4#0#7#0#2#4#2#2#2#2,0#3#1#1#2#2#1#0#0#0#18#1#1#2#3#0#2#0#1#2#1#1#1#1,0#169#20#7#45#10#19#0#0#0#1389#11#11#504#81#1#175#0#8#55#53#27#4#23,0#80#20#7#31#10#19#0#0#0#1716#0#0#41#97#0#83#0#8#55#53#27#4#23,0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0,0#1#0#0#0#1#1#0#0#1#0#0#0#1#0#0#0#0#0#1#0#0#0#0,0#1#0#0#0#0#1#0#0#1#0#0#0#1#0#0#0#0#0#1#0#0#0#0
5118,0#0#0#0#418#0#15#388,0#126#279#279#308#675#1379#1642,9801.json,9#9#9#9#9#8#8#9,0.6723645925521851#0.6723645925521851#0.6723645925521851#0.6723645925521851#0.6723645925521851#0.6922584176063538#0.6922584176063538#0.6696928143501282,0.6097248884813247#0.6097248884813247#0.6097248884813247#0.6097248884813247#0.6097248884813247#0.2764034280406512#0.2764034280406512#0.20038257827981024,2#2#2#2#2#2#2#2,2#2#2#2#2#2#2#2,4#4#4#4#4#4#4#4,2#2#2#2#2#2#2#2,2.95#2.95#2.95#2.95#2.95#5.29#5.29#5.03,1#1#1#1#1#1#1#1,1#1#1#1#1#1#1#1,40.0#40.0#40.0#40.0#40.0#40.0#40.0#45.0,107.7779541015625#107.7779541015625#107.7779541015625#107.7779541015625#107.7779541015625#109.68604278564453#109.68604278564453#107.10250854492188,2#2#2#2#2#2#2#2,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#5,0#0#0#0#0#0#0#3,0#0#0#0#0#68#0#19,0#0#0#0#0#0#0#16,0#0#0#0#0#0#0#0,0#0#0#1#0#0#0#0,0#0#0#1#0#0#0#0
1974,0,0,6599.json,7,0.0028673759661614895,0.08342359566087226,0,0,0,1,3.96,0,2,46.0,111.41885375976562,3,1,0,0,0,0,0,0,0
5071,0#8#0#0#0#15#4#0#1#36#9#49#259#1#1#8#30#9,0#2#79#232#232#239#261#628#1256#1521#1602#1602#1645#1666#1808#1943#2020#2124,10470.json,13#13#13#13#13#13#13#13#12#12#12#12#12#11#11#11#11#12,0.040491726249456406#0.03427738696336746#0.03427738696336746#0.03427738696336746#0.03427738696336746#0.029746737331151962#0.029746737331151962#0.02956952340900898#0.06073443219065666#0.0632927268743515#0.0632927268743515#0.0632927268743515#0.06447634845972061#0.13577288389205933#0.1176307424902916#0.09628374874591827#0.04990137368440628#0.007902415469288826,0.0047543740353693876#0.004740999738408323#0.004740999738408323#0.004740999738408323#0.004740999738408323#0.002043000947807806#0.002043000947807806#0.0020388633336512257#0.009653746868051845#0.00998896762486219#0.009895619815779777#0.009754327667144664#0.007407046601272492#0.014053411951127796#0.014943545477935718#0.014621794487974295#0.005048086906728467#0.0016357165185901142,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2,2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2,7.98#7.98#7.98#7.98#7.98#7.98#7.98#6.28#6.9#6.9#6.9#6.9#6.9#7.2#7.2#7.2#7.49#8.08,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,8#8#8#8#8#8#8#8#7#7#7#7#7#6#7#7#8#9,76.0#76.0#76.0#76.0#76.0#79.0#79.0#79.0#68.0#68.0#68.0#68.0#69.0#63.0#63.0#63.0#68.0#74.0,98.24876403808594#98.24876403808594#98.24876403808594#98.24876403808594#98.24876403808594#97.89761352539062#97.89761352539062#97.89761352539062#100.07173919677734#100.07173919677734#100.07173919677734#100.07173919677734#99.94593811035156#101.87846374511719#101.93055725097656#101.93055725097656#101.43143463134766#99.36051177978516,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,2#2#2#2#2#2#2#2#1#1#1#1#1#1#1#1#1#2,0#6#0#0#0#6#0#0#5#2#2#4#2#1#4#2#4#5,0#3#0#0#0#3#0#0#2#1#1#2#1#0#2#1#2#3,0#12#0#0#0#33#0#11#114#9#1#2#6#22#35#4#73#135,0#12#0#0#0#34#0#0#115#9#1#2#6#24#36#4#76#132,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#1#0#0#0#1#0#0#0#0#1#0#0#0#1,0#0#0#0#1#0#0#0#1#0#1#1#0#1#0#0#0#1
