Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
1799,0,0,104.json,15,0.04274492338299751,0.00676095852269754,3,2,5,4,5.31,3,6,82.0,94.56640625,2,2,0,0,0,0,0,0,0
963,0#107,0#187,21852.json,19#23,0.0#0.0,1.0347025860408466E-11#1.6517600342372012E-13,6#7,3#4,9#11,4#5,2.78#2.63,2#2,21#26,184.0#213.0,86.04798889160156#81.89897155761719,1#1,5#5,0#5,0#5,0#268,0#251,0#0,0#0,0#0
2239,0#3#0,0#120#406,20823.json,14#16#16,9.412794024683535E-4#1.2619042536243796E-4#1.2619042536243796E-4,8.657494409500931E-5#8.821131911154971E-7#8.821131911154971E-7,1#1#1,3#3#3,4#4#4,4#4#4,2.56#2.67#2.67,3#3#3,2#6#6,103.0#135.0#135.0,94.72486114501953#91.03590393066406#91.03590393066406,2#2#2,1#1#1,0#4#0,0#4#0,0#315#0,0#207#0,0#0#0,0#0#0,0#0#0
790,0,0,21746.json,3,0.04314345866441727,0.717874388947072,0,0,0,1,1.89,0,1,21.0,129.81976318359375,0,0,0,0,0,0,0,0,0
2463,0,0,9640.json,4,0.006733680609613657,0.28700798104508507,0,0,0,1,15.53,0,1,34.0,122.12659454345703,6,0,0,0,0,0,0,0,0
843,0,0,761.json,3,0.38081610202789307,0.8671047149037142,0,0,0,1,1.89,0,1,17.0,131.28770446777344,0,0,0,0,0,0,0,0,0
2241,0,0,20080.json,3,0.02721010334789753,0.907221014570563,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,0,0,0,0
1786,0#35,0#1073,2260.json,10#11,0.0#0.0,1.82789942169573E-5#1.531252357943569E-8,5#5,2#2,7#7,3#3,4.4#4.21,2#2,16#19,100.0#131.0,100.51837158203125#97.11412048339844,4#4,1#2,0#7,0#4,0#234,0#230,0#0,0#0,0#0
2650,0,0,14843.json,31,0.0,1.2933647191370897E-8,15,14,29,8,3.62,1,14,199.0,77.73289489746094,0,0,0,0,0,0,0,0,0
1841,0,0,7760.json,2,0.907437264919281,0.7876188004041597,0,0,0,1,1.89,0,0,17.0,137.8562469482422,3,0,0,0,0,0,0,0,0
1264,0,0,4953.json,12,0.019909683614969254,0.004994585244894912,1,1,2,2,2.56,1,6,75.0,99.29071044921875,2,2,0,0,0,0,0,0,0
1622,0#9,0#386,13448.json,5#13,0.6509062051773071#0.3036429286003113,0.9567437003631846#0.39684376556400125,0#1,0#1,0#2,1#2,2.99#3.72,1#2,1#5,20.0#57.0,122.167236328125#99.74471282958984,0#0,0#0,0#9,0#9,0#344,0#279,0#0,0#0,0#0
1841,0#2#3#5#4#11#8#23#8#11#5#10#27#1#19#3#2#3#15#3#43#16,0#44#45#120#470#471#632#665#666#743#779#800#939#1088#1170#1185#1185#1190#1219#1220#1235#1245,7289.json,111#111#111#111#120#120#118#118#119#126#126#125#125#125#127#126#132#127#133#132#133#134,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,9.995311837459373E-68#1.2984974712309925E-67#9.995311837459373E-68#4.296565582926993E-68#2.435544240236063E-72#7.026173386432901E-72#1.752569425762129E-69#2.277343773612422E-69#1.5166601065046321E-69#3.724859130680553E-74#3.7215911084065616E-74#1.3753777107533114E-72#1.3747205508279745E-72#1.0573592167126097E-72#1.74306348398804E-75#3.5905414805740347E-75#1.1040823913398753E-75#5.7128251186234505E-77#1.0250881579624589E-77#1.1040823913398753E-75#9.142091649241314E-77#6.138338715713275E-77,12#12#12#12#14#14#14#14#14#15#15#15#15#15#15#15#15#15#15#15#15#15,15#15#15#15#17#17#17#17#17#19#19#19#19#19#19#19#20#19#20#20#20#20,27#27#27#27#31#31#31#31#31#34#34#34#34#34#34#34#35#34#35#35#35#35,17#17#17#17#19#19#19#19#19#21#21#21#21#21#21#21#23#21#23#23#23#23,5.27#5.27#5.27#5.27#5.18#5.18#5.14#5.14#5.13#5.19#5.19#5.21#5.21#5.21#5.19#5.19#5.61#5.19#5.61#5.61#5.61#5.63,4#4#4#4#4#4#4#4#4#5#5#5#5#5#5#5#6#5#6#6#6#6,119#119#119#119#124#124#122#122#123#127#127#125#125#125#131#130#131#133#134#131#133#133,797.0#796.0#797.0#799.0#846.0#842.0#829.0#828.0#832.0#881.0#881.0#869.0#869.0#870.0#900.0#894.0#898.0#911.0#914.0#898.0#907.0#910.0,45.31891632080078#45.32544708251953#45.31891632080078#45.29785919189453#43.250186920166016#43.27482986450195#43.63967514038086#43.64595413208008#43.48027801513672#41.77370071411133#41.77370071411133#41.993255615234375#41.993255615234375#41.987274169921875#41.54228973388672#41.71281433105469#40.472129821777344#41.46773910522461#40.23905944824219#40.472129821777344#40.28657150268555#40.14805221557617,2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2,27#26#27#27#30#30#30#30#30#31#31#31#31#31#31#31#31#31#31#31#31#31,0#2#2#2#13#2#4#2#2#12#2#3#2#2#5#3#22#2#1#2#2#13,0#1#1#1#11#1#4#1#2#10#1#1#1#1#5#0#11#1#1#1#1#7,0#32#32#49#495#49#219#7#53#525#7#162#16#15#411#83#674#793#808#87#123#328,0#32#32#49#459#49#111#7#48#450#7#158#16#15#212#77#326#439#450#83#119#304,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#1#1#0#0#1#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#1#1#0#0#0#0#0#0#0#0#0#0
3234,0,0,9801.json,3,0.20014990866184235,0.7625947299958651,0,0,0,1,1.89,0,0,18.0,130.7338104248047,0,0,0,0,0,0,0,0,0
2822,0#3#27,0#294#641,6599.json,7#3#3,0.5354551672935486#0.04930424690246582#0.04930424690246582,0.4042310659111357#0.8651594692202805#0.8651594692202805,1#0#0,1#0#0,2#0#0,2#1#1,2.56#2.0#2.0,1#0#0,3#1#1,36.0#17.0#17.0,112.60784912109375#131.43582153320312#131.43582153320312,0#0#0,1#0#0,0#7#0,0#2#0,0#150#0,0#169#0,0#0#0,0#1#0,0#1#0
