Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
4052,0,0,104.json,17,1.1049719614675269E-4,4.552356581140888E-5,1,9,10,11,1.71,2,0,111.0,89.66734313964844,1,0,0,0,0,0,0,0,0
596,0,0,761.json,3,0.28965258598327637,0.9736565631388805,0,0,0,1,0.94,0,0,11.0,134.26058959960938,0,0,0,0,0,0,0,0,0
4308,0#0,0#209,1843.json,3#3,0.6413494944572449#0.6413494944572449,0.9474627175064213#0.9474627175064213,0#0,0#0,0#0,1#1,0.94#0.94,0#0,0#0,12.0#12.0,133.59722900390625#133.59722900390625,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
5900,0#54#0,0#1062#1801,474.json,9#9#9,0.05336524173617363#0.05336524173617363#0.05336524173617363,0.2457740946698476#0.2457740946698476#0.2457740946698476,1#1#1,1#1#1,2#2#2,2#2#2,1.13#1.13#1.13,1#1#1,2#2#2,52.0#52.0#52.0,106.41365814208984#106.41365814208984#106.41365814208984,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
6174,0#5#14#340#0,0#102#595#1325#2075,922.json,3#6#6#6#6,0.8828984498977661#0.16537527740001678#0.123898446559906#0.1232655793428421#0.1232655793428421,0.9227840162231712#0.40649971447943556#0.33649453211313984#0.3496387342243388#0.3496387342243388,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,0.94#0.94#0.94#0.94#0.94,0#0#0#0#0,0#3#3#3#3,12.0#35.0#36.0#36.0#36.0,133.59722900390625#115.64443969726562#115.4139404296875#115.4139404296875#115.4139404296875,0#0#0#0#0,0#1#1#1#1,0#5#2#2#0,0#4#1#1#0,0#123#2#6#0,0#123#2#6#0,0#0#0#0#0,0#1#0#0#0,0#1#0#0#0
4334,0,0,274.json,7,0.6222165822982788,0.3221306759905056,1,1,2,2,1.28,1,1,40.0,111.98572540283203,1,1,0,0,0,0,0,0,0
5024,0#2#7,0#773#2810,260.json,10#10#10,0.052646610885858536#0.07788225263357162#0.1018821969628334,0.0031069428544145306#0.003285166359717518#0.006041634437042492,4#4#3,4#4#3,8#8#6,3#3#3,1.83#1.83#1.83,2#2#2,5#5#5,69.0#69.0#66.0,102.40829467773438#102.44790649414062#102.7200927734375,3#3#3,1#1#1,0#2#2,0#1#1,0#11#16,0#11#16,0#0#0,0#1#0,0#1#0
5390,0#0,0#1291,794.json,3#3,0.721034049987793#0.721034049987793,0.9358101980771487#0.9358101980771487,0#0,0#0,0#0,1#1,0.94#0.94,0#0,0#0,12.0#12.0,133.59722900390625#133.59722900390625,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
5936,0#6#20#10#108#56#8#2#1#1#1#5#3#4#4#11#4#2#8#1#1#8#11#340#1#11#1#38#23#3#4#40,0#31#50#171#303#314#322#500#504#580#580#581#581#581#581#582#584#616#700#731#732#938#994#1086#1358#1364#1479#1749#1755#1950#2926#2941,26.json,42#47#47#40#40#50#45#51#50#44#46#45#45#46#46#63#63#63#69#73#69#70#73#72#74#73#77#76#69#74#72#72,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,5.54134814759264E-25#4.029406531227309E-27#9.2853862169378E-27#8.419925170242903E-25#8.46635892793001E-25#5.5905627922665725E-28#2.560586606622408E-28#1.2679256632154733E-35#1.65774981455833E-33#1.163473478889611E-25#9.026836114854179E-29#4.264926397009754E-28#4.279486525002401E-28#9.057139808667808E-29#9.011722310859208E-29#2.3305742708308233E-41#2.337074236828185E-41#2.0557103742438179E-41#2.2574315713587927E-47#1.1003822036544359E-48#2.2574315713587927E-47#4.582563776631568E-47#9.374241169558792E-47#4.31234488517902E-46#2.287701101774367E-46#2.8328839324056148E-46#6.24036246725333E-48#1.9958495024995283E-47#9.97813836213038E-45#1.1052248722270556E-47#2.1248271571946156E-46#6.64388876784324E-46,3#4#4#3#3#5#4#4#4#4#4#4#4#4#4#8#8#8#9#10#9#10#10#10#11#11#11#11#10#12#10#10,3#4#4#3#3#5#4#4#4#4#4#4#4#4#4#7#7#7#8#9#8#9#9#9#10#10#10#10#9#11#9#9,6#8#8#6#6#10#8#8#8#8#8#8#8#8#8#15#15#15#17#19#17#19#19#19#21#21#21#21#19#23#19#19,4#5#5#4#4#6#5#5#5#5#5#5#5#5#5#9#9#9#10#11#10#10#10#10#11#11#12#12#10#11#10#10,1.98#1.9#1.9#1.6#1.6#1.61#1.54#1.46#1.48#1.4#1.36#1.37#1.37#1.36#1.36#1.73#1.73#1.82#1.78#1.76#1.78#1.88#10.95#11.02#10.88#9.59#9.3#9.35#9.85#9.59#9.72#9.72,3#3#3#2#2#2#2#2#2#2#2#2#2#2#2#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3,38#40#40#37#37#42#42#50#46#38#41#40#40#41#41#55#55#56#63#64#63#63#63#63#63#63#64#64#62#67#66#66,350.0#377.0#374.0#343.0#343.0#394.0#385.0#462.0#444.0#365.0#393.0#385.0#385.0#393.0#393.0#531.0#531.0#530.0#588.0#605.0#588.0#586.0#588.0#580.0#586.0#584.0#603.0#598.0#567.0#605.0#590.0#586.0,69.23265838623047#66.70689392089844#66.75889587402344#70.11675262451172#70.11675262451172#65.30977630615234#67.32319641113281#64.21867370605469#64.8033218383789#68.06575775146484#66.82881164550781#67.30216217041016#67.30216217041016#66.82881164550781#66.82881164550781#58.99915313720703#58.99915313720703#58.993526458740234#56.641990661621094#55.33082962036133#56.641990661621094#56.41987991333008#55.71566390991211#56.01034927368164#55.2829704284668#55.52783966064453#54.221458435058594#54.48933410644531#56.865562438964844#55.11704635620117#55.941650390625#55.98386001586914,3#3#3#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#3#3#3#3#3#3#3#3#3#3#3,11#13#13#13#13#13#13#16#16#14#15#15#15#15#15#20#20#20#21#21#21#20#20#20#20#20#20#19#18#19#19#19,0#10#2#82#8#20#25#7#11#16#3#1#4#1#4#25#4#4#7#12#12#5#7#3#4#1#7#3#10#19#7#2,0#8#1#37#4#15#10#7#5#5#3#0#2#1#2#22#2#2#7#8#4#2#5#1#3#0#6#1#1#14#2#1,0#257#8#300#8#327#314#430#277#429#216#41#2#41#4#983#2#109#421#125#125#177#218#41#47#62#204#121#330#773#237#10,0#270#8#369#8#335#319#429#281#413#144#41#1#41#2#1016#1#99#422#137#137#158#16#34#53#9#135#121#270#704#238#10,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#1#1#0#1#0#0#0#0#1#0#0#0#0#0#1,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#1#0#1#1#0#1#0#0#1#0#0#0#0#0#1
5764,0#4#11,0#38#915,326.json,11#3#3,0.7874564528465271#0.9628047943115234#0.5750157237052917,0.2865172074261833#0.7228365938235047#0.6340022666800452,2#0#0,2#0#0,4#0#0,3#1#1,1.21#0.94#0.94,1#0#0,2#1#1,48.0#14.0#19.0,103.48548889160156#132.4454345703125#130.45266723632812,0#0#1,2#0#0,0#10#4,0#1#2,0#184#44,0#188#44,0#0#0,0#0#0,0#0#1
4308,0#0#55,0#209#220,1454.json,9#9#7,0.04049056023359299#0.04049056023359299#0.07178870588541031,0.016199443534163912#0.016199443534163912#0.035712278582466686,0#0#0,0#0#0,0#0#0,3#3#2,1.47#1.47#1.51,1#1#1,3#3#2,57.0#57.0#47.0,105.23184204101562#105.23184204101562#110.5362319946289,2#2#2,0#0#0,0#0#4,0#0#1,0#0#76,0#0#78,0#0#0,0#0#0,0#0#0
5933,0#22#1#1#1#57#11#12#51#340#22#0#3,0#1#1#6#6#18#18#18#26#1083#1330#1834#1849,2013.json,30#30#30#30#30#30#30#30#30#30#20#20#20,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,5.0424767304935355E-9#1.0693876619854118E-8#1.682391569719623E-8#1.7315286193277237E-8#1.728947050107653E-8#2.4045814073406445E-8#4.5294663594293296E-8#8.510471484310062E-8#5.299926342302033E-8#5.4044892535031184E-8#1.3879906207898062E-4#1.3879906207898062E-4#2.265889373375811E-4,1#1#1#1#1#1#1#1#1#1#1#1#1,1#1#1#1#1#1#1#1#1#1#1#1#1,2#2#2#2#2#2#2#2#2#2#2#2#2,2#2#2#2#2#2#2#2#2#2#2#2#2,0.81#0.81#0.81#0.81#0.81#0.81#0.81#0.81#0.81#0.81#0.99#0.99#0.99,1#1#1#1#1#1#1#1#1#1#1#1#1,27#27#27#27#27#27#26#25#25#25#15#15#14,193.0#192.0#191.0#191.0#191.0#189.0#187.0#185.0#186.0#186.0#121.0#121.0#118.0,79.53175354003906#79.64237213134766#79.71373748779297#79.71373748779297#79.71373748779297#79.76847839355469#79.86975860595703#79.9735336303711#79.89764404296875#79.89764404296875#88.96332550048828#88.96332550048828#89.09387969970703,0#0#0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1#1#1#1,0#2#2#6#2#36#2#2#2#2#10#0#2,0#1#1#3#1#18#1#1#1#1#0#0#1,0#16#5#10#2#63#17#14#3#6#359#0#11,0#16#5#10#2#63#17#14#3#6#359#0#11,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#1#1#1#0#0#0#0#0#1#0#0,0#0#1#1#1#0#0#0#0#0#1#0#0
4567,0#0,0#468,1731.json,3#3,0.7608081102371216#0.7608081102371216,0.9460455955360393#0.9460455955360393,0#0,0#0,0#0,1#1,0.94#0.94,0#0,0#0,12.0#12.0,133.59722900390625#133.59722900390625,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
6320,0#2#9#2#17#0#9,0#15#133#247#560#2221#2376,2121.json,19#19#19#20#20#20#21,3.1182687962427735E-4#0.0019767589401453733#0.00193133729044348#0.003987832926213741#0.003827611217275262#0.003827611217275262#0.004463425371795893,4.703183940770276E-6#3.89339866504675E-7#3.60106669215147E-7#2.0269614796468027E-8#2.0356297982506327E-8#2.0356297982506327E-8#8.344121074416813E-7,2#2#2#3#3#3#3,3#3#3#3#3#3#3,5#5#5#6#6#6#6,4#4#4#4#4#4#4,3.28#3.29#1.94#1.9#1.9#1.9#1.94,2#2#2#2#2#2#2,5#5#5#5#5#5#5,126.0#135.0#135.0#154.0#154.0#154.0#136.0,88.46955108642578#87.95661163330078#87.95661163330078#86.5624771118164#86.5624771118164#86.5624771118164#86.32601165771484,1#1#1#1#1#1#1,3#4#4#5#5#5#5,0#15#4#19#2#0#15,0#8#2#10#1#0#8,0#156#19#205#5#0#168,0#137#1#207#5#0#160,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#1#0#0#0
