Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
2493,0#0,0#66,104.json,3#3,0.6513296961784363#0.6513296961784363,0.8759550896472328#0.8759550896472328,0#0,0#0,0#0,1#1,1.89#1.89,0#0,1#1,17.0#17.0,131.28770446777344#131.28770446777344,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1317,0#31#2,0#0#1,761.json,40#35#35,1.3796926941722631E-4#0.024139251559972763#0.0662502646446228,1.0925680850261447E-22#3.90967625884098E-12#4.714014090261838E-11,3#4#4,8#8#8,11#12#12,9#9#9,4.04#3.41#3.59,2#2#2,0#1#1,375.0#242.0#242.0,69.13570404052734#73.62062072753906#73.62062072753906,3#3#3,7#6#6,0#53#6,0#24#6,0#597#186,0#520#0,0#0#0,0#0#1,0#0#1
2689,0#17,0#37,2260.json,9#9,0.06586284935474396#0.02091594599187374,0.0011397063771001394#6.948137870230646E-5,7#7,4#4,11#11,5#5,5.03#5.03,0#0,6#9,79.0#92.0,102.91310119628906#102.013427734375,1#1,1#1,0#8,0#4,0#59,0#59,0#0,0#0,0#0
2448,0#10#4#24#5#5,0#2#3#5#9#9,4953.json,3#3#3#3#3#3,0.6202979683876038#0.4168139398097992#0.1862068921327591#0.4168139398097992#0.40152740478515625#0.17760267853736877,0.8331217761637993#0.9312532566085745#0.8506822235832535#0.9312532566085745#0.7596243125257852#0.8596820722413597,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,1#1#1#1#1#1,1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0,1#1#1#1#2#1,16.0#14.0#16.0#14.0#19.0#16.0,131.60296630859375#132.79563903808594#131.60296630859375#132.79563903808594#130.57513427734375#131.60296630859375,0#0#0#0#0#0,0#0#0#0#0#0,0#2#2#2#2#4,0#1#1#1#1#2,0#24#21#21#37#33,0#24#21#21#37#33,0#0#0#0#0#0,0#0#1#0#0#1,0#0#1#0#0#1
1330,0#0,0#1136,3678.json,3#3,0.9035962820053101#0.9028384685516357,0.9101886155740835#0.9633070653189358,0#0,0#0,0#0,1#1,3.77#1.89,0#0,0#0,12.0#12.0,133.59722900390625#133.59722900390625,0#0,0#0,0#0,0#0,0#16,0#0,0#0,0#0,0#0
2689,0,0,2810.json,3,0.9080740213394165,0.9596109590853419,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
1300,0,0,2294.json,13,0.05114537477493286,0.9790275967401741,0,0,0,1,4.75,0,0,38.0,102.52825927734375,0,0,0,0,0,0,0,0,0
2637,0#26,0#104,1843.json,4#4,0.18489286303520203#0.29153677821159363,0.05092049087031984#0.15839602480820178,0#0,0#0,0#0,1#1,2.0#2.0,0#0,5#5,43.0#37.0,120.70597839355469#121.68689727783203,2#2,0#0,0#2,0#1,0#27,0#27,0#0,0#0,0#0
2631,0,0,2249.json,3,0.15386544167995453,0.5684794092834808,0,0,0,1,1.89,0,2,25.0,128.8092498779297,0,0,0,0,0,0,0,0,0
2446,0#3#4#3#57#30#53#7,0#18#19#536#540#546#547#1065,3815.json,29#28#30#25#29#25#28#29,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,3.072172052103616E-14#3.144988587374583E-13#1.8916835833241152E-15#2.450181422965906E-11#1.8757738554799683E-16#3.179404743944862E-13#1.6810162971268316E-13#4.3855293125778145E-14,2#2#2#1#3#3#3#3,4#4#4#3#4#4#5#5,6#6#6#4#7#7#8#8,5#5#5#4#5#5#6#6,2.46#2.44#2.44#2.52#3.04#2.52#2.42#2.39,1#1#1#1#1#1#1#1,34#32#37#33#43#32#32#34,239.0#226.0#252.0#204.0#261.0#221.0#232.0#241.0,77.50505065917969#78.38408660888672#76.62345886230469#81.17973327636719#77.00881958007812#80.39794158935547#78.01782989501953#77.21236419677734,1#1#1#1#1#1#1#1,3#3#3#3#3#3#3#3,0#3#2#6#10#10#11#2,0#1#2#0#7#3#8#2,0#125#153#259#346#368#309#65,0#116#145#238#321#336#250#60,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0
