Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
1043,0#140,0#707,104.json,7#7,0.0#0.0,0.011809083156452876#0.011328473998071999,0#0,0#0,0#0,1#1,1.98#1.98,0#0,6#6,61.0#61.0,109.70494842529297#109.70494842529297,3#3,1#1,0#4,0#2,0#8,0#8,0#0,0#0,0#0
696,0#1#23#140#175#172,0#22#28#360#494#646,761.json,77#77#77#76#33#21,0.0#0.0#0.0#0.0#0.0#0.0,3.236668396040142E-81#1.2868973444375071E-82#3.398632787253978E-86#1.0748431324373291E-84#1.0494175844879839E-39#2.05645092635141E-16,4#4#4#4#0#0,7#7#7#7#0#1,11#11#11#11#0#1,8#8#8#8#1#2,2.43#2.43#2.43#2.44#0.92#1.06,2#2#2#2#0#0,96#96#96#92#56#30,889.0#901.0#932.0#920.0#497.0#283.0,52.96664047241211#52.89165115356445#52.705318450927734#52.994903564453125#72.00607299804688#82.36683654785156,4#4#4#4#2#2,16#16#16#16#8#7,0#12#14#18#101#9,0#6#7#9#29#8,0#24#114#293#3545#169,0#24#114#290#3215#1057,0#0#0#0#0#0,0#1#1#0#0#0,0#1#1#0#0#0
2030,0#1#36#16#685,0#314#374#415#637,2260.json,6#6#3#3#3,0.031888723373413086#0.031888723373413086#4.720242868643254E-4#6.00903294980526E-4#5.296986782923341E-4,0.10752286281918365#0.10752286281918365#0.21949490946044634#0.20727886580969085#0.210073486483989,1#1#0#0#0,1#1#0#0#0,2#2#0#0#0,2#2#1#1#1,2.75#2.75#1.89#1.89#1.89,1#1#0#0#0,3#3#2#2#2,44.0#44.0#33.0#33.0#33.0,113.78789520263672#113.78789520263672#127.26919555664062#127.26919555664062#127.26919555664062,4#4#4#4#4,0#0#0#0#0,0#0#5#4#2,0#0#1#2#1,0#0#89#10#8,0#0#77#10#8,0#0#0#0#1,0#0#0#0#1,0#0#0#0#1
2326,0#685#83,0#933#2054,3678.json,12#12#12,0.009436845779418945#0.009436845779418945#0.009363483637571335,6.57498192006962E-7#6.57498192006962E-7#6.558248305227435E-7,4#4#4,3#3#3,7#7#7,4#4#4,3.94#3.94#3.94,1#1#1,8#8#8,120.0#120.0#120.0,96.01351165771484#96.01351165771484#96.01351165771484,5#5#5,4#4#4,0#0#2,0#0#1,0#0#4,0#0#4,0#1#0,0#1#0,0#1#0
1010,0,0,2810.json,8,0.4320344030857086,0.9124468341750477,0,0,0,2,2.65,1,1,30.0,111.55557250976562,0,1,0,0,0,0,0,0,0
1399,0#175,0#1197,2294.json,4#3,0.06220785900950432#0.0289070475846529,0.6332341117923787#0.5461010779277934,0#0,0#0,0#0,1#1,1.73#1.89,0#0,2#2,27.0#27.0,123.74861145019531#128.4090576171875,2#2,0#0,0#5,0#2,0#8,0#4,0#0,0#0,0#0
1066,0#172,0#1016,1843.json,4#3,0.5556671023368835#0.13089725375175476,0.9242858685247207#0.7542558852183527,0#0,0#0,0#0,1#1,1.73#1.89,0#0,0#0,17.0#20.0,126.37059020996094#130.07347106933594,0#0,0#0,0#5,0#2,0#23,0#15,0#0,0#0,0#0
4680,0#0#5#0#44#18#685#66,0#475#793#1105#2236#2353#3287#4154,3815.json,5#5#5#5#6#6#6#5,0.14259551465511322#0.14259551465511322#0.2666481137275696#0.2666481137275696#0.004296585917472839#0.004296585917472839#0.004296585917472839#0.030313560739159584,0.5823366680786354#0.5823366680786354#0.6833049668998166#0.6833049668998166#0.013373535751787662#0.013373535751787662#0.013373535751787662#0.04540351842032304,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1,1.96#1.96#1.96#1.96#2.0#2.0#2.0#1.96,0#0#0#0#0#0#0#0,1#1#1#1#3#3#3#2,29.0#29.0#27.0#27.0#55.0#55.0#55.0#48.0,119.49191284179688#119.49191284179688#119.94750213623047#119.94750213623047#112.58414459228516#112.58414459228516#112.58414459228516#116.2955322265625,2#2#2#2#2#2#2#2,0#0#0#0#1#1#1#1,0#0#2#0#7#0#0#10,0#0#1#0#4#0#0#5,0#0#16#0#147#0#0#81,0#0#16#0#143#0#0#53,0#0#0#0#0#0#1#0,0#0#0#0#0#0#1#0,0#0#0#0#0#0#1#0
2113,0#685#115#162,0#720#942#1498,3173.json,4#4#4#3,0.0#0.0#0.0#0.0,0.004226604019281802#0.004247634639438884#0.004493947632448369#0.008350140593431612,1#1#1#1,1#1#1#1,2#2#2#2,2#2#2#2,1.73#1.73#1.73#1.89,0#0#0#0,1#1#1#1,54.0#54.0#54.0#50.0,119.0180892944336#119.0180892944336#119.0180892944336#124.18072509765625,4#4#4#4,0#0#0#0,0#2#4#5,0#1#2#2,0#5#16#29,0#5#16#25,0#1#0#0,0#1#0#0,0#1#0#0
2030,0#137,0#73,474.json,3#3,0.06350300461053848#0.06014508754014969,0.3949028440529877#0.3758083813313575,0#0,0#0,0#0,1#1,1.89#1.89,0#0,1#1,26.0#26.0,128.41912841796875#128.41912841796875,2#2,0#0,0#2,0#1,0#7,0#7,0#0,0#0,0#0
