Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
954,0#28#11#2,0#666#666#666,22.json,3#3#3#3,0.5938758850097656#0.8358229398727417#0.10915107280015945#0.711824357509613,0.9249059943944964#0.8988644270983205#0.701010743584859#0.8518032426955947,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,0#0#0#0,14.0#15.0#23.0#16.0,132.4454345703125#132.25152587890625#129.34671020507812#131.75106811523438,0#0#3#0,0#0#0#0,0#2#2#2,0#1#1#1,0#23#27#36,0#23#27#36,0#0#0#0,0#0#0#0,0#0#0#0
2424,0#25#3#10#12#15,0#41#42#51#127#205,1565.json,3#4#5#5#7#7,0.8177326917648315#0.7889329791069031#0.6926901936531067#0.732223629951477#0.7307931184768677#0.7503036856651306,0.8909276684464207#0.8819818689610741#0.875446907708232#0.8876473942915751#0.8971187448446818#0.897986854106407,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,1#1#1#1#1#1,1.89#2.0#1.96#1.96#2.56#2.56,0#0#0#0#1#1,0#1#2#2#2#2,13.0#16.0#19.0#19.0#24.0#24.0,132.9956512451172#127.09062194824219#122.4339599609375#122.4339599609375#115.51164245605469#115.51164245605469,0#0#0#0#0#0,0#0#0#0#0#0,0#1#1#2#4#2,0#1#1#1#3#1,0#28#39#14#52#18,0#24#35#14#44#0,0#0#0#0#0#0,0#0#1#0#1#1,0#0#1#0#1#1
2084,0#0#3#106#67#77#127#0#93#14#12#6,0#5#20#21#22#31#35#37#677#1005#1384#2080,1402.json,14#14#14#14#14#14#14#14#14#14#14#14,0.007408891338855028#0.007408891338855028#0.0012869505444541574#0.0013031077105551958#0.0019965232349932194#0.002158919582143426#0.0021585943177342415#0.0021585943177342415#0.0010881315683946013#8.608295465819538E-4#0.0013310513459146023#2.6945065474137664E-4,0.0018888939330014647#0.0018888939330014647#0.0010313317383773212#5.445483686700683E-4#0.0011484623907824514#0.0011326523432396082#0.0011131713698166673#0.0011131713698166673#0.0014150460836994901#5.53190977898431E-4#3.530817841815327E-4#1.3642501025325436E-5,0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1#1#1,2.8#2.8#4.64#4.64#4.64#4.64#4.64#4.64#4.64#4.64#4.64#4.64,0#0#0#0#0#0#0#0#0#0#0#0,4#4#4#4#4#4#4#4#4#6#6#12,85.0#85.0#85.0#87.0#84.0#84.0#84.0#84.0#84.0#88.0#90.0#106.0,96.15361022949219#96.15361022949219#96.15361022949219#95.96835327148438#96.21515655517578#96.21515655517578#96.21515655517578#96.21515655517578#96.24878692626953#95.94061279296875#95.85639190673828#94.91040802001953,3#3#3#3#2#2#2#2#2#2#2#2,2#2#2#2#2#2#2#2#2#2#2#2,0#0#4#2#2#2#2#0#4#2#4#4,0#0#2#1#1#1#1#0#2#1#2#2,0#0#30#24#19#8#1#0#49#8#73#113,0#0#4#24#19#8#1#0#49#8#73#113,0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#1#0#1#1,0#0#0#0#0#0#0#0#1#0#1#1
681,0,0,2027.json,3,0.9479139447212219,0.5567119276468236,0,0,0,1,1.89,0,0,23.0,129.2428436279297,1,0,0,0,0,0,0,0,0
2084,0#68#0#7#4#12,0#27#37#349#474#1190,410.json,3#8#8#8#8#8,0.8717346787452698#0.17079949378967285#0.17079949378967285#0.23117710649967194#0.2460176944732666#0.24682939052581787,0.8801398721819929#0.0017545693723270256#0.0017545693723270256#0.005472196345394177#0.00636710799330369#0.006191543599511167,0#0#0#0#0#0,0#1#1#1#1#1,0#1#1#1#1#1,1#2#2#2#2#2,1.89#2.4#2.4#2.4#2.4#2.4,0#1#1#1#1#1,0#3#3#4#4#4,17.0#68.0#68.0#62.0#62.0#62.0,131.03103637695312#106.36874389648438#106.36874389648438#106.9769058227539#106.9769058227539#106.9769058227539,0#1#1#1#1#1,0#2#2#2#2#2,0#7#0#2#2#2,0#6#0#1#1#1,0#323#0#84#13#10,0#303#0#84#13#10,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0
2315,0#2#2#1#13#4#2#13#1#41#151#19#1,0#2#19#46#70#146#202#410#445#555#908#1119#1623,1168.json,33#34#34#39#44#44#44#50#50#50#50#50#51,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,5.533356379390756E-26#1.1155931308926455E-28#1.9898535155323526E-26#5.2529556648163576E-30#2.5499033464548715E-37#2.5462306365446896E-37#2.5451100812009876E-37#4.886284229573909E-40#2.108452313320502E-41#3.5197201185916305E-43#1.0949098504346845E-42#1.0949098504346845E-42#4.499015221130305E-43,17#20#17#18#21#21#21#22#22#22#22#22#22,13#13#13#14#14#14#14#16#17#17#17#17#17,30#33#30#32#35#35#35#38#39#39#39#39#39,9#9#9#10#10#10#10#12#13#13#13#13#13,5.35#5.38#5.31#5.27#5.19#5.19#5.19#5.01#5.01#5.01#5.01#5.01#4.97,4#4#4#4#4#4#4#4#4#4#4#4#4,33#38#34#38#52#52#52#54#56#59#59#59#59,338.0#364.0#344.0#387.0#469.0#469.0#469.0#504.0#515.0#532.0#528.0#528.0#530.0,72.104736328125#71.18403625488281#71.49823760986328#68.39287567138672#65.43937683105469#65.43937683105469#65.43937683105469#62.49568176269531#62.125553131103516#61.94757843017578#61.99592208862305#61.99592208862305#61.61960983276367,4#4#4#4#4#4#4#5#5#5#5#5#5,10#11#11#12#12#12#12#12#12#12#12#12#13,0#5#39#5#11#2#2#12#2#2#16#54#3,0#3#39#5#8#1#1#9#1#1#8#54#2,0#167#47#295#396#1#2#246#68#139#130#0#286,0#163#102#208#431#1#2#222#68#139#130#0#282,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#1#0#0#0#0#1#0#0#0#0#1,0#0#1#0#0#0#0#1#0#0#0#0#1
2477,0#3#2#3#1#6#4#7#9#7#1#1#2#2#7#2#11#0#2#5#2#2#10#2#3#6#8,0#3#3#3#3#4#4#4#4#5#9#11#11#11#15#15#15#20#23#26#26#26#32#32#38#51#159,1041.json,3#3#17#17#20#20#20#20#20#20#17#21#25#25#29#29#29#29#29#29#33#33#58#45#45#3#3,0.8553527593612671#0.862440288066864#6.220444920472801E-4#2.865962451323867E-4#2.348393900319934E-4#2.759705239441246E-4#0.0#2.8560447390191257E-4#5.821144441142678E-4#5.474904319271445E-4#7.994672050699592E-4#3.167079121340066E-4#1.7210356600116938E-4#1.701692381175235E-4#1.0236957314191386E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,0.827852942227855#0.9328274952771118#9.592703731690399E-7#2.115805057316089E-7#1.584011072865673E-7#1.612075854841483E-7#3.0194283925061106E-8#1.6353215839569107E-7#7.509368499450482E-7#3.173272398774358E-7#4.273649621280527E-7#2.374862710619805E-8#8.521944839804545E-10#8.43134461357065E-10#2.909524335435417E-11#1.4789300876532725E-10#3.2479857975963123E-10#3.2479857975963123E-10#2.0026794861246073E-11#9.485960856348394E-11#1.3067324962050406E-12#2.4042593487476107E-12#9.490696224887904E-25#7.250774411654698E-18#4.824295833514761E-18#0.21918027123322295#0.2067622445002261,0#0#5#6#6#6#6#6#5#5#5#8#9#9#11#11#11#11#12#13#16#17#23#20#19#0#0,0#0#5#5#6#6#6#6#6#6#5#6#7#7#9#9#9#9#10#10#12#12#24#19#19#0#0,0#0#10#11#12#12#12#12#11#11#10#14#16#16#20#20#20#20#22#23#28#29#47#39#38#0#0,1#1#6#6#7#7#7#7#7#7#6#7#8#8#9#9#9#9#9#9#10#10#18#13#13#1#1,1.89#1.89#4.24#4.24#4.05#4.05#4.05#4.05#4.05#4.02#4.18#4.03#3.86#3.86#3.69#3.53#3.53#3.53#3.51#3.51#3.58#3.58#3.42#3.54#3.54#1.89#1.89,0#0#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#0#0,0#0#11#12#12#12#12#12#11#13#13#16#18#18#24#24#23#23#24#24#26#25#38#32#32#1#1,17.0#14.0#121.0#129.0#137.0#137.0#145.0#137.0#129.0#135.0#127.0#151.0#173.0#173.0#218.0#218.0#215.0#215.0#226.0#220.0#249.0#246.0#413.0#325.0#326.0#36.0#36.0,131.28770446777344#132.4454345703125#89.83943176269531#89.50651550292969#86.30320739746094#86.30320739746094#85.98117065429688#86.30320739746094#86.6160888671875#86.3527603149414#89.56014251708984#84.90304565429688#81.02450561523438#81.02450561523438#77.08301544189453#77.08301544189453#77.17518615722656#77.17518615722656#76.8956069946289#77.076171875#73.95545959472656#74.01849365234375#60.032047271728516#66.70738220214844#66.67622375488281#126.72693634033203#126.72693634033203,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,0#0#1#1#1#1#1#1#1#1#1#2#3#3#5#5#5#5#5#5#6#6#11#9#9#0#0,0#2#18#2#3#2#4#4#2#7#3#9#6#2#25#4#4#0#5#6#9#2#30#23#2#64#2,0#1#16#1#3#1#2#2#1#4#0#7#5#1#20#4#2#0#2#3#8#1#28#5#1#1#1,0#36#985#46#71#30#66#65#46#304#71#266#234#12#1024#370#49#0#211#12#444#41#1404#682#31#3707#7,0#36#738#46#59#30#66#66#46#58#59#182#158#12#281#0#49#0#147#12#147#41#1101#559#31#1963#7,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#1#1#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#1#1#0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0
688,0#7#20#6,0#3#22#27,1932.json,3#3#3#3,0.8644402623176575#0.5573515892028809#0.5573515892028809#0.5573515892028809,0.9341359358715086#0.9075503669995637#0.9075503669995637#0.9075503669995637,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,0#0#0#0,15.0#15.0#15.0#15.0,131.9385528564453#131.9385528564453#131.9385528564453#131.9385528564453,0#0#0#0,0#0#0#0,0#2#0#0,0#1#0#0,0#12#0#0,0#12#0#0,0#0#0#0,0#0#0#0,0#0#0#0
1722,0#3#1,0#1#1,1446.json,11#11#11,0.00538743007928133#0.006398443598300219#0.006014631595462561,0.9146040938567929#0.9051397571583479#0.9071407822561863,0#0#0,0#0#0,0#0#0,1#1#1,4.96#4.96#4.96,0#0#0,1#1#1,38.0#38.0#38.0,105.4872055053711#105.4872055053711#105.4872055053711,0#0#0,0#0#0,0#6#2,0#3#1,0#9#4,0#9#4,0#0#1,0#0#1,0#0#1
2084,0#0,0#37,366.json,3#3,0.44976985454559326#0.44976985454559326,0.8714640562511677#0.8714640562511677,0#0,0#0,0#0,1#1,1.89#1.89,0#0,1#1,18.0#18.0,130.7338104248047#130.7338104248047,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
