Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
4357,0#1#48#2#1#2#1#1#7,0#0#110#398#748#1231#1343#2060#4196,22.json,5#5#5#14#18#18#25#26#26,0.07947292923927307#0.07947292923927307#0.07947292923927307#0.09012386947870255#0.07371390610933304#0.016193831339478493#0.01081025879830122#0.0016746128676459193#0.0016697412356734276,0.3055033821554898#0.3055033821554898#0.3055033821554898#4.315415065556052E-4#1.0219172558314364E-4#4.7936582246056256E-5#2.4792012149144698E-6#5.0301126729936276E-8#4.9991507068948006E-8,0#0#0#2#4#4#5#9#9,0#0#0#2#3#3#4#6#6,0#0#0#4#7#7#9#15#15,1#1#1#4#5#5#8#8#8,22.91#22.91#22.91#14.71#13.09#13.09#11.2#10.84#10.84,0#0#0#3#3#3#3#3#3,0#0#0#3#5#5#10#14#14,40.0#40.0#40.0#95.0#112.0#116.0#147.0#167.0#167.0,117.46711730957031#117.46711730957031#117.46711730957031#94.8209228515625#89.51775360107422#89.33528137207031#81.84953308105469#80.48796844482422#80.48796844482422,3#3#3#3#3#3#3#3#3,0#0#0#3#3#3#5#5#5,0#0#0#11#6#2#16#6#2,0#0#0#11#6#1#13#4#1,0#0#0#577#263#12#483#366#1,0#0#0#391#133#12#303#220#0,0#0#0#0#0#0#0#0#0,0#0#0#0#1#0#0#1#0,0#0#0#0#1#0#0#1#0
3885,0#1#3#3,0#193#911#2756,1565.json,8#9#7#8,0.2718139588832855#0.10250206291675568#0.03520796075463295#0.0,0.239492909108855#0.013730584523122973#0.01056511033492436#6.425495425887425E-6,1#1#1#0,1#2#1#0,2#3#2#0,2#3#2#1,8.15#2.67#2.56#2.83,1#1#1#0,6#9#7#15,50.0#72.0#61.0#98.0,108.52569580078125#104.36859893798828#109.47494506835938#104.6204833984375,1#1#1#1,1#1#1#1,0#4#19#13,0#4#7#7,0#156#133#288,0#132#115#266,0#0#0#0,0#0#0#1,0#0#0#0
3631,0,0,1402.json,3,0.9112163782119751,0.7961895347997723,0,0,0,1,1.89,0,0,20.0,130.30841064453125,1,0,0,0,0,0,0,0,0
4555,0#24#10#48#48#21,0#161#171#172#308#2906,891.json,3#3#3#3#3#3,0.4621447026729584#0.4621447026729584#0.4621447026729584#0.7169122099876404#0.7169122099876404#0.7095898389816284,0.7566903082485696#0.7566903082485696#0.7566903082485696#0.8832976904508474#0.8832976904508474#0.8425183626318332,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,1#1#1#1#1#1,1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0,0#0#0#0#0#0,20.0#20.0#20.0#17.0#17.0#18.0,130.07347106933594#130.07347106933594#130.07347106933594#131.28770446777344#131.28770446777344#130.85629272460938,1#1#1#1#1#1,0#0#0#0#0#0,0#0#0#2#0#2,0#0#0#1#0#1,0#0#0#10#0#10,0#0#0#10#0#10,0#0#0#0#0#0,0#0#0#0#0#1,0#0#0#0#0#1
4568,0#13#24#3#11#48#0,0#139#174#174#184#321#3426,2027.json,3#3#3#3#3#3#3,0.7134882211685181#0.6982200145721436#0.6982200145721436#0.6982200145721436#0.6982200145721436#0.6982200145721436#0.6982200145721436,0.9220149132234905#0.884453070074128#0.884453070074128#0.884453070074128#0.884453070074128#0.884453070074128#0.884453070074128,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,1.89#1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0#0,0#0#0#0#0#0#0,17.0#17.0#17.0#17.0#17.0#17.0#17.0,131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344,1#1#1#1#1#1#1,0#0#0#0#0#0#0,0#6#0#0#0#0#0,0#3#0#0#0#0#0,0#12#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0
4383,0#4#48#0,0#3#136#3241,410.json,3#3#3#3,0.8819122910499573#0.6902147531509399#0.6902147531509399#0.6902147531509399,0.9486227350561908#0.9299503914394053#0.9299503914394053#0.9299503914394053,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,0#0#0#0,12.0#12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625,0#0#0#0,0#0#0#0,0#4#0#0,0#2#0#0,0#18#0#0,0#18#0#0,0#0#0#0,0#0#0#0,0#0#0#0
4416,0#24#5#48,0#22#26#169,1168.json,3#3#3#3,0.8095349669456482#0.8095349669456482#0.725081205368042#0.725081205368042,0.9238001973706083#0.9238001973706083#0.9077588377230116#0.9077588377230116,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,1#1#1#1,15.0#15.0#15.0#15.0,132.086669921875#132.086669921875#132.086669921875#132.086669921875,0#0#0#0,0#0#0#0,0#0#2#0,0#0#1#0,0#0#15#0,0#0#15#0,0#0#0#0,0#0#0#0,0#0#0#0
4393,0#9#48,0#20#146,1041.json,3#3#3,0.38484612107276917#0.38484612107276917#0.38484612107276917,0.8481774171952663#0.8481774171952663#0.8481774171952663,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,0#0#0,17.0#17.0#17.0,131.28770446777344#131.28770446777344#131.28770446777344,1#1#1,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
4809,0#6#23#24#48#1#1#11#168#1,0#4#415#415#562#1178#1604#1729#2303#3997,1932.json,7#10#10#10#10#16#17#18#14#17,0.574450671672821#0.44099026918411255#0.37688663601875305#0.37688663601875305#0.37688663601875305#0.02219128981232643#0.06342633068561554#0.05805865302681923#0.07905656844377518#0.04122283682227135,0.4266472562279738#0.09093067532363275#0.061428311975178417#0.061428311975178417#0.061428311975178417#0.002973079834226859#6.598159752563709E-5#6.894826546684073E-5#0.0014970178994099096#4.871255909176833E-4,0#0#0#0#0#2#1#1#1#1,0#0#0#0#0#2#1#1#2#3,0#0#0#0#0#4#2#2#3#4,2#2#2#2#2#3#4#4#4#5,3.02#2.8#2.8#2.8#2.8#4.44#3.06#3.01#3.58#3.51,1#1#1#1#1#3#2#2#2#2,1#3#3#3#3#7#8#8#4#4,38.0#54.0#56.0#56.0#56.0#86.0#104.0#106.0#83.0#96.0,112.05299377441406#104.0361557006836#103.80447387695312#103.80447387695312#103.80447387695312#93.53791046142578#91.03215789794922#90.00714111328125#95.55479431152344#91.39114379882812,1#1#1#1#1#1#1#1#1#1,0#1#1#1#1#2#2#2#2#2,0#3#2#0#0#12#18#3#15#3,0#3#1#0#0#9#10#2#5#3,0#98#1#0#0#316#360#40#241#101,0#86#1#0#0#292#316#36#187#89,0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#1,0#0#0#0#0#0#0#0#0#1
4659,0#3#9#24#2#1#48#42#25#3#23#4#168,0#0#168#265#267#277#412#774#1023#1090#1331#1565#2153,1446.json,11#11#12#12#12#12#12#12#12#12#12#12#15,0.0068162353709340096#0.0068162353709340096#5.182278109714389E-4#5.182278109714389E-4#5.182278109714389E-4#5.420789238996804E-4#5.420789238996804E-4#5.320082418620586E-4#8.340864442288876E-4#7.277937256731093E-4#6.499093724414706E-4#6.466777413152158E-4#9.25281667150557E-4,5.629817135953953E-4#5.629817135953953E-4#3.3417422691772023E-6#3.3417422691772023E-6#3.3417422691772023E-6#3.259936053872918E-6#3.259936053872918E-6#3.6282528387865576E-6#5.4722645363586424E-6#5.596806348017609E-6#3.712330502202699E-6#3.703151044617782E-6#3.0148225404995445E-7,0#0#0#0#0#0#0#0#0#0#0#0#1,0#0#0#0#0#0#0#0#0#0#0#0#1,0#0#0#0#0#0#0#0#0#0#0#0#2,2#2#2#2#2#2#2#2#2#2#2#2#3,6.14#6.14#5.88#5.88#5.88#5.88#5.88#5.88#5.88#5.88#5.88#5.88#5.44,1#1#1#1#1#1#1#1#1#1#1#1#1,6#6#11#11#11#11#11#11#11#11#11#11#12,81.0#81.0#107.0#107.0#107.0#107.0#107.0#107.0#105.0#105.0#107.0#107.0#126.0,100.1147232055664#100.1147232055664#97.04139709472656#97.04139709472656#97.04139709472656#97.04139709472656#97.04139709472656#97.06975555419922#97.1678695678711#97.1678695678711#97.06975555419922#97.06975555419922#92.24009704589844,3#3#3#3#3#3#3#3#3#3#3#3#3,2#2#3#3#3#3#3#3#3#3#3#3#3,0#0#3#0#0#2#0#2#2#2#2#4#6,0#0#2#0#0#1#0#1#1#1#1#2#5,0#0#126#0#0#8#0#14#25#12#13#17#164,0#0#122#0#0#8#0#14#25#12#13#17#144,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#1#1#0#0#0,0#0#0#0#0#0#0#0#1#1#0#0#0
