Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
966,0#1,0#27,104.json,24#24,7.187722367234528E-4#6.319633685052395E-4,1.0631902079265174E-7#1.071470860860873E-7,5#5,4#4,9#9,4#4,3.6#3.59,2#2,9#9,149.0#147.0,83.3824234008789#83.45269012451172,2#2,4#4,0#5,0#2,0#136,0#139,0#0,0#0,0#0
4333,0#0,0#52,761.json,3#3,0.8229160308837891#0.8229160308837891,0.9315285921047568#0.9315285921047568,0#0,0#0,0#0,1#1,0.94#0.94,0#0,0#0,15.0#15.0,132.086669921875#132.086669921875,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1879,0#25#1,0#492#498,474.json,46#34#27,0.0#0.0#0.0,1.939927667310136E-14#4.5717717444273027E-14#8.026127654777496E-12,4#5#5,2#3#3,6#8#8,6#7#5,6.17#2.12#1.93,4#3#3,30#16#14,268.0#238.0#201.0,69.0775375366211#74.50972747802734#79.68766784667969,2#2#2,2#4#4,0#55#13,0#20#3,0#861#216,0#685#254,0#0#1,0#1#1,0#1#1
2066,0#9,0#41,922.json,3#3,0.8993337154388428#0.9028469324111938,0.5672090353511562#0.5579873855993238,0#0,0#0,0#0,1#1,1.0#1.0,0#0,1#1,25.0#25.0,128.62307739257812#128.62307739257812,1#1,0#0,0#4,0#2,0#4,0#4,0#0,0#1,0#1
4331,0#78#0,0#3#50,274.json,3#3#3,0.01771549880504608#0.045147791504859924#0.045147791504859924,0.5330500637651723#0.6674292518574231#0.6674292518574231,0#0#0,0#0#0,0#0#0,1#1#1,0.94#0.94#0.94,0#0#0,2#1#1,24.0#21.0#21.0,129.0215301513672#129.81976318359375#129.81976318359375,0#0#0,0#0#0,0#2#0,0#1#0,0#8#0,0#8#0,0#0#0,0#0#0,0#0#0
4331,0#0#9#12#13,0#50#85#575#604,260.json,6#6#7#7#7,0.005412576254457235#0.005412576254457235#0.008324798196554184#0.29935604333877563#0.2186274230480194,0.0010113033193653996#0.0010113033193653996#4.1677493526594967E-4#0.07255122732016461#0.04164481826043889,2#2#2#1#1,2#2#3#1#1,4#4#5#2#2,3#3#4#2#2,0.94#0.94#0.9#1.51#1.51,0#0#0#1#1,4#4#4#2#2,67.0#67.0#75.0#47.0#51.0,111.0040512084961#111.0040512084961#107.69027709960938#110.88778686523438#110.52294921875,1#1#1#1#1,1#1#1#1#1,0#0#1#10#2,0#0#1#5#1,0#0#35#162#3,0#0#43#185#3,0#0#0#0#0,0#0#1#0#0,0#0#0#0#1
4333,0#78#0#41#22#24#24#3,0#5#52#112#1853#1948#2267#3647,794.json,11#13#13#13#13#13#13#19,0.0#3.1203078106045723E-4#3.1203078106045723E-4#2.341102372156456E-4#2.3782087373547256E-4#2.5145639665424824E-4#2.6561928098089993E-4#2.928333997260779E-4,1.0796873367683974E-5#1.0284069187995303E-4#1.0284069187995303E-4#1.123913136460977E-5#1.1108376082971888E-5#5.225567126966059E-5#2.7661558766034552E-5#9.832416311922484E-5,1#1#1#2#2#1#1#1,1#1#1#2#2#1#1#1,2#2#2#4#4#2#2#2,3#4#4#5#5#4#4#4,1.21#1.6#1.6#1.6#1.6#1.6#1.6#2.11,1#2#2#2#2#2#2#2,16#13#13#13#13#14#14#16,104.0#99.0#99.0#110.0#110.0#102.0#105.0#113.0,98.77040100097656#96.26412200927734#96.26412200927734#95.39607238769531#95.39607238769531#96.06291961669922#95.86797332763672#89.29585266113281,0#0#0#0#0#0#0#0,2#3#3#3#3#3#3#3,0#10#0#2#2#2#6#8,0#6#0#1#1#1#3#7,0#121#0#55#5#50#18#90,0#127#0#55#5#50#18#36,0#0#0#0#0#0#0#0,0#0#0#0#0#1#0#1,0#0#0#0#0#0#0#1
685,0,0,26.json,4,0.003885358339175582,0.8440863574316619,0,0,0,1,1.0,0,0,20.0,125.64796447753906,1,0,0,0,0,0,0,0,0
754,0,0,326.json,3,0.020482627674937248,0.18807082957179522,0,0,0,1,0.94,0,3,31.0,127.42049407958984,1,0,0,0,0,0,0,0,0
3753,0#2#20#5#22#2#5,0#464#562#1164#1273#1781#2694,88.json,15#18#18#19#19#20#17,1.597413793206215E-4#7.406512158922851E-4#4.210185434203595E-4#1.7558675608597696E-4#1.3566289271693677E-4#0.0#4.3716453365050256E-4,1.898365750370348E-6#2.679811691462614E-5#3.352941249399467E-6#1.1025308615108516E-6#7.644908161535098E-7#2.622065276034389E-7#4.970415884112106E-4,4#4#4#4#4#6#6,2#2#2#2#2#3#3,6#6#6#6#6#9#9,2#2#2#2#2#2#2,1.58#4.23#4.23#4.41#4.41#4.3#4.49,1#1#1#1#1#1#1,13#14#17#19#19#21#14,116.0#111.0#121.0#128.0#130.0#138.0#98.0,93.09393310546875#90.46454620361328#89.95167541503906#88.72261047363281#88.6419906616211#87.50049591064453#92.34085845947266,2#2#2#2#2#2#1,3#3#3#3#3#3#1,0#15#2#1#2#3#7,0#9#1#1#1#2#2,0#122#35#60#7#69#232,0#100#35#45#7#61#226,0#0#0#0#0#0#0,0#0#0#1#0#0#0,0#0#0#1#0#0#0
