Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
5416,0#2#6#3#100#111,0#1#1#951#1308#1372,2780.json,10#10#15#3#3#3,0.1271381974220276#0.06864062696695328#0.07218485325574875#0.03639664873480797#0.03639664873480797#0.03639664873480797,0.7209133877170794#0.626868684661987#0.6597230918149991#0.6648569983917006#0.6648569983917006#0.6648569983917006,3#3#3#0#0#0,2#2#3#0#0#0,5#5#6#0#0#0,3#3#4#1#1#1,2.53#2.53#2.47#1.89#1.89#1.89,1#1#1#0#0#0,3#3#3#1#1#1,44.0#46.0#61.0#25.0#25.0#25.0,105.41187286376953#105.11434936523438#96.725341796875#129.0255889892578#129.0255889892578#129.0255889892578,2#2#2#2#2#2,1#1#1#0#0#0,0#2#12#16#0#0,0#1#9#1#0#0,0#3#152#296#0#0,0#3#123#246#0#0,0#0#0#0#0#0,0#1#0#0#1#0,0#1#0#0#1#0
320,0#15#116#49#16#8,0#21#47#111#203#313,22.json,31#31#31#34#35#35,0.0#0.0#0.0#0.0#0.0#0.0,9.330144203906156E-11#1.9610333587455046E-11#1.301877670493653E-11#1.1085297283554692E-12#5.178003589863597E-13#5.178003589863597E-13,3#3#3#4#4#4,2#2#2#3#3#3,5#5#5#7#7#7,3#3#3#4#4#4,24.24#24.24#24.24#23.92#23.74#23.74,3#3#3#3#3#3,29#29#29#31#32#32,204.0#210.0#212.0#227.0#233.0#233.0,77.81075286865234#77.61767578125#77.5683822631836#75.40672302246094#74.76384735107422#74.76384735107422,1#2#2#2#2#2,3#3#3#3#3#3,0#4#2#3#4#0,0#2#1#3#3#0,0#53#16#98#79#0,0#53#16#87#74#0,0#0#0#0#0#0,0#1#1#1#0#0,0#1#1#1#0#0
656,0,0,1565.json,12,2.2137985797598958E-4,0.22541832728373645,0,0,0,1,12.88,0,0,63.0,100.75096893310547,10,0,0,0,0,0,0,0,0
209,0#26,0#156,1402.json,3#3,0.9065531492233276#0.8857318162918091,0.8820455698880922#0.9226617108782623,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,15.0#13.0,131.9385528564453#132.9956512451172,1#0,0#0,0#2,0#1,0#32,0#32,0#0,0#1,0#1
1721,0#57#19#17#0#429,0#0#63#211#463#1161,891.json,4#3#3#3#3#3,0.9594427347183228#0.07968967407941818#0.07968967407941818#0.07842829078435898#0.07842829078435898#0.07678073644638062,0.9058984905125081#0.4716608093186755#0.4716608093186755#0.49337776410068446#0.49337776410068446#0.48983166661663474,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,1#1#1#1#1#1,3.32#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0,0#0#0#0#0#0,23.0#26.0#26.0#26.0#26.0#26.0,124.6862564086914#128.50894165039062#128.50894165039062#128.50894165039062#128.50894165039062#128.50894165039062,2#3#3#3#3#3,0#0#0#0#0#0,0#6#0#2#0#2,0#1#0#1#0#1,0#34#0#6#0#6,0#35#0#6#0#6,0#0#0#0#0#0,0#0#1#1#0#0,0#0#1#1#0#1
2590,0#26,0#87,2027.json,3#3,0.49458277225494385#0.49458277225494385,0.9036900190801792#0.9036900190801792,0#0,0#0,0#0,1#1,1.89#1.89,0#0,1#1,15.0#15.0,132.25152587890625#132.25152587890625,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#1,0#1
288,0,0,410.json,3,0.8434464931488037,0.9463356988489611,0,0,0,1,1.89,0,0,13.0,132.9956512451172,0,0,0,0,0,0,0,0,0
2442,0#184#19#0#429,0#721#784#1184#1882,1168.json,3#3#3#3#3,0.8318928480148315#0.7675378918647766#0.7675378918647766#0.7675378918647766#0.7675378918647766,0.9643446929838272#0.9100577300318785#0.9100577300318785#0.9100577300318785#0.9100577300318785,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,1.89#1.89#1.89#1.89#1.89,0#0#0#0#0,0#0#0#0#0,12.0#14.0#14.0#14.0#14.0,133.59722900390625#132.4454345703125#132.4454345703125#132.4454345703125#132.4454345703125,0#0#0#0#0,0#0#0#0#0,0#2#0#0#0,0#1#0#0#0,0#13#0#0#0,0#13#0#0#0,0#0#0#0#0,0#0#1#0#0,0#0#1#0#1
5196,0#0#28#76#21#20#100#111#37#282#17#58#40#429,0#8#34#315#676#696#1089#1152#1710#2470#2555#2564#2567#4636,1041.json,8#8#3#3#3#3#3#3#3#3#3#3#3#3,0.2483958601951599#0.2483958601951599#0.14899036288261414#0.8956288695335388#0.9083698391914368#0.9103371500968933#0.9103371500968933#0.9103371500968933#0.9141436815261841#0.9009369015693665#0.8524128198623657#0.6147004961967468#0.9178181290626526#0.9178181290626526,0.4168442585328517#0.4168442585328517#0.4340973141999484#0.5796867571568685#0.49235926581409245#0.5875363636913298#0.5875363636913298#0.5875363636913298#0.5802873674799938#0.6215716477998913#0.8651756973297857#0.9312007143020377#0.6282334030463411#0.6282334030463411,0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1#1#1#1#1,3.97#3.97#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89,1#1#0#0#0#0#0#0#0#0#0#0#0#0,2#2#1#1#2#1#1#1#1#1#1#1#1#1,40.0#40.0#23.0#19.0#21.0#19.0#19.0#19.0#19.0#19.0#15.0#13.0#19.0#19.0,109.9160385131836#109.9160385131836#129.2428436279297#130.34019470214844#129.7158966064453#130.34019470214844#130.34019470214844#130.34019470214844#130.34019470214844#130.34019470214844#132.086669921875#133.18099975585938#130.34019470214844#130.34019470214844,0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#7#4#4#4#0#0#2#2#2#2#4#0,0#0#1#2#2#2#0#0#1#1#1#1#2#0,0#0#214#49#16#26#0#0#4#17#35#22#55#0,0#0#195#46#16#26#0#0#4#17#35#22#55#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#1#0#1#1#0#1#1#0,0#0#0#0#0#0#1#0#1#1#0#1#1#1
2030,0#12#38#3#24#24,0#328#336#414#414#1694,1932.json,12#12#8#8#8#9,0.0#0.0#0.0#1.3093074085190892E-4#1.228156324941665E-4#0.0,5.269334307267952E-8#5.269334307267952E-8#2.7009938455265913E-4#0.0010382987080225265#7.772014392544576E-4#7.003818385704458E-4,6#6#4#3#3#3,6#6#4#3#3#3,12#12#8#6#6#6,7#7#5#4#4#4,4.71#4.71#5.29#5.29#5.29#13.09,0#0#0#0#0#0,20#20#12#10#10#10,137.0#137.0#86.0#78.0#79.0#84.0,94.92987823486328#94.92987823486328#104.83567810058594#105.57339477539062#105.45268249511719#103.12348937988281,2#2#1#2#2#3,0#0#0#0#0#0,0#0#8#4#2#5,0#0#2#2#1#3,0#0#381#85#7#150,0#0#317#85#7#32,0#0#0#1#0#0,0#0#0#1#0#0,0#0#0#1#0#0
