Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
6080,0#18,0#5103,22.json,6#3,0.24813172221183777#0.3513893485069275,0.43997114346109273#0.8543537949854151,1#0,1#0,2#0,2#1,1.37#0.94,1#0,3#2,34.0#16.0,115.56517028808594#131.91592407226562,0#0,0#0,0#5,0#1,0#89,0#91,0#0,0#1,0#1
5202,0#12#12,0#11#3954,891.json,5#5#5,0.008475134149193764#0.08847129344940186#0.07456868141889572,0.00201565866191695#0.033649008760107665#0.04319140632044837,1#0#0,1#0#0,2#0#0,2#1#1,0.98#0.98#0.98,0#0#0,3#1#1,60.0#46.0#45.0,114.761474609375#116.68047332763672#116.85465240478516,0#0#0,0#1#1,0#4#2,0#2#1,0#62#10,0#62#10,0#0#0,0#0#0,0#0#0
4977,0#88#7#1#3#8#37#31#15#9#2#15#18,0#3#4#19#41#42#73#85#115#3876#4891#4941#4959,410.json,23#14#15#16#16#16#16#16#16#15#20#21#21,0.006091603077948093#0.014389309100806713#0.0029398847837001085#4.647243767976761E-4#5.467539303936064E-4#6.850906065665185E-4#6.759428069926798E-4#8.175264811143279E-4#7.878605392761528E-4#9.794679936021566E-4#1.4327422832138836E-4#1.4524436846841127E-4#1.4518336683977395E-4,3.066022715906749E-10#8.261454722011476E-8#1.0356241244158883E-9#2.2378866180046382E-10#4.1994053965647647E-10#2.8664428166050407E-10#2.903742994161937E-10#2.9191893245837525E-10#3.3624735883663135E-10#1.9343120577430863E-9#2.05930576723728E-11#1.0648754295409939E-11#1.0800447351088184E-11,3#2#2#2#2#2#2#2#2#2#2#2#2,3#1#1#1#1#1#1#1#1#1#1#1#1,6#3#3#3#3#3#3#3#3#3#3#3#3,5#2#2#2#2#2#2#2#2#2#2#2#2,1.13#0.91#0.88#1.32#1.32#1.28#1.28#1.28#1.28#1.32#1.42#1.33#1.33,1#1#1#1#1#1#1#1#1#1#1#1#1,8#8#10#10#9#9#9#9#9#8#8#8#8,175.0#131.0#154.0#164.0#160.0#164.0#164.0#164.0#164.0#153.0#184.0#191.0#191.0,82.90068817138672#93.36041259765625#91.3299789428711#89.95730590820312#90.06289672851562#89.93449401855469#89.93449401855469#89.93449401855469#89.95730590820312#91.36386108398438#85.63469696044922#84.58976745605469#84.58976745605469,2#2#2#2#2#2#2#2#2#2#2#2#2,8#7#8#8#8#8#8#8#8#7#11#12#12,0#38#7#3#2#3#2#8#2#3#14#5#2,0#14#4#2#1#2#1#4#1#1#9#4#1,0#337#132#59#21#18#4#24#11#73#362#199#2,0#300#132#51#21#16#4#24#11#73#338#46#2,0#0#0#0#0#0#0#0#0#0#0#0#0,0#1#1#1#0#0#0#0#0#1#1#1#1,0#1#1#1#0#0#0#0#0#1#1#1#0
5036,0#0#28#88#34#33#36#95#29#35#48,0#22#24#62#67#94#132#145#157#1563#3766,285.json,3#3#4#27#3#7#7#7#7#8#8,0.7225930094718933#0.7225930094718933#0.7148597836494446#0.0030261711217463017#0.0577646866440773#0.05071064829826355#0.07081843912601471#0.09376642107963562#0.17459042370319366#0.16795803606510162#0.15063808858394623,0.7663550921712645#0.7663550921712645#0.7285491884941795#9.14628451545373E-7#0.1331428686134218#0.0290403226055794#0.14141507704926018#0.14100337853924308#0.22986763550556222#0.008893312359006296#0.0019211786472909443,0#0#0#4#0#1#1#1#1#2#2,0#0#0#7#0#1#1#1#1#2#2,0#0#0#11#0#2#2#2#2#4#4,1#1#1#7#1#2#2#2#2#2#2,0.94#0.94#1.0#1.13#0.94#1.51#1.51#1.51#1.51#2.4#2.4,0#0#0#2#0#1#1#1#1#1#1,1#1#1#9#2#4#4#4#4#5#6,19.0#19.0#22.0#156.0#33.0#52.0#44.0#44.0#42.0#63.0#71.0,130.45266723632812#130.45266723632812#124.81353759765625#81.11746215820312#126.87217712402344#110.19845581054688#111.29065704345703#111.29065704345703#111.66191101074219#106.8936996459961#106.22785949707031,1#1#1#1#1#1#1#1#1#1#1,0#0#0#5#0#0#0#0#0#1#1,0#0#5#29#28#4#2#8#2#15#2,0#0#3#26#2#4#1#4#1#8#1,0#0#45#817#799#101#15#24#20#257#38,0#0#43#756#735#97#15#24#20#203#38,0#0#0#0#0#1#0#0#0#0#0,0#0#0#1#1#1#0#0#1#1#0,0#0#0#1#1#1#0#0#1#1#0
1294,0#5#48#13,0#3#24#745,92.json,8#8#8#8,0.5547787547111511#0.5491869449615479#0.5421971082687378#0.4459358751773834,0.06357321282201416#0.01596019850716849#0.015544473362248986#0.012266984212542407,0#0#0#0,0#0#0#0,0#0#0#0,2#2#2#2,1.41#1.41#1.41#1.41,1#1#1#1,1#2#2#3,49.0#57.0#57.0#57.0,108.29435729980469#107.4601058959961#107.4601058959961#107.36992645263672,1#1#1#1,1#1#1#1,0#2#2#2,0#1#1#1,0#30#8#17,0#30#8#17,0#0#0#0,0#1#0#0,0#1#0#0
5036,0#1#8#0#2#5#1#3#1#1#88#37#2#27#1#2#7#4#6#34#34#2#30#19#4#21#8#28#21#18,0#4#4#22#22#22#22#22#22#24#62#132#132#134#171#1545#2060#2368#3774#3933#3933#4028#4110#4121#4164#4296#4464#4501#4509#5018,366.json,14#15#15#15#19#20#21#22#26#29#30#30#29#29#29#36#36#36#36#48#48#48#53#65#65#66#68#83#82#82,0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,1.6569844151836007E-9#5.88371628340658E-10#3.1975685887235402E-9#3.1975685887235402E-9#1.9447608067617382E-10#4.343518220271247E-12#1.0680304760262477E-12#2.9368436473401744E-13#6.0819927951187365E-15#2.8742152852365956E-15#9.314567788113463E-16#9.354385873181876E-16#7.054713981182158E-15#3.1131121007166666E-15#5.613410190805699E-15#2.438473555397481E-19#8.925418264515806E-20#7.46557236997552E-20#7.418742255462192E-20#6.511917094197054E-25#1.6049843672889983E-24#1.610816153164077E-24#2.9746845623965154E-26#3.341089829806699E-30#2.493753872050674E-32#2.5759148835307174E-33#2.676217701916437E-30#9.801922304500645E-27#1.2673555920910043E-26#1.2788210299193266E-26,1#1#1#1#4#3#3#3#4#5#5#5#5#5#5#7#7#7#7#11#11#11#14#17#17#17#15#15#15#15,1#1#1#1#2#3#3#3#4#5#5#5#5#5#5#8#8#8#8#12#12#12#14#18#18#18#18#18#18#18,2#2#2#2#6#6#6#6#8#10#10#10#10#10#10#15#15#15#15#23#23#23#28#35#35#35#33#33#33#33,3#3#3#3#4#4#4#4#5#6#6#6#6#6#6#9#9#9#9#12#12#12#13#16#16#16#17#17#17#17,1.94#2.0#2.0#2.0#2.2#2.55#2.35#2.82#3.42#3.35#2.69#2.69#2.73#2.73#2.74#2.83#2.83#2.83#2.83#2.86#2.86#2.86#5.81#5.5#5.49#5.48#3.09#4.02#3.96#3.96,2#2#2#2#3#3#3#3#4#4#3#3#3#3#3#3#3#3#3#3#3#3#3#5#5#5#5#5#5#5,12#13#13#13#15#16#16#17#17#18#18#18#18#18#18#20#20#20#20#21#21#21#24#28#30#31#30#30#30#30,149.0#155.0#147.0#147.0#168.0#187.0#194.0#202.0#225.0#236.0#241.0#241.0#229.0#233.0#231.0#286.0#290.0#290.0#290.0#367.0#362.0#362.0#397.0#463.0#484.0#494.0#479.0#479.0#476.0#476.0,92.5647201538086#91.18856811523438#91.49038696289062#91.49038696289062#86.63521575927734#85.15478515625#84.10910034179688#83.12481689453125#79.51271057128906#77.24752044677734#76.5543212890625#76.5543212890625#77.3691177368164#77.27906799316406#77.34123229980469#71.87690734863281#71.78996276855469#71.77546691894531#71.77546691894531#65.0540542602539#65.1131362915039#65.1131362915039#62.71637725830078#57.86616134643555#57.62504196166992#57.250797271728516#56.71809005737305#53.488895416259766#53.717933654785156#53.717933654785156,3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#4#4#4#5#5#5#5#5#5#5#5,4#4#4#4#5#7#8#8#9#9#9#9#9#9#9#13#14#14#14#16#16#16#17#18#17#17#17#17#17#17,0#1#6#0#4#13#5#3#6#4#59#2#9#4#2#13#2#2#2#23#2#4#18#40#6#3#44#54#3#4,0#1#3#0#4#7#3#2#5#4#30#1#4#2#1#10#1#1#1#20#1#2#15#28#3#2#26#37#1#2,0#88#25#0#129#161#166#56#212#63#110#4#64#27#87#348#15#16#13#834#18#4#936#1122#224#78#984#396#23#4,0#39#25#0#135#171#141#40#208#58#74#4#57#27#93#391#15#16#13#687#18#4#219#655#210#64#888#0#5#4,0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0,0#1#0#0#0#0#0#0#0#0#1#0#0#0#1#0#0#1#1#1#0#0#1#1#0#0#1#0#1#1,0#1#0#0#0#0#0#0#0#0#1#0#0#0#1#0#0#1#1#1#0#0#1#0#0#0#1#0#1#0
5036,0#0#37#31#8#9,0#22#132#144#163#173,748.json,3#3#3#3#3#3,0.9062893986701965#0.9062893986701965#0.9062893986701965#0.9034186601638794#0.9973083138465881#0.9034186601638794,0.5216683541959835#0.5216683541959835#0.5216683541959835#0.5388084035299894#0.5522183999905627#0.5388084035299894,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,1#1#1#1#1#1,0.94#0.94#0.94#0.94#0.94#0.94,0#0#0#0#0#0,1#1#1#1#1#1,23.0#23.0#23.0#23.0#22.0#23.0,129.2428436279297#129.2428436279297#129.2428436279297#129.34671020507812#129.69032287597656#129.34671020507812,1#1#1#1#1#1,0#0#0#0#0#0,0#0#0#2#2#2,0#0#0#1#1#1,0#0#0#7#4#4,0#0#0#7#7#7,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0
1294,0#27,0#1081,202.json,11#12,0.06958771497011185#0.07143662124872208,0.001945529792935853#0.004010232162420413,1#1,1#1,2#2,2#2,2.48#2.37,2#2,1#1,74.0#73.0,100.77009582519531#99.47229766845703,1#1,0#0,0#2,0#1,0#12,0#6,0#1,0#1,0#1
4878,0,0,867.json,3,0.8721504211425781,0.9444442406188291,0,0,0,1,0.94,0,0,15.0,132.25152587890625,0,0,0,0,0,0,0,0,0
4374,0,0,191.json,11,0.6002514958381653,0.05036487613136045,2,2,4,3,1.21,1,2,63.0,101.55072021484375,1,1,0,0,0,0,0,0,0
