Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
2100,0,0,5267.json,3,0.1059701070189476,0.5702636861839561,0,0,0,1,3.77,0,1,22.0,129.81280517578125,1,0,0,0,0,0,0,0,0
2100,0,0,9555.json,3,0.02010944113135338,0.22897103036262054,0,0,0,1,3.77,0,2,28.0,127.87090301513672,0,0,0,0,0,0,0,0,0
2100,0,0,10329.json,3,0.0,0.07523303695562299,0,0,0,1,3.77,0,1,37.0,126.50045013427734,4,0,0,0,0,0,0,0,0
1854,0,0,8038.json,4,0.6704204082489014,0.8207111318017466,0,0,0,1,4.0,0,0,20.0,125.64796447753906,1,0,0,0,0,0,0,0,0
2100,0,0,2780.json,4,0.6192086935043335,0.575703655598878,0,0,0,1,4.0,0,2,24.0,124.4649429321289,1,0,0,0,0,0,0,0,0
1064,0#5,0#13,7077.json,3#3,0.6013584136962891#0.6013584136962891,0.398460351841087#0.398460351841087,0#0,0#0,0#0,1#1,3.77#3.77,0#0,1#1,24.0#24.0,128.7513427734375#128.7513427734375,1#1,0#0,0#2,0#1,0#2,0#2,0#0,0#0,0#0
2100,0#23,0#947,3764.json,3#3,0.7112089991569519#0.6010563373565674,0.7082284029169206#0.6012281995778596,0#0,0#0,0#0,1#1,3.77#3.77,0#0,1#1,19.0#19.0,130.57513427734375#130.57513427734375,1#1,0#0,0#2,0#1,0#28,0#28,0#0,0#0,0#0
2100,0#8,0#63,22.json,4#3,0.8491219282150269#0.19396977126598358,0.6440100862120053#0.607326379699404,0#0,0#0,0#0,1#1,14.18#3.77,0#0,1#1,27.0#21.0,123.56243133544922#129.81976318359375,2#2,1#0,0#6,0#1,0#142,0#36,0#0,0#1,0#1
2100,0#15,0#168,9785.json,5#5,0.214061439037323#0.22216148674488068,0.22282691661651507#0.17633767236242628,0#0,0#0,0#0,1#1,3.92#3.92,0#0,2#2,36.0#37.0,118.14434051513672#117.93550109863281,2#2,1#1,0#2,0#1,0#6,0#6,0#0,0#1,0#1
1425,0#18#2#3,0#0#424#1202,3340.json,11#4#4#4,0.003925008233636618#0.0#0.0#0.0,6.402469963631888E-6#0.004689175480662896#0.003484705540162626#0.004689175480662896,2#0#0#0,1#0#0#0,3#0#0#0,2#1#1#1,6.0#9.8#9.8#9.8,1#0#0#0,7#3#3#3,105.0#55.0#57.0#55.0,98.83576965332031#119.30913543701172#119.12339782714844#119.30913543701172,2#4#4#4,3#0#0#0,0#14#2#2,0#3#1#1,0#250#8#8,0#278#8#8,0#0#0#0,0#0#0#0,0#0#0#0
863,0#89,0#14,6321.json,4#4,0.0#0.0,0.001164939605978842#7.32342123163098E-4,0#0,0#0,0#0,1#1,4.0#4.0,0#0,2#2,60.0#62.0,118.65235900878906#118.4358901977539,1#1,1#1,0#4,0#2,0#12,0#12,0#0,0#0,0#0
