Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
1246,0#41,0#707,5267.json,3#3,0.0#0.0,0.05148441331418948#0.05148441331418948,0#0,0#0,0#0,1#1,0.94#0.94,0#0,2#2,39.0#39.0,126.07360076904297#126.07360076904297,3#3,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1246,0,0,4057.json,3,0.001197193400003016,0.256326208148354,0,0,0,1,0.94,0,2,30.0,127.76480865478516,3,0,0,0,0,0,0,0,0
1388,0#3101#13,0#141#148,7077.json,4#4#4,0.0036181423347443342#7.415937725454569E-4#7.415937725454569E-4,0.07351380678500331#0.04097693725767387#0.04097693725767387,0#0#0,0#0#0,0#0#0,1#1#1,1.0#1.0#1.0,0#0#0,3#4#4,38.0#41.0#41.0,121.47811889648438#121.0166244506836#121.0166244506836,1#1#1,0#0#0,0#4#0,0#2#0,0#59#0,0#59#0,0#0#0,0#0#1,0#0#1
713,0,0,3764.json,3,0.48769789934158325,0.844082187008746,0,0,0,1,1.89,0,0,15.0,131.9385528564453,0,0,0,0,0,0,0,0,0
223,0,0,22.json,3,0.07677742093801498,0.5398454046710446,0,0,0,1,0.94,0,1,24.0,129.0215301513672,2,0,0,0,0,0,0,0,0
1246,0,0,6321.json,3,0.44940829277038574,0.6268608664034905,0,0,0,1,0.94,0,1,23.0,129.2428436279297,0,0,0,0,0,0,0,0,0
1246,0,0,3998.json,3,0.024948155507445335,0.2853290574499755,0,0,0,1,0.94,0,2,28.0,127.94976043701172,2,0,0,0,0,0,0,0,0
1078,0,0,4645.json,3,0.03594284504652023,0.21226735955367382,0,0,0,1,0.94,0,2,28.0,127.87090301513672,2,0,0,0,0,0,0,0,0
4001,0#303#7#3101,0#399#2621#2754,7157.json,5#5#5#5,0.4181010127067566#0.35728517174720764#0.45405223965644836#0.03941338509321213,0.742408598549781#0.7721705906779248#0.6491501247735004#0.10955947989708205,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.96#0.98#0.98#0.98,0#0#0#0,3#3#3#5,23.0#23.0#26.0#38.0,121.44047546386719#121.44047546386719#120.54627227783203#118.0075454711914,0#0#1#1,0#0#0#0,0#2#4#4,0#1#2#2,0#26#50#69,0#10#50#69,0#0#0#0,0#0#0#0,0#0#0#0
1246,0,0,4623.json,3,0.0,0.07398115596268705,0,0,0,1,0.94,0,2,38.0,126.28292083740234,4,0,0,0,0,0,0,0,0
260,0,0,4895.json,3,0.16983309388160706,0.6993634933132216,0,0,0,1,0.94,0,1,20.0,130.30841064453125,1,0,0,0,0,0,0,0,0
