Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
2346,0#27,0#160,22.json,4#4,0.5111203193664551#0.5333583354949951,0.7309244901934017#0.7294952236034852,0#0,0#0,0#0,1#1,1.0#1.0,0#0,0#0,21.0#21.0,125.27178192138672#125.27178192138672,1#1,0#0,0#2,0#1,0#8,0#8,0#0,0#0,0#0
1965,0,0,1565.json,3,0.04438227415084839,0.5214762585981929,0,0,0,1,0.94,0,1,25.0,128.712890625,1,0,0,0,0,0,0,0,0
2421,0#13#9#51#23#11,0#291#427#433#567#875,1402.json,3#14#14#14#14#19,0.43606284260749817#0.00512495543807745#0.006701175589114428#0.006701175589114428#0.006343336310237646#5.540341953746974E-4,0.8038706795390986#0.1612430690871275#0.2675487453675067#0.2675487453675067#0.2747417563124535#0.1415666625248377,0#2#2#2#2#2,0#1#1#1#1#1,0#3#3#3#3#3,1#2#2#2#2#2,0.94#4.41#4.65#4.65#4.65#4.31,0#1#1#1#1#1,1#13#11#11#11#16,16.0#64.0#61.0#61.0#61.0#81.0,131.60296630859375#98.11326599121094#98.42589569091797#98.42589569091797#98.42589569091797#92.07048797607422,0#0#0#0#0#0,0#0#0#0#0#0,0#12#4#0#2#7,0#12#2#0#1#6,0#582#52#0#17#191,0#398#51#0#17#133,0#0#0#0#0#0,0#1#0#0#0#0,0#1#0#0#0#0
2168,0,0,891.json,5,0.7612501978874207,0.866733380579738,1,1,2,2,1.5,1,1,21.0,121.54933166503906,0,0,0,0,0,0,0,0,0
2121,0,0,410.json,7,0.28657791018486023,0.027285635989979053,2,1,3,2,2.56,1,3,48.0,110.72124481201172,0,0,0,0,0,0,0,0,0
2459,0#19#2,0#44#296,1168.json,3#3#3,0.008945338428020477#0.23047572374343872#0.23047572374343872,0.1782377119284371#0.30479696004279666#0.30479696004279666,0#0#0,0#0#0,0#0#0,1#1#1,0.94#0.94#0.94,0#0#0,0#0#0,30.0#26.0#26.0,127.43789672851562#128.3351287841797#128.3351287841797,1#1#1,0#0#0,0#2#0,0#1#0,0#44#0,0#44#0,0#0#0,0#0#0,0#0#0
1918,0,0,1041.json,3,0.6672319769859314,0.9412936993994635,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
1857,0,0,1932.json,4,0.09111303091049194,0.4234060330896556,0,0,0,1,1.0,0,0,29.0,123.02798461914062,1,0,0,0,0,0,0,0,0
2066,0,0,1446.json,4,0.4974155128002167,0.8574154746112472,0,0,0,1,1.0,0,0,20.0,125.64796447753906,1,0,0,0,0,0,0,0,0
2526,0,0,285.json,3,0.9406245946884155,0.8583632608399769,0,0,0,1,0.94,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
