Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
3000,0#5#7,0#0#1178,22.json,6#6#6,8.838894427753985E-4#0.0010614044731482863#0.0010676801903173327,0.01920845751889378#0.019311811351170178#0.012698836081489294,2#2#2,1#1#1,3#3#3,2#2#2,2.75#2.75#2.75,1#1#1,6#6#7,53.0#53.0#55.0,112.64874267578125#112.64874267578125#112.40403747558594,4#4#4,0#0#0,0#4#2,0#2#1,0#16#24,0#16#23,0#0#0,0#0#0,0#0#0
2025,0#20,0#1207,1402.json,4#4,0.054298609495162964#0.026857590302824974,0.7842819929862244#0.739162275358025,0#0,0#0,0#0,1#1,3.32#3.32,0#0,3#4,26.0#28.0,123.8484878540039#123.46312713623047,0#0,0#0,0#2,0#1,0#6,0#6,0#0,0#0,0#0
869,0,0,891.json,11,0.0035263807512819767,0.0013833021957934788,2,2,4,3,2.67,1,5,86.0,99.93241119384766,2,2,0,0,0,0,0,0,0
4419,0#0,0#21,410.json,4#4,0.5847528576850891#0.5847528576850891,0.9419926210483207#0.9419926210483207,0#0,0#0,0#0,1#1,2.0#2.0,0#0,0#0,20.0#20.0,125.64796447753906#125.64796447753906,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
5255,0#1#1#1#0#0#1#0#1#1#4#1#82#0#0#0#0#0,0#9#80#98#98#137#146#172#239#285#312#384#817#857#2407#2407#2412#2413,1168.json,3#3#6#6#6#6#6#6#6#6#3#3#3#3#3#3#3#3,7.00004689861089E-4#7.00004689861089E-4#0.01193995214998722#0.014330697245895863#0.014330697245895863#0.014330697245895863#0.013630838133394718#0.013630838133394718#0.013784371316432953#0.010328711941838264#0.6142212152481079#0.6040841341018677#0.7607026696205139#0.7607026696205139#0.7607026696205139#0.7607026696205139#0.7607026696205139#0.7607026696205139,0.1787092092131306#0.18138610883675274#0.018284846852381614#0.03663251442675673#0.03663251442675673#0.03663251442675673#0.07051526163642094#0.07051526163642094#0.08441025410658219#0.04520512306118819#0.8212056483476884#0.8411320816555873#0.9088310703116048#0.9088310703116048#0.9088310703116048#0.9088310703116048#0.9088310703116048#0.9088310703116048,0#0#1#1#1#1#1#1#1#1#0#0#0#0#0#0#0#0,0#0#1#1#1#1#1#1#1#1#0#0#0#0#0#0#0#0,0#0#2#2#2#2#2#2#2#2#0#0#0#0#0#0#0#0,1#1#2#2#2#2#2#2#2#2#1#1#1#1#1#1#1#1,3.77#3.77#4.53#4.53#4.53#4.53#2.27#2.27#2.27#2.27#0.94#1.89#1.89#1.89#1.89#1.89#1.89#1.89,0#0#1#1#1#1#1#1#1#1#0#0#0#0#0#0#0#0,1#1#2#2#2#2#2#2#2#2#1#2#1#1#1#1#1#1,27.0#27.0#55.0#51.0#51.0#51.0#51.0#51.0#51.0#54.0#16.0#17.0#15.0#15.0#15.0#15.0#15.0#15.0,128.22288513183594#128.22288513183594#112.45612335205078#112.90323638916016#112.90323638916016#112.90323638916016#112.90323638916016#112.90323638916016#112.90323638916016#112.44955444335938#131.60296630859375#131.28770446777344#132.086669921875#132.086669921875#132.086669921875#132.086669921875#132.086669921875#132.086669921875,0#0#0#0#0#0#0#0#0#2#0#0#0#0#0#0#0#0,0#0#1#1#1#1#1#1#1#1#0#0#0#0#0#0#0#0,0#2#6#2#0#0#2#0#4#4#12#2#4#0#0#0#0#0,0#1#6#1#0#0#1#0#2#2#3#1#2#0#0#0#0#0,0#6#316#14#0#0#70#0#20#43#415#14#25#0#0#0#0#0,0#6#111#14#0#0#2#0#20#43#171#6#25#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
1896,0,0,285.json,3,0.6405112147331238,0.7037201680669058,0,0,0,1,1.89,0,1,19.0,130.57513427734375,1,0,0,0,0,0,0,0,0
1608,0#20,0#796,92.json,4#4,0.05525059252977371#0.027342377230525017,0.7970850566282417#0.7531561923238241,0#0,0#0,0#0,1#1,4.9#4.9,0#0,3#4,26.0#28.0,123.8484878540039#123.46312713623047,0#0,0#0,0#2,0#1,0#6,0#6,0#0,0#0,0#0
5255,0#0#0#0#12#14#82#31#0#0#0#0#0,0#98#137#172#384#385#817#837#857#2407#2407#2412#2413,1147.json,3#3#3#3#3#3#3#3#3#3#3#3#3,0.06509794294834137#0.06509794294834137#0.06509794294834137#0.06418073922395706#0.08284386992454529#0.23135699331760406#0.23135699331760406#0.36254197359085083#0.36254197359085083#0.36254197359085083#0.36254197359085083#0.36254197359085083#0.36254197359085083,0.7082835455205256#0.7082835455205256#0.7082835455205256#0.8588708080573415#0.8463047713868552#0.8681216841981217#0.8681216841981217#0.7876786334183514#0.7876786334183514#0.7876786334183514#0.7876786334183514#0.7876786334183514#0.7876786334183514,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1#1#1#1,3.77#3.77#3.77#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#2#2#2#2#2#2#2#2,18.0#18.0#18.0#18.0#18.0#18.0#18.0#20.0#20.0#20.0#20.0#20.0#20.0,130.7338104248047#130.7338104248047#130.7338104248047#130.7338104248047#130.7338104248047#131.1385955810547#131.1385955810547#130.30841064453125#130.30841064453125#130.30841064453125#130.30841064453125#130.30841064453125#130.30841064453125,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#2#2#0#2#0#0#0#0#0,0#0#0#0#1#1#0#1#0#0#0#0#0,0#0#0#28#5#28#0#17#0#0#0#0#0,0#0#0#0#5#28#0#17#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0
4413,0#0,0#15,366.json,2#2,0.5431416630744934#0.5431416630744934,0.8974307328731201#0.8974307328731201,0#0,0#0,0#0,1#1,0.0#0.0,0#0,0#0,14.0#14.0,139.0139617919922#139.0139617919922,2#2,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1608,0,0,1376.json,6,0.7001287937164307,0.9498654864008096,1,1,2,2,2.75,1,2,27.0,116.9500732421875,1,0,0,0,0,0,0,0,0
2096,0,0,748.json,3,0.45257049798965454,0.9278924867715695,0,0,0,1,1.89,0,2,19.0,130.57513427734375,1,0,0,0,0,0,0,0,0
1610,0,0,202.json,10,0.33439627289772034,0.05246243321746954,1,1,2,3,3.6,2,2,63.0,103.04877471923828,2,2,0,0,0,0,0,0,0
3247,0,0,867.json,7,0.10368257015943527,0.041181920887172964,1,2,3,3,4.12,0,6,58.0,109.56425476074219,1,0,0,0,0,0,0,0,0
1610,0,0,191.json,7,0.04664896801114082,0.032251659380632805,1,1,2,2,2.56,1,6,54.0,110.00220489501953,1,1,0,0,0,0,0,0,0
1576,0,0,567.json,3,0.7892860174179077,0.9689505622693881,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
1896,0,0,268.json,4,0.696709156036377,0.9244390242202482,0,0,0,1,2.0,0,0,21.0,125.27178192138672,1,0,0,0,0,0,0,0,0
4438,0#11#0#22,0#18#40#2933,803.json,3#3#3#3,0.7368288040161133#0.8992491364479065#0.8992491364479065#0.6305708885192871,0.8603233027197602#0.9811445791018172#0.9811445791018172#0.9560249297319795,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,1#0#0#0,21.0#15.0#15.0#15.0,130.05470275878906#132.43687438964844#132.43687438964844#132.086669921875,1#0#0#0,0#0#0#0,0#4#0#4,0#2#0#2,0#42#0#26,0#42#0#26,0#0#0#0,0#0#0#0,0#0#0#0
4438,0#0#22,0#40#2933,806.json,3#3#3,0.5287748575210571#0.5287748575210571#0.5287748575210571,0.8959172304355815#0.8959172304355815#0.8907249207362062,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,1#1#1,20.0#20.0#20.0,130.44261169433594#130.44261169433594#130.44261169433594,1#1#1,0#0#0,0#0#2,0#0#1,0#0#5,0#0#5,0#0#0,0#0#0,0#0#0
4437,0#9#0#6#4,0#20#39#1648#2768,656.json,12#12#12#12#12,0.0#0.0#0.0#0.0#0.0,0.09089608106060844#0.08136834262412639#0.08136834262412639#0.10571692102326283#0.16292734342278728,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,4.29#4.29#4.29#4.71#4.71,0#0#0#0#0,6#11#11#11#11,64.0#65.0#65.0#64.0#63.0,100.72355651855469#100.69999694824219#100.69999694824219#100.72355651855469#100.86251068115234,3#3#3#3#3,0#0#0#0#0,0#10#0#2#2,0#5#0#1#1,0#106#0#32#43,0#69#0#24#43,0#0#0#0#0,0#0#0#0#1,0#0#0#0#1
1579,0,0,242.json,6,0.6849657893180847,0.656615884256884,0,0,0,1,1.89,0,3,32.0,115.8733139038086,1,0,0,0,0,0,0,0,0
5261,0#0#0#0#5#82#0,0#2#143#178#386#823#863,486.json,3#3#3#3#3#3#3,0.9030356407165527#0.9030356407165527#0.9030356407165527#0.9022738933563232#0.9022738933563232#0.9022738933563232#0.9022738933563232,0.9344594298454603#0.9344594298454603#0.9344594298454603#0.979614791412058#0.979614791412058#0.979614791412058#0.979614791412058,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,3.77#3.77#3.77#1.89#1.89#1.89#1.89,0#0#0#0#0#0#0,1#1#1#1#1#1#1,13.0#13.0#13.0#13.0#13.0#13.0#13.0,133.39190673828125#133.39190673828125#133.39190673828125#133.39190673828125#133.39190673828125#133.39190673828125#133.39190673828125,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#16#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0
1608,0,0,150.json,3,0.009383153170347214,0.21581967591939286,1,1,2,2,1.89,0,4,33.0,126.86538696289062,0,0,0,0,0,0,0,0,0
1608,0,0,153.json,2,0.950354814529419,0.9240878708655992,0,0,0,1,0.0,0,0,13.0,139.56419372558594,1,0,0,0,0,0,0,0,0
619,0,0,1006.json,37,0.0,1.9048960528253714E-22,1,1,2,2,2.96,1,65,339.0,72.43077850341797,0,1,0,0,0,0,0,0,0
1608,0#20,0#796,90.json,4#4,0.05525059252977371#0.027342377230525017,0.7970850566282417#0.7531561923238241,0#0,0#0,0#0,1#1,4.9#4.9,0#0,3#4,26.0#28.0,123.8484878540039#123.46312713623047,0#0,0#0,0#2,0#1,0#6,0#6,0#0,0#0,0#0
