Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
1277,0#11#10,0#64#399,104.json,3#3#3,0.0#0.0#0.0,4.1212674949765E-4#0.0010638286613789487#4.2192064132549114E-4,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,5#4#5,66.0#62.0#66.0,122.91494750976562#123.34661865234375#122.91494750976562,3#3#3,0#0#0,0#2#2,0#1#1,0#28#34,0#28#34,0#0#0,0#0#0,0#0#0
120,0,0,761.json,4,0.19074437022209167,0.7945557038350396,0,0,0,1,2.0,0,0,23.0,124.6862564086914,1,0,0,0,0,0,0,0,0
2508,0#11#5,0#220#543,2260.json,7#7#7,0.13432851433753967#0.088038370013237#0.02241874486207962,0.34589259888506063#0.20867441202576822#0.12589157078826266,1#1#1,1#1#1,2#2#2,2#2#2,2.56#2.56#2.56,1#1#1,3#3#3,38.0#41.0#44.0,111.99311065673828#111.5409164428711#111.11923217773438,2#2#3,0#0#0,0#2#2,0#1#1,0#11#25,0#11#25,0#0#0,0#0#0,0#0#0
3021,0#0#0#0#7#15#19#8#13,0#131#294#294#373#541#580#585#2813,2810.json,3#3#3#3#3#5#3#8#8,1.6737743862904608E-4#1.6593298641964793E-4#1.6593298641964793E-4#1.6593298641964793E-4#1.6593298641964793E-4#0.013470232486724854#1.6593298641964793E-4#0.028072284534573555#0.028663553297519684,0.10835551067097199#0.14829981084502966#0.14829981084502966#0.14829981084502966#0.14829981084502966#0.10093804874146872#0.14829981084502966#0.1546605214545375#0.15634509631137858,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1,3.77#1.89#1.89#1.89#1.89#2.99#1.89#2.83#2.83,0#0#0#0#0#1#0#1#1,4#4#4#4#4#4#4#5#5,35.0#35.0#35.0#35.0#35.0#43.0#35.0#48.0#48.0,126.78941345214844#126.78941345214844#126.78941345214844#126.78941345214844#126.78941345214844#117.1540298461914#126.78941345214844#108.84510040283203#108.84510040283203,2#2#2#2#2#2#2#2#2,0#0#0#0#0#1#0#1#1,0#0#0#0#0#4#4#7#0,0#0#0#0#0#3#1#6#0,0#16#0#0#0#68#68#136#1,0#0#0#0#0#61#61#117#0,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#1#0#0,0#0#0#0#0#0#1#0#0
2538,0#17#8#4#143#10,0#8#9#9#204#447,2294.json,3#3#3#3#3#3,0.0014153550146147609#0.0028738349210470915#0.0033036626409739256#0.0028738349210470915#0.003196165431290865#0.02254530042409897,0.4400946969995859#0.3848097449889615#0.35724631709499477#0.3848097449889615#0.3976449673351786#0.46341048771886945,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,1#1#1#1#1#1,1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0,1#2#2#2#2#2,28.0#30.0#30.0#30.0#30.0#28.0,128.1235809326172#127.76480865478516#127.67500305175781#127.76480865478516#127.76480865478516#128.1235809326172,2#2#2#2#2#2,0#0#0#0#0#0,0#2#2#2#2#4,0#1#1#1#1#2,0#18#6#6#18#28,0#18#6#6#18#28,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0
1741,0,0,1843.json,3,0.5037720203399658,0.6933453789430623,0,0,0,1,1.89,0,2,22.0,129.57785034179688,1,0,0,0,0,0,0,0,0
878,0,0,474.json,3,0.7087379097938538,0.8875991827381541,0,0,0,1,1.89,0,0,16.0,131.75106811523438,0,0,0,0,0,0,0,0,0
883,0#13#3,0#675#808,922.json,47#47#50,0.0#0.0#0.0,1.5054600304616753E-19#2.454048700314271E-19#2.271788455565125E-20,15#15#16,17#17#18,32#32#34,14#14#15,3.65#3.65#3.58,3#3#3,46#45#47,344.0#340.0#357.0,65.80045318603516#65.84031677246094#64.33370208740234,0#0#0,3#3#3,0#2#3,0#1#3,0#42#120,0#42#108,0#0#0,0#0#0,0#0#0
1990,0#8,0#532,274.json,4#4,0.15513648092746735#0.25068655610084534,0.5955898392371988#0.5475421151198198,0#0,0#0,0#0,1#1,2.0#2.0,0#0,1#1,27.0#27.0,123.56243133544922#123.47842407226562,1#1,0#0,0#2,0#1,0#4,0#4,0#0,0#0,0#0
2334,0#143#11,0#1#345,260.json,4#4#4,0.017622604966163635#0.018353087827563286#0.022414803504943848,0.22084839572416223#0.22214087781094713#0.20797923982995317,0#0#0,0#0#0,0#0#0,1#1#1,2.0#2.0#2.0,0#0#0,1#1#1,34.0#34.0#34.0,122.12659454345703#122.12659454345703#122.12659454345703,2#2#2,0#0#0,0#2#2,0#1#1,0#12#6,0#12#6,0#0#0,0#0#0,0#0#0
404,0,0,2930.json,5,0.7446779012680054,0.8294487375109724,0,0,0,1,3.58,0,0,23.0,121.07132720947266,0,0,0,0,0,0,0,0,0
2590,0#3#1#3#4#11#1#42#5#1#1#5#1#5#5#34#2#3#8,0#61#62#62#62#68#89#114#121#125#127#129#130#131#132#217#385#781#1165,2527.json,53#50#44#44#44#44#44#44#46#46#46#21#11#12#12#11#11#11#10,0.0#0.0#1.861624332377687E-4#1.6007715021260083E-4#1.6007715021260083E-4#1.6942215734161437E-4#1.7970293993130326E-4#1.8195935990661383E-4#0.0#0.0#0.0#0.025196047499775887#0.24403582513332367#0.05043178051710129#0.10114438831806183#0.22151309251785278#0.10207649320363998#0.2140268087387085#0.5820414423942566,1.9324021553686902E-14#7.504499982902627E-14#1.9659594000503977E-12#1.3274062214028778E-12#1.34186068409282E-12#2.450983040257085E-12#2.454586968858638E-12#4.66043500160428E-13#5.740607714702278E-16#7.400861617690952E-17#1.3424494617587073E-16#0.0029919163398171907#0.02649011573618026#0.00179614471406906#0.0027309091111925557#0.008838168282297224#0.0010361935752084333#0.0030372971335535454#0.11371963718070674,11#10#8#8#8#8#8#8#8#8#8#2#2#2#2#2#3#3#3,13#13#11#11#11#11#11#11#11#11#11#5#2#2#2#2#4#3#3,24#23#19#19#19#19#19#19#19#19#19#7#4#4#4#4#7#6#6,14#14#12#12#12#12#12#12#12#12#12#6#3#3#3#3#3#3#3,4.8#4.44#4.15#4.18#4.18#4.18#4.18#4.18#4.39#4.39#4.39#3.1#2.65#2.7#2.7#2.65#2.65#2.65#2.56,4#4#4#4#4#4#4#4#4#4#4#2#1#1#1#1#1#1#1,35#33#31#31#31#31#31#31#34#36#35#9#2#5#5#5#7#6#4,312.0#297.0#269.0#269.0#269.0#267.0#267.0#271.0#303.0#311.0#308.0#118.0#62.0#79.0#76.0#67.0#77.0#71.0#53.0,64.28050231933594#65.48067474365234#68.54621124267578#68.54621124267578#68.54621124267578#68.60513305664062#68.60513305664062#68.44963073730469#67.05926513671875#66.88996887207031#66.94037628173828#86.94831085205078#101.58795166015625#98.87413024902344#99.03287506103516#101.14044189453125#100.25557708740234#100.75529479980469#104.2549057006836,2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2,7#6#4#4#4#4#4#4#5#5#5#1#1#1#1#1#1#1#1,0#10#20#1#8#2#2#6#10#2#2#32#40#5#2#7#2#6#3,0#3#7#0#4#1#1#3#6#1#1#1#11#3#1#3#1#3#1,0#248#366#32#4#5#7#51#172#26#17#1302#704#171#24#53#61#118#147,0#187#312#0#4#5#7#51#143#26#17#1065#462#159#24#41#61#33#135,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0
410,0#10,0#4,794.json,4#4,0.5740926861763#0.642669677734375,0.8586159461068286#0.8082674211061582,0#0,0#0,0#0,1#1,2.0#2.0,0#0,0#0,22.0#23.0,124.91740417480469#124.58238983154297,1#1,0#0,0#2,0#1,0#9,0#9,0#0,0#0,0#0
1104,0#3,0#220,26.json,3#3,1.8224382074549794E-4#1.8224382074549794E-4,0.035334659222484056#0.035334659222484056,0#0,0#0,0#0,1#1,1.89#1.89,0#0,4#4,42.0#42.0,125.48878479003906#125.48878479003906,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
3330,0#2#4#17#94#5#0#0#0#7#15#19#8#1#13,0#10#23#29#308#328#440#602#602#681#850#889#894#1231#3122,2812.json,3#3#3#3#3#3#3#3#3#3#5#3#8#8#8,0.002926918677985668#0.04551137611269951#0.04551137611269951#0.04808316007256508#0.0#0.0#0.0#0.0#0.0#0.0#0.0016347594792023301#0.0#0.007677480578422546#0.007590546738356352#0.007590546738356352,0.09626516631043457#0.2524062825662661#0.2524062825662661#0.25864040918575415#0.06828422158293729#0.062017456078755355#0.08527648886642772#0.08527648886642772#0.08527648886642772#0.08527648886642772#0.05582217598665114#0.08527648886642772#0.0742851587524351#0.08828909811822587#0.08828909811822587,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1#1#1#1#1#1,3.77#3.77#3.77#3.77#3.77#3.77#1.89#1.89#1.89#1.89#2.99#1.89#2.83#2.83#2.83,0#0#0#0#0#0#0#0#0#0#1#0#1#1#1,1#1#1#1#3#3#3#3#3#3#3#3#5#4#4,34.0#30.0#30.0#30.0#37.0#37.0#37.0#37.0#37.0#37.0#45.0#37.0#51.0#50.0#50.0,126.78704833984375#127.59099578857422#127.59099578857422#127.59099578857422#126.34735107421875#126.34735107421875#126.34735107421875#126.34735107421875#126.34735107421875#126.34735107421875#116.79476165771484#126.34735107421875#108.4183120727539#108.52128601074219#108.52128601074219,1#1#1#1#2#2#2#2#2#2#2#2#2#2#2,0#0#0#0#0#0#0#0#0#0#1#0#1#1#1,0#2#0#2#4#2#0#0#0#0#4#4#7#4#0,0#1#0#1#2#1#0#0#0#0#3#1#6#2#0,0#19#0#4#79#5#16#0#0#0#61#61#134#3#0,0#19#0#4#81#5#0#0#0#0#54#54#115#2#0,0#0#0#0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#1#0#1#0,0#0#0#0#0#0#0#0#0#0#0#1#0#1#0
