Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
252,0#35#43,0#120#180,104.json,4#4#13,0.0#0.0#1.8797065422404557E-4,0.04697248742919083#0.04697248742919083#1.3063256913914525E-6,0#0#0,0#0#0,0#0#0,1#1#1,3.32#3.32#5.35,0#0#0,1#1#13,43.0#43.0#113.0,120.70597839355469#120.70597839355469#95.7193603515625,5#5#5,0#0#2,0#0#15,0#0#12,0#0#585,0#0#479,0#0#0,0#0#0,0#0#0
761,0,0,9640.json,3,0.8236731886863708,0.9618077500135057,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
1209,0#7#0#12#44,0#0#4#5#609,761.json,3#3#3#3#3,0.9381803274154663#0.9381803274154663#0.9381803274154663#0.8223003149032593#0.8223003149032593,0.888067685789818#0.888067685789818#0.888067685789818#0.8071707143688488#0.8071707143688488,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,1.89#1.89#1.89#1.89#1.89,0#0#0#0#0,0#0#0#0#0,12.0#12.0#12.0#14.0#14.0,133.59722900390625#133.59722900390625#133.59722900390625#132.4454345703125#132.4454345703125,0#0#0#0#0,0#0#0#0#0,0#0#0#2#0,0#0#0#1#0,0#0#0#14#0,0#0#0#14#0,0#0#0#0#1,0#0#0#0#1,0#0#0#0#1
345,0#5#15,0#91#247,2260.json,28#28#28,0.0#0.0#0.0,4.0207594018340245E-13#7.432851651792307E-15#7.432851651792307E-15,1#1#1,1#1#1,2#2#2,2#2#2,4.95#4.95#4.95,1#1#1,25#25#25,222.0#242.0#242.0,79.41353607177734#78.93997955322266#78.93997955322266,1#1#1,2#2#2,0#20#0,0#10#0,0#68#0,0#68#0,0#0#1,0#0#1,0#0#1
1595,0#6#6,0#180#1188,7760.json,7#10#8,0.004155946429818869#0.002617897931486368#0.0016841059550642967,0.001334053090719372#4.117997494871768E-4#6.487302732334556E-4,0#3#0,0#1#0,0#4#0,1#2#1,1.81#2.15#1.73,0#1#0,7#8#8,69.0#81.0#75.0,108.7696533203125#101.76625061035156#106.13028717041016,3#3#3,2#2#2,0#3#4,0#3#1,0#78#38,0#66#30,0#0#0,0#0#1,0#0#1
1636,0,0,4953.json,3,0.0,0.0049116616861129316,2,1,3,2,1.89,0,2,53.0,123.87772369384766,3,0,0,0,0,0,0,0,0
2350,0#12#24#14,0#49#715#984,7289.json,3#3#3#3,0.12669479846954346#0.13719205558300018#0.04937306046485901#0.9440221786499023,0.6603248871250142#0.6572277683774047#0.4434220345145964#0.9591560569644754,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,0#0#0#0,23.0#23.0#28.0#12.0,129.34671020507812#129.34671020507812#128.1235809326172#133.59722900390625,2#2#2#0,0#0#0#0,0#2#2#4,0#1#1#2,0#16#26#67,0#16#26#67,0#0#1#0,0#0#1#0,0#0#1#1
269,0,0,9801.json,7,0.06606662273406982,0.5021732818059085,0,0,0,1,5.17,0,4,38.0,112.55669403076172,2,0,0,0,0,0,0,0,0
969,0,0,6599.json,3,0.7638261914253235,0.9493658407870756,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
1763,0#44,0#14,10470.json,6#6,0.102535180747509#0.1168462485074997,0.2662424105510653#0.24169382283929103,0#0,0#0,0#0,1#1,1.89#1.89,0#0,3#3,40.0#40.0,114.78721618652344#114.78721618652344,1#1,1#1,0#4,0#2,0#15,0#15,0#0,0#0,0#0
292,0,0,3678.json,8,0.0,8.561464199624191E-7,2,1,3,2,4.36,0,7,102.0,103.8587875366211,3,3,0,0,0,0,0,0,0
2490,0,0,2810.json,3,0.8238345384597778,0.8230521748063216,0,0,0,1,3.77,0,0,17.0,131.28770446777344,1,0,0,0,0,0,0,0,0
1973,0#18#13#67#15,0#214#214#1761#1876,2294.json,7#7#3#3#3,0.47691571712493896#0.47691571712493896#0.5250898003578186#0.3272443115711212#0.3272443115711212,0.511179100774756#0.511179100774756#0.6580751509167879#0.8370776972776104#0.8370776972776104,2#2#1#0#0,1#1#1#0#0,3#3#2#0#0,2#2#2#1#1,2.56#2.56#1.89#1.89#1.89,1#1#0#0#0,1#1#1#1#1,37.0#37.0#22.0#18.0#18.0,112.46537017822266#112.46537017822266#129.14761352539062#130.7338104248047#130.7338104248047,0#0#0#0#0,1#1#0#0#0,0#0#8#2#0,0#0#2#1#0,0#0#132#35#0,0#0#116#35#0,0#0#0#0#1,0#0#0#1#1,0#1#0#1#1
2490,0#15,0#2392,2249.json,3#3,0.92928546667099#0.9287136793136597,0.8829057297391475#0.9453749919610569,0#0,0#0,0#0,1#1,3.77#1.89,0#0,0#0,13.0#13.0,132.9956512451172#132.9956512451172,0#0,0#0,0#0,0#0,0#16,0#0,0#1,0#1,0#1
2490,0,0,3173.json,9,0.935918927192688,0.11597210924527196,2,1,3,2,2.27,1,2,61.0,105.29708862304688,0,2,0,0,0,0,0,0,0
1162,0,0,4587.json,30,0.0,6.102022611722176E-12,8,6,14,8,6.35,4,16,207.0,76.90245819091797,1,5,0,0,0,0,0,0,0
936,0,0,474.json,3,0.009646003134548664,0.1774447024947702,0,0,0,1,1.89,0,3,34.0,127.02415466308594,2,0,0,0,0,0,0,0,0
981,0#18#1,0#0#0,5352.json,4#4#4,0.0988021045923233#0.14388130605220795#0.14388130605220795,0.8770062629773635#0.8722013982193596#0.8722013982193596,0#0#0,0#0#0,0#0#0,1#1#1,2.0#2.0#2.0,0#0#0,0#0#0,20.0#20.0#20.0,125.64796447753906#125.64796447753906#125.64796447753906,1#1#1,0#0#0,0#2#0,0#1#0,0#4#0,0#4#0,0#0#0,0#0#0,0#0#0
1060,0#49#152,0#268#933,5916.json,12#12#12,0.08732143044471741#0.09092055261135101#0.09092055261135101,0.004601964753083266#0.0045144428201407535#0.00453724947941132,4#4#4,4#4#4,8#8#8,4#4#4,3.32#3.32#3.32,2#2#2,6#6#6,77.0#77.0#77.0,98.8216781616211#98.8216781616211#98.8216781616211,0#0#0,1#1#1,0#2#2,0#1#1,0#6#1,0#6#1,0#0#0,0#0#0,0#0#0
2490,0,0,6394.json,3,0.8180055022239685,0.9471726034987572,0,0,0,1,1.89,0,0,17.0,131.28770446777344,1,0,0,0,0,0,0,0,0
1632,0,0,8517.json,5,0.08451236039400101,0.5397728560172509,0,0,0,2,2.99,1,1,30.0,119.16963195800781,2,1,0,0,0,0,0,0,0
1951,0#0#44#137,0#746#1351#1874,922.json,3#3#3#3,0.6485192179679871#0.6485192179679871#0.6485192179679871#0.6605149507522583,0.8024276674535061#0.8024276674535061#0.8024276674535061#0.8310686774032158,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,1#1#1#1,18.0#18.0#18.0#18.0,130.85629272460938#130.85629272460938#130.85629272460938#130.85629272460938,1#1#1#1,0#0#0#0,0#0#0#2,0#0#0#1,0#0#0#12,0#0#0#12,0#0#1#1,0#0#1#1,0#0#1#1
1824,0#62#51#71,0#188#1072#1605,3848.json,19#15#15#15,0.004468810278922319#0.0029753500130027533#0.0030459659174084663#0.0031067202799022198,4.059692864404573E-8#6.424490623827088E-9#6.391619748382155E-9#6.2622338996954604E-9,3#3#3#3,2#2#2#2,5#5#5#5,4#4#4#4,6.82#5.69#5.69#5.69,2#2#2#2,17#17#17#17,141.0#141.0#141.0#141.0,87.3692398071289#91.19873809814453#91.19873809814453#91.19873809814453,1#1#1#1,5#5#5#5,0#2#2#4,0#1#1#2,0#182#6#6,0#26#6#6,0#0#0#0,0#0#0#1,0#1#0#1
