Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
585,0,0,104.json,15,0.0060090371407568455,7.500657689050678E-4,1,1,2,2,10.33,2,9,95.0,94.33169555664062,1,3,0,0,0,0,0,0,0
514,0#58#7#64#67#67#67,0#3#44#134#457#458#476,9640.json,3#3#3#3#3#3#3,0.3125179409980774#0.3626108169555664#0.3625924587249756#0.37183433771133423#0.3438653349876404#0.37183433771133423#0.3438653349876404,0.4876088175463418#0.47978386529908884#0.47789361564190963#0.5012818512748469#0.49769681366042795#0.5012818512748469#0.49769681366042795,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,1.89#1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0#0,2#2#2#2#2#2#2,23.0#23.0#23.0#23.0#23.0#23.0#23.0,129.34671020507812#129.34671020507812#129.34671020507812#129.34671020507812#129.34671020507812#129.34671020507812#129.34671020507812,1#1#1#1#1#1#1,0#0#0#0#0#0#0,0#2#2#4#2#2#2,0#1#1#2#1#1#1,0#7#6#28#10#10#10,0#7#6#28#10#10#10,0#0#0#0#0#0#0,0#0#1#0#0#0#0,0#0#1#0#0#0#0
952,0#2#29,0#3#11,761.json,8#8#6,0.3559247553348541#0.46274060010910034#0.47969162464141846,0.0175494403062617#0.004338948518160655#0.019479143277716326,2#2#0,2#2#0,4#4#0,3#3#1,2.4#2.4#2.75,1#1#0,4#4#4,58.0#64.0#51.0,107.09369659423828#106.49503326416016#112.92892456054688,1#1#1,2#2#2,0#2#5,0#1#1,0#29#97,0#29#73,0#0#0,0#0#0,0#0#0
1023,0#62#29,0#6#82,2260.json,6#6#6,0.1852407157421112#0.12053234130144119#0.1747119426727295,0.6816295681380152#0.5918807846764992#0.7326636846106979,0#0#0,0#0#0,0#0#0,1#1#1,3.27#3.27#3.27,0#0#0,3#3#2,28.0#30.0#26.0,116.8047866821289#116.36201477050781#117.19014739990234,1#1#1,0#0#0,0#2#2,0#1#1,0#16#24,0#16#24,0#1#0,0#1#0,0#1#0
731,0#10,0#549,7760.json,11#22,0.1484229564666748#0.00260556791909039,0.37902618270809574#6.164671486279464E-4,1#3,1#4,2#7,2#4,7.49#8.8,1#3,4#8,49.0#108.0,103.34893035888672#86.92979431152344,1#1,0#1,0#13,0#12,0#567,0#398,0#1,0#1,0#1
198,0,0,4953.json,3,0.529560387134552,0.9503705922296175,0,0,0,1,1.89,0,1,15.0,132.086669921875,0,0,0,0,0,0,0,0,0
1095,0#26#66#5#118,0#2#10#77#260,13448.json,2#2#2#2#2,0.9988348484039307#0.9976454973220825#0.9976454973220825#0.9976454973220825#0.9976454973220825,0.9840363959015119#0.9838958299072478#0.9838958299072478#0.9838958299072478#0.9838958299072478,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,0.0#1.89#1.89#1.89#1.89,0#0#0#0#0,0#0#0#0#0,9.0#9.0#9.0#9.0#9.0,142.4026641845703#142.4026641845703#142.4026641845703#142.4026641845703#142.4026641845703,0#0#0#0#0,0#0#0#0#0,0#2#0#0#0,0#1#0#0#0,0#18#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#1#0#1,0#0#1#0#1
918,0#15#39#2#17#39#66#306#16#1#46#5#107#48,0#1#21#21#22#104#333#365#378#388#560#636#827#860,7289.json,20#20#21#21#27#26#35#35#60#51#50#50#50#44,0.0017051079776138067#6.145629449747503E-4#2.167583879781887E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0,1.0122687535469547E-6#9.043277889060861E-8#3.5256299191026145E-9#4.3444614568358115E-10#4.183002017672091E-14#5.258409101123383E-13#3.258120118365035E-11#3.2183390350154876E-11#2.18901247451928E-15#5.140033461179674E-15#6.265932609234006E-15#4.480609588787472E-15#4.47456257681347E-15#1.7526375985906588E-13,3#5#5#5#9#9#9#9#9#9#9#9#9#6,3#3#3#3#5#5#5#5#5#5#5#5#5#4,6#8#8#8#14#14#14#14#14#14#14#14#14#10,5#5#5#5#7#7#7#7#7#7#7#7#7#6,4.61#4.61#4.75#4.75#5.47#5.54#9.58#9.58#13.07#9.68#9.55#9.55#9.55#8.97,3#3#3#3#4#4#4#4#4#4#4#4#4#4,7#11#14#15#24#22#22#22#30#30#29#29#29#24,135.0#147.0#162.0#170.0#226.0#212.0#212.0#212.0#293.0#275.0#272.0#272.0#272.0#242.0,86.89566040039062#86.42448425292969#84.97297668457031#84.6523208618164#78.53336334228516#79.49781799316406#74.66181182861328#74.66181182861328#63.82390594482422#66.8835678100586#67.26141357421875#67.23262786865234#67.23262786865234#70.12715148925781,1#1#1#1#1#1#1#1#1#1#1#1#1#1,2#2#2#2#2#1#1#1#3#3#3#3#3#4,0#8#7#2#6#7#2#2#34#11#3#2#2#22,0#4#4#1#6#3#1#1#30#1#1#1#1#8,0#52#147#115#399#135#337#10#1334#512#70#16#13#496,0#52#126#115#375#131#15#10#496#81#33#16#13#341,0#0#0#0#1#0#0#0#0#1#0#0#0#0,0#1#1#0#1#0#0#1#0#1#0#0#0#0,0#1#1#0#1#0#0#1#0#1#0#0#0#0
763,0,0,9801.json,18,0.0016255878144875169,4.669681950114043E-4,0,0,0,1,15.38,2,11,101.0,91.15284729003906,0,2,0,0,0,0,0,0,0
822,0,0,6599.json,3,0.7892695069313049,0.8887715658313088,0,0,0,1,1.89,0,0,14.0,132.4454345703125,0,0,0,0,0,0,0,0,0
