Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
2185,0#46#0#0,0#62#289#308,104.json,4#4#4#4,0.38873490691185#0.38873490691185#0.38873490691185#0.38873490691185,0.800250832210317#0.800250832210317#0.800250832210317#0.800250832210317,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,4.0#4.0#4.0#4.0,0#0#0#0,0#0#0#0,20.0#20.0#20.0#20.0,125.64796447753906#125.64796447753906#125.64796447753906#125.64796447753906,1#1#1#1,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0
2077,0#0#0,0#181#200,761.json,4#4#4,0.4136928915977478#0.4136928915977478#0.4136928915977478,0.7737599234439624#0.7737599234439624#0.7737599234439624,0#0#0,0#0#0,0#0#0,1#1#1,4.0#4.0#4.0,0#0#0,0#0#0,20.0#20.0#20.0,125.64796447753906#125.64796447753906#125.64796447753906,1#1#1,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
349,0,0,474.json,3,0.0028030648827552795,0.8970943347934276,0,0,0,1,3.77,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
2318,0#46#0#0#86,0#195#423#441#755,274.json,3#3#3#3#3,0.4438687264919281#0.4438687264919281#0.4438687264919281#0.4438687264919281#0.6428563594818115,0.9051846253885516#0.9051846253885516#0.9051846253885516#0.9051846253885516#0.9021528613924241,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,3.77#3.77#3.77#3.77#3.77,0#0#0#0#0,0#0#0#0#0,12.0#12.0#12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625,0#0#0#0#0,0#0#0#0#0,0#0#0#0#2,0#0#0#0#1,0#0#0#0#13,0#0#0#0#13,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
2378,0#46#0#0#86,0#255#483#501#815,260.json,3#3#3#3#3,0.7197256088256836#0.7214709520339966#0.7214709520339966#0.7214709520339966#0.44252026081085205,0.9413514619041494#0.8950281233681082#0.8950281233681082#0.8950281233681082#0.8953268057094647,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,1.89#3.77#3.77#3.77#3.77,0#0#0#0#0,0#0#0#0#0,12.0#12.0#12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625,0#0#0#0#0,0#0#0#0#0,0#0#0#0#2,0#0#0#0#1,0#16#0#0#5,0#0#0#0#5,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
1222,0,0,794.json,10,0.033922698348760605,0.01935142972365849,1,1,2,2,8.16,1,3,56.0,103.84703826904297,1,1,0,0,0,0,0,0,0
349,0,0,326.json,3,0.878892183303833,0.8062466423679339,0,0,0,1,3.77,0,1,17.0,131.43582153320312,1,0,0,0,0,0,0,0,0
926,0,0,1475.json,3,0.528358519077301,0.8362225702898195,0,0,0,1,3.77,0,0,17.0,131.28770446777344,1,0,0,0,0,0,0,0,0
1947,0#0#0#2,0#52#70#708,88.json,12#12#12#12,0.008087893947958946#0.008087893947958946#0.008087893947958946#0.0072510563768446445,0.01048274222958296#0.01048274222958296#0.01048274222958296#0.010656393165680981,1#1#1#1,1#1#1#1,2#2#2#2,2#2#2#2,8.92#8.92#8.92#8.92,1#1#1#1,10#10#10#10,67.0#67.0#67.0#67.0,99.96086120605469#99.96086120605469#99.96086120605469#99.96086120605469,1#1#1#1,1#1#1#1,0#0#0#2,0#0#0#1,0#0#0#9,0#0#0#9,0#0#0#0,0#0#0#1,0#0#0#1
1576,0,0,858.json,6,0.03800906985998154,0.05379182104790807,0,0,0,1,8.54,0,2,45.0,113.84114837646484,3,1,0,0,0,0,0,0,0
1931,0,0,1581.json,17,5.609131185337901E-4,1.6141379197920852E-7,0,0,0,1,16.18,1,20,134.0,90.67494201660156,0,0,0,0,0,0,0,0,0
1563,0,0,194.json,3,0.36761704087257385,0.8586966539783275,0,0,0,1,3.77,0,0,14.0,132.4454345703125,0,0,0,0,0,0,0,0,0
