Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
4135,0#101#202#194#1#49#8#19#19#13#160,0#152#162#303#304#509#1256#1421#2149#2428#3815,5267.json,5#5#5#5#5#7#7#7#7#7#7,0.0919845774769783#0.0919845774769783#0.0919845774769783#0.11332003027200699#0.11332003027200699#0.1990748941898346#0.19314268231391907#0.20457249879837036#0.20457249879837036#0.18011470139026642#0.18011470139026642,0.36858497494430237#0.36858497494430237#0.36858497494430237#0.2997529520188198#0.2997529520188198#0.3582187308961248#0.39743908776675274#0.39052825571283967#0.39052825571283967#0.39417769798455105#0.39417769798455105,0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1#1#1,0.98#0.98#0.98#0.98#0.98#1.67#1.67#1.67#1.67#1.67#1.67,0#0#0#0#0#1#1#1#1#1#1,3#3#3#3#3#3#2#2#2#2#2,32.0#32.0#32.0#33.0#33.0#37.0#36.0#36.0#36.0#36.0#36.0,118.90116882324219#118.90116882324219#118.90116882324219#118.66690826416016#118.66690826416016#112.55101776123047#112.69348907470703#112.69348907470703#112.69348907470703#112.69348907470703#112.69348907470703,2#2#2#2#2#2#2#2#2#2#2,0#0#0#0#0#0#0#0#0#0#0,0#0#0#2#0#10#2#2#0#2#0,0#0#0#1#0#6#1#1#0#1#0,0#0#0#13#0#51#2#7#0#9#0,0#0#0#13#0#57#2#7#0#9#0,0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#1#0#0#0,0#0#0#0#0#0#0#1#0#0#0
3319,0#24#160,0#45#2999,8038.json,3#3#3,0.19795669615268707#0.19795669615268707#0.19795669615268707,0.9022017950937393#0.9022017950937393#0.9022017950937393,0#0#0,0#0#0,0#0#0,1#1#1,0.94#0.94#0.94,0#0#0,0#0#0,12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
76,0#131,0#12,2780.json,9#9,0.6547508835792542#0.6547508835792542,0.13185934855388076#0.13185934855388076,3#3,2#2,5#5,3#3,1.89#1.89,2#2,2#2,51.0#51.0,106.05023193359375#106.05023193359375,1#1,2#2,0#0,0#0,0#0,0#0,0#0,0#0,0#0
1327,0#9#11#160,0#0#14#1007,4057.json,19#21#18#18,0.05706232413649559#0.0643622875213623#0.022486800327897072#0.022486800327897072,0.0017569501168518853#3.412491215537216E-4#3.059710216280975E-4#3.059710216280975E-4,4#5#4#4,4#5#4#4,8#10#8#8,5#6#5#5,1.92#1.87#1.94#1.94,2#2#2#2,10#9#9#9,111.0#122.0#113.0#113.0,89.11766815185547#86.66009521484375#89.78582763671875#89.78582763671875,1#1#1#1,2#2#2#2,0#6#6#0,0#4#1#0,0#80#64#0,0#82#65#0,0#0#0#0,0#0#0#0,0#0#0#0
2792,0#160,0#2472,7077.json,4#4,0.43814408779144287#0.43814408779144287,0.8509753892895974#0.8509753892895974,0#0,0#0,0#0,1#1,1.0#1.0,0#0,1#1,20.0#20.0,125.64796447753906#125.64796447753906,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
603,0#160,0#283,3764.json,3#3,0.1234772726893425#0.1234772726893425,0.8838493410654555#0.8838493410654555,0#0,0#0,0#0,1#1,0.94#0.94,0#0,0#0,14.0#14.0,132.4454345703125#132.4454345703125,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0,0#0
4303,0#202#1#1#160,0#330#471#674#3983,22.json,4#4#4#4#3,0.7591518759727478#0.7591518759727478#0.7591518759727478#0.7591518759727478#0.8375375866889954,0.8477249445675952#0.8477249445675952#0.8477249445675952#0.8477249445675952#0.7656732929300758,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,1.3#1.3#1.3#1.3#0.94,0#0#0#0#0,0#0#0#0#0,19.0#19.0#19.0#19.0#19.0,125.91468811035156#125.91468811035156#125.91468811035156#125.91468811035156#130.57513427734375,1#1#1#1#1,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#7,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
2853,0#52#160,0#880#2533,6321.json,3#3#3,0.8797398805618286#0.8797398805618286#0.8797398805618286,0.954984205203338#0.954984205203338#0.954984205203338,0#0#0,0#0#0,0#0#0,1#1#1,0.94#0.94#0.94,0#0#0,0#0#0,12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0,0#0#0
4303,0#101#202#194#1#25#28#50#160,0#320#330#470#471#839#1714#2161#3983,3998.json,5#5#5#5#5#7#5#5#5,0.247530996799469#0.247530996799469#0.247530996799469#0.26537635922431946#0.26537635922431946#0.38746222853660583#0.26537635922431946#0.2785313129425049#0.2785313129425049,0.5576236981368874#0.5576236981368874#0.5576236981368874#0.4599189437325379#0.4599189437325379#0.48926842979534674#0.4599189437325379#0.4597910552176013#0.4597910552176013,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1,0.98#0.98#0.98#0.98#0.98#1.67#0.98#0.98#0.98,0#0#0#0#0#1#0#0#0,3#3#3#3#3#4#3#3#3,29.0#29.0#29.0#30.0#30.0#35.0#30.0#30.0#30.0,119.66572570800781#119.66572570800781#119.66572570800781#119.39962768554688#119.39962768554688#113.06318664550781#119.39962768554688#119.39962768554688#119.39962768554688,2#2#2#2#2#2#2#2#2,0#0#0#0#0#0#0#0#0,0#0#0#4#0#10#10#2#0,0#0#0#2#0#6#4#1#0,0#0#0#21#0#56#56#7#0,0#0#0#21#0#62#62#7#0,0#0#0#0#0#0#0#0#0,0#0#0#0#0#1#0#0#0,0#0#0#0#0#1#0#0#0
3343,0#13#4#3#14#4#5#6#3#72#5#35#28#160,0#10#19#68#69#199#203#447#602#754#1502#1784#2435#3023,4645.json,12#12#11#11#12#11#12#6#6#7#7#12#12#12,4.8484845319762826E-4#0.0015284313121810555#0.005167664960026741#0.003475516801699996#0.0014246281934902072#0.003475516801699996#0.0014246281934902072#0.2203870415687561#0.21413345634937286#0.15255065262317657#0.10824525356292725#0.12710002064704895#0.12710002064704895#0.12710002064704895,4.768051090062161E-5#1.4045962180962365E-4#7.693145012957489E-4#4.133509225817622E-4#7.54922629608401E-5#4.133509225817622E-4#7.54922629608401E-5#0.2611434747882076#0.23425127431136714#0.05809123284947554#0.03249751992184803#0.016714472971539083#0.016714472971539083#0.016714472971539083,1#1#1#1#1#1#1#1#1#1#1#1#1#1,2#2#2#2#2#2#2#1#1#1#1#2#2#2,3#3#3#3#3#3#3#2#2#2#2#3#3#3,3#3#3#3#3#3#3#2#2#2#2#3#3#3,1.44#1.44#1.44#1.44#1.44#1.44#1.44#1.51#1.51#1.41#1.41#1.73#1.73#1.73,2#2#2#2#2#2#2#1#1#1#1#2#2#2,7#7#6#6#8#6#8#3#3#4#5#3#3#3,103.0#97.0#87.0#89.0#100.0#89.0#100.0#43.0#43.0#51.0#54.0#68.0#68.0#68.0,97.2256851196289#97.53778076171875#99.5836410522461#99.42964172363281#97.37938690185547#99.42964172363281#97.37938690185547#113.97042083740234#113.97042083740234#110.35152435302734#110.00220489501953#99.65381622314453#99.65381622314453#99.65381622314453,2#2#2#2#2#2#2#2#2#2#2#2#2#2,1#1#1#1#1#1#1#0#0#1#1#2#2#2,0#2#1#26#1#1#1#9#14#15#2#14#0#0,0#1#0#13#1#0#1#1#7#8#1#9#0#0,0#17#85#30#81#81#81#454#14#153#24#248#0#0,0#17#51#6#69#69#69#320#0#66#24#227#0#0,0#0#1#0#0#0#0#0#0#0#0#0#0#0,0#0#1#0#0#0#0#1#0#1#0#1#1#0,0#0#1#0#0#0#0#1#0#1#0#1#1#0
