Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
3239,0,0,761.json,3,0.12569241225719452,0.9309077899902515,0,0,0,1,1.89,0,1,12.0,133.80813598632812,0,0,0,0,0,0,0,0,0
3254,0,0,2260.json,3,0.9202257990837097,0.9502375643556313,0,0,0,1,1.89,0,0,13.0,132.9956512451172,0,0,0,0,0,0,0,0,0
412,0#4,0#225,3678.json,7#7,0.5869507193565369#0.5949080586433411,0.6410793506999763#0.6366615683219302,0#0,0#0,0#0,2#2,1.51#1.51,1#1,1#1,31.0#31.0,113.38541412353516#113.38541412353516,0#0,0#0,0#2,0#1,0#6,0#6,0#0,0#0,0#0
2719,0,0,2810.json,3,0.9244030117988586,0.9791882603083621,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
2281,0,0,2294.json,3,0.13705502450466156,0.9200164908047196,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
3191,0#27,0#17,1843.json,3#3,0.26574236154556274#0.23337770998477936,0.528645842489173#0.5364136616693702,0#0,0#0,0#0,1#1,1.89#1.89,0#0,0#0,24.0#24.0,128.92515563964844#128.92515563964844,1#1,0#0,0#4,0#2,0#15,0#15,0#0,0#0,0#0
1413,0,0,2249.json,7,0.18972830474376678,0.5921070910986321,0,0,0,1,6.31,0,6,37.0,112.62112426757812,1,0,0,0,0,0,0,0,0
3254,0,0,3173.json,3,0.9408955574035645,0.965106288670043,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
2835,0,0,474.json,3,0.9576537609100342,0.9010743571614381,0,0,0,1,1.89,0,0,13.0,132.9956512451172,0,0,0,0,0,0,0,0,0
2770,0,0,3848.json,4,0.04722527042031288,0.853461134572481,0,0,0,1,2.0,0,0,18.0,126.19583892822266,0,0,0,0,0,0,0,0,0
