Age,TangledWMoveandFileRename,ChangeAtMethodAge,file,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,Parameters,LocalVariables,DiffSizes,NewAdditions,EditDistances,CriticalEditDistances,Buggycommiit,PotentiallyBuggycommit,RiskyCommit
838,0#9#10#78#156,0#25#243#292#613,104.json,8#8#9#10#10,0.006137684918940067#0.009994501248002052#0.005496317520737648#0.008425145410001278#0.008425145410001278,2.7747001212583613E-5#4.439495089516902E-5#3.428889659522523E-6#6.4995098265191635E-6#6.4995098265191635E-6,0#0#1#1#1,0#0#1#1#1,0#0#2#2#2,2#2#3#3#3,3.12#3.12#2.95#2.99#2.99,1#1#1#1#1,8#8#9#9#9,87.0#85.0#99.0#98.0#98.0,104.80413055419922#104.95675659179688#101.90428924560547#100.250244140625#100.250244140625,3#3#3#3#3,2#2#3#3#3,0#2#3#3#0,0#1#2#2#0,0#11#137#25#0,0#11#135#21#0,0#0#1#0#0,0#1#1#1#0,0#1#1#1#0
440,0,0,761.json,3,0.14069589972496033,0.9283167855261442,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
838,0#24#208#408,0#157#442#747,2260.json,13#13#18#20,0.09146630764007568#0.09236156195402145#0.004235486965626478#0.02377600409090519,0.014402450468314825#0.014511364235852609#3.4875999039811206E-5#0.0010625721232120496,3#3#5#3,2#2#4#5,5#5#9#8,3#3#4#6,2.65#2.65#2.98#3.22,1#1#1#2,6#6#16#10,80.0#80.0#127.0#113.0,97.60220336914062#97.60220336914062#89.56438446044922#88.0916748046875,2#2#2#2,2#2#3#3,0#2#18#23,0#1#12#12,0#1#356#331,0#1#316#322,0#0#0#0,0#0#0#0,0#0#0#0
380,0,0,3678.json,3,0.9181035161018372,0.9877421953824731,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
838,0#3,0#3,2294.json,8#8,0.4116955101490021#0.4116955101490021,0.7966833323224689#0.7966833323224689,1#1,1#1,2#2,2#2,2.4#2.4,1#1,2#2,34.0#34.0,110.82071685791016#110.82071685791016,0#0,1#1,0#0,0#0,0#0,0#0,0#0,0#0,0#0
725,0#119#5#9#693,0#26#110#434#546,1843.json,8#8#8#6#6,0.08145490288734436#0.07769501954317093#0.015922198072075844#0.006630438845604658#0.008314606733620167,0.10222569924971464#0.13219584878822166#0.0112654750142365#0.10305413893129989#0.09827294725675927,1#1#1#0#0,1#1#1#0#0,2#2#2#0#0,2#2#2#1#1,7.48#7.48#7.48#5.5#5.5,0#0#0#0#0,6#6#6#5#5,51.0#50.0#61.0#45.0#45.0,108.08633422851562#108.23919677734375#106.97467803955078#113.84114837646484#113.84114837646484,0#0#2#2#2,0#0#0#0#0,0#2#4#4#2,0#1#2#1#1,0#7#67#153#16,0#7#67#105#16,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
814,0#9#6#467#6#3#693#728#7,0#1#46#374#487#487#636#697#793,2249.json,15#15#15#14#14#14#14#14#23,0.009256417863070965#0.009121694602072239#0.009686294011771679#5.765922251157463E-4#8.026045397855341E-4#5.765922251157463E-4#8.026045397855341E-4#5.49265940207988E-4#0.0,2.6680466192257204E-5#5.041151566191489E-5#4.9031190876283385E-5#5.119334420613199E-8#9.130816282854905E-8#5.119334420613199E-8#9.283241940015789E-8#5.2122904757923565E-8#4.195115926754362E-14,1#1#1#0#0#0#0#0#1,1#1#1#0#0#0#0#0#1,2#2#2#0#0#0#0#0#2,3#3#3#2#2#2#2#2#3,3.83#3.83#3.83#4.2#4.2#4.2#4.2#4.2#5.41,1#1#1#1#1#1#1#1#1,11#11#11#17#17#17#17#17#30,104.0#102.0#102.0#133.0#130.0#133.0#130.0#133.0#218.0,93.31672668457031#93.47367858886719#93.47367858886719#93.33224487304688#93.45088195800781#93.33224487304688#93.45088195800781#93.33224487304688#82.17912292480469,0#0#0#0#0#0#0#0#0,5#5#5#6#6#6#6#6#6,0#2#4#23#2#2#2#2#17,0#1#2#11#1#1#1#1#14,0#19#7#308#8#8#8#10#575,0#19#7#273#8#8#8#10#456,0#0#0#0#0#0#0#0#0,0#1#0#0#1#1#0#0#1,0#1#0#0#1#1#0#0#1
178,0#2#408,0#3#87,3815.json,3#3#3,0.690563976764679#0.690563976764679#0.6325183510780334,0.7925122995320121#0.7925122995320121#0.9189874374542529,0#0#0,0#0#0,0#0#0,1#1#1,1.89#1.89#1.89,0#0#0,1#1#1,18.0#18.0#15.0,130.99049377441406#130.99049377441406#132.25152587890625,1#1#0,0#0#0,0#0#4,0#0#2,0#0#48,0#0#48,0#0#0,0#0#0,0#0#0
716,0,0,3173.json,3,0.15509453415870667,0.5270975863402161,0,0,0,1,1.89,0,0,22.0,129.47398376464844,0,0,0,0,0,0,0,0,0
333,0,0,274.json,4,0.03194279596209526,0.10241365229268011,0,0,0,1,2.0,0,4,37.0,121.4874496459961,1,0,0,0,0,0,0,0,0
1063,0#36#19,0#10#105,3599.json,5#5#5,0.0#0.0#0.0,0.00728509523605119#0.004708930868547537#0.004661104297245861,0#0#0,0#0#0,0#0#0,1#1#1,1.96#1.96#1.96,0#0#0,1#1#1,56.0#58.0#58.0,115.49394989013672#115.26158142089844#115.26158142089844,4#4#4,1#1#1,0#2#2,0#1#1,0#7#5,0#7#5,0#0#0,0#0#0,0#0#0
655,0,0,260.json,3,0.7321366667747498,0.8686620992555453,0,0,0,1,1.89,0,0,16.0,131.75106811523438,0,0,0,0,0,0,0,0,0
879,0#2#3#13#895,0#3#34#309#858,3511.json,4#4#4#5#5,0.9672894477844238#0.9768615365028381#0.9054009318351746#0.9372776746749878#0.7288450598716736,0.16484091499117529#0.2292180634873684#0.0539394014489359#0.008844678060459056#0.001352522509148184,1#1#1#2#2,1#1#1#2#2,2#2#2#4#4,2#2#2#3#3,2.0#2.0#2.0#1.96#1.96,0#0#0#0#0,0#0#1#1#1,36.0#35.0#42.0#54.0#64.0,121.52926635742188#121.89896392822266#120.66131591796875#115.22306060791016#114.24183654785156,2#2#3#3#3,1#1#1#2#2,0#2#4#3#2,0#1#2#2#1,0#6#49#84#19,0#6#49#80#19,0#0#0#0#0,0#1#1#1#0,0#1#1#1#0
389,0,0,3985.json,3,0.9327295422554016,0.9874284340901678,0,0,0,1,1.89,0,0,12.0,133.59722900390625,0,0,0,0,0,0,0,0,0
393,0#16#29#693,0#0#1#214,2930.json,13#13#3#4,0.011754126287996769#0.011091180145740509#0.13708415627479553#0.18682774901390076,7.900994484334333E-4#7.789624625012834E-4#0.5175662785345619#0.6427203222306875,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,3.69#3.69#1.89#3.32,1#1#0#0,10#10#1#1,87.0#87.0#24.0#24.0,97.3743667602539#97.3743667602539#128.83535766601562#124.1749038696289,3#3#3#3,1#1#0#0,0#2#13#2,0#1#1#1,0#7#437#17,0#7#398#4,0#0#0#0,0#0#0#0,0#0#0#0
117,0,0,2527.json,4,0.6977633833885193,0.9337112564437645,0,0,0,1,2.0,0,1,19.0,125.91468811035156,0,0,0,0,0,0,0,0,0
415,0,0,3466.json,8,0.17461836338043213,0.15853844324808056,1,1,2,2,2.4,1,2,48.0,108.55803680419922,0,2,0,0,0,0,0,0,0
838,0#467,0#398,794.json,5#7,0.1908896565437317#0.1074586883187294,0.15388516008394887#0.07027642675599052,0#0,0#0,0#0,1#1,1.96#3.02,0#1,2#3,40.0#49.0,117.66657257080078#110.96097564697266,2#2,1#1,0#8,0#5,0#91,0#83,0#0,0#0,0#0
269,0#693#24#728#895,0#90#108#151#248,3191.json,11#11#23#25#27,0.018106568604707718#0.019977446645498276#0.0041722445748746395#0.016054276376962662#0.01701471395790577,0.0354475057465382#0.03437034391688383#2.0832472728143495E-5#1.1717638029265815E-5#1.6763202888498176E-5,0#0#0#1#1,0#0#0#1#1,0#0#0#2#2,1#1#1#2#2,11.37#11.37#12.55#10.75#12.24,0#0#1#2#2,12#12#16#18#19,65.0#65.0#128.0#135.0#138.0,101.59654998779297#101.59654998779297#85.6686019897461#83.81095123291016#82.42546844482422,2#2#2#2#2,0#0#2#3#3,0#2#32#46#6,0#1#22#23#4,0#9#737#284#134,0#9#327#158#11,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0
838,0,0,26.json,5,0.17129917442798615,0.19467294524426904,2,2,4,2,2.99,1,6,40.0,117.76348876953125,1,0,0,0,0,0,0,0,0
393,0#10#728,0#24#275,2812.json,6#7#8,0.0433313213288784#0.04114945977926254#0.31658172607421875,0.28863882978037353#0.23022352164705798#0.708833359388607,0#0#2,0#0#2,0#0#4,1#1#3,1.89#1.81#2.83,0#0#1,4#5#6,39.0#44.0#37.0,115.08172607421875#111.95722198486328#110.63754272460938,0#0#0,0#0#0,0#1#11,0#1#6,0#30#145,0#26#136,0#1#0,0#1#0,0#1#0
